Resistance penalty:,抗性惩罚:
"Aspect of the Cat:",【猫之势】:
"Is Cat's Stealth active?",【猫之隐匿】激活状态?
"Is Cat's Agility active?",【猫之敏捷】激活状态?
"Aspect of the Crab:",【蟹之势】:
"# of Crab Barriers (if not maximum):","【深海屏障】层数 (如果不是最大值)"
"Aspect of the Spider:",【蛛之势】:
"# of Spider's Web Stacks:","蜘蛛网层数"
"Banner Skills:",旗帜技能:
"Is Banner Planted?",旗帜已放置?
"Banner Stages:",旗帜阶层:
Bladestorm:,【剑刃风暴】:
"Are you in a Bloodstorm?",是否处于血姿态?
"Are you in a Sandstorm?",是否处于沙姿态?
"Brand Skills:",烙印技能:
"Is Attached to the Enemy?",烙印已附着的敌人?
"Dark Pact:",【暗夜血契】:
"Skeleton Life:",魔侍生命:
"Sets the maximum life of the skeleton that is being targeted.",设置目标魔侍的最大生命.
Deathmark:,【死亡印记】:
"Is the enemy Deathmarked?",【死亡印记】的敌人?
"Feeding Frenzy:",【狂噬】:
"Is Feeding Frenzy active?",【狂噬】激活状态?
"Feeding Frenzy grants:","【狂噬】 获得:"
"10% more Minion Damage","额外提高 10% 召唤物伤害"
"15% increased Minion Movement Speed","提高 15% 召唤物移动速度"
"15% increased Minion Attack and Cast Speed","提高 15% 召唤物攻击和施法速度"
"Herald of Agony:",【苦痛之捷】:
"# of Virulence Stacks:","【毒力】层数:"
"Ice Nova:",【冰霜新星】:
"Cast on Frostbolt?",施放【寒冰弹】?
Infusion:,【灌注】:
"Is Infusion active?",【灌注】激活状态?
Innervate:,【闪电支配】:
"Is Innervation active?",【闪电支配】激活状态?
Intensify:,【法术凝聚】:
"# of Intensity:","【法术凝聚】层数:"
"Meat Shield:",【肉盾】:
"Is the enemy near you?",附近的敌人?
"Raise Spectre:",【召唤灵体】:
"Spectre Level:",灵体等级:
"Sets the level of the raised spectre.",设置来提高灵体等级
"The default level is the level requirement of the Raise Spectre skill.",默认等级为【召唤灵体】需求等级:
"Enable curses:",启用诅咒:
"Enable any curse skills that your spectres have.",启用灵体拥有的诅咒技能.
"Blade Vortex blade count:",【飞刃风暴】刀片数:
"Sets the blade count for Blade Vortex skills used by spectres.",设置灵体拥有的【飞刃风暴】刀片数.
"Default is 1; maximum is 5.","默认为 1; 最大为 5."
"Scorching Ray Totem stage count:",【灼热光线】图腾阶数:
"Enable Summoned Ursa's Rallying Cry:",启用【召唤之爪】的激励战吼:
"Raise Spiders:",【召唤毒蛛】:
"# of Spiders:","蜘蛛数量:"
"Siphoning Trap:",【虹吸陷阱】:
"# of Enemies affected:","影响的敌人数量:"
"Sets the number of enemies affected by Siphoning Trap.",设置受【虹吸陷阱】影响的敌人数量.
"Stance Skills:",姿态技能:
Stance:,姿态:
"Summon Holy Relic:","召唤 【召唤生物】:"
"Enable Holy Relic's Boon Aura:",启用【召唤生物】光环:
"Summon Lightning Golem:","召唤 【闪电魔像】:"
"Enable Wrath Aura:",启用【雷霆】光环:
Vortex:,【漩涡】:
"Wave of Conviction:",【定罪波】:
"Exposure Type:",暴漏类型:
"Winter Orb:",【寒冬宝珠】:
Stages:,等阶:
"Withering Touch:",【凋零之触】:
"# of Withered Stacks:","【死亡凋零】层数:"

Map Modifiers and Player Debuffs,地图词缀和玩家减益
Map Prefix Modifiers:,地图前缀加成:
Enemy Physical Damage reduction:,怪物的物理伤害减伤:
'Armoured','装甲的'
20% (Low tier),20%(低阶)
30% (Mid tier),30%(中阶)
40% (High tier),40%(高阶)
"Enemy is Hexproof?",敌人是【无咒的】?
'Hexproof','无咒的'
Less effect of Curses on enemy:,对怪物的诅咒总效果总降:
'Hexwarded','魔抗的'
25% (Low tier),25%(低阶)
40% (Mid tier),40%(中阶)
60% (High tier),60%(高阶)
Enemy avoid Poison / Blind / Bleed:,怪物几率免疫中毒/致盲/流血:
'Impervious','避毒的'
25% (Low tier),25%(低阶)
45% (Mid tier),45%(中阶)
65% (High tier),65%(高阶)
Enemy has Elemental / Chaos Resist:,怪物的元素/^xD02090混沌^7抗性增加:
'Resistant','抗性的'
20% / 15% (Low tier),20%/15%(低阶)
30% /2 0% (Mid tier),30%/20%(中阶)
40% / 25% (High tier),40%/25%(高阶)
Map Suffix Modifiers:,地图后缀加成:
Player has Elemental Equilibrium?,玩家有【元素之相】?
'of Balance','平衡之'
Cannot Leech Life / Mana?,^xFFFFFF无法偷取怪物^xE05030生命^7和^x7070FF魔力^7?
"'of Congealment'",'凝血之'
"Gains reduced Flask Charges:",玩家获得的药剂充能降低:
'of Drought','干枯之'
30% (Low tier),30%(低阶)
40% (Mid tier),40%(中阶)
50% (High tier),50%(高阶)
-X% maximum Resistances:,-X% 玩家的抗性上限:
'of Exposure','曝露之'
Mid tier: 5-8%,"中阶: 5-8%"
High tier: 9-12%,"高阶: 9-12%"
Less Area of Effect:,玩家的范围效果总降:
'of Impotence','短程之'
15% (Low tier),15%(低阶)
20% (Mid tier),20%(中阶)
25% (High tier),25%(高阶)
Enemy avoid Elem. Status Ailments:,怪物几率免疫元素异常状态:
'of Insulation','隔绝之'
30% (Low tier),30%(低阶)
60% (Mid tier),60%(中阶)
90% (High tier),90%(高阶)
Unlucky Dodge / Enemy has inc. Accuracy:,玩家在躲避时很不幸/怪物命中值提高:
'of Miring','迟钝之'
30% (Low tier),30%(低阶)
40% (Mid tier),40%(中阶)
50% (High tier),50%(高阶)
Reduced Block Chance / less Armour:,玩家的格挡率降低/护甲总降:
'of Rust','生锈之'
20% / 20% (Low tier),20%/20%(低阶)
30% / 25% (Mid tier),30%/25%(中阶)
40% / 30% (High tier),40%/30%(高阶)
"Player has Point Blank?",玩家拥有【零点射击】?
'of Skirmishing','冲突之'
Less Recovery Rate of Life and Energy Shield:,玩家的^xE05030生命^7和^x88FFFF能量护盾^7回复速度总降:
'of Smothering','窒息之'
20% (Low tier),20%(低阶)
40% (Mid tier),40%(中阶)
60% (High tier),60%(高阶)
"Cannot Regen Life, Mana or ES?",^xFFFFFF玩家无法再生^xE05030生命^7，^x7070FF魔力^7和^x88FFFF能量护盾^7?
'of Stasis','瘀血之'
"Enemy takes red. Extra Crit Damage:",怪物受到的暴击额外伤害降低:
'of Toughness','坚韧之'
Low tier: 25-30%,低阶: 25-30%
Mid tier: 31-35%,中阶: 31-35%
High tier: 36-40%,高阶: 36-40%
"# of Sextants affecting the area","该地区被#个六分仪影响"
Player is cursed by:,玩家被诅咒:
"Assassin's Mark:",【暗影印记】:
"Sets the level of Assassin's Mark to apply to the player.",设置玩家应用的【暗影印记】等级.
Conductivity:,【导电】:
"Sets the level of Conductivity to apply to the player.",设置玩家应用的【导电】等级.
Despair:,【绝望】:
"Sets the level of Despair to apply to the player.",设置玩家应用的【绝望】等级.
"Elemental Weakness:",【元素要害】:
"Sets the level of Elemental Weakness to apply to the player.",设置玩家应用的【元素要害】等级.
"In mid tier maps, 'of Elemental Weakness' applies level 10.","在中阶地图,【元素要害】的等级是 10."
"In high tier maps, 'of Elemental Weakness' applies level 15.","在高阶地图,【元素要害】的等级是 15."
Enfeeble:,【衰弱】:
"Sets the level of Enfeeble to apply to the player.",设置玩家应用的【衰弱】等级.
"In mid tier maps, 'of Enfeeblement' applies level 10.","在中阶地图,【衰弱】的等级是 10."
"In high tier maps, 'of Enfeeblement' applies level 15.","在高阶地图,【衰弱】的等级是 15."
Flammability:,【易燃】
"Sets the level of Flammability to apply to the player.",设置玩家应用的【易燃】等级.
Frostbite:,【冻伤】:
"Sets the level of Frostbite to apply to the player.",设置玩家应用的【冻伤】等级.
"Poacher's Mark:",【盗猎者印记】:
"Sets the level of Poacher's Mark to apply to the player.",设置玩家应用的【盗猎者印记】等级.
"Projectile Weakness:",【投射物要害】:
"Sets the level of Projectile Weakness to apply to the player.",设置玩家应用的【投射物要害】等级.
Punishment:,【惩戒】:
"Sets the level of Punishment to apply to the player.",设置玩家应用的【惩戒】等级.
"Temporal Chains:",【时空锁链】:
"Sets the level of Temporal Chains to apply to the player.",设置玩家应用的【时空锁链】等级.
"In mid tier maps, 'of Temporal Chains' applies level 10.","在中阶地图,【时空锁链】的等级是 10."
"In high tier maps, 'of Temporal Chains' applies level 15.","在高阶地图,【时空锁链】的等级是 15."
Vulnerability:,【脆弱】:
"Sets the level of Vulnerability to apply to the player.",设置玩家应用的【脆弱】等级.
"In mid tier maps, 'of Vulnerability' applies level 10.","在中阶地图,【脆弱】的等级是 10."
"In high tier maps, 'of Vulnerability' applies level 15.","在高阶地图,【脆弱】的等级是 15."
"Warlord's Mark:",【督军印记】:
"Sets the level of Warlord's Mark to apply to the player.","设置玩家应用的【督军印记】等级."

When In Combat,战斗状态
Do you use Power Charges?,你有【暴击球】?
# of Power Charges (if not maximum):,【暴击球】数量 (如果不是最大值):
Do you use Frenzy Charges?,你有【狂怒球】?
# of Frenzy Charges (if not maximum):,【狂怒球】数量 (如果不是最大值):
Do you use Endurance Charges?,你有【耐力球】?
# of Endurance Charges (if not maximum):,【耐力球】数量 (如果不是最大值):
Do you use Siphoning Charges?,你有【轮回球】?
# of Siphoning Charges (if not maximum):,【轮回球】数量 (如果不是最大值):
Do you use Challenger Charges?,你有【挑战球】?
# of Challenger Charges (if not maximum):,【挑战球】数量 (如果不是最大值):
Do you use Blitz Charges?,你有【疾电球】?
# of Blitz Charges (if not maximum):,【疾电球】数量 (如果不是最大值):
# of Gale Force:,【飓风之力】个数
Base maximum Gale Force is 10.,【飓风之力】个数基础上限为10.
# of Inspiration Charges (if not maximum):,【启迪球】数量 (如果不是最大值):
Do you use Ghost Shrouds?,你有【鬼影缠身】?
# of Ghost Shrouds (if not maximum):,【鬼影缠身】层数 (如果不是最大值):
Do you wait for Max Unleash Seals?,你在等待获得最大封印层数?
# of Blood Charges (if not maximum):,【赤炼球】数量 (如果不是最大值):
Do your Minions use Power Charges?,你的召唤物有【暴击球】?
Do your Minions use Frenzy Charges?,你的召唤物有【狂怒球】?
Do your Minions use Endur. Charges?,你的召唤物有【耐力球】?
# of Rampage Kills:,【暴走】层数:
"Rampage grants the following, up to 1000 stacks:","暴走层数会带来以下效果，最大层数为1000层:"
You lose Rampage if you do not get a Kill within 5 seconds.,你会在持续5秒无击杀后失去暴走状态.
Are you Focused?,你有【专注】?
Do you have Lifetap?,你有【赤炼】?
Do you have Onslaught?,你有【猛攻】?
"In addition to allowing any 'while you have Onslaught' modifiers to apply,","启用时 '当你处于【猛攻】' 之类的修正生效,"
"this will enable the Onslaught buff itself. (Grants 20% increased Attack, Cast, and Movement Speed)","这将启用【猛攻】增益效果. (攻击/施法/移动速度提高 20% )"
Do your minions have Onslaught?,你的召唤物是否有【猛攻】?
"In addition to allowing any 'while your minions have Onslaught' modifiers to apply,","启用时 '当你的召唤物处于【猛攻】' 之类的修正生效,"
Do you have Unholy Might?,你有【不洁之力】?
This will enable the Unholy Might buff. (Grants 30% of Physical Damage as Extra Chaos Damage),^xFFFFFF这将启用【不洁之力】增益效果. (获得等于30%物理伤害的额外^xD02090混沌^7伤害)
Do your minions have Unholy Might?,你的召唤物有【不洁之力】?
This will enable the Unholy Might buff on your minions. (Grants 30% of Physical Damage as Extra Chaos Damage),^xFFFFFF这将为你的召唤物启用【不洁之力】增益效果. (获得等于30%物理伤害的额外^xD02090混沌^7伤害)
Do you have Phasing?,你有【迷踪】?
Are you Fortified?,你有【护体】?
# of Fortification Stacks (if not maximum):,【护体】层数（若非最大值）
You have 1% less damage taken from hits per stack of fortification:,每层护体使你受到的击中伤害总降1%
Has a default cap of 20 stacks.,默认层数上限为20。
Do you have Tailwind?,你有【提速尾流】?
"In addition to allowing any 'while you have Tailwind' modifiers to apply,","启用时 '当你处于【提速尾流】' 之类的修正生效,"
this will enable the Tailwind buff itself. (Grants 8% increased Action Speed),这将启用【提速尾流】增益效果. (赋予8%行动速度提升)
Do you have Adrenaline?,你有【肾上腺素】?
"This will enable the Adrenaline buff, which grants:","这将启用【肾上腺素】增益效果:"
100% increased Damage,伤害提高100%
"25% increased Attack, Cast and Movement Speed","攻击/施法/移动速度提高 25%"
10% additional Physical Damage Reduction,额外 10% 物理伤害减免
Do you have Alchemist's Genius?,你有【炼金奇才】?
This will enable the Alchemist's Genius buff:,这将启用【炼金奇才】增益效果:
10% increased effect of Flasks,药剂效果提升10%
Do you have Vaal Arc's Lucky Buff?,是否有瓦尔电弧的【幸运】增益?
"Causes Damage with Arc Hits to be rolled twice, and the maximum roll used.","以电弧击中造成的伤害会roll两次，取最大值实行."
Are you Elusive?,你有【灵巧】?
"In addition to allowing any 'while Elusive' modifiers to apply,","启用时 '当你处于【灵巧】' 之类的修正生效,"
this will enable the Elusive buff itself:,这将启用【灵巧】增益效果:
The effect of Elusive decays over time.,【灵巧】增益效果会随时间衰减。
Effect of Elusive (if not maximum):,【灵巧】效果强度(如果不是最大值):
"If you have a guaranteed source of Elusive, the strongest one will apply. ","如果你有一个可靠的【灵巧】来源，将会应用最大效果强度."
You can change this to see decaying buff values,你可以改变此值以观察衰减后的增益效果
Do you have Divinity?,你有【神性】?
"This will enable the Divinity buff, which grants:","这将启用【神性】增益效果，赋予:"
Defiance:,【抗争】层数:
Rage:,【怒火】层数:
"Base Maximum Rage is 50, and inherently grants the following:","怒火的基础最大层数为50,并赋予以下几点固定效果:"
You lose 1 Rage every 0.5 seconds if you have not been Hit or gained Rage Recently.,如果你近期没有被击中或获得怒火，你每0.5秒失去1层怒火。
Are you Leeching?,你在【偷取】?
Are you Leeching Life?,^xFFFFFF你在【偷取^xE05030生命^7】?
Are you Leeching Energy Shield?,^xFFFFFF你在【偷取^x88FFFF能量护盾^7】?
Are you Leeching Mana?,^xFFFFFF你在【偷取^x7070FF魔力^7】?
Do you have a Flask active?,你在【使用药剂】?
"This is automatically enabled if you have a flask active,","如果有使用药剂将会自动启用此状态,"
Do you have a Totem summoned?,你有召唤图腾?
"You will automatically be considered to have a Totem if your main skill is a Totem,","如果你的主技能是图腾技能将自动被视为有召唤图腾,"
Have you Summoned a Totem Recently?,你近期内有召唤图腾?
"You will automatically be considered to have Summoned a Totem Recently if your main skill is a Totem,","如果你的主技能是图腾技能将自动被视为近期内有召唤图腾,"
"# of Summoned Totems (if not maximum):","召唤的图腾数量(如果不是最大值):"
This also implies that you have a Totem summoned.,这也意味着你召唤了一个图腾。
"This will affect all 'per Summoned Totem' modifiers, even for non-Totem skills.","这将影响所有'每召唤一个图腾'修正，即使是对于非图腾技能。"
Summoned a Golem in the past 8 Seconds?,过去8秒内召唤了魔像?
Summoned a Golem in the past 10 Seconds?,过去10秒内召唤了魔像?
# of Nearby Allies:,附近的友军数:
# of Nearby Corpses:,附近的灵枢数:
# of Summoned Minions:,召唤物数:
Are you on Consecrated Ground?,你在【奉献地面】上?
"In addition to allowing any 'while on Consecrated Ground' modifiers to apply,","启用时 '你在【奉献地面】上' 之类的修正生效,"
Consecrated Ground grants 5% Life Regeneration to players and allies.,^xFFFFFF【奉献地面】使在上面的玩家和友军获得每秒6%^xE05030生命^7回复。
Are you on Fungal Ground?,你在【真菌地表】上?
Allies on your Fungal Ground gain 10% of Non-Chaos Damage as extra Chaos Damage.,xFFFFFF【真菌地表】上的友军获得10%非混沌伤害的额外^xD02090混沌^7伤害。
Are you on Burning Ground?,^xFFFFFF你在【^xB97123燃烧^7地面】上?
This also implies that you are Burning.,^xFFFFFF这也意味着你在^xB97123燃烧^7。
Are you on Chilled Ground?,^xFFFFFF你在【^x3F6DB3冰缓^7地面】上?
This also implies that you are Chilled.,^xFFFFFF这也意味着你被^x3F6DB3冰缓^7。
Are you on Shocked Ground?,^xFFFFFF你在【^xADAA47感电^7地面】上?
This also implies that you are Shocked.,^xFFFFFF这也意味着你被^xADAA47感电^7。
Are you Blinded?,你被致盲?
Are you Burning,^xFFFFFF你在^xB97123燃烧^7?
Are you Ignited?,^xFFFFFF你被^xB97123点燃^7?
Are you Chilled?,^xFFFFFF你被^x3F6DB3冰缓^7?
Did you Chill yourself?,^xFFFFFF你^x3F6DB3冰缓^7你自己?
Are you Frozen?,^xFFFFFF你被^x3F6DB3冰冻^7?
Are you Shocked?,^xFFFFFF你被^xADAA47感电^7?
Are you Bleeding?,你在流血?
Are you Poisoned?,你在中毒?
# of Poison on You:,你所受中毒层数:
This also implies that you are Poisoned.,这也意味着你中毒了。
Are you against Damage over Time?,你受持续伤?
# of nearby Enemies:,附近的敌人数:
# of nearby Rare or Unique Enemies:,附近的稀有或传奇敌人数:
Have you Hit Recently?,你近期有击中?
"You will automatically be considered to have Hit Recently if your main skill is self-cast,","如果你的主技能是自施放的将自动启用此状态,"
Have you Crit Recently?,你近期有造成暴击?
This also implies that your Skills have Crit Recently.,这也意味着你的技能近期有暴击。
Have your Skills Crit Recently?,你的技能近期有暴击?
Have your Herald Skills Crit Recently?,你的捷技能近期有暴击?
Lost a Non-Vaal Guard Skill buff recently?,你近期失去了一个非瓦尔技能的增益?
Have you dealt a Non-Crit Recently?,你近期有造成非暴击?
Are you Channelling?,你在持续吟唱?
"You will automatically be considered to be Channeling if your main skill is a channelled skill,","如果你的主技能是持续吟唱技能的将自动被视为在持续吟唱,"
Have you Hit Recently with Your Weapon?,你在近期有用你的武器击中?
This also implies that you have Hit Recently.,这也意味着你的近期有击中。
Have you Killed Recently?,你近期有击杀?
# of Enemies Killed Recently:,近期击杀敌人数:
This also implies that you have Killed Recently.,这也意味着你近期有击杀。
Have you Killed in the last 3 Seconds?,你3秒内有击杀?
Killed a poisoned enemy in the last 2 Seconds?,你2秒内有击杀中毒的敌人?
No summoned Totems in the past 2 seconds?,你2秒内没有召唤图腾?
Have your Totems Killed Recently?,你的图腾近期有击杀?
This also implies that your Totems have Killed Recently.,这也意味着你的图腾近期有击杀。
Have you used a Brand Skill recently?,你近期有使用烙印技能?
# of Enemies Killed by Totems Recently:,图腾近期击杀敌人数:
Have your Minions Killed Recently?,你的召唤物近期有击杀?
Has a Minion Died Recently?,你近期有召唤物死亡?
# of Enemies Killed by Minions Recently:,召唤物近期击杀数:
This also implies that your Minions have Killed Recently.,这也意味着你的召唤物近期有击杀。
Killed enemy affected by your DoT Recently?,你的持续伤害效果近期有击杀敌人?
# of Shocked Enemies Killed Recently:,^xFFFFFF近期击杀^xADAA47感电^7的敌人数:
Have you Frozen an enemy Recently?,^xFFFFFF你近期有^x3F6DB3冰冻^7敌人?
Have you Chilled an enemy Recently?,^xFFFFFF你近期有^x3F6DB3冰缓^7敌人?
Have you Shattered an enemy Recently?,^xFFFFFF你近期有^x3F6DB3粉碎^7敌人?
Have you Ignited an Enemy Recently?,^xFFFFFF你近期有^xB97123点燃^7敌人?
Have you Shocked an Enemy Recently?,^xFFFFFF你近期有^xADAA47感电^7敌人?
Have you Stunned an enemy Recently?,你近期有击晕敌人?
# of Poisons applied Recently:,近期施加中毒层数:
# of Life spent Recently:,近期^xE05030生命^7消耗量:
# of Mana spent Recently:,近期^x7070FF魔力^7消耗量:
Have you been Hit Recently?,你近期被击中?
# of times you have been Hit Recently:,你近期被击中次数:
Have you been Hit by an Attack Recently?,你近期被攻击击中?
Have you been Crit Recently?,你近期被暴击?
Consumed 12 Steel Shards Recently?,你近期消耗12钢刃碎片?
Gained a Power Charge Recently?,你近期有获得【暴击球】?
Have you been Savage Hit Recently?,你近期被【残暴打击】?
This also implies that you have been Hit Recently.,这也意味着你近期被击中。
Have you been hit by Fire Recently?,^xFFFFFF你近期被^xB97123火焰^7伤害击中?
Have you been hit by Cold Recently?,^xFFFFFF你近期被^x3F6DB3冰霜^7伤害击中?
Have you been hit by Light. Recently?,^xFFFFFF你近期被^xADAA47闪电^7伤害击中?
Have you taken Spell Damage Recently?,你近期受到法术伤害?
Taken Fire Damage from enemy Hit Recently?,^xFFFFFF你近期有受敌人^xB97123火焰^7击中伤害?
Have you Blocked Recently?,你近期有格挡?
Have you Blocked an Attack Recently?,你近期有格挡攻击?
This also implies that you have Blocked Recently.,这也意味着你近期有格挡。
Have you Blocked a Spell Recently?,你近期有格挡法术?
Energy Shield Recharge started Recently?,^xFFFFFF近期有启动^x88FFFF能量护盾^7充能?
Have you stopped taking DoT recently?,你近期停止受到持续伤害?
Do you have Convergence?,你有【汇聚】效果?
Is Pendulum of Destruction active?,【毁灭之钟】激活?
Conflux Buff:,汇流增益效果:
Is Bastion of Hope active?,【希望壁垒】激活?
"Is Ngamahu, Flame's Advance active?","【火徒.努葛玛呼】激活?"
Are you in Her Embrace?,你有【她的拥抱】?
This option is specific to Oni-Goroshi.,这是【鬼弑·查兰之剑】的特有选项。
Have you used a Skill Recently?,你近期有使用技能?
# of Skills Used Recently:,近期使用技能数:
This also implies that you have used a Skill Recently.,这也意味着你近期有使用技能。
Have you Attacked Recently?,你近期有攻击?
"You will automatically be considered to have Attacked Recently if your main skill is an attack,","如果你的主技能是攻击技能将会自动启用此状态,"
Have you Cast a Spell Recently?,你近期有施放法术?
"You will automatically be considered to have Cast a Spell Recently if your main skill is a spell,","如果你的主技能是法术技能将会自动启用此状态,"
Have you Cast a Spell in the last second?,你过去1秒内有施放法术?
How many spells cast in the last 8 seconds?,过去8秒内施放了多少法术?
Only non-instant spells you cast count,仅计算非立即施放法术
Have you used a Fire Skill Recently?,^xFFFFFF你近期有使用^xB97123火焰^7技能?
Have you used a Cold Skill Recently?,^xFFFFFF你近期有使用^x3F6DB3冰霜^7技能?
Have you used a Minion Skill Recently?,你近期有使用召唤物技能?
"You will automatically be considered to have used a Minion skill Recently if your main skill is a minion skill,","如果你的主技能是召唤生物技能将会自动启用此状态,"
Have you used a Travel Skill Recently?,你近期有使用旅行技能?
Have you cast Dash Recently?,你近期有使用技能【冲刺】?
Have you used a Movement Skill Recently?,你近期有使用位移技能?
This also implies that you have used a Skill Recently..,这也意味着你近期有使用技能。
"You will automatically be considered to have used a Movement skill Recently if your main skill is a movement skill,","如果你的主技能是移动技能将会自动启用此状态,"
Have you used a Vaal Skill Recently?,你近期有使用瓦尔技能?
"You will automatically be considered to have used a Vaal skill Recently if your main skill is a Vaal skill,","如果你的主技能是瓦尔技能将会自动启用此状态,"
Do you have Soul Gain Prevention?,你有【阻灵术】?
Have you used a Warcry Recently?,你近期有使用战吼?
"# of Mines Detonated Recently:","# 近期引爆地雷数:"
"# of Traps Triggered Recently:","# 近期触发地雷数:"
"Consumed a corpse Recently?",近期有消耗灵柩?
"# of Corpses Consumed Recently:","# 近期消耗灵柩数:"
"Taunted an Enemy Recently?",近期有嘲讽敌人?
"Have you used a Fire Skill in the past 10s?","你过去 10 秒内有使用火焰技能?"
"Have you used a Cold Skill in the past 10s?","你过去 10 秒内有使用冰霜技能?"
