"Cospri's Malice",卡斯普里怨恨
"Tasalio's Sign",塔萨里奥之印
Tavukai,圣令
"Tear of Purity",纯净之泪
"The Anvil",信念之砧
"The Ascetic",苦行
"The Aylardex",埃拉黛丝
"The Effigon",耀阳徽记
"The Flow Untethered",流逝之时
"The Halcyon",太平
"The Hungry Loop","饥饿之环 "
"The Ignomon",烈阳徽记
"The Jinxed Juju",厄运护符
"The Magnate",坚毅之环
"The Nomad",游牧之环
"The Pandemonius",群魔殿
"The Pariah",草民
"The Primordial Chain",原始锁链
"The Retch",呕吐
"The Tactician",谋士之环
"The Taming",元素之章
"The Warden's Brand",守卫之铭
"Thief's Torment",窃罪
Timeclasp,时光之握
Timetwist,时空扭曲
"Umbilicus Immortalis",不朽系命
"Ungil's Harmony",恩吉尔的和谐
"Uzaza's Meadow",乌扎萨的草原
"Uzaza's Mountain",乌扎萨的高山
"Uzaza's Valley",乌扎萨的山谷
"Valako's Sign",瓦拉库之印
Valyrium,女武神
Venopuncture,静脉穿刺
"Ventor's Gamble",赌神芬多
"Victario's Acuity",维多里奥的捷思
Vivinsect,活解
"Voice of the Storm",暴风之言
Voideye,虚空慧眼
Voidheart,虚空心灵
"Voll's Devotion",福尔的忠诚之符
"Warped Timepiece",时空扭曲
Winterheart,冬之心
Winterweave,冬日之织
"Wurm's Molt",龙蜕之带
"Xoph's Blood",索伏之血
"Xoph's Heart",索伏之心
"Yoke of Suffering",苦难羁绊
"Zerphi's Heart",泽佛伊之心
"Abberath's Hooves",地动
Abyssus,深渊之唤
"Aegis Aurora",幻芒圣盾
"Ahn's Contempt",汉恩的蔑视
"Ahn's Heritage",汉恩的遗产
"Alberon's Warpath",阿尔贝隆的征途
Allelopathy,相生相克
"Alpha's Howl",极地之眼
"Ambu's Charge",安姆布的战甲
"Apep's Slumber",艾普之梦
"Apep's Supremacy",艾普的霸权
"Architect's Hand",建筑师之手
"Asenath's Chant",安赛娜丝的优雅之歌
"Asenath's Gentle Touch",安赛娜丝的安抚之语
"Asenath's Mark",安赛娜丝的迅敏之冠
Ashrend,拂烬
"Asphyxia's Wrath",冰灵之吼
"Atziri's Acuity",阿兹里的捷思
"Atziri's Mirror",阿兹里之镜
"Atziri's Reflection",阿兹里的反击
"Atziri's Splendour",阿兹里的威权
"Atziri's Step",阿兹里的金履
"Aukuna's Will",奥库娜的意志
Aurseize,富贵之运
"Belly of the Beast",兽腹
"Bitterbind Point",苦痛之处
Blackgleam,黑炎之芒
"Black Sun Crest",黑阳之冠
"Blasphemer's Grasp",亵渎者之握
Bloodbond,血脉相连
"Bones of Ullr",灵骸之履
Bramblejack,刺棘宝甲
Breathstealer,扼息者
"Brinerot Flag",布琳洛特之旗
"Brinerot Whalers",布琳洛特岸行者
Briskwrap,荒途
Broadstroke,疾袭之锋
"Broken Faith",破碎信念
"Bronn's Lithe",布隆的影衣
"Bubonic Trail",鼠疫之源
"Carcass Jack",致命之体
"Chains of Command",将军的复生
"Chalice of Horrors",恐惧之缶
"Chernobog's Pillar",五芒屏障
"Cherrubim's Maleficence",薛鲁宾的恶作剧
"Chitus' Apex",切特斯的威权
"Cloak of Defiance",卫道之袍
"Cloak of Flame",烈炎之袍
"Cloak of Tawm'r Isley",塔温的披风
"Command of the Pit",巨坑之令
"Cospri's Will",卡斯普里意志
"Cowl of the Ceraunophile",嗜雷之冠
"Cowl of the Cryophile",嗜寒之冠
"Cowl of the Thermophile",嗜火之冠
Cragfall,落石
Craghead,岩头
"Craiceann's Carapace",深海魔甲
"Craiceann's Chitin",深海魔角
"Craiceann's Pincers",深海魔钳
"Craiceann's Tracks",深海魔足
"Crest of Perandus",普兰德斯之徽
"Crown of Eyes",邪眼之冠
"Crown of the Pale King",殒皇之冠
"Crown of the Tyrant",暴君王冠
"Crown of Thorns",刺棘之冠
"Crystal Vault",水晶墓穴
"Curtain Call",夜幕召唤
"Dance of the Offered",献祭舞鞋
"Daresso's Courage",德瑞索的勇者之盾
"Daresso's Defiance",德瑞索的卫衣
"Darkray Vectors",暗雷
"Death's Door",死亡大门
"Death's Oath",冥使之体
Deerstalker,猎踪
Deidbell,丧钟
Deidbellow,丧吼
"Demigod's Beacon",升华之灯
"Demigod's Dominance",升华统御
"Demigod's Stride",升华之途
"Demigod's Touch",升华之指
"Demigod's Triumph",升华之冠
"Demon Stitcher",恶魔缝补者
Dendrobate,箭丽毒蛙
"Devoto's Devotion",德沃托的信念之盔
"Dialla's Malefaction",无悔之爱
"Doedre's Malevolence",德瑞的恶念
"Doedre's Scorn",德瑞的蔑视
"Doedre's Skin",德瑞之肤
"Doedre's Tenure",德瑞的精神手套
"Doryani's Delusion",多利亚尼的幻想
"Doryani's Fist",多里亚尼之拳
Drillneck,穿心
Duskblight,幽暗凋零
Dusktoe,迎暮
"Eber's Unification",希伯的霸权
"Empire's Grasp",帝国之掌
"Esh's Mirror",艾许之镜
"Esh's Visage",艾许之面
"Ezomyte Hold",艾兹麦之握
"Ezomyte Peak",艾兹麦的荣光
Facebreaker,毁面者
"Fairgraves' Tricorne",费尔之帽
"Farrul's Bite",大地之牙
"Farrul's Chase",大地之痕
"Farrul's Fur",大地之护
"Farrul's Pounce",大地之握
"Fenumus' Shroud",暗夜弑衣
"Fenumus' Spinnerets",暗夜刺足
"Fenumus' Toxins",暗夜毒牙
"Fenumus' Weave",暗夜织礼
Flamesight,卓识
"Flesh and Spirit",肉体与魂灵
"Fox's Fortune",狐运强铠
Foxshade,狐毛铠
"Fractal Thoughts",分形思维
Frostferno,冰狱
Galesight,灰眼
"Gang's Momentum",刚勇
"Garb of the Ephemeral",无常法袍
"Garukhan's Flight",盖卢坎的飞升
"Geofri's Crest",吉尔菲的荣光
"Geofri's Legacy",吉尔菲的遗产
"Geofri's Sanctuary",吉尔菲的圣殿
Giantsbane,巨灵灾星
Glitterdisc,七彩碟
Goldrim,金缕帽
Goldwyrm,龙炎足迹
"Gorgon's Gaze",葛尔贡的凝视
"Great Old One's Ward",邪神庇护
"Greed's Embrace",贪婪之拥
Greedtrap,贪欲之诱
"Grip of the Council",议会之握
"Gruthkul's Pelt",欺诈獠牙
Haemophilia,血友病
"Hale Negator",强健否决者
Heatshiver,寒焰
"Heretic's Veil",异教面纱
Honourhome,私欲的光辉
Hrimburn,李姆本
"Hrimnor's Resolve",雷姆诺的豪情
Hrimsorrow,冰冷之眼
"Hyrri's Bite",西里的嗜血之矢
"Hyrri's Demise",西里之逝
"Hyrri's Ire",西里的战衣
Icetomb,冰息
"Incandescent Heart",烈炎之心
Indigon,靛蓝之冠
"Infernal Mantle",炼狱之心
"Inpulsa's Broken Heart",速度之力
"Invictus Solaris",耀日
"Inya's Epiphany",茵雅的启蒙
"Iron Heart",钢铁之心
"Jaws of Agony",苦痛狂鲨
"Kalisa's Grace",卡莉莎的优雅之影
Kaltenhalt,冰霜之镜
Kaltensoul,冰霜之魂
"Kaom's Heart",冈姆的壮志
"Kaom's Roots",冈姆的稳重之靴
Kingsguard,皇家卫甲
Kintsugi,金珏之缮
"Kitava's Thirst",奇塔弗之渴望
"Kongming's Stratagem",孔明的神算
"Leer Cast",共鸣之面
"Leper's Alms",临死的施舍
"Lightbane Raiment",魔道之衣
"Lightning Coil",雷语
"Light of Lunaris",月影之耀
Lightpoacher,光明偷猎者
"Lioneye's Paws",狮眼的斗志
"Lioneye's Remorse",狮眼的荣耀之盾
"Lioneye's Vision",狮眼的视线
"Lochtonial Caress",意识之缘
Loreweave,满溢之甲
Lycosidae,狼蛛
"Machina Mitts",马奇纳护手
"Magna Eclipsis",坚毅之食
"Malachai's Awakening",玛拉凯之觉醒
"Malachai's Loop",轮回
"Malachai's Mark",马拉凯之记
"Malachai's Simula",玛拉凯的祭具
"Malachai's Vision",玛拉凯的远见
"Maligaro's Lens",马雷格罗的染血透镜
"Maligaro's Virtuosity",马雷格罗的玫红手套
"Maloney's Mechanism",马洛尼的技巧
"Maloney's Nightfall",马洛尼的暮光
"March of the Legion",军团的进击
"Mark of the Red Covenant",红契符印
"Martyr's Crown",烈士之冠
"Mask of the Spirit Drinker",饮魂者面罩
"Mask of the Stitched Demon",缝合恶魔面罩
"Mask of the Tribunal",裁决面罩
"Matua Tupuna",远祖之颅
"Maw of Conquest",征服之口
"Meginord's Vise",梅吉诺德的巨力腕甲
"Memory Vault",记忆囚笼
"Mind of the Council",智者之秘
Mindspiral,灵漩
"Mutewind Pennant",哑风尖旗
"Mutewind Whispersteps",哑风轻步
"Nomic's Storm",诺米克的风暴
"Null and Void",虚空
Nimis,尼米斯
Obscurantis,厌食者
"Offering to the Serpent",暴君之握
Omeyocan,至高天堂
"Ondar's Clasp",恩德的迅影
"Victario's Flight",维多里奥的飞升
Oskarm,欧斯卡姆
Perepiteia,峰回路转
"Prism Guardian",元素的庇护
"Queen of the Forest",森林之后
Rainbowstride,虹幕
"Ralakesh's Impatience",拉克斯的渴望
"Rathpith Globe",献祭之心
"Rat's Nest",鼠巢
Rearguard,寒锋之卫
"Reckless Defence",鲁莽防御
"Redblade Banner",红刃旗帜
"Redblade Tramplers",红刃蹂躏靴
Repentance,悔悟之掌
"Rigwald's Quills",瑞佛之羽
"Rime Gaze",酷寒的凝视
"Rise of the Phoenix",烈炎之翼
"Rotting Legion",腐朽军团
"Sadima's Touch",猎宝者的护手
"Saemus' Gift",勇者之礼
"Saffell's Frame",萨费尔的智慧
"Saqawal's Flock",苍空之翎
"Saqawal's Nest",苍空之巢
"Saqawal's Talons",苍空之爪
"Saqawal's Winds",苍空之翼
"Scold's Bridle",禁语
"Sentari's Answer",山特立的回应
"Seven-League Step",神行靴
"Shackles of the Wretched",悲运之缚
"Shadows and Dust",沙尘之影
Shadowstitch,暗影缝合
"Shaper's Touch",塑界之触
"Shavronne's Gambit",薛朗的诡计
"Shavronne's Pace",薛朗的秘术长靴
"Shavronne's Wrappings",薛朗的护身长袍
"Shroud of the Lightless",泯光寿衣
"Sin Trek",敏锐思维
"Skin of the Lords",君主之肤
"Skin of the Loyal",忠诚之肤
Skirmish,小会战
Skullhead,光辉之颅
Skyforth,空向
"Slavedriver's Hand",奴隶贩子之手
Slitherpinch,苍蟒之鳞
Snakebite,蝮吻
"Solaris Lorica",烈阳铠
"Soul Mantle",祖灵之约
"Soul Strike",灵魂打击
Southbound,南方
"Speaker's Wreath",众生指引
Sporeguard,孢囊守卫
Springleaf,新生之徽
"Starkonja's Head",斯塔空加之首
"Steppan Eard",绝地魔履
Stormcharger,风暴骑士
"Storm's Gift",风暴赐福
Sundance,日耀
Sunspite,日怨
Surgebinders,浪涌缚者
"Tabula Rasa",无尽之衣
"The Anticipation",悬念
"The Baron",男爵
"The Beast Fur Shawl",兽毛披肩
"The Blood Dance",血影
"The Brass Dome",巨铜之顶
"The Brine Crown",海王冠冕
"The Bringer of Rain",祭礼之雨
"The Broken Crown",缺角帝冠
"The Coming Calamity",灵魂甲胄
"The Covenant",血誓
"The Deep One's Hide",深渊绝壁
"The Devouring Diadem",吞噬者王冠
"The Embalmer",入殓师
"The Eternal Apple",永恒苹果
"The Eternity Shroud",永恒幽影
"The Formless Flame",无形火炬
"The Formless Inferno",无形炼狱
"The Fracturing Spinner",爆裂之射
"The Gull",鸥喙
"The Infinite Pursuit",无尽之距
"The Iron Fortress",钢铁要塞
"The Oak",橡树
"The Peregrine",疾风的沉思
"The Perfect Form",完美姿态
"The Queen's Hunger",女王的饥饿
"The Rat Cage",疫鼠囚笼
"The Red Trail",赤红踪迹
"The Restless Ward",无尽之卫
"The Signal Fire",狼烟
"The Snowblind Grace",雪盲恩惠
"The Stampede",溃败
"The Surrender",降伏
"The Tempest's Binding",风暴拘束
"The Three Dragons",三龙战纪
"The Unshattered Will",不屈之志
"The Vertex",谜容
"Thirst for Horrors",颤栗之饥
"Thousand Ribbons",千缎
"Thousand Teeth Temu",千齿
"Three-step Assault",强袭者
Thunderfist,轰天雷
Thundersight,雷目
Tinkerskin,钟表匠的华服
"Titucius' Span",提图库斯的坚盾
Tombfist,陵拳
"Torchoak Step",火柳胫甲
"Triad Grip",三重扣
"Trolltimber Spire",巫木
"Tukohama's Fortress",图克哈玛堡垒
"Unyielding Flame",不屈烈焰
"Vaal Caress",瓦尔的灵手
"Veil of the Night",夜幕
"Veruso's Battering Rams",陨落之环
"Victario's Charity",维多里奥的贡献
"Victario's Influence",维多里奥之绝响
"Viper's Scales",毒蛇之度
"Vis Mortis",兀鸣
"Vixen's Entrapment",刁妇的圈套
"Vix Lunaris",影月
Voidbringer,虚空之力
Voidfletcher,虚空制箭者
Voidwalker,虚空行者
"Volkuur's Guidance",福库尔的手
"Voll's Protector",福尔的战铠
"Voll's Vision",福尔的远见
"Wake of Destruction",覆灭之兆
"Wall of Brambles",荆棘之墙
Wanderlust,苦行之履
"Whakatutuki o Matua",瓦卡图图里
"Wheel of the Stormsail",暴雨之舵
Wildwrap,荒野之绕
Windscream,恶风足迹
Windshriek,风哮
"Winds of Change",升华之风
Wondertrap,回光之迹
Worldcarver,世界雕刻者
Wraithlord,幽冥灵王
"Wreath of Phrecia",费西亚的花环
Wyrmsign,龙族印记
"Ylfeban's Trickery",伊芙班的诡计
"Yriel's Fostering",伊瑞的精通
"Zahndethus' Cassock",札德图斯的圣衣
"Zeel's Amplifier",泽尔的放大器
"Atziri's Promise",阿兹里的诺言
"Blood of the Karui",卡鲁之血
"Bottled Faith",瓶中信仰
"Cinderswallow Urn",灰烬之瓮
"Coralito's Signature",克拉里多之名
"Coruscating Elixir",闪耀精华
"Divination Distillate",宝视精华
"Doedre's Elixir",德瑞的妙药
"Dying Sun",逝日
"Forbidden Taste",禁果
"Kiara's Determination",奇亚拉的决心
"Lavianga's Spirit",拉维安加之泉
"Lion's Roar",狮吼精华
Rotgut,伤胃酒
"Rumi's Concoction",鲁米的灵药
"Sin's Rebirth",再生的罪恶
"Soul Catcher",捕魂者
"Soul Ripper",裂魂者
"Taste of Hate",恨意
"The Overflowing Chalice",高洁圣杯
"The Sorrow of the Divine",神圣哀悼
"The Wise Oak",聪明的欧克
"The Writhing Jar",扭曲之罐
"Vessel of Vinktar",维克塔血器
"Witchfire Brew",巫酿之水
"Zerphi's Last Breath",泽佛伊的终息
"Anatomical Knowledge",真知灼见
"Ancient Waystones",远古基石
Apparitions,映像
"To Dust",尘埃落定
"Assassin's Haste",暗影之影
"Atziri's Reign",阿兹里之权
"Blood Sacrifice",血牺
Brawn,筋骨强化
"Brittle Barrier",易碎屏障
"Brutal Restraint",残酷的约束
"Brute Force Solution",蛮力冲撞
"Fortified Legion",坚守军团
"Careful Planning",审慎计划
"Cheap Construction",廉价建设
"Chill of Corruption",腐化寒息
"Clear Mind",理智
"Coated Shrapnel",榴星
"Cold Steel",冷钢
"Collateral Damage",附带伤害
"Combat Focus",战斗专注
Combustibles,燃尽
"Conqueror's Efficiency",征服者的迅捷
"Conqueror's Longevity",征服者的长生
"Conqueror's Potency",征服者的力量
"Corrupted Energy",腐化能量
"Dead Reckoning",死亡清算
"Divide and Conquer",分化瓦解
"Efficient Training",充分训练
"Eldritch Knowledge",异能知识
"Elegant Hubris",优雅的狂妄
"Emperor's Cunning",帝王的诡计
"Emperor's Mastery",帝王的纯熟
"Emperor's Might",帝王的霸权
"Emperor's Wit",帝王的智慧
"Energised Armour",能量坚甲
"Energy From Within",潜能防护
"Fertile Mind",丰富心灵
"Fevered Mind",狂热之心
"Fight for Survival",为生存而战
Fireborn,炎域
"First Snow",初雪
"Fluid Motion",流畅行动
"Fortress Covenant",要塞誓约
"Fragile Bloom",脆弱的繁华
Fragility,脆弱
"From Dust",尘土归来
"Frozen Trail",冰冻痕迹
"Glorious Vanity",光彩夺目
"Grand Spectrum",聚光之石
"Growing Agony",茁壮苦痛
"Hair Trigger",发闸机关
"Hazardous Research",危险研究
"Healthy Mind",灵体转换
"Hidden Potential",深藏的潜能
"Hungry Abyss",饥馑深渊
Inertia,惯性
Inevitability,不可避免
"Inspired Learning",求知的热情
"Intuitive Leap",直觉之跃
"Izaro's Turmoil",伊泽洛之乱
"Lethal Pride",致命的骄傲
"Lioneye's Fall",狮眼的陨落
"Malicious Intent",不善意图
"Mantra of Flames",烈炎之兆
"Martial Artistry",武艺之相
"Might and Influence",蛮力与影响
"Might in All Forms",卓绝之力
"Might of the Meek",温柔之力
"Militant Faith",好战的信仰
"Mutated Growth",堕落异体
"Omen on the Winds",风之启示
"Overwhelming Odds",压倒性
Pacifism,和平主义
"Pitch Darkness",黯黑之调
"Poacher's Aim",盗猎者的准心
Powerlessness,无力
"Primordial Eminence",起源卓越
"Primordial Harmony",起源和谐
"Primordial Might",起源力量
Pugilist,迅击者
"Pure Talent",纯才
"Quickening Covenant",加速誓约
"Rain of Splinters",碎镞雨
"Rapid Expansion",急速扩张
"Ring of Blades",利刃戒指
"Rolling Flames",滚动烈焰
"Sacrificial Harvest",原生祭仪
Self-Flagellation,残虐之欢愉
"Shattered Chains",破碎之炼
"Soul's Wick",灵魂之芯
"Spire of Stone",石塔
"Spirited Response",先祖回音
"Spirit Guards",精神守护
"Spreading Rot",腐烂扩散
"Static Electricity",静电之源
"Steel Spirit",坚毅心灵
"Sudden Ignition",突然点火
"Survival Instincts",生存本能
"Survival Secrets",生存秘技
"Survival Skills",生存技巧
"Tempered Flesh",淬火之躯
"Tempered Mind",淬火之心
"Tempered Spirit",淬火之魂
"The Anima Stone",聚魂石
"The Blue Dream",碧影梦境
"The Blue Nightmare",碧影梦魇
"The Golden Rule",黄金法则
"The Green Dream",青影梦境
"The Green Nightmare",青影梦魇
"The Long Winter",凛冽寒冬
"The Red Dream",赤影梦境
"The Red Nightmare",赤影梦魇
"The Vigil",监视守夜
"Transcendent Flesh",升华之躯
"Transcendent Mind",升华之心
"Transcendent Spirit",升华之魂
"Unending Hunger",无尽渴望
"Unnatural Instinct",超自然本能
"Unstable Payload",不稳定承载
"Vaal Sentencing",瓦尔之诉
"Violent Dead",暴力的死者
"Volley Fire",怒火齐发
"Warlord's Reach",督军之力
"Watcher's Eye",守望之眼
"Weight of Sin",罪恶的重量
"Weight of the Empire",帝国重量
Wildfire,野火
"Winter Burial",冬葬
"Winter's Bounty",冬季赏金
"Abberath's Horn",艾贝拉斯之角
"Advancing Fortress",超越壁垒
"Agnerod East",东方雷霆圣杖
"Agnerod North",北方雷霆圣杖
"Agnerod South",南方雷霆圣杖
"Agnerod West",西方雷霆圣杖
"Ahn's Might",汉恩的力量
"Al Dhih",鬣犬之牙
Allure,魅惑
"Amplification Rod",增幅杖
"Apep's Rage",艾普之怒
"Arakaali's Fang",阿拉卡力之牙
Arborix,阿伯瑞斯
Ashcaller,灰烬行者
"Atziri's Disfavour",阿兹里的刑刃
Augyre,占星
Aurumvorax,灵护
"Axiom Perpetuum",历史公理
Balefire,苍白烈火
"Beltimber Blade",芯木腰刀
"Bino's Kitchen Knife",比诺的厨刀
Bitterdream,苦梦
Bloodplay,血谑
Bloodseeker,嗜血之爪
"Brain Rattler",脑乱者
"Breath of the Council",议会之息
Brightbeak,光耀之锤
"Brutus' Lead Sprinkler",布鲁特斯的刑具
"Callinellus Malleus",坚定之刃
"Cameria's Avarice",卡美利亚之贪婪
"Cameria's Maul",卡美利亚之锤
"Cane of Unravelling",阐释之杖
"Cerberus Limb",冥犬残肢
"Chaber Cairn",石冢
"Chin Sol",乱矢之弦
"Chitus' Needle",切特斯之针
"Chober Chaber",忠诚之锤
Clayshaper,塑泥者
"Cold Iron Point",寒铁刃
"Corona Solaris",日耀之冠
"Cybil's Paw",希比尔的冰爪
"Daresso's Passion",德瑞索的热情
Darkscorn,夜吟
"Death's Hand",死神之手
"Death's Harp",冥使之琴
"Death's Opus",死亡之作
"Debeon's Dirge",战歌
Disintegrator,裂世轮回
Divinarius,戒律之影
Doomfletch,灭世
"Doomfletch's Prism",灭世之狱
Doomsower,终末之始
"Doon Cuebiyari",黑钢
"Doryani's Catalyst",多里亚尼的幻化之杖
Dreadarc,恐惧之镰
Dreadbeak,恐惧利刃
Dreadsurge,恐怖巨镰
Dreamfeather,幻梦飞羽
Duskdawn,宵晓
Dyadus,龙凤吟
"Dying Breath",幽魂之息
"Earendel's Embrace",叶兰德尔的拥抱
"Eclipse Solaris",宇蚀
"Edge of Madness",疯狂边界
"Ephemeral Edge",影殒
"Essentia Sanguis",精华收割器
"Ewar's Mirage",伊沃幻像
"Fate of the Vaal",瓦尔命运
"Femurs of the Saints",圣徒胫骨
Fencoil,绿藤
"Fidelitas' Spike",费德利塔斯之锋
Flesh-Eater,血肉之嗜
Frostbreath,霜息
"Geofri's Baptism",吉尔菲的净罪之锤
"Geofri's Devotion",吉尔菲的奉献之锤
Gorebreaker,血裂
Goredrill,血凿
"Grelwood Shank",韧木曲刃
"Hand of Thought and Motion",思动之手
"Hand of Wisdom and Action",智行之手
Heartbreaker,裂心刃
"Hegemony's Era",霸权时代
"Hezmana's Bloodlust",嗜血黑兹玛娜
Hiltless,无击
Hopeshredder,破灭之希
"Hrimnor's Dirge",雷姆诺的挽歌
"Hrimnor's Hymn",雷姆诺的夺命凶器
"Hyaon's Fury",海昂的狂怒
Ichimonji,一文字
Infractem,穿云
"Innsbury Edge",英斯贝理之极
"Iron Commander",钢铁指挥
"Izaro's Dilemma",伊泽洛之谜
"Jack, the Axe",刽子手.杰克
"Jorrhast's Blacksteel",乔赫黑钢
"Kaom's Primacy",冈姆的霸业
Kingmaker,王者之刃
"Kitava's Feast",奇塔弗之盛宴
"Kondo's Pride",刚多的虚荣
"Kongor's Undying Rage",康戈的战炎
"Lakishu's Blade",拉奇许之刃
"Last Resort",终息
"Lavianga's Wisdom",拉维安加的智慧
Lifesprig,生机之记
Limbsplit,断罪
"Lioneye's Glare",狮眼的战弓
"Mark of the Doubting Knight",迷茫幻符
"Marohi Erqi",尔奇的巨灵之锤
"Martyr of Innocence",纯净之神的祭品
"Midnight Bargain",冥约
Mightflay,力量猎刃
Mirebough,魔藤
Mjölner,沉默之雷
"Mon'tregul's Grasp",凋灵魔爪
"Moonbender's Wing",月岚
Moonsorrow,泣月
"Mortem Morsu",噬魂之牙
Nebulis,内布利斯
Nebuloch,尼布洛克
"Ngamahu's Flame",努葛玛呼之耀
"Null's Inclination",虚无之倾
"Nuro's Harp",努罗的竖琴
"Nycta's Lantern",奈可妲之灯
Obliteration,抹灭
Oni-Goroshi,鬼弑
"Ornament of the East",东之饰
"Oro's Sacrifice",欧罗的贡品
Panquetzaliztli,巨击之锤
Paradoxica,悖论
"Pillar of the Caged God",囚神杵
"Piscator's Vigil",皮斯卡托的慧眼
"Pledge of Hands",誓约
"Prismatic Eclipse",虹耀之月
Quecholli,重击之锤
"Queen's Decree",威严之刃
"Queen's Escape",逃亡女王
"Quill Rain",骤雨之弦
"Razor of the Seventh Sun",七日锋
"Reach of the Council",议会之触
"Realm Ender",魂界终结
Realmshaper,创域
"Reaper's Pursuit",死神的取魂器
"Rebuke of the Vaal",瓦尔战刃
Redbeak,赤红短刃
Reefbane,灾祸之礁
"Relentless Fury",无尽愤怒
"Reverberation Rod",混响
"Rigwald's Charge",瑞佛的奋战长剑
"Rigwald's Command",瑞佛统帅
"Rigwald's Savagery",野性瑞佛
Rive,裂隙
"Roth's Reach",萝丝之触
"Sanguine Gambol",雀跃
Scaeva,食蚜
"Severed in Sleep",离异梦寐
"Shade of Solaris",日耀之影
Shimmeron,低伏暗光
Shiversting,寒光剑
"Sign of the Sin Eater",罪恶吞噬者的叹息
