"Animate Weapon",幻化武器
"Orb of Storms",风暴漩涡
"Power Siphon",力量抽取
"Vaal Power Siphon",瓦尔：力量抽取
"Purifying Flame",净化烈焰
Shockwave,震波（辅）
"Purity of Elements",元素净化
"Purity of Lightning",闪电净化
"Vaal Impurity of Lightning",瓦尔：不净之雷
"Pyroclast Mine",火屑地雷
"Raise Spectre",召唤灵体
"Raise Zombie",魔卫复苏
"Righteous Fire",正义之火
"Vaal Righteous Fire",瓦尔：正义之火
"Scorching Ray",灼热光线
"Shock Nova",闪烁新星
"Siphoning Trap",虹吸陷阱
Soulrend,裂魂术
Spark,电球
"Vaal Spark",瓦尔：电球
"Spirit Offering",灵魂奉献
"Storm Brand",风暴烙印
"Stormblast Mine",雷暴地雷
"Storm Burst",裂风雷球
"Storm Call",风暴呼唤
"Vaal Storm Call",瓦尔：风暴呼唤
"Summon Carrion Golem",召唤腐化魔像
"Summon Chaos Golem",召唤混沌魔像
"Summon Holy Relic",召唤圣物
"Summon Lightning Golem",召唤闪电魔像
"Summon Raging Spirit",召唤愤怒狂灵
"Summon Skeletons",召唤魔侍
"Vaal Summon Skeletons",瓦尔：召唤魔侍
"Summon Skitterbots",召唤飞掠者
"Tempest Shield",暴风之盾
Vortex,漩涡
"Wave of Conviction",定罪波
"Winter Orb",寒冬宝珠
Wither,死亡凋零
Wrath,雷霆
"Ancestral Protector",先祖卫士
"Ancestral Warchief",先祖战士长
"Vaal Ancestral Warchief",瓦尔：先祖战士长
Anger,愤怒
"Animate Guardian",幻化守卫
Berserk,盛怒
Bladestorm,剑刃风暴
"Blood and Sand",血与沙
"Chain Hook",钩链攻击
Cleave,劈砍
"Consecrated Path",奉献之路
"Decoy Totem",诱饵图腾
Determination,坚定
"Devouring Totem",吞噬图腾
"Dominating Blow",霸气之击
"Dread Banner",恐怖之旗
Earthquake,震地
"Vaal Earthquake",瓦尔：震地
"Enduring Cry",坚决战吼
"Flesh and Stone",血肉与岩石
"Glacial Hammer",冰霜之锤
"Vaal Glacial Hammer",瓦尔：冰霜之锤
"Ground Slam",裂地之击
"Vaal Ground Slam",瓦尔：裂地之击
"Heavy Strike",重击
"Herald of Ash",灰烬之捷
"Herald of Purity",纯净之捷
"Holy Flame Totem",圣焰图腾
"Ice Crash",寒冰冲击
"Immortal Call",不朽怒嚎
"Vaal Immortal Call",瓦尔：不朽怒嚎
"Infernal Blow",炼狱之击
"Leap Slam",跃击
"Molten Shell",熔岩护盾
"Vaal Molten Shell",瓦尔：熔岩护盾
"Molten Strike",熔岩之击
Perforate,凿击
Pride,尊严
Punishment,惩戒
"Purity of Fire",火焰净化
"Vaal Impurity of Fire",瓦尔：不净之火
"Rallying Cry",激励战吼
Reckoning,清算
"Rejuvenation Totem",回春图腾
"Searing Bond",灼热连接
"Shield Charge",重盾冲锋
"Shockwave Totem",震波图腾
Smite,惩击
"Static Strike",充能打击
Steelskin,钢铁之肤
"Summon Flame Golem",召唤烈焰魔像
"Summon Stone Golem",召唤巨石魔像
Sunder,残烬
Sweep,横扫
"Tectonic Slam",破釜一击
Vengeance,复仇
"Vigilant Strike",戒备打击
Vitality,活力
Vulnerability,脆弱
"Warlord's Mark",督军印记
Immolate,献祭(辅)
"Detonate Mines",引爆地雷
Portal,时空之门
"Vaal Breach",瓦尔：裂隙
"Greater Volley",高阶齐射（辅）
"Blood Offering",生命奉献
"Death Aura",陨命光环
"Elemental Penetration",元素穿透（辅）
Envy,嫉妒
"Gluttony of Elements",元素饕餮
"Summon Phantasm",召唤幻影（辅）
Tornado,龙卷旋风
"Added Cold Damage",附加冰霜伤害（辅）
"Additional Accuracy",额外命中(辅)
Blind,盲目（辅）
"Block Chance Reduction",减少格挡几率(辅)
"Cast On Critical Strike",暴击时施放(辅)
"Cast on Death",死亡时施放（辅）
Chain,连锁(辅)
"Chance to Flee",几率逃跑(辅)
"Charged Traps",充能陷阱（辅）
"Close Combat",近战（辅）
"Cluster Traps",散弹陷阱(辅)
"Cold Penetration",冰霜穿透(辅)
"Deadly Ailments",致命异常状态(辅)
Enhance,增幅(辅)
"Faster Attacks",快速攻击（辅）
"Faster Projectiles",快速投射（辅）
Fork,分裂(辅)
"Greater Multiple Projectiles",高阶多重投射(辅)
Hypothermia,急冻(辅)
Impale,尖刺战杖
"Ice Bite",霜咬(辅)
"Lesser Multiple Projectiles",低阶多重投射（辅）
"Lesser Poison",低阶毒化(辅)
"Mana Leech",魔力偷取(辅)
"Mirage Archer",幻影射手(辅)
"Multiple Traps",多重陷阱(辅)
Nightblade,夜刃（辅）
Pierce,穿透(辅)
Poison,毒化(辅)
"Swift Affliction",极速腐化(辅)
"Slower Projectiles",投射物减速(辅)
"Swift Assembly",迅整（辅）
Trap,陷阱（辅）
"Advanced Traps",高级陷阱（辅）
"Trap and Mine Damage",陷阱及地雷伤害(辅)
"Vicious Projectiles",邪恶投掷(辅)
"Vile Toxins",猛毒(辅)
"Void Manipulation",虚空操纵(辅)
Volley,齐射（辅）
"Added Chaos Damage",附加混沌伤害(辅)
"Added Lightning Damage",附加闪电伤害（辅）
"Arcane Surge",秘术增强(辅)
Blasphemy,渎神（辅）
Bonechill,彻骨（辅）
"Cast when Stunned",晕眩时施放(辅)
"Cast while Channelling",吟唱时施放（辅）
Combustion,几率点燃(辅)
"Charged Mines",充能地雷（辅）
"Concentrated Effect",集中效应（辅）
"Controlled Destruction",精准破坏(辅)
Decay,腐蚀(辅)
Efficacy,效能(辅)
"Elemental Focus",元素集中(辅)
"Elemental Proliferation",元素扩散(辅)
"Energy Leech",能量偷取（辅）
Enlighten,启蒙(辅)
"Faster Casting",快速施法（辅）
"Feeding Frenzy",狂噬（辅）
"High-Impact Mine",高爆地雷（辅）
"Ignite Proliferation",点燃扩散(辅)
"Increased Area of Effect",增大范围（辅）
"Increased Critical Damage",提高暴击伤害(辅)
"Increased Critical Strikes",提高暴击（辅）
"Infernal Legion",炎军（辅）
"Infused Channelling",灌能吟唱(辅)
Innervate,闪电支配(辅)
Intensify,法术凝聚（辅）
"Item Rarity",物品稀有度增幅(辅)
"Lightning Penetration",闪电穿透(辅)
"Meat Shield",肉盾（辅）
Minefield,地雷网(辅)
"Minion Damage",召唤生物伤害(辅)
"Minion Life",召唤生物生命(辅)
"Minion Speed",召唤生物速度(辅)
"Elemental Army",元素大军（辅）
"Physical to Lightning",物理转闪电(辅)
"Power Charge On Critical",暴击获得暴击球(辅)
"Blastchain Mine",链爆地雷（辅）
"Spell Cascade",多重范围施法（辅）
"Spell Echo",法术回响（辅）
"Unbound Ailments",异常爆发(辅)
"Added Fire Damage",附加火焰伤害(辅)
"Ancestral Call",先祖召唤（辅）
Bloodlust,血怒（辅）
Brutality,残暴(辅)
"Burning Damage",增加燃烧伤害(辅)
"Cast on Melee Kill",近战击败时施放(辅)
"Cast when Damage Taken",受伤时施放(辅)
"Chance to Bleed",流血几率（辅）
"Cold to Fire",寒冰转烈焰(辅)
"Damage on Full Life",满血伤害（辅）
"Elemental Damage with Attacks",武器元素伤害(辅)
Empower,赋予(辅)
"Endurance Charge on Melee Stun",近战击晕获得耐力球(辅)
"Fire Penetration",火焰穿透(辅)
Fortify,护体（辅）
Generosity,和善(辅)
"Increased Duration",延长时间（辅）
"Item Quantity",物品数量增幅(辅)
Knockback,击退（辅）
"Less Duration",缩短时间（辅）
"Life Gain on Hit",击中生命回复(辅)
"Life Leech",生命偷取(辅)
Maim,瘫痪（辅）
"Melee Physical Damage",近战物理伤害(辅)
"Melee Splash",近战伤害扩散（辅）
Multistrike,多重打击（辅）
"Multiple Totems",多重图腾（辅）
Pulverise,粉碎（辅）
Rage,怒火（辅）
Inspiration,启迪（辅）
Ruthless,无情(辅)
"Spell Totem",法术图腾（辅）
Ambush,伏击
Zealotry,奋锐光环
"War Banner",战旗
"Withering Step",凋零步
"Withering Touch",凋零之触（辅）
Unleash,释出（辅）
Stun,眩晕（辅）
"Chance to Poison",低阶毒化(辅)
"Artillery Ballista",火力弩炮
"Ensnaring Arrow",诱捕之箭
"Galvanic Arrow",电光箭
"Shrapnel Ballista",散射弩炮
"Awakened Added Cold Damage",附加冰霜伤害（强辅）
"Arrow Nova",箭矢新星（辅）
"Awakened Arrow Nova",箭之新星（强辅）
"Awakened Cast On Critical Strike",暴击时施放（强辅）
"Awakened Chain",连锁（强辅）
"Awakened Cold Penetration",冰霜穿透（强辅）
"Awakened Deadly Ailments",致命异常状态（强辅）
"Awakened Fork",分裂（强辅）
"Awakened Greater Multiple Projectiles",高阶多重投射（强辅）
"Awakened Swift Affliction",极速腐化（强辅）
"Awakened Vicious Projectiles",邪恶投掷（强辅）
"Awakened Void Manipulation",虚空操纵（强辅）
"Awakened Added Chaos Damage",附加混沌伤害（强辅）
"Awakened Added Lightning Damage",附加闪电伤害（强辅）
"Awakened Blasphemy",渎神（强辅）
"Awakened Cast While Channelling",吟唱时施放（强辅）
"Awakened Controlled Destruction",精准破坏（强辅）
"Awakened Curse On Hit",击中附加诅咒（强辅）
"Awakened Elemental Focus",元素集中（强辅）
"Awakened Increased Area Of Effect",增大范围（强辅）
"Awakened Lightning Penetration",闪电穿透（强辅）
"Awakened Minion Damage",召唤生物伤害（强辅）
"Awakened Spell Cascade",多重范围施法（强辅）
"Awakened Spell Echo",施法回响（强辅）
"Awakened Unbound Ailments",异常爆发（强辅）
"Awakened Added Fire Damage",附加火焰伤害（强辅）
"Awakened Ancestral Call",先祖召唤（强辅）
"Awakened Brutality",残暴（强辅）
"Awakened Burning Damage",增加燃烧伤害（强辅）
"Awakened Elemental Damage With Attacks",武器元素伤害（强辅）
"Awakened Fire Penetration",火焰穿透（强辅）
"Awakened Generosity",和善（强辅）
"Awakened Melee Physical Damage",近战物理伤害（强辅）
"Awakened Melee Splash",近战伤害扩散（强辅）
"Awakened Multistrike",多重打击（强辅）
"Ballista Totem",弩炮图腾（辅）
"Blade Blast",乱剑穿心
"Arcane Cloak",奥术斗篷
"Kinetic Bolt",念动飞箭
Spellslinger,法术节魔
"Second Wind",助力之风（辅）
Archmage,大法师（辅）
"Awakened Increased Area of Effect",增大范围（强辅）
"Awakened Elemental Damage with Attacks",武器元素伤害（强辅）
"Sniper's Mark",狙击印记
"Splitting Steel",分裂钢刃
"Creeping Frost",电光寒霜
"Blazing Salvo",怒炎穿心
"Crackling Lance",电殛长枪
"Flame Wall",烈焰之墙
"Frost Shield",冰霜护盾
Hexblast,魔蛊爆炸
"Penance Brand",忏悔烙印
"Sigil of Power",威能法印
"Arcanist Brand",奥法烙印
"Void Sphere",虚空法球
"Wintertide Brand",冬潮烙印
"Infernal Cry",炼狱战吼
"Ancestral Cry",先祖战吼
Earthshatter,尖刺战吼
"General's Cry",将军之吼
"Intimidating Cry",威吓战吼
"Seismic Cry",震地战吼
Snipe,狙击
Hextouch,蛊咒（辅）
"Awakened Hextouch",蛊咒【强辅】
Predator,掠食（辅）
"Impending Doom",末日将至（辅）
Pinpoint,会心一击（辅）
Swiftbrand,迅猛烙印（辅）
"Fist of War",战争铁拳（辅）
"Ancestral Blademaster",先祖大剑师
Backstab,背刺
"Blinding Aura",盲目光环
"Capture Monster",捕获魔物
"Damage Infusion",伤害灌注
"Elemental Projectiles",元素投掷物
"Fire Weapon",烈焰武器
"Flammable Shot",诱燃射击
"Herald of Blood",赤血之捷
Hydrosphere,水源法球
Icefire,霜火
"Infernal Sweep",炼狱裂击
"Righteous Lightning",正义怒雷
Riptide,激流
"Rolling Magma",熔岩奔涌
"Shadow Blades",幻影之刃
"Spectral Spinning Weapon",灵体武器
"Static Tether",静电锁链
Stormbind,缚雷之纹
"Summon Skeletons Channelled",召唤魔侍(吟唱)
"Vaal Flesh Offering",瓦尔：血肉奉献
"Vaal Heavy Strike",瓦尔：重击
"Vaal Sweep",瓦尔：横扫
"Wand Teleport",法杖传送
"Discorectangle Slam",魔方之击
"New Shock Nova",新式闪电新星
NewPunishment,新惩戒
"Blade Trap",剑刃陷阱
"Vortex Mine",漩涡地雷
"Vaal FireTrap",瓦尔：火焰陷阱
"Lightning Circle",雷霆之环
"Lightning Channel",闪电链结
"Touch of God",天谴之拳
"New Blade Vortex",新飞刃风暴
"Rending Steel",裂肉铁刃
"Split Projectiles",投射物分裂(辅)
"Return Projectiles",投射物归返(辅)
"Vaal Soul Harvesting",瓦尔：灵魂收割
"Lesser Reduced Mana Cost",低阶减小魔力消耗(辅)
"Awakened Unleash",释出（强辅）
"Urgent Orders",紧急号令（辅）
Trinity,三位一体（辅）
Absolution,赦罪
"Battlemage's Cry",魔武战号
Boneshatter,七伤破
"Corrupting Fever",腐灼热瘟
"Defiance Banner",抗争之旗
"Explosive Concoction",爆破灵药
Exsanguinate,赤炼魔光
"Eye of Winter",凛冬之眼
"Forbidden Rite",禁断典仪
Manabond,缚魔电殛
"Petrified Blood",赤血凝结
"Rage Vortex",怒火漩涡
Reap,绝命之镰
"Shield Crush",盾牌碾压
"Spectral Helix",灵幻旋斩
"Storm Rain",暴雨箭
"Summon Reaper",召唤追命死灵
"Voltaxic Burst",雷电魔爆
Arrogance,赤嚣（辅）
"Critical Strike Affliction",毒化(辅)
Bloodthirst,血气（辅）
Cruelty,凌厉（辅）
Lifetap,赤炼（辅）
Earthbreaker,裂地之灵（辅）
"Focused Ballista",弩炮集火（辅）
Behead,斩首（辅）
"Poisonous Concoction",毒爆灵药
"Temporal Rift",时空裂隙
"Soul Link",灵魂羁绊
"Flame Link",烈炎羁绊
"Vampiric Link",血灵羁绊
"Protective Link",防御羁绊
"Intuitive Link",直觉羁绊
"Destructive Link",毁灭羁绊
Wildfire,地狱火群
"Energy Blade",能量之刃
"Lightning Conduit",闪电通道
"Galvanic Field",电流场
"Alchemist's Mark",炼金师印记
"Volcanic Fissure",火山裂缝
"Vaal Flicker Strike",瓦尔：闪现打击
"Vaal Molten Strike",瓦尔：熔岩之击
"Frozen Legion",冰封军团
"Vaal Cleave",瓦尔：劈砍
"Vaal Volcanic Fissure",瓦尔：火山裂缝
"Vaal Caustic Arrow",瓦尔：腐蚀箭矢
"Vaal Venom Gyre",瓦尔：剧毒旋风
"Vaal Smite",瓦尔：惩击
"Vaal Blade Flurry",瓦尔：刀刃乱舞
"Culling Strike",终结(辅)
"Point Blank",零点射击（辅）
"Iron Grip",钢铁之握(辅)
"Iron Will",钢铁意志(辅)
Onslaught,猛攻(辅)
"Awakened Empower",赋予（强辅）
"Awakened Enlighten",启蒙（强辅）
"Awakened Enhance",增幅（强辅）
"Divine Blessing",神圣祝福（辅）
"Mark On Hit",击中时施加印记（辅）
"Eternal Blessing","永恒祝福 （辅）"
Overcharge,过载（辅）
"Cursed Ground",诅咒之地辅助
"Hex Bloom",魔蛊绽放辅助
"Vaal Arctic Armour",瓦尔：极地装甲
"Vaal Reap",瓦尔：绝命之镰
"Vaal Animate Weapon",瓦尔：幻化武器
"Vaal Lightning Arrow",瓦尔：闪电箭矢
"Vaal Absolution",瓦尔：赦罪
"Vaal Domination",瓦尔：霸气之击
"Vaal Ice Shot",瓦尔：冰霜射击
"Vaal Firestorm",瓦尔：烈炎风暴
"Vaal Rejuvenation Totem",瓦尔：回春图腾
"Vaal Split Arrow",瓦尔：分裂箭矢
"Playtest Attack",无穷之击
"Playtest Spell",无穷法术
"Playtest Slam",无穷猛击
Quickstep,疾步
"Returning Projectiles",投射物归返（辅）
Momentum,动量（辅）
"Manaforged Arrows",法铸箭矢（辅）
"Prismatic Burst",棱光魔爆（辅）
Trauma,内伤（辅）
Spellblade,碎影魔刃（辅）
Devour,吞噬（辅）
"Fresh Meat",鲜肉（辅）
Flamewood,焚木烈火（辅）
"Corrupting Cry",腐化战吼（辅）
"Guardian's Blessing",守卫祝福（辅）
Sacrifice,牺牲（辅）
"Frigid Bond",冰冽连接（辅）
"Locus Mine",核心地雷（辅）
Sadism,凌虐（辅）
"Controlled Blaze",精准炽炎（辅）
Volatility,无常（辅）
Automation,自动化
"Call to Arms",武装召唤
"Sacred Wisps",圣洁鬼灵（辅）
