"Life Regen",生命回复
"Passives in radius are Conquered by the Eternal Empire",范围内的天赋被永恒帝国抑制
"Commissioned {0} coins to commemorate Victario","用 {0} 枚金币纪念维多里奥"
"Commissioned {0} coins to commemorate Chitus","用 {0} 枚金币纪念切特斯"
"Can have a second Enchantment Modifier",可以有第二个附魔词缀
"Can have {0} extra Enchantment Modifiers","可附加 {0} 种额外的附魔词缀"
"Can roll Minion Modifiers",可以附着召唤生物属性
"Prefixes Cannot Be Changed",前缀无法被改变
"Suffixes Cannot Be Changed",后缀无法被改变
"Cannot deal Critical Strikes with Attacks",攻击无法造成暴击
"Cannot roll Caster Modifiers",不能附加法术相关属性修正
"Cannot roll Attack Modifiers",不能附加武器攻击相关属性修正
"Can have multiple Crafted Modifiers",可以拥有多个大师工艺属性修正
"Cannot roll Modifiers with Required Level above {0}","无法附加需求 {0} 级以上的属性修正"
"Implicit Modifier magnitudes are doubled",基底词缀幅度变为双倍
"Implicit Modifier magnitudes are tripled",基底词缀幅度变为三倍
"{0}% increased Implicit Modifier magnitudes","{0}% 固定基底词缀效果加成"
"{0}% reduced Implicit Modifier magnitudes","{0}% 固定基底词缀效果降低"
"Has no Sockets",没有插槽
"Has {0} Abyssal Sockets","拥有 {0} 个深渊插槽"
"Has {0} Sockets","有 {0} 个插槽"
"Sockets cannot be modified",插槽无法被调整
"All Sockets Linked",连接所有插槽
"Has one socket of each colour","各色插槽均有 1 个"
"Gems can be Socketed in this Item ignoring Socket Colour",技能石可以无视此物品上的插槽颜色
"Consumes Socketed Support Gems when they reach Maximum Level",当插槽内的辅助宝石达到最大等级时吞噬该宝石
"Can Consume {0} Support Gem","可以吞噬 {0} 个辅助宝石"
"Has not Consumed any Gems",尚未吞噬任何宝石
"{0}% chance to Trigger a Socketed Warcry Skill when you lose Endurance Charges","当你失去耐力球时，有 {0}% 的几率触发一个插槽内的战吼"
"Trigger a Socketed Warcry Skill when you lose Endurance Charges",当你失去耐力球时，触发一个插槽内的战吼
"{0} to Level of Socketed Gems","此物品上装备的技能石等级 {0}"
"{0} to Level of Socketed Strength Gems","此物品上装备的【红色技能石】等级 {0}"
"{0} to Level of Socketed Dexterity Gems","此物品上装备的【绿色技能石】等级 {0}"
"{0} to Level of Socketed Intelligence Gems","此物品上装备的【蓝色技能石】等级 {0}"
"{0} to Level of Socketed Active Skill Gems per {1} Player Levels","人物等级每到达 {1} 级，该插槽内的【主动技能石】等级 {0}"
"Gems Socketed in Red Sockets have {0} to Level","红色插槽内的技能石 {0} 等级"
"Gems Socketed in Green Sockets have {0}% to Quality","绿色插槽内的技能石 {0}% 品质"
"Gems Socketed in Blue Sockets gain {0}% increased Experience","蓝色插槽内的技能石获得的经验提高 {0}% "
"{0} to Level of Socketed Fire Gems","此物品上装备的【火焰技能石】等级 {0}"
"{0} to Level of Socketed Cold Gems","此物品上装备的【冰霜技能石】等级 {0}"
"{0} to Level of Socketed Lightning Gems","此物品上装备的【闪电技能石】等级 {0}"
"{0} to Level of Socketed Chaos Gems","此物品上装备的【混沌技能石】等级 {0}"
"{0} to Level of Socketed Spell Gems","此物品上装备的【法术技能石】等级 {0}"
"{0} to Level of Socketed Duration Gems","此物品上装备的【持续时间技能石】等级 {0}"
"{0} to Level of Socketed AoE Gems","此物品上装备的【效果区域技能石】等级 {0}"
"{0} to Level of Socketed Projectile Gems","此物品上装备的【投射物技能石】等级 {0}"
"{0} to Level of Socketed Bow Gems","此物品上装备的【弓技能石】等级 {0}"
"{0} to Level of Socketed Melee Gems","此物品上装备的【近战技能石】等级 {0}"
"{0} to Level of Socketed Minion Gems","此物品上装备的【召唤生物技能石】等级 {0}"
"{0} to Level of Socketed Aura Gems","此物品上装备的【光环技能石】等级 {0}"
"{0} to Level of Socketed Herald Gems","此物品上装备的【捷技能石】等级 {0}"
"{0} to Level of Socketed Movement Gems","此物品上装备的【位移技能石】等级 {0}"
"{0} to Level of Socketed Curse Gems","插入的诅咒技能石等级 {0}"
"{0} to Level of Socketed Trap Gems","此物品上装备的【陷阱技能石】等级 {0}"
"{0} to Level of Socketed Trap or Mine Gems","此物品上装备的【陷阱技能石】或【地雷技能石】等级 {0}"
"{0} to Level of Socketed Vaal Gems","此物品上装备的【瓦尔技能石】等级 {0}"
"{0} to Level of Socketed Support Gems","此物品上装备的【辅助技能石】等级 {0}"
"{0} to Level of Socketed Active Skill Gems","此物品上装备的【主动技能石】等级 {0}"
"{0} to Level of Socketed Warcry Gems","此物品上装备的【战吼技能石】等级 {0}"
"Socketed Golem Skills have {0}% increased Attack and Cast Speed","插槽内魔像技能攻击和施法速度加快 {0}%"
"{0}% increased Effect of Buffs granted by Socketed Golem Skills","插槽内魔像技能的增益效果提高 {0}%"
"Socketed Golem Skills have {0}% chance to Taunt on Hit","插槽内魔像技能击中时有 {0}% 的几率嘲讽"
"Socketed Golem Skills have Minions Regenerate {0}% of Life per second","插槽内的魔像技能每秒回复 {0}% 生命"
"Gain Onslaught for {0} seconds when you Cast Socketed Golem Skill","玩家施放插槽内的魔像技能会获得 {0} 秒【猛攻】状态"
"Socketed Golem Skills gain {0}% of Maximum Life as Extra Maximum Energy Shield","插槽内魔像技能获得等同最大生命 {0}% 的额外能量护盾"
"{0} to Level of Socketed Golem Gems","此物品上装备的【魔像技能石】等级 {0}"
"{0}% to Quality of Socketed Gems","此物品上装备的【技能石】品质 {0}%"
"{0}% to Quality of Socketed Support Gems","此物品上装备的【辅助技能石】品质 {0}%"
"{0} to Level of Socketed Elemental Gems","此物品上的元素技能石等级 {0}"
"{0}% increased Effect of Socketed Jewels","插槽内的珠宝效果提高 {0}%"
"{0}% reduced Effect of Socketed Jewels","插槽内的珠宝效果降低 {0}%"
"Socketed Gems are Supported by Level {0} Increased Area of Effect","此物品上的技能石受到 {0} 级的 增大范围 辅助"
"Socketed Gems are Supported by Level {0} Arcane Surge","此物品上的技能石受到 {0} 级的 秘术增强 辅助"
"Socketed Gems are Supported by Level {0} Blessing","此物品上的技能石受到 {0} 级的 祝福 辅助"
"Socketed Gems are Supported by Level {0} Bloodlust","此物品上的技能石受到 {0} 级的 嗜血 辅助"
"Socketed Gems are Supported by Level {0} Bonechill","此物品上的技能石受到 {0} 级的 彻骨 辅助"
"Socketed Gems are Supported by Level {0} Brutality","此物品上的技能石受到 {0} 级的 残暴 辅助"
"Socketed Gems are Supported by Level {0} Cast when Damage Taken","此物品上的技能石受到 {0} 级的 受伤时施放 辅助"
"Socketed Gems are Supported by Level {0} Cast On Melee Kill","此物品上的技能石受到 {0} 级的 近战击败敌人时施放 辅助"
"Socketed Gems are Supported by Level {0} Cast While Channelling","此物品上的技能石受到 {0} 级的 吟唱时施放 辅助"
"Socketed Gems are Supported by Level {0} Chain","此物品上的技能石受到 {0} 级的 连锁 辅助"
"Socketed Gems are Supported by Level {0} Chance To Bleed","此物品上的技能石受到 {0} 级的 几率流血 辅助"
"Socketed Gems are Supported by Level {0} Combustion","此物品上的技能石受到 {0} 级的 燃尽 辅助"
"Socketed Gems are Supported by Level {0} Charged Mines","插槽内的技能石受到 {0} 级的【充能地雷】辅助"
"Socketed Gems are Supported by Level {0} Close Combat","此物品上的技能石受到 {0} 级的【近战】辅助"
"Socketed Gems are Supported by Level {0} Culling Strike","此物品上的技能石受到 {0} 级的 终结 辅助"
"Socketed Gems are Supported by Level {0} Curse On Hit","此物品上的技能石受到 {0} 级的 击中附加诅咒 辅助"
"Socketed Gems are Supported by Level {0} Deadly Ailments","此物品上的技能石受到 {0} 级的 致命异常状态 辅助"
"Socketed Gems are Supported by Level {0} Decay","此物品上的技能石受到 {0} 级的 腐蚀 辅助"
"Socketed Gems are Supported by Level {0} Efficacy","此物品上的技能石受到 {0} 级的 效能 辅助"
"Socketed Gems are Supported by Level {0} Elemental Focus","此物品上的技能石受到 {0} 级的 元素集中 辅助"
"Socketed Gems are Supported by Level {0} Elemental Penetration","此物品上的技能石受到 {0} 级的 元素穿透 辅助"
"Socketed Gems are Supported by Level {0} Empower","此物品上的技能石受到 {0} 级的 赋予 辅助"
"Socketed Gems are Supported by Level {0} Energy Leech","此物品上的技能石受到 {0} 级的 能量偷取 辅助"
"Socketed Gems are Supported by Level {0} Enhance","此物品上的技能石受到 {0} 级的 增幅 辅助"
"Socketed Gems are Supported by Level {0} Enlighten","此物品上的技能石受到 {0} 级的 启蒙 辅助"
"Socketed Gems are Supported by Level {0} Feeding Frenzy","此物品上的技能石受到 {0} 级的【狂怒饕餮】辅助"
"Socketed Gems are Supported by Level {0} Fire Penetration","此物品上的技能石受到 {0} 级的 火焰穿透 辅助"
"Socketed Gems are Supported by Level {0} Charged Traps","此物品上的技能石受到 {0} 级的【充能陷阱】辅助"
"Socketed Gems are Supported by Level {0} Greater Multiple Projectiles","此物品上的技能石受到 {0} 级的 高阶多重投射 辅助"
"Socketed Gems are Supported by Level {0} Greater Spell Echo","此物品上的技能石受到 {0} 级的【高等施法回响】辅助"
"Socketed Gems are Supported by Level {0} Greater Volley","此物品上的技能石受到 {0} 级的 高阶齐射 辅助"
"Socketed Gems are Supported by Level {0} Ignite Proliferation","此物品上的技能石受到 {0} 级的 点燃扩散 辅助"
"Socketed Gems are Supported by Level {0} Immolate","此物品上的技能石受到 {0} 级的 献祭 辅助"
"Socketed Gems are Supported by Level {0} Impale","此物品上的技能石受到 {0} 级的【穿刺】辅助"
"Socketed Gems are Supported by Level {0} Burning Damage","此物品上的技能石受到 {0} 级的 提高燃烧伤害 辅助"
"Socketed Gems are Supported by Level {0} Increased Critical Strikes","此物品上的技能石受到 {0} 级的 提高暴击几率 辅助"
"Socketed Gems are Supported by Level {0} Increased Duration","此物品上的技能石受到 {0} 级的 持续时间延长 辅助"
"Socketed Gems are Supported by Level {0} Infernal Legion","插入的技能石受到 {0} 级的【炎军】辅助"
"Socketed Gems are Supported by Level {0} Iron Grip","此物品上的技能石受到 {0} 级的 钢铁之握 辅助"
"Socketed Gems are Supported by Level {0} Item Quantity","此物品上的技能石受到 {0} 级的 物品数量增幅 辅助"
"Socketed Gems are Supported by Level {0} Item Rarity","此物品上的技能石受到 {0} 级的 物品稀有度增幅 辅助"
"Socketed Gems are Supported by Level {0} Life Gain On Hit","此物品上的技能石受到 {0} 级的 击中生命回复 辅助"
"Socketed Gems are Supported by Level {0} Lightning Penetration","此物品上的技能石受到 {0} 级的 闪电穿透 辅助"
"Socketed Gems are Supported by Level {0} Maim","此物品上的技能石受到 {0} 级的 瘫痪 辅助"
"Socketed Gems are Supported by Level {0} Meat Shield","此物品上的技能石受到 {0} 级的【肉盾】辅助"
"Socketed Gems are Supported by Level {0} Damage On Full Life","此物品上的技能石受到 {0} 级的 满血攻击物理伤害 辅助"
"Socketed Gems are Supported by Level {0} Minefield","此物品上的技能石受到 {0} 级的 地雷网 辅助"
"Socketed Gems are Supported by Level {0} Mirage Archer","此物品上的技能石受到 {0} 级的 幻影弓手 辅助"
"Socketed Gems are Supported by Level {0} Multiple Totems","此物品上的技能石受到 {0} 级的 多重图腾 辅助"
"Socketed Gems are Supported by Level {0} Spell Echo","此物品上的技能石受到 {0} 级的 施法回响 辅助"
"Socketed Gems are Supported by Level {0} Onslaught","此物品上的技能石受到 {0} 级的 猛攻 辅助"
"Socketed Gems are Supported by Level {0} Volley","此物品上的技能石受到 {0} 级的  齐射 辅助"
"Socketed Gems are Supported by Level {0} Vicious Projectiles","此物品上的技能石受到 {0} 级的 邪恶投掷 辅助"
"Socketed Gems are Supported by Level {0} Physical To Lightning","此物品上的技能石受到 {0} 级的 物理转闪电 辅助"
"Socketed Gems are Supported by Level {0} Point Blank","此物品上的技能石受到 {0} 级的 零点射击 辅助"
"Socketed Gems are Supported by Level {0} Poison","此物品上的技能石受到 {0} 级的 毒化 辅助"
"Socketed Gems are Supported by Level {0} Power Charge On Critical Strike","此物品上的技能石受到 {0} 级的 暴击获得暴击球 辅助"
"Socketed Gems are Supported by Level {0} Pulverise","此物品上的技能石受到 {0} 级的【粉碎】辅助"
"Socketed Gems are Supported by Level {0} Rage","此物品上的技能石受到 {0} 级的【怒火】辅助"
"Socketed Gems are Supported by Level {0} Ranged Attack Totem","此物品上的技能石受到 {0} 级的 远距离攻击图腾 辅助"
"Socketed Gems are Supported by Level {0} Swift Affliction","此物品上的技能石受到 {0} 级的 极速腐化 辅助"
"Socketed Gems are Supported by Level {0} Block Chance Reduction","此物品上的技能石受到 {0} 级的 降低格挡几率 辅助"
"Socketed Gems are Supported by Level {0} Less Duration","此物品上的技能石受到 {0} 级的 持续时间缩短 辅助"
"Socketed Gems are Supported by Level {0} High-Impact Mine","插槽内的技能石受到 {0} 级的【高爆地雷】辅助"
"Socketed Gems are Supported by Level {0} Ruthless","此物品上的技能石受到 {0} 级的 无情 辅助"
"Socketed Gems are Supported by Level {0} Shockwave","此物品上的技能石受到 {0} 级的【震波】辅助"
"Socketed Gems are Supported by Level {0} Slower Projectiles","此物品上的技能石受到 {0} 级的 投射物减速 辅助"
"Socketed Gems are Supported by Level {0} Spell Cascade","此物品上的技能石受到 {0} 级的 多重范围施法 辅助"
"Socketed Gems are Supported by Level {0} Intensify","插入的技能石被 {0} 级的【凝聚】辅助"
"Socketed Gems are Supported by Level {0} Ancestral Call","此物品上的技能石受到 {0} 级的 先祖呼唤 辅助"
"Socketed Gems are Supported by Level {0} Infused Channelling","此物品上的技能石受到 {0} 级的 灌注吟唱 辅助"
"Socketed Gems are Supported by Level {0} Elemental Army Support","此物品上的技能石受到 {0} 级的【元素大军】辅助"
"Socketed Gems are Supported by Level {0} Summon Phantasm","此物品上的技能石受到 {0} 级的【召唤幻灵】辅助"
"Socketed Gems are Supported by Level {0} Swift Assembly","插入的技能石受到 {0} 级的【迅整】辅助"
"Socketed Gems are Supported by Level {0} Advanced Traps","此物品上的技能石受到 {0} 级的 陷阱冷却(辅) 辅助"
"Socketed Gems are Supported by Level {0} Unbound Ailments","此物品上的技能石受到 {0} 级的 异常爆发 辅助"
"Socketed Gems are Supported by Level {0} Unleash","此物品上的技能石受到 {0} 级的 释出 辅助"
"Socketed Gems are Supported by Level {0} Void Manipulation","此物品上的技能石受到 {0} 级的 虚空操纵 辅助"
"Socketed Gems are Supported by Level {0} Withering Touch","此物品上的技能石受到 {0} 级的 凋零之触 辅助"
"Socketed Gems are Supported by Level {0} Concentrated Effect","此物品上的技能石受到 {0} 级的 集中效应 辅助"
"Socketed Gems are Supported by Level {0} Trap","此物品上的技能石受到 {0} 级的 陷阱 辅助"
"Socketed Gems are Supported by Level {0} Cluster Trap","此物品上的技能石受到 {0} 级的 散弹陷阱 辅助"
"Socketed Gems are Supported by Level {0} Multiple Traps","此物品上的技能石受到 {0} 级的 多重陷阱 辅助"
"Socketed Gems are Supported by Level {0} Trap And Mine Damage","此物品上的技能石受到 {0} 级的 陷阱及地雷伤害 辅助"
"Socketed Gems are Supported by Level {0} Added Chaos Damage","此物品上的技能石受到 {0} 级的 附加混沌伤害 辅助"
"Socketed Gems are Supported by Level {0} Blood Magic","此物品上的技能石受到 {0} 级的 血魔法 辅助"
"Socketed Gems are Supported by Level {0} Added Fire Damage","此物品上的技能石受到 {0} 级的 附加火焰伤害 辅助"
"Socketed Gems are Supported by Level {0} Cold to Fire","此物品上的技能石受到 {0} 级的 寒冰转烈焰 辅助"
"Socketed Gems are Supported by Level {0} Spell Totem","此物品上的技能石受到 {0} 级的 法术图腾 辅助"
"Socketed Gems are Supported by Level {0} Elemental Proliferation","此物品上的技能石受到 {0} 级的 元素扩散 辅助"
"Socketed Gems are Supported by Level {0} Added Lightning Damage","此物品上的技能石受到 {0} 级的 附加闪电伤害 辅助"
"Socketed Gems are Supported by Level {0} Melee Physical Damage","此物品上的技能石受到 {0} 级的 近战物理伤害 辅助"
"Socketed Gems are Supported by Level {0} Faster Attacks","此物品上的技能石受到 {0} 级的 快速攻击 辅助"
"Socketed Gems are supported by Level {0} Blind","此物品上的技能石受到 {0} 级的 致盲 辅助"
"Socketed Gems are supported by Level {0} Melee Splash","此物品上的技能石受到 {0} 级的 近战伤害扩散 辅助"
"Socketed Gems are supported by Level {0} Cast On Critical Strike","此物品上的技能石受到 {0} 级的 暴击时施放 辅助"
"Socketed Gems are supported by Level {0} Cast when Stunned","此物品上的技能石受到 {0} 级的 晕眩时施放 辅助"
"Socketed Gems are supported by Level {0} Cast on Death","此物品上的技能石受到 {0} 级的 死亡时施放 辅助"
"Socketed Gems are supported by Level {0} Stun","此物品上的技能石受到 {0} 级的 晕眩 辅助"
"Socketed Gems are supported by Level {0} Additional Accuracy","此物品上的技能石受到 {0} 级的 额外命中 辅助"
"Socketed Gems are supported by Level {0} Multistrike","此物品上的技能石受到 {0} 级的 多重打击 辅助"
"Socketed Gems are supported by Level {0} Faster Projectiles","此物品上的技能石受到 {0} 级的 快速投射 辅助"
"Socketed Gems are supported by Level {0} Life Leech","此物品上的技能石受到 {0} 级的 生命偷取 辅助"
"Socketed Gems are supported by Level {0} Increased Critical Damage","此物品上的技能石受到 {0} 级的 提高暴击伤害 辅助"
"Socketed Gems are supported by Level {0} Fork","此物品上的技能石受到 {0} 级的 分裂 辅助"
"Socketed Gems are supported by Level {0} Elemental Damage with Attacks","此物品上的技能石受到 {0} 级的 武器元素伤害 辅助"
"Socketed Gems are Supported by Level {0} Inspiration","此物品上的技能石受到 {0} 级的【启迪】辅助"
"Socketed Gems are Supported by Level {0} Generosity","此物品上的技能石受到 {0} 级的 和善 辅助"
"Socketed Gems are Supported by Level {0} Fortify","此物品上的技能石受到 {0} 级的 护体 辅助"
"Socketed Gems are Supported by Level {0} Blastchain Mine","此物品上的技能石受到 {0} 级的【链爆地雷】辅助"
"Socketed Gems are supported by Level {0} Chance to Flee","此物品上的技能石受到 {0} 级的几率逃跑辅助"
"Socketed Gems are Supported by Level {0} Faster Casting","此物品上的技能石受到 {0} 级的快速施法辅助"
"Socketed Gems are Supported by Level {0} Iron Will","此物品上的技能石受到 {0} 级的钢铁意志辅助"
"Socketed Gems are Supported by Level {0} Knockback","此物品上的技能石受到 {0} 级的 击退 辅助"
"Socketed Gems are Supported by Level {0} Minion Life","此物品上的技能石受到 {0} 级的 召唤生物生命 辅助"
"Socketed Gems are Supported by Level {0} Lesser Multiple Projectiles","此物品上的技能石受到 {0} 级的 低阶多重投射 辅助"
"Socketed Gems are Supported by Level {0} Minion Damage","此物品上的技能石受到 {0} 级的 召唤生物伤害 辅助"
"Socketed Gems are Supported by Level {0} Increased Critical Damage","此物品上的技能石受到 {0} 级的 提高暴击伤害 辅助"
"Socketed Gems are Supported by Level {0} Minion Speed","此物品上的技能石受到 {0} 级的 召唤生物速度 辅助"
"Socketed Gems are supported by Level {0} Pierce","此物品上的技能石受到 {0} 级的穿透辅助"
"Socketed Gems are Supported by Level {0} Pierce","此物品上的技能石受到 {0} 级的 穿透 辅助"
"Socketed Gems are Supported by Level {0} Hypothermia","此物品上的技能石受到 {0} 级的 急冻 辅助"
"Socketed Gems are Supported by Level {0} Ice Bite","此物品上的技能石受到 {0} 级的 霜咬 辅助"
"Socketed Gems are Supported by Level {0} Cold Penetration","此物品上的技能石受到 {0} 级的 冰霜穿透 辅助"
"Socketed Gems are Supported by Level {0} Mana Leech","此物品上的技能石受到 {0} 级的 魔力偷取 辅助"
"Socketed Gems are Supported by Level {0} Added Cold Damage","此物品上的技能石受到 {0} 级的 附加冰霜伤害 辅助"
"Socketed Gems are Supported by Level {0} Blasphemy","此物品上的诅咒技能石受到 {0} 级的 诅咒光环 辅助"
"Socketed Gems are Supported by Level {0} Innervate","插槽内的技能石被 {0} 级的 闪电支配 辅助"
"Socketed Gems are Supported by Level {0} Vile Toxins","插槽内的的技能石被 {0} 级的 猛毒 辅助"
"Socketed Gems are Supported by Level {0} Lesser Poison","插槽内的的技能石被 {0} 级的低阶毒化辅助"
"Socketed Minion Gems are Supported by Level {0} Life Leech","此物品上的【召唤生物技能石】由 {0} 级的 生命偷取 辅助"
"Socketed Gems are Supported by Level {0} Controlled Destruction","此物品上的技能石由 {0} 级的 精准破坏 辅助"
"Socketed Gems are Supported by Level {0} Endurance Charge on Melee Stun","插槽内的技能石受到 {0} 级的 近战击晕获得耐力球 辅助"
"Socketed Gems have Blood Magic","此物品上的技能石受到 血魔法 辅助"
"Socketed Gems have {0}% increased Mana Reservation","此物品上的技能石提高 {0}% 魔力保留"
"Socketed Gems have {0}% reduced Mana Reservation","此物品上的技能石降低 {0}% 魔力保留"
"Socketed Gems Reserve No Mana",此物品上的技能石无魔力保留
"Socketed Skill Gems get a {0}% Mana Multiplier","此物品上的技能石魔力消耗倍率为原来的 {0}%"
"Socketed Melee Gems have {0}% increased Area of Effect","插槽内的的近战技能石范围扩大 {0}%"
"Socketed Melee Gems have {0}% reduced Area of Effect","插槽内的的近战技能石范围降低 {0}%"
"Socketed Red Gems get {0}% Physical Damage as Extra Fire Damage","此物品上的红色技能石额外获得 {0}% 的物理伤害，并转化为火焰伤害"
"Socketed Skills Summon your maximum number of Totems in formation",此物品上的技能石能一次召唤出最大图腾数量的图腾
"Socketed Gems have {0}% chance to Ignite","此物品上的技能石有 {0}% 的几率点燃敌人"
"Socketed Gems always Ignite",此物品上的技能石必定触发点燃
"Socketed Gems have {0}% chance to cause Enemies to Flee on Hit","此物品上的技能石有 {0}% 的几率使敌人逃跑"
"Enemies slain by Socketed Gems drop {0}% increased item quantity","使用此此物品上的技能石技能击败怪物时，物品掉落数量提高 {0}%"
"Enemies slain by Socketed Gems drop {0}% reduced item quantity","使用此此物品上的技能石技能击败怪物时，物品掉落数量降低 {0}%"
"Curses in this item are reflected back to you",此物品上的诅咒会被反弹回自己
"Socketed Gems have Iron Will",此物品上的技能石有【钢铁意志】效果
"Socketed Gems Chain {0} additional times","物品上的技能石会额外连锁弹射 {0} 次"
"Socketed Gems have {0}% Critical Strike Chance","插入的技能石 {0}% 暴击率"
"Spells in this item Repeat an additional time","此物品上的法术重复施放 1 次"
"Spells in this item Repeat an additional {0} times","此物品上的法术重复施放 {0} 次"
"{0}% chance to Trigger a Socketed Spell when you Attack with a Bow","当你用弓攻击时，有 {0}% 的几率触发一个插槽内的法术"
"Socketed Skills deal {0}% more Attack Damage","插槽内的技能造成的攻击伤害总增 {0}%"
"Socketed Skills deal {0}% less Attack Damage","插槽内的技能造成的攻击伤害总降 {0}%"
"Socketed Attacks have {0}% to Critical Strike Chance","插槽内的攻击技能获得 {0}% 基础暴击率"
"Socketed Attacks have {0}% to Critical Strike Multiplier","插槽内的攻击技能获得 {0}% 暴击伤害加成"
"Socketed Attacks have {0} to Total Mana Cost","插槽内攻击技能的总魔力消耗 {0}"
"Socketed Gems have {0}% more Attack and Cast Speed","此物品上的技能石总攻击和施法速度总增 {0}%"
"Socketed Gems deal {0}% more Elemental Damage","此物品上的技能石元素伤害总增 {0}%"
"Socketed Gems have {0}% reduced Mana Cost","此物品上的技能石魔力消耗降低 {0}%"
"Socketed Gems have {0}% increased Mana Cost","此物品上的技能石魔力消耗提高 {0}%"
"Socketed Gems deal {0} to {1} additional Fire Damage","此物品上的技能石额外造成 {0} - {1} 火焰伤害"
"Socketed Gems gain {0}% of Physical Damage as extra Lightning Damage","此物品上的技能石获得 {0}% 物理伤害，并转化为额外闪电伤害"
"Socketed Movement Skills have no Mana Cost",插槽内的移动技能不消耗魔力
"Socketed Skills have {0}% increased Attack Speed","插槽内的技能攻击速度加快 {0}%"
"Socketed Skills have {0}% reduced Attack Speed","插槽内的技能攻击速度减慢 {0}%"
"Socketed Skills have {0}% increased Cast Speed","插槽内的技能施法速度加快 {0}%"
"Socketed Skills have {0}% reduced Cast Speed","插槽内的技能施法速度减慢 {0}%"
"Socketed Skills deal {0}% more Spell Damage","插槽内的技能造成的法术伤害总增 {0}%"
"Socketed Skills deal {0}% less Spell Damage","插槽内的技能造成的法术伤害总降 {0}%"
"Socketed Spells have {0}% to Critical Strike Chance","插槽内的法术获得 {0}% 基础暴击率"
"Socketed Spells have {0}% to Critical Strike Multiplier","插槽内的法术获得 {0}% 暴击伤害加成"
"Socketed Spells have {0}% increased Mana Cost","插槽内的法术魔力消耗提高 {0}%"
"Socketed Spells have {0}% reduced Mana Cost","插槽内的法术魔力消耗降低 {0}%"
"Socketed Gems deal {0}% more Damage over Time","此物品上的技能石持续伤害总增 {0}%"
"Socketed Gems deal {0}% less Damage over Time","此物品上的技能石持续伤害总降 {0}%"
"Socketed Gems have Elemental Equilibrium",此物品上的技能石额外获得【元素之相】
"Socketed Non-Curse Aura Gems have {0}% increased Aura Effect","插槽内的非诅咒类【范围技能石】光环效果提高 {0}%"
"Socketed Non-Curse Aura Gems have {0}% reduced Aura Effect","插槽内的非诅咒类【范围技能石】光环效果降低 {0}%"
"Socketed Gems have {0}% increased Elemental Equilibrium effect","此物品上的技能石获得【元素之相】，效果提高 {0}%"
"Socketed Gems have {0}% reduced Elemental Equilibrium effect","此物品上的技能石获得【元素之相】，效果降低 {0}%"
"Socketed Gems fire an additional Projectile","此物品上的技能石可以发射 1 个额外投射物"
"Socketed Gems fire {0} additional Projectiles","此物品上的技能石可以发射 {0} 个额外投射物"
"Socketed Gems fire Projectiles in a Nova",此物品上的技能石投射物会以环状的方式发射
"Socketed Gems have {0}% increased Skill Effect Duration","此物品上的技能石延长 {0}% 技能效果持续时间"
"Socketed Gems have {0}% reduced Skill Effect Duration","此物品上的技能石缩短 {0}% 技能效果持续时间"
"Traps from Socketed Skills create a Smoke Cloud when triggered",插槽内技能触发的陷阱会制造一阵烟雾
