"Abyssal Cry",深渊战吼
"Lightning Trap",闪电陷阱
"Lightning Warp",闪电传送
Malevolence,怨毒光环
Manabond,缚魔电殛
"Manifest Dancing Dervishes","召唤幻化之刃德尔维希  "
"Mirror Arrow",镜像射击
"Molten Shell",熔岩护盾
"Molten Strike",熔岩之击
"Orb of Storms",风暴漩涡
"Penance Brand",忏悔烙印
Perforate,凿击
"Pestilent Strike",致疫打击
"Petrified Blood",赤血凝结
"Phase Run",暗影迷踪
"Plague Bearer",瘟疫使徒
"Poacher's Mark",盗猎者印记
"Poisonous Concoction",毒爆灵药
Polymorph,变形
Portal,时空之门
"Power Siphon",力量抽取
Precision,精准
Pride,尊严
"Protective Link",防御羁绊
Puncture,放血
Punishment,惩戒
"Purifying Flame",净化烈焰
"Purity of Elements",元素净化
"Purity of Fire",火焰净化
"Purity of Ice",冰霜净化
"Purity of Lightning",闪电净化
"Pyroclast Mine",火屑地雷
"Rage Vortex",怒火漩涡
"Rain of Arrows",箭雨
"Raise Spectre",召唤灵体
"Raise Zombie",魔卫复苏
"Rallying Cry",激励战吼
Reap,绝命之镰
Reave,冲击波
Reckoning,清算
"Rejuvenation Totem",回春图腾
"Righteous Fire",正义之火
"Righteous Lightning",正义怒雷
Riposte,击刃
Riptide,激流
"Rolling Magma",熔岩奔涌
"Scorching Ray",灼热光线
"Scourge Arrow",天灾之箭
"Searing Bond",灼热连接
"Seismic Cry",震地战吼
"Seismic Trap",震波陷阱
"Shadow Blades",幻影之刃
"Shattering Steel",破碎铁刃
"Shield Charge",重盾冲锋
"Shield Crush",盾牌碾压
"Shock Nova",闪电新星
Shockwave,震波
"Shockwave Totem",震波图腾
"Shrapnel Ballista",散射弩炮
"Siege Ballista",攻城炮台
"Sigil of Power",威能法印
"Siphoning Trap",虹吸陷阱
Smite,惩击
"Smoke Mine",烟雾地雷
Snipe,狙击
"Sniper's Mark",狙击印记
"Soul Link",灵魂羁绊
Soulrend,裂魂术
Spark,电球
"Spectral Helix",灵幻旋斩
"Spectral Shield Throw",灵盾投掷
"Spectral Spinning Weapon",灵体武器
"Spectral Throw",灵体投掷
Spellslinger,法术节魔
"Spirit Offering",灵魂奉献
"Split Arrow",分裂箭矢
"Splitting Steel",分裂钢刃
"Static Strike",充能打击
"Static Tether",静电锁链
Steelskin,钢铁之肤
"Storm Brand",风暴烙印
"Storm Burst",裂风雷球
"Storm Call",风暴呼唤
"Storm Rain",暴雨箭
Stormbind,缚雷之纹
"Stormblast Mine",雷暴地雷
"Summon Carrion Golem",召唤腐化魔像
"Summon Chaos Golem",召唤混沌魔像
"Summon Flame Golem",召唤烈焰魔像
"Summon Holy Relic",召唤圣物
"Summon Ice Golem",召唤寒冰魔像
"Summon Lightning Golem",召唤闪电魔像
"Summon Phantasm",召唤幻灵
"Summon Raging Spirit",召唤愤怒狂灵
"Summon Reaper",召唤追命死灵
"Summon Skeletons",召唤魔侍
"Summon Skeletons Channelled",召唤魔侍(吟唱)
"Summon Skitterbots",召唤飞掠者
"Summon Stone Golem",召唤巨石魔像
Sunder,大地震击
Sweep,横扫
"Table Charge",盾猛冲锋
"Tectonic Slam",破釜一击
"Tempest Shield",暴风之盾
"Temporal Chains",时空锁链
"Temporal Rift",时空裂隙
Tornado,龙卷旋风
"Tornado Shot",龙卷射击
"Toxic Rain",毒雨
Unearth,亵渎之矛
"Vaal Ancestral Warchief",瓦尔.先祖战士长
"Vaal Arc",瓦尔.电弧
"Vaal Blade Flurry",瓦尔：刀刃乱舞
"Vaal Blade Vortex",瓦尔.飞刃风暴
"Vaal Blight",瓦尔.枯萎
"Vaal Breach",瓦尔.裂隙
"Vaal Burning Arrow",瓦尔.燃烧箭矢
"Vaal Caustic Arrow",瓦尔：腐蚀箭矢
"Vaal Clarity",瓦尔.清晰
"Vaal Cleave",瓦尔：劈砍
"Vaal Cold Snap",瓦尔.霜暴
"Vaal Cyclone",瓦尔.旋风斩
"Vaal Detonate Dead",瓦尔.爆灵术
"Vaal Discipline",瓦尔.纪律
"Vaal Double Strike",瓦尔.双重打击
"Vaal Earthquake",瓦尔.震地
"Vaal Fireball",瓦尔.火球
"Vaal Flameblast",瓦尔.烈焰爆破
"Vaal Flesh Offering",瓦尔.血肉奉献
"Vaal Flicker Strike",瓦尔：闪现打击
"Vaal Glacial Hammer",瓦尔.冰霜之锤
"Vaal Grace",瓦尔.优雅
"Vaal Ground Slam",瓦尔.裂地之击
"Vaal Haste",瓦尔.迅捷
"Vaal Heavy Strike",瓦尔.重击
"Vaal Ice Nova",瓦尔.冰霜新星
"Vaal Immortal Call",瓦尔.不朽怒嚎
"Vaal Impurity of Fire",瓦尔.不净之火
"Vaal Impurity of Ice",瓦尔.不净之冰
"Vaal Impurity of Lightning",瓦尔.不净之雷
"Vaal Lightning Strike",瓦尔.闪电打击
"Vaal Lightning Trap",瓦尔.闪电陷阱
"Vaal Lightning Warp",瓦尔.闪电传送
"Vaal Molten Shell",瓦尔.熔岩护盾
"Vaal Molten Strike",瓦尔：熔岩之击
"Vaal Power Siphon",瓦尔.力量抽取
"Vaal Rain of Arrows",瓦尔.箭雨
"Vaal Reave",瓦尔.冲击波
"Vaal Righteous Fire",瓦尔.正义之火
"Vaal Smite",瓦尔：惩击
"Vaal Spark",瓦尔.电球
"Vaal Spectral Throw",瓦尔.灵体投掷
"Vaal Storm Call",瓦尔.风暴呼唤
"Vaal Summon Skeletons",瓦尔.召唤魔侍
"Vaal Sweep",瓦尔.横扫
"Vaal Venom Gyre",瓦尔：剧毒旋风
"Vaal Volcanic Fissure",瓦尔：火山裂缝
"Vampiric Link",血灵羁绊
Vengeance,复仇
"Venom Gyre",剧毒旋风
"Vigilant Strike",戒备打击
"Viper Strike",毒蛇打击
Vitality,活力
"Void Sphere",虚空法球
"Volatile Dead",灵体火球
"Volcanic Fissure",火山裂缝
"Voltaxic Burst",雷电魔爆
Vortex,漩涡
Vulnerability,脆弱
"Wand Teleport",传送法杖
"War Banner",战旗
"Warlord's Mark",督军印记
"Wave of Conviction",定罪波
"Whirling Blades",回旋之刃
"Wild Strike",野性打击
Wildfire,野火
"Winter Orb",寒冬宝珠
"Wintertide Brand",冬潮烙印
Wither,死亡凋零
"Withering Step",凋零步
Wrath,雷霆
Zealotry,奋锐光环
"Avenging Flame",复仇之焰
"Bone Corpses",骸骨灵柩
"Flip a coin",抛出一枚硬币
"Gravity Sphere",重力法球
"Play Dead!",装死！
"Playtest Attack",无穷之击
"Playtest Slam",无穷猛击
"Playtest Spell",无穷法术
"Prismatic Burst",棱光魔爆
Quickstep,疾步
"Roll Over!",打滚！
Sit!,坐下！
"Stance Swap",切换姿态
"Summon Barrel",召唤木桶
"Summon Elemental Relic",召唤元素遗物
"Summon Sentinel of Radiance",召唤光辉哨兵
"Summon Spirit of Ahuana",召唤阿华纳之魂
"Summon Spirit of Akoya",召唤阿寇亚之魂
"Summon Spirit of Ikiaho",召唤伊基阿霍之魂
"Summon Spirit of Kahuturoa",召唤卡胡图罗阿之魂
"Summon Spirit of Kaom",召唤冈姆之魂
"Summon Spirit of Kiloava",召唤基洛瓦之魂
"Summon Spirit of Maata",召唤玛塔之魂
"Summon Spirit of Rakiata",召唤拉其塔之魂
"Summon Spirit of Tawhanuku",召唤陶哈努库之魂
"Summon Spirit of Utula",召唤尤图拉之魂
"Summon Triggerbots",召唤触发机器人
"Vaal Absolution",瓦尔：赦罪
"Vaal Animate Weapon",瓦尔：幻化武器
"Vaal Arctic Armour",瓦尔：极地装甲
"Vaal Domination",瓦尔：霸气之击
"Vaal Firestorm",瓦尔：烈炎风暴
"Vaal Ice Shot",瓦尔：冰霜射击
"Vaal Lightning Arrow",瓦尔：闪电箭矢
"Vaal Reap",瓦尔：绝命之镰
"Vaal Rejuvenation Totem",瓦尔：回春图腾
"Vaal Split Arrow",瓦尔：分裂箭矢
"Who's a Good Doggy?",谁是好狗狗？
"Spray Paint Celestial",喷洒众星颜料
"Spray Paint Magmatic",喷洒熔岩颜料
"Spray Paint Blood",喷洒青碧颜料
"Ground Slam of Earthshaking",震地之裂地之击
"Cleave of Rage",怒火之劈砍
"Leap Slam of Groundbreaking",破土之震地跃击
"Double Strike of Impaling",穿刺之双重打击
"Double Strike of Momentum",动量之双重打击
"Dual Strike of Ambidexterity",巧手之双持打击
"Frenzy of Onslaught",猛攻之狂怒
"Caustic Arrow of Poison",剧毒之腐蚀箭矢
"Detonate Dead of Scavenging",掠命之爆灵术
"Detonate Dead of Chain Reaction",连锁之爆灵术
"Flicker Strike of Power",强能之闪现打击
"Split Arrow of Splitting",分裂之分裂箭矢
"Cold Snap of Power",强能之霜暴
"Ice Nova of Frostbolts",寒冰弹之冰霜新星
"Ice Nova of Deep Freeze",深寒之冰霜新星
"Arc of Surging",激涌之电弧
"Arc of Oscillating",震荡之电弧
"Raise Zombie of Slamming",猛击之魔卫复苏
"Raise Zombie of Falling",殒命之魔卫复苏
"Righteous Fire of Arcane Devotion",尊法之正义之火
"Discharge of Misery",苦难之解放
"Spark of the Nova",新星之电球
"Spark of Unpredictability",无常之电球
"Ice Spear of Splitting",分裂之冰矛
"Raise Spectre of Transience",瞬息之召唤灵体
"Infernal Blow of Immolation",献祭之炼狱之击
"Glacial Hammer of Shattering",碎冰之冰霜之锤
"Viper Strike of the Mamba",曼巴之毒蛇打击
"Summon Skeletons of Archery",射艺之召唤魔侍
"Summon Skeletons of Sorcery",巫术之召唤魔侍
"Dominating Blow of Inspiring",奋发之霸气之击
"Rain of Arrows of Artillery",炮击之箭雨
"Rain of Arrows of Saturation",饱和之箭雨
"Firestorm of Meteors",陨星之烈炎风暴
"Firestorm of Pelting",碎焰之烈炎风暴
"Lightning Strike of Arcing",弧光之闪电打击
"Power Siphon of the Archmage",大法师之力量抽取
"Lightning Arrow of Electrocution",电殛之闪电箭矢
"Burning Arrow of Vigour",气焰之燃烧箭矢
"Bear Trap of Skewers",钉刺之捕熊陷阱
"Fire Trap of Blasting",震爆之火焰陷阱
"Ethereal Knives of Lingering Blades",徘徊之虚空匕首
"Ethereal Knives of the Massacre",狂戮之虚空匕首
"Ball Lightning of Orbiting",周转之天雷之珠
"Ball Lightning of Static",静滞之天雷之珠
"Cyclone of Tumult",嚣狂之旋风斩
"Reave of Refraction",折射之冲击波
"Lightning Trap of Sparking",火花之闪电陷阱
"Animate Guardian of Smiting",惩击之幻化守卫
"Spectral Throw of Materialising",具化之灵体投掷
"Animate Weapon of Self Reflection",自省之幻化武器
"Animate Weapon of Ranged Arms",远程之幻化武器
"Flameblast of Celerity",敏捷之烈焰爆破
"Flameblast of Contraction",聚火之烈焰爆破
"Barrage of Volley Fire",齐发之弹幕
"Summon Raging Spirit of Enormity",凶恶之召唤愤怒狂灵
"Flame Surge of Combusting",爆燃之怒焰奔腾
"Molten Strike of the Zenith",天顶之熔岩之击
"Tornado Shot of Cloudburst",穿云之龙卷射击
"Lightning Tendrils of Eccentricity",离心之电能释放
"Lightning Tendrils of Escalation",增幅之电能释放
"Blink Arrow of Bombarding Clones",轰炸复制体之闪现射击
"Blink Arrow of Prismatic Clones",棱光复制体之闪现射击
"Mirror Arrow of Bombarding Clones",轰炸复制体之魅影射击
"Mirror Arrow of Prismatic Clones",棱光复制体之魅影射击
"Summon Chaos Golem of Hordes",结群之召唤混沌魔像
"Summon Chaos Golem of the Maelström",混渊之召唤混沌魔像
"Summon Ice Golem of Hordes",结群之召唤寒冰魔像
"Summon Ice Golem of Shattering",碎冰之召唤寒冰魔像
"Summon Flame Golem of Hordes",结群之召唤烈焰魔像
"Summon Flame Golem of the Meteor",陨星之召唤烈焰魔像
"Ice Crash of Cadence",错落之寒冰冲击
"Flame Dash of Incinerating",焚烧之烈焰冲刺
"Flame Dash of Return",归返之烈焰冲刺
"Frost Blades of Katabasis",冥域之冰霜之刃
"Wild Strike of Extremes",极限之野性打击
"Ice Trap of Hollowness",空洞之冰冻陷阱
"Galvanic Arrow of Energy",聚能之电光箭
"Galvanic Arrow of Surging",浪涌之电光箭
"Bladefall of Volleys",连绵之虚空刀雨
"Bladefall of Impaling",穿刺之虚空刀雨
"Frost Bomb of Instability",动荡之寒霜爆
"Frost Bomb of Forthcoming",延时之寒霜爆
"Summon Stone Golem of Hordes",结群之召唤巨石魔像
"Summon Stone Golem of Safeguarding",卫护之召唤巨石魔像
"Earthquake of Amplification",增幅之地震
"Contagion of Subsiding",痼疾之瘟疫
"Contagion of Transference",转移之瘟疫
"Essence Drain of Desperation",绝望之灵魂吸取
"Essence Drain of Wickedness",邪门之灵魂吸取
"Siege Ballista of Splintering",分叉之攻城炮台
"Sunder of Earthbreaking",裂地之大地震击
"Vortex of Projection",投射之漩涡
"Blight of Contagion",传染之枯萎
"Blight of Atrophy",萎缩之枯萎
"Blade Flurry of Incision",割痕之刀刃乱舞
"Summon Lightning Golem of Hordes",结群之召唤闪电魔像
"Lacerate of Butchering",痛宰之破空斩
"Lacerate of Haemorrhage",血涌之破空斩
"Scorching Ray of Immolation",焚灭之灼热光线
"Blade Vortex of the Scythe",巨镰之飞刃风暴
"Spectral Shield Throw of Shattering",碎裂之灵盾投掷
"Volatile Dead of Confinement",拘束之灵体火球
"Volatile Dead of Seething",沸燃之灵体火球
"Cremation of Exhuming",掘灭之火葬
"Cremation of the Volcano",火山之火葬
"Bodyswap of Sacrifice",牺牲之灵体转换
"Tectonic Slam of Cataclysm",灾变之破釜一击
"Explosive Trap of Shrapnel",破片之爆炸陷阱
"Explosive Trap of Magnitude",剧烈之爆炸陷阱
"Lightning Spire Trap of Zapping",震荡之电塔陷阱
"Lightning Spire Trap of Overloading",超载之电塔陷阱
"Seismic Trap of Swells",膨胀之震波陷阱
"Consecrated Path of Endurance",强韧之奉献之路
"Smite of Divine Judgement",圣裁之惩击
"Scourge Arrow of Menace",威胁之天灾之箭
"Toxic Rain of Sporeburst",孢子迸发之毒雨
"Toxic Rain of Withering",凋零之毒雨
"Storm Brand of Indecision",无定之风暴烙印
"Shattering Steel of Ammunition",备弹之破碎铁刃
"Armageddon Brand of Volatility",无常之末日烙印
"Armageddon Brand of Recall",回溯之末日烙印
"Purifying Flame of Revelations",启示之净化烈焰
"Soulrend of Reaping",收割之裂魂术
"Soulrend of the Spiral",螺旋之裂魂术
"Bane of Condemnation",罪罚之混沌之毒
"Divine Ire of Holy Lightning",神雷之圣怨
"Divine Ire of Disintegration",瓦解之圣怨
"Holy Flame Totem of Ire",怒焰之圣焰图腾
"Bladestorm of Uncertainty",无定之剑刃风暴
"Perforate of Duality",对偶之凿击
"Perforate of Bloodshed",喋血之凿击
"Frostblink of Wintry Blast",冰爆之冰霜闪现
"Summon Carrion Golem of Hordes",结群之召唤腐化魔像
"Summon Carrion Golem of Scavenging",敛骸之召唤腐化魔像
"Pyroclast Mine of Sabotage",破坏之火屑地雷
"Icicle Mine of Fanning",扩散之冰锥地雷
"Icicle Mine of Sabotage",破坏之冰锥地雷
"Shrapnel Ballista of Steel",刚刃之散射弩炮
"Stormbind of Teleportation",传送之缚雷之纹
"Rune Blast of Teleportation",传送之爆裂符纹
"Kinetic Bolt of Fragmentation",碎裂之念动飞箭
"Blade Blast of Unloading",倾泻之乱剑穿心
"Blade Blast of Dagger Detonation",轰匕之乱剑穿心
"Penance Brand of Dissipation",辐照之忏悔烙印
"Penance Brand of Conduction",传导之忏悔烙印
"Earthshatter of Fragility",脆弱之尖刺战吼
"Earthshatter of Prominence",涌升之尖刺战吼
"Void Sphere of Rending",撕碎之虚空法球
"Crackling Lance of Branching",分叉之电殛长枪
"Crackling Lance of Disintegration",瓦解之电殛长枪
"Splitting Steel of Ammunition",备弹之分裂钢刃
"Lancing Steel of Spraying",飞射之断金之刃
"Glacial Cascade of the Fissure",裂隙之冰川之刺
"Hexblast of Contradiction",悖论之魔蛊爆炸
"Hexblast of Havoc",浩劫之魔蛊爆炸
