Maelstrom,魔暴
" Watcher"," 守望者"
" Construct"," 构建体"
" Sentry"," 侦察者"
" Machine"," 机械"
" Keeper"," 坚城"
" Warden"," 看守"
" Artifice"," 巧匠"
" Rite"," 仪式"
" Challenge"," 挑战"
" Provocation"," 挑衅"
" Instigation"," 鼓动"
" Incitement"," 煽动"
" Invocation"," 恳求"
" Liturgy"," 圣礼"
" Inscription"," 铭文"
" Inferno"," 狱火"
" Caldera"," 寂灵之渊"
" Volcano"," 火山炎域"
" Lahar"," 泥流"
" Magma"," 岩浆"
" Firestorm"," 烈炎风暴"
" Zenith"," 天顶"
" Nadir"," 天底"
" District"," 街区"
" Cavern"," 洞窟"
" Filth"," 秽物"
" Clearing"," 空地"
" Sands"," 沙海"
" Lair"," 巢穴"
" Hollow"," 空谷"
" Gallery"," 回廊"
" Den"," 洞穴"
" Hideaway"," 藏匿处"
" Mire"," 泥沼"
" Pool"," 之池"
" Gulf"," 海湾"
" Spring"," 之泉"
" Climb"," 岩坡"
" Range"," 山峦"
" Realm"," 之境"
" Turf"," 领地"
" Bank"," 之滩"
" Glade"," 林地"
" Landscape"," 之景"
" Bluff"," 峭壁"
" Swathe"," 沃土"
" Mass"," 群落"
" Rubble"," 粗石"
" Grounds"," 之地"
" Monolith"," 石塔"
" Corridors"," 长廊"
" Alcove"," 壁龛"
" Estate"," 庄园"
" Crossroads"," 歧路"
" Morass"," 沼地"
" Sludge"," 泥潭"
