"Blue Pearl Amulet",碧珠护身符
"Berek's Respite",贝雷克的火与雷之乐
"Berek's Grip",贝雷克的冰与雷之曲
"Call of the Brotherhood",意志呼唤
"Berek's Pass",贝雷克的冰与火之歌
"Rigwald's Crest",瑞佛之冠
Voideye,虚空慧眼
"Malachai's Artifice",玛拉凯的巧技
"Brinerot Mark",布琳洛特印记
"Redblade Band",红刃之环
"Mutewind Seal",哑风封印
"The Pariah",草民
"Essence Worm",菁华蠕虫
"Angler's Plait",渔夫之辫
"The Hungry Loop","饥饿之环 "
"Mark of Submission",屈服印记
Vivinsect,活解
"Profane Proxy",渎神代理
"Replica Malachai's Artifice",玛拉凯的巧技【仿品】
"Replica Voideye",虚空慧眼【仿品】
"Rotblood Promise",腐血的承诺
"Triumvirate Authority",三头威仪
"Band of the Victor",胜利之环
"Mark of the Elder",裂界之印
Stormfire,风暴之炎
"Mark of the Shaper",塑界之印
"Polaric Devastation",毁灭激波
"Kalandra's Touch",卡兰德之触
Prismweave,幻彩菱织
"Chains of Time",时空之链
Feastbind,盛宴之结
Faminebind,饥荒之结
"The Retch",呕吐
"Replica Prismweave",幻彩菱织【仿品】
"Bated Breath",凝息
"Maligaro's Restraint",马雷格罗的染血之环
"Ascent From Flesh",变节者
"Coward's Chains",懦夫之链
"Coward's Legacy",懦夫之遗
"Chains of Emancipation",脱缚之锁
"Replica Bated Breath",凝息【仿品】
Headhunter,猎首
"Immortal Flesh",永生
"Wurm's Molt",龙蜕之带
"Umbilicus Immortalis",不朽系命
"Cyclopean Coil",巨岩指套
Gluttony,暴食
Hyperboreus,极北
"Leash of Oblation",圣体之绳
"Bear's Girdle",熊之束腰
"Replica Headhunter",猎首【仿品】
"Pyroshock Clasp",火爆之拥
"Doryani's Invitation",多里亚尼之约
"Meginord's Girdle",梅吉诺德的力量泉源
"Belt of the Deceiver",狡徒束腰
"Dyadian Dawn",戴亚迪安的晨曦
"Bisco's Leash",比斯克的缰绳
"String of Servitude",奴役之索
Siegebreaker,突围者
"Mother's Embrace",母亲的拥抱
"Replica Siegebreaker",突围者【仿品】
"Survivor's Guilt",幸存者的愧疚
Mageblood,法师之血
"Perandus Blazon",普兰德斯之印
Sunblast,日炎
Soulthirst,嗜魂
"Soul Tether",灵魂羁绊
"The Flow Untethered",流逝之时
"The Torrent's Reclamation",沧海桑田
"Replica Soul Tether",灵魂羁绊【仿品】
"The Druggery",复苏之药
"Arn's Anguish",阿恩的痛苦
"Olesya's Delight",奥莱西亚的喜悦
"Graven's Secret",葛拉文的秘宝
"The Magnate",坚毅之环
"Ryslatha's Coil",瑞斯拉萨的线圈
"The Tactician",谋士之环
"The Nomad",游牧之环
Perseverance,恒毅意志
Auxium,奥术之符
"The Burden of Truth",真相之担
"Demigod's Bounty",升华珍宝
"Darkness Enthroned",夜临
"Defiance of Destiny",命运之抗争
"Tainted Pact",玷污契约
"Ikiaho's Promise",伊基阿霍之诺言
"Bloodsoaked Medallion",浸血徽章
"Replica Dragonfang's Flight",龙牙之翔【仿品】
"Honoured Alliance",尊贵的同盟
Soulbound,灵魂绑定
"Tawhanuku's Timing",陶哈努库之时间
"Chain of Endurance",坚韧之链
"Kaom's Binding",冈姆之束缚
"Ceinture of Benevolence",仁德腰带
"Bound Fate",既定命途
"Focused Amulet",聚焦项链
"Composite Ring",复合戒指
"Manifold Ring",集成戒指
"Ratcheting Ring",渐变戒指
"Helical Ring",螺纹戒指
"The Untouched Soul",不动之魂
"Replica Hinekora's Sight",辛格拉的凝视【仿品】
"Replica Badge of the Brotherhood",兄弟会徽章【仿品】
"Ixchel's Temptation",伊克切尔的诱惑
"Mechanical Belt",机关腰带
"The Utmost",临峰
"Circle of Ambition",雄心轮环
"Grattus Signet",盖拉图斯印戒
"Nevalius Inheritance",涅瓦里乌斯的传承
"The Tides of Time",时光浪潮
