"k","v"
"Chance to Freeze:","幾率冰凍:"
"Freeze Dur. Mod:","冰凍持續時間 Mod:"
"Stun Threshold:","眩暈門檻:"
"Stun Duration:","眩暈持續時間:"
"MH Stun Threshold:","眩暈門檻(主手):"
"MH Stun Duration:","眩暈持續時間(主手):"
"OH Stun Threshold:","眩暈門檻(副手:)"
"OH Stun Duration:","眩暈持續時間(副手):"
"Knockback Chance:","擊退幾率:"
"Knockback Dist.:","擊退距離:"
"Inc. Item Quantity:","物品數量(提高):"
"Inc. Item Rarity:","物品稀有度(提高):"
"Str. Required:","力量需求:"
"Dex. Required:","敏捷需求:"
"Int. Required:","智慧需求:"
"Base from Gear:","基礎(物品):"
"Inc. from Tree:","提高(天賦):"
"Total Base:","總基礎:"
"Total:","總計:"
"Reserved:","保留:"
"Unreserved:","未保留:"
"Regen:","秒回:"
"Sources:","來源:"
"Recovery modifiers:","回復加成:"
"Increased Regen:","秒回(提高):"
"Base from Armours:","基礎(胸甲):"
"Global Base:","全域基礎:"
"Recharge Rate:","回復速度:"
"Recharge Delay:","回復間隔:"
"Phys. Dmg. Reduct:","傷害減免(物理):"
"Fire Resist:","火燄抗性:"
"Cold Resist:","冰霜抗性:"
"Lightning Resist:","閃電抗性:"
"Chaos Resist:","混沌抗性:"
"Physical Hit/DoT:","物理 擊中/持續:"
"Fire Hit/DoT:","火燄 擊中/持續:"
"Cold Hit/DoT:","冰霜 擊中/持續:"
"Lightning Hit/DoT:","閃電 擊中/持續:"
"Chaos Hit/DoT:","混沌 擊中/持續:"
"Mind over Matter:","心靈升華:"
"Movement Speed:","移動速度:"
"Dodge Chance:","躲避幾率:"
"Spell Ddg. Chance:","躲避幾率(法術攻擊):"
"Melee Avoid Ch.:","閃避幾率(近戰攻擊):"
"Projectile Avoid Ch.:","閃避幾率(投射物攻擊):"
"Spell Avoid Ch.:","閃避幾率(法術攻擊):"
"Stun Avoid Chance:","閃避幾率(眩暈):"
"Block Duration:","格擋持續時間:"
"Light Radius Mod:","光環範圍:"
"Leech & Gain on Hit:","擊中 (偷取 & 擊回):"
"Skill Damage over Time:","技能持續傷害:"
"Attack/Cast Rate:","攻擊/施法 速度:"
"Crits:","暴擊:"
"Accuracy:","命中:"
"Skill type-specific Stats:","技能類型統計:"
"Bleed:","流血:"
"Poison:","中毒:"
"Ignite:","點燃:"
"Decay:","腐化:"
"Other Effects:","其它效果:"
"Damage Taken:","承受傷害:"
"Hit Damage taken as:","承受擊中傷害:"
"Other Defences:","其它屬性:"
"Life:","生命:"
"Mana:","魔力:"
"Evasion:","閃避值:"
"Resists:","抗性:"
"Value","數值"
"Stat","狀態"
"Skill","技能"
"Notes","天賦點"
"Source","來源"
"Source Name","來源名稱"
"Item","物品"
"Global","全域"
"Total","總計"
"Buff","增益效果"
"Inc/red","增/減"
"More/less","多/少"
"Converted Damage","轉換傷害"
"{0}% to Fire","{0}% 到火燄"
"{0}% to Cold","{0}% 到冰霜"
"{0}% to Lightning","{0}% 到閃電"
"{0}% to Chaos","{0}% 到混沌"
"Physical Damage Gain As Fire","物理傷害的額外火燄"
"Physical Damage Gain As Cold","物理傷害的額外冰霜"
"Physical Damage Gain As Lightning","物理傷害的額外閃電"
"Physical Damage Gain As Chaos","物理傷害的額外混沌"
"Base","基礎"
"Type","類型"
"Mitigation","減免"
"Final","最終"
"Resist","抗性"
"Elemental","元素"
"Total from Tree:","天賦總計:"
"Total from Item:","物品總計:"
"Total from Base:","基礎總計:"
"Total from Skill:","技能總計:"
"Total from Dexterity:","敏捷總計:"
"Total from Intelligence:","智慧總計:"
"Total from Strength:","力量總計:"
"{0} base","{0} 基礎"
"From","來自"
"Player","玩家"
"Minion","召喚物"
"Total damage:","總傷害:"
"Damage from Crits:","來自暴擊傷害:"
"Damage from Non-crits:","來自非暴擊傷害:"
"Reduction from Armour: {0}%","護甲減少: {0}%"
"View Skill Details:","技能詳情:"
"Show Minion Stats:","顯示召喚物統計:"
"Minion Skill:","召喚物技能:"
"Calculation Mode:","計算模式:"
"Attributes:","屬性"
"Aura and Buff Skills:","光環和技能增益效果"
"Combat Buffs:","戰鬥增益:"
"Curses and Debuffs:","詛咒和減益效果:"
"Physical:","物理:"
"Lightning:","閃電:"
"Cold:","冰霜:"
"Fire:","火燄:"
"Chaos:","混沌:"
"Base damage:","基礎傷害:"
"Conversions:","轉換列表:"
"Portion of total damage: {0}%","總傷害佔比: {0}%"
"Hit damage:","擊中傷害:"
"Skill types","技能類型"
"= {0} per second","= {0} 每秒"
"{0}% increased","提高 {0}%"
"{0}% reduced","降低 {0}%"
"{0}% more","額外提高 {0}%"
"{0}% less","額外降低 {0}%"
"Average enemy evasion: {0}","敵人閃避值: {0}"
"Approximate hit chance: {0}%","命中幾率: {0}%"
"Recharge rate:","回復速度:"
"Max: {0}%","上限: {0}%"
"Total: {0}%","總計: {0}%"
"Average enemy accuracy: {0}","敵人命中值: {0}"
"Approximate evade chance: {0}%","閃避幾率: {0}%"
"Elemental Resist","元素抗性"
"Fire Resist Max","火燄抗性上限"
"Fire Resist","火燄抗性"
"Cold Resist Max","冰霜抗性上限"
"Cold Resist","冰霜抗性"
"Lightning Resist Max","閃電抗性上限"
"Lightning Resist","閃電抗性"
"Chaos Resist Max","混沌抗性上限"
"Chaos Resist","混沌抗性"
"Physical Damage Reduction","物理傷害降低"
"{0}% as Physical","{0}% 物理"
"{0}% as Fire","{0}% 為火燄"
"{0}% as Cold","{0}% 為冰霜"
"{0}% as Lightning","{0}% 為閃電"
"{0}% as Chaos","{0}% 為混沌"
"Resistance","抗性"
"Active Minion Limit","最大召喚物數量"
"Average Hit","平均擊中"
"Average Damage","平均傷害"
"Attack Rate","攻擊速率"
"Cast Rate","施法速率"
"Hit Rate","擊中速率"
"Trap Throwing Time","陷阱投鄭間隔"
"Trap Cooldown","陷阱冷卻"
"Totem Placement Time","圖騰放置間隔"
"Crit Chance","暴擊率"
"Effective Crit Chance","有效暴擊率"
"Crit Multiplier","暴擊傷害"
"Hit Chance","命中率"
"Total DPS","總 DPS"
"DoT DPS","持續傷 DPS"
"Bleed DPS","流血 DPS"
"Ignite DPS","點燃 DPS"
"Total Damage per Ignite","每次點燃總傷害"
"Total DPS inc. Ignite","提高總 DPS (點燃)"
"Average Dmg. inc. Ignite","提高平均傷害 (點燃)"
"Poison DPS","中毒 DPS"
"Total Damage per Poison","每次中毒總傷害"
"Total DPS inc. Poison","提高總 DPS (中毒)"
"Average Dmg. inc. Poison","提高平均傷害 (中毒)"
"Decay DPS","腐蝕 DPS"
"Skill Cooldown","技能冷卻"
"AoE Radius","AoE 範圍"
"Mana Cost","魔力消耗"
"Strength","力量"
"Strength Required","力量需求"
"Dexterity","敏捷"
"Dexterity Required","敏捷需求"
"Intelligence","智慧"
"Intelligence Required","智慧需求"
"Total Life","最大生命"
"%Inc Life from Tree","生命加成(天賦)"
"Unreserved Life","未保留生命"
"Life Regen","生命再生"
"Life Leech/On Hit Rate","生命偷取(擊中速率)"
"Life Leech/Gain per Hit","生命偷取(擊中獲得)"
"Total Mana","最大魔力"
"%Inc Mana from Tree","魔力加成(天賦)"
"Unreserved Mana","未保留魔力"
"Mana Regen","魔力回復"
"Mana Leech/On Hit Rate","魔力偷取(擊中速率)"
"Mana Leech/Gain per Hit","魔力偷取(擊中獲得)"
"Energy Shield","能量護盾"
"%Inc ES from Tree","ES 加成(天賦)"
"Energy Shield Regen","能量護盾回復"
"Energy Shield Recharge","能量護盾回復"
"ES Leech/On Hit Rate","ES 偷取(擊中速率)"
"ES Leech/Gain per Hit","ES 偷取(擊中獲得)"
"Evasion rating","閃避值"
"%Inc Evasion from Tree","閃避加成(天賦)"
"Evade Chance","閃避幾率"
"Melee Evade Chance","近戰閃避幾率"
"Projectile Evade Chance","投射物閃避幾率"
"Armour","護甲"
"Attack/Cast Rate","攻擊/施法速度"
"%Inc Armour from Tree","護甲加成(天賦)"
"Phys. Damage Reduction","物理傷害減免"
"Movement Speed Modifier","移動速度加成"
"Block Chance","攻擊格擋幾率"
"Spell Block Chance","法術格擋幾率"
"Attack Dodge Chance","攻擊躲避幾率"
"Spell Dodge Chance","法術躲避幾率"
"Fire Resistance","火焰抗性"
"Cold Resistance","冰冷抗性"
"Lightning Resistance","閃電抗性"
"Chaos Resistance","混沌抗性"
"Fire Res. Over Max","火燄抗性(溢出)"
"Cold Res. Over Max","冰霜抗性(溢出)"
"Lightning Res. Over Max","閃電抗性(溢出)"
"Chaos Res. Over Max","混沌抗性(溢出)"
"DPS inc. Poison","提高 DPS(中毒)"
"Speed","速度"
"{0} to {1} (total damage)","{0} 至 {1} (總傷害)"
"x {0} {1}% converted to other damage types)","x {0} ({1}% 轉換為其他傷害類型)"
"{0} (base throwing speed)","{0} (基礎投射物速度)"
"{0} (increased/reduced throwing speed)","{0} (提高/降低 投射物速度)"
"{0} (more/less throwing speed)","{0} (額外提高/額外降低 投射物速度)"
"{0} (action speed modifier)","{0} (動作速度加成)"
"{0} (base)","{0} (基礎)"
"/ {0} (increased/reduced cooldown recovery)","/ {0} (提高/降低 冷卻回復)"
"{0} (base placement speed)","{0} (基礎放置速度)"
"{0} (increased/reduced placement speed)","{0} (提高/降低 放置速度)"
"{0} (more/less placement speed)","{0} (額外提高/額外降低 放置速度)"
" (base life for a level {0} monster)"," ({0} 級怪物基礎生命)"
"x {0} (life multiplier for this totem type)","x {0} (此類圖騰生命倍率)"
"x {0} (totem life modifier)","x {0} (圖騰生命加成)"
"x {0} (duration modifier)","x {0} (持續時間加成)"
"/ {0} (debuff expires slower/faster)","/ {0} (減益效果時間 更快/更慢)"
"{0} (base mana cost)","{0} (基礎魔力消耗)"
"x {0} (mana cost multiplier)","x {0} (魔力消耗倍率)"
"x {0} (increased/reduced mana cost)","x {0} (提高/降低 魔力消耗)"
"x {0} (more/less mana cost)","x {0} (額外提高/額外降低 魔力消耗)"
"- %d (- mana cost)","- {0} (- 魔力消耗)"
"x {0} (portion of instances created by main hand)","x {0} (主手實例部分)"
"x {0} (portion of instances created by off hand)","x {0} (副手實例部分)"
"x {0} (increased/reduced)","x {0} (提高/降低)"
"x {0} (more/less)","x {0} (額外提高/額外降低)"
"{0} + {0} (base)","{0} + {0} (基礎)"
"= {0}% (crit chance)","= {0}% (暴擊機率)"
"x {0} (chance to hit)","x {0} (擊中幾率)"
"{0}% (additional extra damage)","{0}% (額外的額外傷害)"
"x {0} (increased/reduced extra crit damage taken by enemy)","x {0} (提高/降低 敵人額外暴擊傷害)"
"= {0}% (extra crit damage)","= {0}% (額外暴擊傷害)"
"{0} to {1} x {2} (base damage from {3} multiplied by base damage multiplier)","{0} to {1}) x {2} (來自 {3} 倍基礎傷害的基礎傷害)"
"{0} to {1} (base damage from weapon)","{0} 至 {1} (武器基礎傷害)"
"{0} to {1} x {2} (added damage multiplied by damage effectiveness)","{0} 至 {1} x {2} (更多 傷害倍數 從 傷害效果)"
"+ {0} to {1} (added damage)","+ {0} 至 {1} (更多傷害)"
"x {0} (chance to deal double damage)","x {0} (造成雙倍傷害幾率)"
"x {0} (ruthless blow effect modifier)","x {0} (無情效果加成)"
"x {0} (effective DPS modifier)","x {0} (DPS 效果加成)"
"{0} x {1} - {2} (damage from non-crits)","{0} x {1} - {2} (來自非暴擊傷害)"
"+ {0} x {1} (damage from crits)","+ {0} x {1} (來自暴擊傷害)"
"{0} (average hit)","{0} (平均擊中)"
"{0} + {1} (skill hits with both weapons at once)","{0} + {1} ( 2 把武器同時使用技能擊中)"
"{0} + {1} / {2} (skill alternates weapons)","{0} + {1} / {2} (武器交替使用技能)"
"{0} (average damage)","{0} (平均傷害)"
"x {0} (hit rate)","x {0} (擊中速度)"
"x {0} (attack rate)","x {0} (攻擊速度)"
"x {0} (cast rate)","x {0} (施法速度)"
"x {0} (DPS multiplier for this skill)","x {0} (此技能 DPS 倍數)"
"{0} x {1} - {2} (chance from non-crits)","{0} x {1} - {2} (非暴擊幾率)"
"+ {0} x {1} (chance from crits)","+ {0} x {1} (暴擊幾率)"
"{0} (source damage)","{0} (源傷害)"
"{0} (source damage from non-crits)","{0} (非暴擊源傷害)"
"x {0} (portion of instances created by non-crits)","x {0} (非暴擊實例部分)"
"{0} (source damage from crits)","{0} (暴擊源傷害)"
"x {0} (portion of instances created by crits)","x {0} (暴擊實例部分)"
"x {0} (bleed deals {1}% per second)","x {0} (每秒流血 {1}%)"
"x {0} (ailment effect modifier)","x {0} (異常狀態效果加成)"
"{0} (total damage per second)","{0} (每秒總傷害)"
"{0} (ailment effect modifier)","{0} (異常狀態效果加成)"
"{0} (damage rate modifier)","{0} (傷害速度加成)"
"{0} (effective DPS modifier)","{0} (DPS 效果加成)"
"{0} (base duration)","{0} (基礎持續時間)"
"/ {0} (damage rate modifier)","/ {0} (傷害速度加成)"
"x 0.20 (poison deals 20% per second)","x 0.20 (每秒 20% 中毒傷害)"
"{0} (damage per second)","{0} (每秒傷害)"
"x {0} (poison duration)","x {0} (中毒持續時間)"
"{0} (poison duration)","{0} (中毒持續時間)"
"{0} (poison chance)","{0} (中毒幾率)"
"{0} (hit chance)","{0} (擊中幾率)"
"{0} (hits per second)","{0} (每秒擊中)"
"{0} (dps multiplier for this skill)","{0} (此技能 dps 倍數)"
"Ignite mode: {0} (can be changed in the Configuration tab)","點燃方式: {0} (可以在 配置 選項卡中更改)"
"Enemy level: {0} (can be overridden in the Configuration tab)","敵人等級: {0} (可以在 配置 選項卡中調整)"
"Enemy Physical Hit Damage: {0} (can be overridden in the Configuration tab)","敵人擊中物理傷害: {0} (可以在 配置 選項卡中調整)"
"x 0.5 (ignite deals 50% per second)","x 0.5 (每秒 50% 點燃傷害)"
"{0} (burn rate modifier)","{0} (燃燒速度加成)"
"x {0} (ignite duration)","x {0} (點燃持續時間)"
"{0} (ignite duration)","{0} (點燃持續時間)"
"{0} (ignite chance)","{0} (點燃幾率)"
"4.00s (base duration)","4.00s (基礎持續時間)"
"x {0} (increased/reduced duration)","x {0} (提高/降低 持續時間)"
"x {0} (more/less duration)","x {0} (額外提高/額外降低 持續時間)"
"/ %.2f (burn rate modifier)","/ {0} (燃燒速度加成)"
"x {0} (increased/reduced stun duration)","x {0} (提高/降低 眩暈持續時間)"
"/ {0} (increased/reduced enemy stun recovery)","/ {0} (提高/降低 敵人眩暈時間)"
"{0} (maximum life)","{0} (最大生命)"
"x {0}% (percentage of life to maximum leech rate)","x {0}% (最大生命偷取速率百分比)"
"{0} - {1} (portion of damage from non-crits)","{0} - {1} (來自非暴擊傷害百分比)"
"+ {0} x {1} (portion of damage from crits)","+ {0} x {1} (來自暴擊傷害百分比)"
"Instant Leech: {0}","瞬間偷取: {0}"
"Total leeched per instance:","每個實例總偷取:"
"Rate per instance:","每個實例速率:"
"{0} (size of leech destination pool)","{0} (偷取池大小)"
"x {0} (base leech rate is {1}% per second)","x {0} (每秒偷取速率基礎 {1}%)"
"x {0} leech rate modifier","x {0} 偷取速率加成"
"x {0} (instance duration)","x {0} (實例持續時間)"
"Instant Leech per hit: {0}","每次擊中瞬間偷取: {0}"
"Instant Leech per second: {0}","每秒瞬間偷取: {0}"
"Maximum leech rate against one target:","一個目標最大偷取速率:"
"x {0} (average instances)","x {0} (平均實例)"
"Time to reach max: {0}","達到最大時間: {0}"
"Leech rate cap: {0}","偷取速率上限: {0}"
"Time to reach cap: {0}","達到上限時間: {0}"
"{0} base Fire Resist Max","{0} 基礎火燄抗性上限"
"{0} base Cold Resist Max","{0} 基礎冰霜抗性上限"
"{0} base Lightning Resist Max","{0} 基礎閃電抗性上限"
"{0} base Chaos Resist Max","{0} 基礎混沌抗性上限"
"{0} base Elemental Resist","{0} 基礎元素抗性"
"{0} base Fire Resist","{0} 基礎火燄抗性"
"{0} base Cold Resist","{0} 基礎冰霜抗性"
"{0} base Lightning Resist","{0} 基礎閃電抗性"
"{0} base Chaos Resist","{0} 基礎混沌抗性"
"{0} per {1} Str","每 {1} 力量 {0}"
"{0}% per {1} Str","每 {1} 力量 {0}%"
"{0} per {1} Dex","每 {1} 敏捷 {0}"
"{0} per {1} Int","每 {1} 智慧 {0}"
"{0} per {1} Mana","每 {1} 魔力 {0}"
"{0} + {1} per Level","{0} + 每級 {1}"
"Name","名稱"
"Reservation","保留"
"Mana Regeneration:","魔力回復:"
"Life Regen Percent","生命回復百分比"
"Mana Regen Percent","魔力回復百分比"
"Armour And Evasion","護甲與閃避"
"{0}% increased Armour And Evasion","護甲與閃避提高 {0}%"
"{0}% increased Evasion","閃避提高 {0}%"
"Conversion","轉換"
"Life to Energy Shield","生命到能量護盾"
"{0}{1}% per second)","{0}{1}% 每秒)"
"Chance on Non-crit: {0}%","非暴擊幾率: {0}%"
"Chance on Crit: {0}%","暴擊幾率: {0}%"
"Combined chance:","綜合幾率:"
"For freeze to apply, target must have no more than {0} life.","要凍結敵人, 目標生命不能低于 {0}"
"For shock to apply, target must have no more than {0} life.","要感電敵人, 目標生命不能低于 {0}"
"Resistance penalty:","抗性懲罰:"
"Act {0}{1}%)","第 {0} 章 {1}%)"
"Enemy Level:","敵人等級:"
"This overrides the default enemy level used to estimate your hit and evade chances.","設置敵人等級會影響你的命中和閃避幾率估算."
"The default level is your character level, capped at 84, which is the same value","默認等級和你的角色等級相同(最高84級),此設定與遊戲相同"
"used in-game to calculate the stats on the character sheet.","在遊戲中用于計算角色狀態面板"
"Enemy Physical Hit Damage:","敵人擊中物理傷害:"
"This overrides the default damage amount used to estimate your physical damage reduction from armour.","設置傷害量會影響你來自護甲的物理傷害減免估算"
"The default is 1.5 times the enemy's base damage, which is the same value","默認值為敵人基礎傷害的 1.5 倍,此設定與遊戲相同"
"used in-game to calculate the estimate shown on the character sheet.","在遊戲中用于估算角色面板."
"Enemy Corpse Life:","敵人靈柩生命:"
"Sets the maximum life of the target corpse for Detonate Dead and similar skills.","設置 【爆靈術】 等類似的技能的靈柩最大生命"
"For reference, a level 70 monster has 6449 base life, and a level 80 monster has 12466.","僅供參考: 70 級怪物基礎生命為 6449, 80 級怪物為 12466."
"Are you always stationary?","是否處于靜止狀態?"
"Are you always moving?","是有處于移動狀態?"
"Are you always on Full Life?","是否處于滿血狀態?"
"You will automatically be considered to be on Full Life if you have Chaos Innoculation,","如果你有【異靈之體】將視為滿血狀態,"
"but you can use this option to force it if necessary.","如有必要可用此選項強制應用."
"Are you always on Low Life?","是否處于瀕血狀態?"
"You will automatically be considered to be on Low Life if you have at least 65% life reserved,","如果你至少有 65% 生命保留將視為瀕血狀態,"
"Are you always on Full Energy Shield?","是否處于滿盾狀態?"
"Do you always have Energy Shield?","是否一直有能量護盾?"
"Are your minions always on Full Life?","你的召喚物是否處于滿血狀態?"
"Ignite calculation mode:","點燃計算模式:"
"Controls how the base damage for ignite is calculated:","控制如何計算點燃的基礎傷害:"
"Average Damage: Ignite is based on the average damage dealt, factoring in crits and non-crits.","平均傷害: 基于平均傷害的點燃,包括暴擊和非暴擊."
"Crit Damage: Ignite is based on crit damage only.","暴擊傷害: 僅基于暴擊傷害的點燃."
"When In Combat","戰鬥狀態"
"Crit Damage","暴擊傷害"
"Aspect of the Avian:","【鳥之勢】:"
"Is Avian's Might active?","【鳥之力量】激活狀態?"
"Is Avian's Flight active?","【鳥之鬥魄】激活狀態?"
"Aspect of the Cat:","【貓之勢】:"
"Is Cat's Stealth active?","【貓之隱匿】激活狀態?"
"Is Cat's Agility active?","【貓之敏捷】激活狀態?"
"Aspect of the Crab:","【蟹之勢】:"
"# of Crab Barriers (if not maximum):","# 層【深海屏障】 (如果不是最大值)"
"Aspect of the Spider:","【蛛之勢】:"
"# of Spider's Web Stacks:","# 層蜘蛛網"
"Banner Skills:","旗幟技能:"
"Is Banner Planted?","旗幟已放置?"
"Banner Stages:","旗幟階層:"
"Bladestorm:","【劍刃風暴】:"
"Are you in a Bloodstorm?","是否處于血姿態?"
"Are you in a Sandstorm?","是否處于沙姿態?"
"Brand Skills:","烙印技能:"
"Is Attached to the Enemy?","烙印已附著的敵人?"
"Dark Pact:","【暗夜血契】:"
"Skeleton Life:","魔侍生命:"
"Sets the maximum life of the skeleton that is being targeted.","設置目標魔侍的最大生命."
"Deathmark:","【死亡印記】:"
"Is the enemy Deathmarked?","【死亡印記】的敵人?"
"Feeding Frenzy:","【狂噬】:"
"Is Feeding Frenzy active?","【狂噬】激活狀態?"
"Feeding Frenzy grants:","【狂噬】 獲得:"
"10% more Minion Damage","額外提高 10% 召喚物傷害"
"15% increased Minion Movement Speed","提高 15% 召喚物移動速度"
"15% increased Minion Attack and Cast Speed","提高 15% 召喚物攻擊和施法速度"
"Herald of Agony:","【苦痛之捷】:"
"# of Virulence Stacks:","# 【毒力】層數:"
"Ice Nova:","【冰霜新星】:"
"Cast on Frostbolt?","施放【寒冰彈】?"
"Infusion:","【灌注】:"
"Is Infusion active?","【灌注】激活狀態?"
"Innervate:","【閃電支配】:"
"Is Innervation active?","【閃電支配】激活狀態?"
"Intensify:","【法術凝聚】:"
"# of Intensity:","# 【法術凝聚】:"
"Meat Shield:","【肉盾】:"
"Is the enemy near you?","附近的敵人?"
"Raise Spectre:","【召喚靈體】:"
"Spectre Level:","靈體等級:"
"Sets the level of the raised spectre.","設置來提高靈體等級"
"The default level is the level requirement of the Raise Spectre skill.","默認等級為【召喚靈體】需求等級:"
"Enable curses:","啟用詛咒:"
"Enable any curse skills that your spectres have.","啟用靈體擁有的詛咒技能."
"Blade Vortex blade count:","【飛刃風暴】刀片數:"
"Sets the blade count for Blade Vortex skills used by spectres.","設置靈體擁有的【飛刃風暴】刀片數."
"Default is 1; maximum is 5.","默認為 1; 最大為 5."
"Scorching Ray Totem stage count:","【灼熱光線】圖騰階數:"
"Enable Summoned Ursa's Rallying Cry:","啟用【召喚之爪】的激勵戰吼:"
"Raise Spiders:","【召喚毒蛛】:"
"# of Spiders:","# 蜘蛛:"
"Siphoning Trap:","【虹吸陷阱】:"
"# of Enemies affected:","# 影響的敵人:"
"Sets the number of enemies affected by Siphoning Trap.","設置受【虹吸陷阱】影響的敵人數量."
"Stance Skills:","姿態技能:"
"Stance:","姿態:"
"Summon Holy Relic:","召喚 【召喚生物】:"
"Enable Holy Relic's Boon Aura:","啟用【召喚生物】光環:"
"Summon Lightning Golem:","召喚 【閃電魔像】:"
"Enable Wrath Aura:","啟用【雷霆】光環:"
"Vortex:","【漩渦】:"
"Wave of Conviction:","【定罪波】:"
"Exposure Type:","暴漏類型:"
"Winter Orb:","【寒冬寶珠】:"
"Stages:","等階:"
"Withering Touch:","【凋零之觸】:"
"# of Withered Stacks:","# 【死亡凋零】層數:"
"Map Prefix Modifiers:","地圖前綴加成:"
"Enemy Physical Damage reduction:","怪物物理傷害減傷:"
"'Armoured'","'裝甲的'"
