" Abyss"," 심연"
" Grasp"," 장악"
" Grinder"," 갈이개"
" Grip"," 손아귀"
" Guard"," 수호"
" Guardian"," 가디언"
" Guide"," 안내"
" Gutter"," 시궁창"
" Gyre"," 선회"
" Hail"," 칭송"
" Halo"," 후광"
" Hand"," 손"
" Harness"," 고삐"
" Heart"," 심장"
" Hide"," 가죽"
" Hold"," 유지"
" Hoof"," 발굽"
" Horn"," 뿔"
" Hunger"," 갈망"
" Idol"," 우상"
" Impaler"," 꼬챙이"
" Iridescence"," 무지개 빛깔"
" Jack"," 상인"
" Knell"," 전조"
" Knot"," 매듭"
" Knuckle"," 관절"
" Lash"," 채찍"
" League"," 리그"
" Leash"," 가죽끈"
" Leer"," 시선"
" Lock"," 자물쇠"
" Locket"," 갑 목걸이"
" Loop"," 고리"
" Mangler"," 파괴자"
" Mantle"," 외투"
" March"," 행진"
" Mark"," 징표"
" Mast"," 돛대"
" Medallion"," 메달리온"
" Mitts"," 미트"
" Nail"," 손톱"
" Nails"," 손톱"
" Needle"," 바늘"
" Nock"," 활시위"
" Noose"," 올가미"
" Pace"," 보조"
" Palm"," 손바닥"
" Paw"," 발"
" Peak"," 앞챙"
" Pelt"," 가죽모"
" Pendant"," 펜던트"
" Pile"," 더미"
" Pillar"," 기둥"
" Pith"," 핵심"
" Pole"," 기둥"
" Post"," 말뚝"
" Quill"," 화살"
" Rain"," 비"
" Ram"," 충격"
" Razor"," 면도날"
" Reach"," 역량"
" Rend"," 분리"
" Road"," 길"
" Roar"," 포효"
" Rock"," 바위"
" Rod"," 막대"
" Rook"," 성"
" Rosary"," 묵주"
" Ruin"," 유적"
" Salvation"," 구원"
" Sanctuary"," 성역"
" Saw"," 톱"
" Scalpel"," 수술칼"
" Scarab"," 갑충석"
" Scratch"," 찰과상"
" Sever"," 절단"
" Shackle"," 족쇄"
" Shatter"," 산산조각"
" Shell"," 껍질"
" Shelter"," 대피소"
" Shot"," 사격"
" Shroud"," 연막"
" Siege"," 공성"
" Skewer"," 꼬챙이"
" Skin"," 피부"
" Slayer"," 슬레이어"
" Slicer"," 썰기"
" Slippers"," 슬리퍼"
" Smasher"," 파쇄기"
" Snare"," 올가미"
" Sole"," 밑창"
" Song"," 노래"
" Span"," 발"
" Spark",불꽃
" Spawn"," 유충"
" Spear"," 창"
" Spell"," 주문"
" Sphere"," 구"
" Spike"," 가시"
" Spiker"," 가시등"
" Spiral"," 소용돌이"
" Spire"," 첨탑"
" Splitter"," 스플리터"
" Spur"," 박차"
" Star"," 별"
" Stinger"," 쐐기털"
" Strap"," 혁대"
" Stride"," 질주"
" Strike"," 일격"
" Suit"," 복장"
" Sunder"," 작렬"
" Talisman"," 부적"
" Talons"," 발톱"
" Tether"," 밧줄"
" Thirst"," 갈증"
" Thread"," 실타래"
" Thresher"," 도리깨"
" Thunder"," 천둥"
" Torc"," 목걸이 사슬"
" Touch"," 손길"
" Tower"," 탑"
" Track"," 통로"
" Trail"," 발자취"
" Tread"," 발걸음"
" Turn"," 선회"
" Twine"," 꼬임"
" Twirl"," 회전"
" Urge"," 열망"
" Veil"," 장막"
" Visage"," 얼굴"
" Vise"," 조임쇠"
" Visor"," 차양"
" Volley"," 사격 공세"
" Ward"," 수호"
" Watch"," 감시"
" Weaver"," 직공"
" Whorl"," 나사선"
" Wish"," 소망"
" Wind"," 바람"
" Wing"," 부속 건물"
" Wrap"," 겉옷"
" Wreck"," 붕괴"
" Watcher"," 감시자"
" Construct"," 구조물"
" Sentry"," 보초"
" Machine"," 장치"
" Keeper"," 보관자"
" Warden"," 간수"
" Artifice"," 책략"
" Inferno"," 지옥불"
" Caldera"," 칼데라"
" Volcano"," 화산"
" Lahar"," 화산이류"
" Magma"," 마그마"
" Firestorm"," 화염 폭풍"
" Cast"," 던지기"
" Line"," 낚싯줄"
" Tackle"," 낚시 도구"
" Lure"," 루어"
" Bait"," 미끼"
" Fish"," 물고기"
" Breach"," 균열"
" Angler"," 낚시꾼"
" Sinker"," 봉돌"
" Chum"," 밑밥"
" Gill"," 아가미"
" Jig"," 지그"
" Prism"," 분광기"
" Hope"," 희망"
" Dream"," 꿈"
" Bliss"," 지복"
" Delirium"," 섬망"
" Solace"," 위안"
" Wisdom"," 지혜"
" Desire"," 갈망"
" Creed"," 신념"
" Wound"," 상처"
" Blood"," 피의"
" Scar"," 흉터"
" Drop"," 방울"
" Essence"," 에센스"
" Dew"," 이슬"
" Ichor"," 영액"
" Stone"," 돌"
" Sliver"," 편린"
" Splinter"," 파편"
" Vessel"," 그릇"
" Joy"," 기쁨"
" Cut"," 조각"
" Glimmer"," 미광"
" Glisten"," 반짝임"
" Shine"," 광채"
" Ember"," 잉걸불"
" Lens"," 시점"
" Bloom"," 꽃"
" Breath"," 숨결"
" Pause"," 중지"
" Ornament"," 장신구"
" Curio"," 골동품"
" Flame"," 화염"
" Gaze"," 응시"
" Stare"," 눈초리"
" Vision"," 시각"
" Portent"," 전조"
" Sight"," 통찰력"
" Oculus"," 눈"
" Orb"," 구체"
" Writ"," 영장"
" Oath"," 서약"
" Deed"," 증서"
" Scripture"," 성서"
" Orders"," 명령서"
" Pledge"," 선서"
" Manifesto"," 성명서"
" Pact"," 맹약"
" Covenant"," 계약"
" Testament"," 증거"
" Vow"," 맹세"
" Tool"," 도구"
" Kit"," 공구"
" Gear"," 장비"
" Implement"," 기물"
" Device"," 장치"
" Apparatus"," 기구"
" Instrument"," 계기"
" Material"," 재료"
" Equipment"," 장착품"
" Contraption"," 고안품"
" Disguise"," 위장"
" Cover"," 덮개"
" Bauble"," 방울"
" Trinket"," 장신구"
" Fetish"," 숭배물"
" Bead"," 구슬"
" Relic"," 유물"
" Invitation"," 초대"
" Passage"," 통로"
" Key"," 열쇠"
" Offer"," 제안"
" Summons"," 소환"
" Bid"," 노력"
" Excursion"," 기행"
" Undertaking"," 일"
" Enterprise"," 사업"
" Exploration"," 원정"
" Journey"," 여정"
" Expedition"," 탐험"
" Voyage"," 항해"
" Trek"," 길"
" Campaign"," 작전"
" Quest"," 도전"
" Mission"," 임무"
" Colony"," 식민지"
" Outpost"," 전초기지"
" Mandate"," 통치"
" Territory"," 영토"
" Lands"," 땅"
" Excavation"," 발굴터"
" Tale"," 이야기"
" Saga"," 영웅담"
" Myth"," 신화"
" Ballad"," 담시"
" Folktale"," 설화"
" Rite"," 의례"
" Challenge"," 도전"
" Provocation"," 촉발"
" Instigation"," 교사"
" Incitement"," 조장"
" Invocation"," 기원"
" Liturgy"," 기도문"
" Inscription"," 명문"
" Zenith"," 북극성"
" Nadir"," 나락"
" District"," 구역"
" Cavern"," 암굴"
" Filth"," 오물"
" Clearing"," 빈터"
" Sands"," 모래밭"
" Lair"," 소굴"
" Hollow"," 동혈"
" Gallery"," 회랑"
" Den"," 굴"
" Hideaway"," 은신처"
" Mire"," 진창"
" Pool"," 웅덩이"
" Gulf"," 만"
" Spring"," 샘"
" Climb"," 고개"
" Range"," 등성이"
" Realm"," 영역"
" Turf"," 세력권"
" Bank"," 둑"
" Glade"," 풀숲"
" Landscape"," 풍경"
" Bluff"," 절벽"
" Swathe"," 대"
" Mass"," 운집"
" Rubble"," 돌덩이"
" Grounds"," 대지"
" Monolith"," 기둥"
" Corridors"," 복도"
" Alcove"," 벽감"
" Estate"," 영지"
" Crossroads"," 갈림길"
" Morass"," 수렁"
" Sludge"," 구렁"
