"Iron Gauntlets","철제 건틀릿"
"Runic Sollerets","룬 쇠구두"
"Runic Sabatons","룬 발 덮개"
"Plate Vest","판금 조끼"
Chestplate,"가슴 보호 갑옷"
"Copper Plate","구리 판금 갑옷"
"War Plate","전쟁용 판금 갑옷"
"Full Plate","전신 판금 갑옷"
"Arena Plate","투기장 판금 갑옷"
"Lordly Plate","위풍당당한 판금 갑옷"
"Bronze Plate","청동 판금 갑옷"
"Battle Plate","전투용 판금 갑옷"
"Sun Plate","태양의 판금 갑옷"
"Colosseum Plate","원형 경기장 판금 갑옷"
"Majestic Plate","압도적인 판금 갑옷"
"Golden Plate","황금 판금 갑옷"
"Crusader Plate","십자군 판금 갑옷"
"Astral Plate","우주의 판금 갑옷"
"Gladiator Plate","검투사 판금 갑옷"
"Glorious Plate","영광의 판금 갑옷"
"Kaom's Plate","카옴의 판금 갑옷"
"Shabby Jerkin","허름한 조끼"
"Strapped Leather","끈을 멘 가죽 갑옷"
"Buckskin Tunic","사슴가죽 튜닉"
"Wild Leather","거친 가죽 갑옷"
"Full Leather","전신 가죽 갑옷"
"Sun Leather","태양의 가죽 갑옷"
"Thief's Garb","도둑의 의복"
"Eelskin Tunic","장어가죽 튜닉"
"Frontier Leather","개척자 가죽 갑옷"
"Glorious Leather","영광의 가죽 갑옷"
"Coronal Leather","광환의 가죽 갑옷"
"Cutthroat's Garb","살인자의 의복"
"Sharkskin Tunic","상어가죽 튜닉"
"Destiny Leather","운명의 가죽 갑옷"
"Exquisite Leather","정교한 가죽 갑옷"
"Zodiac Leather","성좌의 가죽 갑옷"
"Assassin's Garb","암살자의 의복"
"Simple Robe","단순한 로브"
"Silken Vest","실크 조끼"
"Scholar's Robe","학자의 로브"
"Silken Garb","실크 의복"
"Mage's Vestment","마법사의 법의"
"Silk Robe","실크 로브"
"Cabalist Regalia","비법가 예복"
"Sage's Robe","현자의 로브"
"Silken Wrap","실크 외투"
"Conjurer's Vestment","요술사의 법의"
"Spidersilk Robe","거미줄 실크 로브"
"Destroyer Regalia","파괴자 예복"
"Savant's Robe","석학의 로브"
"Necromancer Silks","네크로맨서 실크 갑옷"
"Occultist's Vestment","오컬티스트의 법의"
"Widowsilk Robe","과부거미줄 실크 로브"
"Vaal Regalia","바알 예복"
"Scale Vest","미늘 조끼"
"Light Brigandine","가벼운 브리간딘"
"Scale Doublet","비늘 더블릿"
"Infantry Brigandine","보병 브리간딘"
"Full Scale Armour","전신 미늘 갑옷"
"Soldier's Brigandine","병사용 브리간딘"
"Field Lamellar","야전 라멜라"
"Wyrmscale Doublet","아룡 비늘 더블릿"
"Hussar Brigandine","경기병 브리간딘"
"Full Wyrmscale","전신 아룡 비늘 갑옷"
"Commander's Brigandine","지휘관의 브리간딘"
"Battle Lamellar","전투용 라멜라"
"Dragonscale Doublet","용 비늘 더블릿"
"Desert Brigandine","사막 브리간딘"
"Full Dragonscale","전신 용 비늘 갑옷"
"General's Brigandine","장군의 브리간딘"
"Triumphant Lamellar","승리의 라멜라"
"Chainmail Vest","사슬 조끼"
"Chainmail Tunic","사슬 튜닉"
"Ringmail Coat","외투 고리 갑옷"
"Chainmail Doublet","사슬 더블릿"
"Full Ringmail","전신 고리 갑옷"
"Full Chainmail","전신 사슬 갑옷"
"Holy Chainmail","성스러운 사슬 갑옷"
"Latticed Ringmail","격자형 고리 갑옷"
"Crusader Chainmail","십자군 사슬 갑옷"
"Ornate Ringmail","화려한 고리 갑옷"
"Chain Hauberk","쇠사슬 갑옷"
"Devout Chainmail","신도 사슬 갑옷"
"Loricated Ringmail","단단한 고리 갑옷"
"Conquest Chainmail","점령자의 사슬 갑옷"
"Elegant Ringmail","고상한 고리 갑옷"
"Saint's Hauberk","성인의 쇠사슬 갑옷"
"Saintly Chainmail","성인의 사슬 갑옷"
"Padded Vest","패드 조끼"
"Oiled Vest","기름칠된 조끼"
"Padded Jacket","패드 재킷"
"Oiled Coat","기름칠된 외투"
"Scarlet Raiment","다홍색 의복"
"Waxed Garb","밀랍재질 의복"
"Bone Armour","뼈 갑옷"
"Quilted Jacket","누비 재킷"
"Sleek Coat","매끈한 외투"
"Crimson Raiment","진홍색 의복"
"Lacquered Garb","옻칠한 의복"
"Crypt Armour","지하실 갑옷"
"Sentinel Jacket","파수꾼 재킷"
"Varnished Coat","광택 나는 외투"
"Blood Raiment","피의 의복"
"Sadist Garb","가학자 의복"
"Carnal Armour","육욕의 갑옷"
"Sacrificial Garb","희생의 의복"
"Golden Mantle","황금 외투"
"Grasping Mail","탐욕스러운 사슬옷"
"Iron Hat","철제 투구"
"Cone Helmet","원뿔 투구"
"Barbute Helmet","철갑 투구"
"Close Helmet","폐쇄형 투구"
"Gladiator Helmet","검투사 투구"
"Reaver Helmet","강탈자 투구"
"Siege Helmet","공성 투구"
"Samnite Helmet","삼니움 투구"
"Ezomyte Burgonet","에조미어 기병 투구"
"Royal Burgonet","왕실 기병 투구"
"Eternal Burgonet","영원의 기병 투구"
"Leather Cap","가죽 모자"
Tricorne,삼각모
"Leather Hood","가죽 두건"
"Wolf Pelt","늑대 가죽모"
"Hunter Hood","사냥꾼 두건"
"Noble Tricorne","귀족 삼각모"
"Ursine Pelt","곰 가죽모"
"Silken Hood","실크 두건"
"Sinner Tricorne","죄인 삼각모"
"Lion Pelt","사자 가죽모"
"Vine Circlet","덩굴 관"
"Iron Circlet","철제 관"
"Torture Cage","고문용 창살"
"Tribal Circlet","부족 관"
"Bone Circlet","뼈의 관"
"Lunaris Circlet","달의 관"
"Steel Circlet","강철 관"
"Necromancer Circlet","네크로맨서 관"
"Solaris Circlet","태양의 관"
"Mind Cage","정신의 창살"
"Hubris Circlet","자만의 관"
"Battered Helm","닳은 헬름"
Sallet,샐릿
"Visored Sallet","차양 단 샐릿"
"Gilded Sallet","도금 샐릿"
"Secutor Helm","호위병 샐릿"
"Fencer Helm","검사 샐릿"
"Lacquered Helmet","옻칠한 투구"
"Fluted Bascinet","홈이 긴 배서닛"
"Pig-Faced Bascinet","돼지 머리 배서닛"
"Nightmare Bascinet","악몽의 배서닛"
"Sorrow Mask","슬픔 가면"
"Atonement Mask","속죄 가면"
"Penitent Mask","참회 가면"
"Rusted Coif","녹슨 코이프"
"Soldier Helmet","병사 투구"
"Great Helmet","대형 투구"
"Crusader Helmet","십자군 투구"
"Aventail Helmet","쇠사슬 투구"
"Zealot Helmet","맹신자 투구"
"Great Crown","대형 왕관"
"Magistrate Crown","재판관 왕관"
"Prophet Crown","예언자 왕관"
"Praetor Crown","집정관 왕관"
"Imp Crown","임프 왕관"
"Demon Crown","악마 왕관"
"Archdemon Crown","대악마 왕관"
"Scare Mask","허수아비 가면"
"Plague Mask","역병 가면"
"Iron Mask","철 가면"
"Festival Mask","축제용 가면"
"Golden Mask","황금 가면"
"Raven Mask","큰까마귀 가면"
"Callous Mask","냉담한 가면"
"Regicide Mask","왕 시해자 가면"
"Harlequin Mask","할리퀸 가면"
"Vaal Mask","바알 가면"
"Deicide Mask","신살자 가면"
"Gale Crown","강풍 왕관"
"Winter Crown","겨울 왕관"
"Blizzard Crown","눈보라 왕관"
"Golden Wreath","황금 화관"
"Golden Visage","황금 얼굴"
"Bone Helmet","뼈 투구"
"Runic Helm","룬 투구"
"Runic Crest","룬 관모"
"Runic Crown","룬 왕관"
"Lochtonial Caress","록토니얼의 손길"
Giantsbane,"거대한 파멸"
"Meginord's Vise","메기노드의 조임쇠"
"Meginord's Vigour","메기노드의 활력"
"Winds of Change","변화의 바람"
Hateforge,"증오의 탄생"
"Empire's Grasp","제국의 손아귀"
"Atziri's Acuity","앗지리의 예리함"
"Doryani's Fist","도리아니의 주먹"
"Replica Atziri's Acuity","앗지리의 예리함 모조품"
"Veruso's Battering Rams","베루소의 공성추"
"Craiceann's Pincers","크라칸의 집게"
"Kaom's Spirit","카옴의 혼백"
Ironweld,"쇠 용접"
Hrimsorrow,흐림소로우
Hrimburn,흐림번
"Maligaro's Virtuosity","말리가로의 기교"
Oskarm,오스캄
"Great Old One's Tentacles","위대한 고대 신의 촉수"
Painseeker,"고통 탐구자"
"Mercenary's Lot","용병의 운명"
"Sadima's Touch","사디마의 손길"
"Doedre's Tenure","도이드리의 임기"
"Doedre's Malevolence","도이드리의 악의"
"Asenath's Gentle Touch","아세나스의 부드러운 손길"
"Vixen's Entrapment","암여우의 함정"
Allelopathy,"생존 경쟁"
"Demon Stitcher","악마 봉합자"
"Replica Allelopathy","생존 경쟁 모조품"
"Kalisa's Grace","칼리사의 은총"
"Arimagius' Honor","아리마기우스의 명예"
"Replica Kalisa's Grace","칼리사의 은총 모조품"
Voidbringer,"공허 인도자"
"Grip of the Council","의회의 장악"
"Replica Grip of the Council","의회의 장악 모조품"
Wurmfist,"웜의 주먹"
"Flesh and Spirit","육체와 영혼"
Slitherpinch,"뱀의 손길"
"Vaal Caress","바알의 손길"
Aurseize,아우르시즈
Tombfist,툼피스트
Haemophilia,혈우병
Wyrmsign,"아룡의 징조"
"Tanu Ahi","타누 아히"
"Farrul's Pounce","페룰의 급습"
Breathstealer,숨결강탈자
Gravebind,"무덤의 속박"
Surgebinders,"몰려드는 격동"
Worldcarver,세계분쇄기
Waycarver,개척가
"Shackles of the Wretched","불운아의 족쇄"
"Triad Grip","삼합의 손아귀"
"Command of the Pit","구덩이의 지배자"
"Volkuur's Guidance","볼쿠르의 인도"
"Replica Volkuur's Guidance","볼쿠르의 인도 모조품"
"Hand of the Fervent","열렬한 자의 손"
Southbound,남행
"Saqawal's Winds","사카왈의 바람"
"Null and Void","무효와 공허"
"Offering to the Serpent","독사에게 바치는 공물"
Repentance,참회
"Shaper's Touch","쉐이퍼의 손길"
"Hands of the High Templar","고위 템플러의 손"
"Ondar's Clasp","온다르의 걸쇠"
Facebreaker,페이스브레이커
"Shadows and Dust","그림자와 먼지"
"Aukuna's Will","아우카나의 의지"
"Deadman's Hand","망자의 손길"
"Slavedriver's Hand","노예 감독관의 손길"
"Architect's Hand","건축가의 손길"
"Abhorrent Interrogation","혐오스러운 취조"
Stormseeker,"폭풍 탐구자"
"The Embalmer","시체처리사의 장갑"
"Fenumus' Weave","페누무스의 매듭"
"Algor Mortis","사후 냉각"
"Soul Ascension","영혼 승천"
Snakebite,"뱀 이빨"
"Blasphemer's Grasp","신성 모독자의 장악"
"Storm's Gift","태풍의 선물"
"Entropic Devastation","엔트로피의 유린"
Thunderfist,"천둥 주먹"
"Malachai's Mark","말라카이의 징표"
"Machina Mitts","마키나 미트"
"Demigod's Touch","반신의 손길"
"Ceaseless Feast","끊임없는 연회"
"Black Zenith","검은 북극성"
Nightgrip,밤손아귀
"Medved's Challenge","메드베드의 도전"
Stormcharger,"태풍 돌격대"
Windscream,"바람의 괴성"
Windshriek,"바람의 비명"
"Torchoak Step","횃불 참나무 층계"
"Redblade Tramplers","적검단 유린자"
"Kahuturoa's Certainty","카후투로아의 확신"
"Craiceann's Tracks","크라칸의 발자국"
Rumblemarch,"요란한 행진"
Dawnstrider,"여명 질주자"
"Kaom's Roots","카옴의 근본"
"The Infinite Pursuit","끝없는 추적"
"The Red Trail","붉은 발자취"
"Doryani's Delusion","도리아니의 기만"
"Replica Red Trail","붉은 발자취 모조품"
"Seven-League Step","바람의 걸음"
"Victario's Flight","빅타리오의 비상"
"Abberath's Hooves","아버라스의 발굽"
Deerstalker,"사슴 추적자"
Goldwyrm,"황금 아룡"
"Orbala's Stand","오발라의 항전"
"The Blood Dance","피의 춤"
"Three-step Assault","삼단 공격"
"Replica Three-step Assault","삼단 공격 모조품"
"Temptation Step","유혹의 발걸음"
"Sin Trek","죄악의 여정"
"Garukhan's Flight","가루칸의 비행"
"Atziri's Step","앗지리의 걸음"
"Farrul's Chase","페룰의 추적"
Wanderlust,방랑벽
Wondertrap,"기적의 발판"
Greedtrap,"탐욕의 발판"
"Bones of Ullr","울러의 뼈"
"Ullr's Advent","울러의 출현"
"Replica Bones of Ullr","울러의 뼈 모조품"
"Shavronne's Pace","샤브론의 보폭"
"Shavronne's Gambit","샤브론의 책략"
Rainbowstride,"무지갯빛 발걸음"
"Inya's Epiphany","이냐의 통찰"
"Replica Inya's Epiphany","이냐의 통찰 모조품"
"Steppan Eard","스테판 야드"
Skyforth,"하늘 달리기"
Dusktoe,"황혼의 끝자락"
Ghostmarch,"유령의 행진"
Duskblight,"황혼의 황폐"
"Lioneye's Paws","라이온아이의 발"
"Replica Lioneye's Paws","라이온아이의 발 모조품"
"Mutewind Whispersteps","고요한 바람단의 속삭임 신발"
"Legacy of Fury","광분의 유산"
"Saqawal's Talons","사카왈의 발톱"
"Darkray Vectors","어두운 빛의 궤적"
"Annihilation's Approach","전멸의 접근"
"Wake of Destruction","파괴의 경야"
"Ralakesh's Impatience","랄라케쉬의 조바심"
"Alberon's Warpath","알베른의 적대"
"Replica Alberon's Warpath","알베른의 적대 모조품"
"Gang's Momentum","무리의 추진력"
"March of the Legion","군단의 행진"
"Death's Door","죽음의 문턱"
"Nomic's Storm","노믹의 태풍"
Battlehaste,"신속 전투"
Sundance,"태양을 보는 춤"
Sunspite,"태양의 원한"
"Brinerot Whalers","부패한 염수단 고래잡이 신발"
"Dance of the Offered","제물의 춤"
Omeyocan,오메이오칸
Corpsewalker,"시체 보행자"
"Fenumus' Spinnerets","페누무스의 방사 돌기"
"The Stampede",쇄도
"Replica Stampede","쇄도 모조품"
Voidwalker,"공허 보행자"
"Bubonic Trail","죽음의 자취"
"Replica Voidwalker","공허 보행자 모조품"
"Demigod's Stride","반신의 질주"
"Beacon of Madness","광기의 신호"
"Inextricable Fate","불가분한 운명"
"Olroth's Charge","올로스의 돌진"
"Vorana's March","보라나의 행진"
Bramblejack,"가시나무 갑옷"
"Wall of Brambles","가시나무 벽"
"Solaris Lorica","솔라리스 흉갑"
"Utula's Hunger","우툴라의 굶주림"
"Greed's Embrace","탐욕의 포옹"
"Prospero's Vault","프로스페로의 금고"
"Craiceann's Carapace","크라칸의 등딱지"
"Lioneye's Vision","라이온아이의 시각"
"The Iron Fortress","철의 요새"
"Death's Oath","죽음의 서약"
Blunderbore,블런더보어
"The Brass Dome","황동 철갑"
"Kaom's Heart","카옴의 심장"
Perfidy,배반
"Replica Kaom's Heart","카옴의 심장 모조품"
"Dewath's Hide","드워스의 가죽"
Wildwrap,"황야의 겉옷"
Ashrend,"부서진 잿더미"
Foxshade,"여우 그림자"
"Fox's Fortune","여우의 행운"
Briskwrap,"활력의 겉옷"
"Bronn's Lithe","브론의 융통성"
"The Rat Cage",쥐덫
"Queen of the Forest","숲의 여왕"
Kintsugi,킨츠키
"Yriel's Fostering","이리엘의 훈육"
"Hyrri's Ire","하이리의 노여움"
"The Snowblind Grace","설맹의 은총"
"The Perfect Form","완벽한 구조"
"Replica Perfect Form","완벽한 구조 모조품"
"Cospri's Will","코스프리의 의지"
"Tabula Rasa","타뷸라 라사"
"Thousand Ribbons","천 개의 리본"
"Skin of the Loyal","충신의 가죽"
"Skin of the Lords","군주의 가죽"
Ghostwrithe,"유령의 몸서리"
"Cloak of Flame","화염의 망토"
"Zahndethus' Cassock","잔데투스의 성직복"
"Dialla's Malefaction","디알라의 악행"
"The Covenant",계약
"Soul Mantle","영혼의 외투"
"The Coming Calamity","다가오는 대재난"
"Cloak of Tawm'r Isley","탐위르 이슬리의 망토"
"Garb of the Ephemeral","덧없는 자의 의복"
"Vis Mortis","비스 모티스"
Fleshcrafter,살점조각사
"Shavronne's Wrappings","샤브론의 겉옷"
"Infernal Mantle","지옥불 외투"
"Doedre's Skin","도이드리의 가죽"
"Fenumus' Shroud","페누무스의 연막"
"The Beast Fur Shawl","야수 모피 숄"
"The Queen's Hunger","여왕의 갈망"
"Viper's Scales","독사의 비늘"
"Gruthkul's Pelt","그루스컬의 가죽"
"Belly of the Beast","짐승의 소굴"
"Lightning Coil","번개 도선"
"Daresso's Defiance","다레소의 저항"
"Cherrubim's Maleficence","체루빔의 악행"
"Farrul's Fur","페룰의 모피"
"Replica Farrul's Fur","페룰의 모피 모조품"
"Voll's Protector","볼의 보호자"
Icetomb,"얼음 묘지"
"Crystal Vault","수정 금고"
"Ambu's Charge","앰부의 돌진"
"Replica Ambu's Charge","앰부의 돌진 모조품"
"Lightbane Raiment","사그라든 빛의 의복"
"The Fourth Vow","네 번째 맹세"
"Rotting Legion","썩어가는 군단"
Kingsguard,"왕의 보호구"
"Geofri's Sanctuary","조프리의 성역"
Loreweave,"지식의 매듭"
"Replica Loreweave","지식의 매듭 모조품"
Spiritskin,영혼가죽
Sporeguard,"포자 수호"
"The Ivory Tower",상아탑
"Doryani's Prototype","도리아니의 프로토타입"
"Incandescent Heart","백열하는 심장"
"Chains of Command","지휘관의 사슬"
Bloodbond,피붙이
"Cloak of Defiance","저항의 망토"
"Victario's Influence","빅타리오의 영향력"
Dendrobate,"화살독 갑옷"
"Expedition's End","탐험의 끝"
"Carcass Jack","시체 상인"
"The Admiral",제독
"Saqawal's Nest","사카왈의 둥지"
"The Eternity Shroud","영원의 연막"
"Replica Eternity Shroud","영원의 연막 모조품"
Tinkerskin,"톱니의 보호"
"Inpulsa's Broken Heart","인펄사의 상심"
"Doppelgänger Guise","도플갱어 위장"
"The Restless Ward","끊임없는 수호"
"Shroud of the Lightless","무광의 연막"
"Replica Shroud of the Lightless","무광의 연막 모조품"
"Replica Restless Ward","끊임없는 수호 모조품"
"Stasis Prison","정체 감옥"
"Atziri's Splendour","앗지리의 위풍"
Shadowstitch,"그림자 봉합"
"Demigod's Dominance","반신의 지배"
"Ezomyte Peak","에조미어의 면갑"
"Tear of Entropy","엔트로피의 눈물"
"Ezomyte Hold","에조미어의 방호"
Thrillsteel,전율강철
"The Baron",남작
"Blood Price","피의 대가"
"Hrimnor's Resolve","흐림노르의 결의"
Abyssus,"깊은 심연"
"Cowl of the Thermophile","고열애호가의 고깔"
"Replica Abyssus","깊은 심연 모조품"
"The Formless Flame","무형의 불꽃"
"The Formless Inferno","무형의 지옥불"
"Echoes of Creation","창조의 메아리"
"Usurper's Penance","찬탈자의 속죄"
Goldrim,금테
"Fairgraves' Tricorne","페어그레이브즈의 삼각모"
Heatshiver,"열기와 오한"
Frostferno,"서리와 화염"
Elevore,원소포식
"Rat's Nest","쥐의 둥지"
"Starkonja's Head","스타콘자의 머리"
"Saqawal's Flock","사카왈의 무리"
"Cowl of the Cryophile","냉동애호가의 고깔"
"Alpha's Howl","우두머리의 울부짖음"
Assailum,공격병동
"Replica Alpha's Howl","우두머리의 울부짖음 모조품"
Obscurantis,몽매주의
"Crown of Thorns","가시 왕관"
"Martyr's Crown","순교자의 왕관"
"Asenath's Mark","아세나스의 징표"
"Asenath's Chant","아세나스의 노래"
"Wreath of Phrecia","프레시아의 화관"
"Vizaru's Folly","비자루의 어리석음"
"Mark of the Red Covenant","붉은 계약의 징표"
Wraithlord,"악령 군주"
"Plume of Pursuit","추적의 깃털"
"Doedre's Scorn","도이드리의 멸시"
"Maw of Conquest","정복지의 구렁텅이"
"Sudden Dawn",개벽
"Chitus' Apex","치투스의 정점"
"Fenumus' Toxins","페누무스의 독소"
"The Devouring Diadem","걸신들린 왕관"
"Sandstorm Visage","모래 폭풍의 얼굴"
Flamesight,"불꽃 시야"
Farsight,"멀리 보는 자"
Galesight,"강풍 시야"
Thundersight,"천둥 시야"
"Cowl of the Ceraunophile","번개애호가의 고깔"
"Wilma's Requital","윌마의 보답"
"Rime Gaze","냉기의 시선"
"Scold's Bridle","꾸짖음의 굴레"
"Hale Negator","건장한 부정자"
"Crown of Eyes","눈알 왕관"
"Ylfeban's Trickery","일프밴의 계략"
"Eber's Unification","이버의 통합"
Indigon,인디곤
"The Peregrine",송골매
Deidbell,"죽음의 종"
Deidbellow,"죽음의 괘종"
Skullhead,"두개골 투구"
"El'Abin's Visage","엘라빈의 얼굴"
"Black Sun Crest","검은 태양 문양"
"The Fledgling",풋내기
Lawbreaker,범법자
"Crest of Desire","갈망의 문양"
"The Bringer of Rain","비의 인도자"
"Devoto's Devotion","드보토의 헌신"
Honourhome,"명예의 총본산"
Honourhold,"명예의 지배"
"Veil of the Night","밤의 장막"
"Replica Veil of the Night","밤의 장막 모조품"
Mindspiral,"정신의 소용돌이"
"Kitava's Thirst","키타바의 갈증"
"Geofri's Crest","조프리의 문양"
Lightpoacher,"빛의 밀렵꾼"
"Geofri's Legacy","조프리의 유산"
"Forbidden Shako","금단의 샤코"
"Replica Forbidden Shako","금단의 샤코 모조품"
"Craiceann's Chitin","크라칸의 키틴질"
"Mask of the Spirit Drinker","영혼 흡수자의 가면"
"Mask of the Stitched Demon","꿰맨 악마의 가면"
"Crown of the Tyrant","폭군의 왕관"
"Mask of the Tribunal","재판소의 가면"
"The Broken Crown","부서진 왕관"
"The Brine Crown","염수 왕관"
"Speaker's Wreath","연설가의 화관"
"Crown of the Inward Eye","심안의 왕관"
"Voll's Vision","볼의 시각"
"Malachai's Vision","말라카이의 시각"
"Ahn's Contempt","안의 경멸"
"Memory Vault","기억의 금고"
"Viridi's Veil","비리디의 장막"
"Curtain Call",커튼콜
"Malachai's Simula","말라카이의 위장막"
"Malachai's Awakening","말라카이의 각성"
"Leer Cast","음흉한 시선"
"Replica Leer Cast","음흉한 시선 모조품"
"The Three Dragons","세 마리의 용"
Willclash,"의지의 충돌"
"The Gull",갈매기
"The Tempest's Binding","폭풍의 속박"
"Eye of Malice","적의의 눈"
"The Tempest's Liberation","폭풍의 해방"
"Crown of the Pale King","창백한 왕의 왕관"
"Gorgon's Gaze","고르곤의 응시"
"Akoya's Gaze","아코야의 응시"
"Mind of the Council","의회의 정신"
"Farrul's Bite","페룰의 이빨"
"The Vertex",최정점
"Fractal Thoughts","프랙털 사상"
"Glimpse of Chaos","혼돈의 섬광"
"Heretic's Veil","이단자의 면사포"
"Demigod's Triumph","반신의 성공"
"Demigod's Immortality","반신의 불멸"
"Maw of Mischief","말썽의 나락"
"Ancient Skull","고대 해골"
Faithguard,"신념의 수호"
"Cadigan's Crown","캐디건의 왕관"
"Precursor Gauntlets","선도자 건틀릿"
"Leviathan Gauntlets","레비아탄 건틀릿"
"Preserving Gauntlets","보전의 건틀릿"
"Guarding Gauntlets","수호의 건틀릿"
"Thwarting Gauntlets","좌절의 건틀릿"
"Harpyskin Gloves","하피가죽 장갑"
"Velour Gloves","벨루어 장갑"
