"# of Nearby Corpses:","근처 시체 수:"
"% to not Consume:","충전 미-소모 확률:"
"%Inc Armour from Tree","방어도 증가%(패시브)"
"%Inc ES from Tree","에너지 보호막 증가%(패시브)"
"%Inc Evasion from Tree","회피 증가%(패시브)"
"%Inc Life from Tree","생명력 증가%(패시브)"
"%Inc Mana from Tree","마나 증가%(패시브)"
"(the above table shows that when the enemy has X ailment threshold, you poison for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 중독을 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you sap for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 활력감소를 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you scorch for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 그을림을 주는 것을 보여줍니다)"
"(the above table shows that when the enemy has X ailment threshold, you shock for Y)","(위 표는 적의 상태 이상 임계치가 X일 때 Y에 대한 감전을 주는 것을 보여줍니다)"
"(trauma per attack)","(공격당 외상)"
"* {0} (1 - chance to avoid stun)","^7x {0} ^8(1 - 기절을 회피할 확률)"
"* {0} (Bleed DoT Multi for Crit)","^7x {0} ^8(치명타의 출혈 지속피해 배율)"
"* {0} (Bleed DoT Multi for Non-Crit)","^7x {0} ^8(비-치명타의 출혈 지속피해 배율)"
"* {0} (Bleed DoT Multi)","^7x {0} ^8(출혈 지속피해 배율)"
"* {0} (Ignite DoT Multi for Crit)","^7x {0} ^8(치명타의 점화 지속피해 배율)"
"* {0} (Ignite DoT Multi for Non-Crit)","^7x {0} ^8(비-치명타의 점화 지속피해 배율)"
"* {0} (Mana cost of trigger source)","^7x {0} ^8(발동 소스의 마나 소모)"
"* {0} (effective DPS modifier)","^7x {0} ^8(유효 DPS 보정)"
"* {0} (effective enemy stun damage)","^7x {0} ^8(유효한 적 기절 피해)"
"* {0} (enemy crit effect)","^7x {0} ^8(적 치명타 효과)"
"* {0} (increased threshold)","^7x {0} ^8{한계치 증가}"
"* {0} (mana cost conversion)","^7x {0} ^8(마나 소모 전환)"
"* {0} (modifiers to enemy damage)","^7x {0} ^8(적 피해 보정)"
"* {0} (percent of damage recouped)","^7x {0} ^8(피해 회복율)"
"* {0} (recovery rate modifier)","^7x {0} ^8(회생 속도 보정)"
"* {0}% (percent as burning ground)","^7x {0}% ^8(용암지대 비율)"
"+ Enemy Pen: {0}","+ 적 관통: {0}"
"+ Net Energy Shield Regen: {0}","+ 순 에너지 보호막 재생: {0}"
"+ Net Mana Regen: {0}","+ 순 마나 재생: {0}"
"+ {0} (recovery)","^7+ {0} ^8(회복)"
"+ {0} to {1} (added damage)","^7+ {0} ∼ {1} ^8(추가 피해)"
"+ {0} x {1} (chance from crits)","^7+ {0} x {1} ^8(치명타 확률)"
"+ {0} x {1} (damage from crits)","^7+ {0} x {1} ^8(치명타 피해에서)"
"+ {0} x {1} (portion of damage from crits)","^7+ {0} x {1} ^8(치명타 피해 배율에서)"
"+1 per 6 Evasion On Body Armour","장착한 갑옷의 회피 6당 에너지 보호막 최대치 +1"
"+2 per 10 Devotion","헌신 10당 +2"
"+5 per 1 Energy Shield On Helmet","장착한 투구의 에너지 보호막 최대치 1당 +5"
"- %d (- mana cost)","- {0} (- 마나 소모)"
"- {0} (degen)","^7- {0} ^8(희생)"
"- {0} (total life degen)","^7- {0} ^8(총 생명력 감소)"
"- {0} (total mana degen)","^7- {0} ^8(총 마나 감소)"
"- {0}% (penetration)","- ^7{0}% ^8(관통)"
"/ %.2f (burn rate modifier)","/ ^7{0} ^8(연소 속도 보정)"
"/ {0} (Chance to even be hit)","^7/ {0} ^8(타격을 받을 확률)"
"/ {0} (Estimated impact of skill rotation and cooldown alignment)","^7/ {0} ^8(스킬 순환 및 재사용 대기시간 정렬의 예상 영향)"
"/ {0} (Manaforged trigger threshold)","^7/ {0} ^8(마나벼림 발동 임계값)"
"/ {0} (damage rate modifier)","/ ^7{0} ^8(피해율 보정)"
"/ {0} (debuff expires slower/faster)","/ ^7{0} ^8(디버프 시간 느리게/빠르게 만료)"
"/ {0} (enemy action speed)","^7/ {0} ^8(적 동작 속도)"
"/ {0} (faster start)","^7/ {0} ^8(빠른 시작)"
"/ {0} (increased/reduced cooldown recovery)","/ ^7{0} ^8(재사용 대기시간 증가/감소)"
"/ {0} (increased/reduced enemy stun recovery)","/ ^7{0} ^8(적의 기절 회복 증가 / 감소)"
"/ {0} (increased/reduced recovery)","^7/ {0} ^8(회복 증가/감소)"
"/ {0} (max number of stacks)","^7/ {0} ^8(최대 중첩 수)"
"/ {0} (modifiers to damage taken)","^7/ {0} ^8(받는 피해 보정)"
"/ {0} (modifiers to enemy damage)","^7/ {0} ^8(적 피해 보정)"
"/ {0} (over {1} seconds)","^7/ {0} ^8({1}초 이상)"
"/ {0} (portion taken from guard)","^7/ {0} ^8(수호가 대신 맞아주는 부분)"
"/ {0} (portion taken from mana)","^7/ {0} ^8(마나에서 받는 부분)"
"/ {0} (stun threshold)","/ ^7{0} ^8(적 기절 한계치)"
"/ {0} (total time of the recoup (survival time + {1} seconds))","^7/ {0} ^8(총 회복 시간 (생존 시간 + {1} 초))"
"1% per 2 Quality On Weapon 1","주무기의 퀄리티 2당 1%"
"1% per 4 Quality On Weapon 1","주무기 퀄리티 4당 1%"
"1% per 4 Quality On Weapon 2","보조무기 퀄리티 4당 1%"
"1% per Grasping Vines Count","탐욕스로운 덩굴 하나당 1%"
"10% per Green Socket In Weapon 1","주 무기의 초록 홈 하나당 회피 증가"
"10% per Red Socket In Weapon 1","주 무기의 빨간 홈 하나당 방어도 증가"
"4.00s (base duration)","^74.00s ^8(기본 지속시간)"
"= (area where wave can spawn to damage enemy) / (total area)","= (파동이 생성되어 적에게 피해를 줄 수 있는 지역) / (총 범위)"
"= Total Net Regen: {0}","= 총 순 재생: {0}"
"= {0} (Added Chaos Damage trigger threshold)","^7= {0} ^8(카오스 피해 추가의 발동 임계값)"
"= {0} (Added Cold Damage trigger threshold)","^7= {0} ^8(냉기 피해 추가의 발동 임계값)"
"= {0} (Added Fire Damage trigger threshold)","^7= {0} ^8(화염 피해 추가의 발동 임계값)"
"= {0} (Added Lightning Damage trigger threshold)","^7= {0} ^8(번개 피해 추가의 발동 임계값)"
"= {0} (Additional Accuracy trigger threshold)","^7= {0} ^8(정확도 추가의 발동 임계값)"
"= {0} (Advanced Traps trigger threshold)","^7= {0} ^8(향상된 덫의 발동 임계값)"
"= {0} (Ancestral Call trigger threshold)","^7= {0} ^8(선대의 부름의 발동 임계값)"
"= {0} (Arcane Surge trigger threshold)","^7= {0} ^8(비전 쇄도의 발동 임계값)"
"= {0} (Archmage trigger threshold)","^7= {0} ^8(대마법사의 발동 임계값)"
"= {0} (Arrogance trigger threshold)","^7= {0} ^8(오만의 발동 임계값)"
"= {0} (Arrow Nova trigger threshold)","^7= {0} ^8(화살 산개의 발동 임계값)"
"= {0} (Awakened Added Chaos Damage trigger threshold)","^7= {0} ^8(각성한 카오스 피해 추가의 발동 임계값)"
"= {0} (Awakened Added Cold Damage trigger threshold)","^7= {0} ^8(각성한 냉기 피해 추가의 발동 임계값)"
"= {0} (Awakened Added Fire Damage trigger threshold)","^7= {0} ^8(각성한 화염 피해 추가의 발동 임계값)"
"= {0} (Awakened Added Lightning Damage trigger threshold)","^7= {0} ^8(각성한 번개 피해 추가의 발동 임계값)"
"= {0} (Awakened Ancestral Call trigger threshold)","^7= {0} ^8(각성한 선대의 부름의 발동 임계값)"
"= {0} (Awakened Arrow Nova trigger threshold)","^7= {0} ^8(각성한 화살 산개의 발동 임계값)"
"= {0} (Awakened Blasphemy trigger threshold)","^7= {0} ^8(각성한 신성 모독의 발동 임계값)"
"= {0} (Awakened Brutality trigger threshold)","^7= {0} ^8(각성한 포악함의 발동 임계값)"
"= {0} (Awakened Burning Damage trigger threshold)","^7= {0} ^8(각성한 화상 피해의 발동 임계값)"
"= {0} (Awakened Cast On Critical Strike trigger threshold)","^7= {0} ^8(각성한 치명타 시 시전의 발동 임계값)"
"= {0} (Awakened Cast While Channelling trigger threshold)","^7= {0} ^8(각성한 집중 유지 중 시전의 발동 임계값)"
"= {0} (Awakened Chain trigger threshold)","^7= {0} ^8(각성한 연쇄의 발동 임계값)"
"= {0} (Awakened Cold Penetration trigger threshold)","^7= {0} ^8(각성한 냉기 관통의 발동 임계값)"
"= {0} (Awakened Controlled Destruction trigger threshold)","^7= {0} ^8(각성한 제어된 파괴의 발동 임계값)"
"= {0} (Awakened Deadly Ailments trigger threshold)","^7= {0} ^8(각성한 치명적인 상태 이상의 발동 임계값)"
"= {0} (Awakened Elemental Damage with Attacks trigger threshold)","^7= {0} ^8(각성한 공격 시 원소 피해의 발동 임계값)"
"= {0} (Awakened Elemental Focus trigger threshold)","^7= {0} ^8(각성한 원소 집중의 발동 임계값)"
"= {0} (Awakened Empower trigger threshold)","^7= {0} ^8(각성한 강화의 발동 임계값)"
"= {0} (Awakened Enhance trigger threshold)","^7= {0} ^8(각성한 향상의 발동 임계값)"
"= {0} (Awakened Enlighten trigger threshold)","^7= {0} ^8(각성한 계몽의 발동 임계값)"
"= {0} (Awakened Fire Penetration trigger threshold)","^7= {0} ^8(각성한 화염 관통의 발동 임계값)"
"= {0} (Awakened Fork trigger threshold)","^7= {0} ^8(각성한 갈래의 발동 임계값)"
"= {0} (Awakened Generosity trigger threshold)","^7= {0} ^8(각성한 관대함의 발동 임계값)"
"= {0} (Awakened Greater Multiple Projectiles trigger threshold)","^7= {0} ^8(각성한 상위 다중 투사체의 발동 임계값)"
"= {0} (Awakened Hextouch trigger threshold)","^7= {0} ^8(각성한 사술 손길의 발동 임계값)"
"= {0} (Awakened Increased Area of Effect trigger threshold)","^7= {0} ^8(각성한 효과 범위 증가의 발동 임계값)"
"= {0} (Awakened Lightning Penetration trigger threshold)","^7= {0} ^8(각성한 번개 관통의 발동 임계값)"
"= {0} (Awakened Melee Physical Damage trigger threshold)","^7= {0} ^8(각성한 근접 물리 피해의 발동 임계값)"
"= {0} (Awakened Melee Splash trigger threshold)","^7= {0} ^8(각성한 근접 범위 피해의 발동 임계값)"
"= {0} (Awakened Minion Damage trigger threshold)","^7= {0} ^8(각성한 소환수 피해의 발동 임계값)"
"= {0} (Awakened Multistrike trigger threshold)","^7= {0} ^8(각성한 연속타격의 발동 임계값)"
"= {0} (Awakened Spell Cascade trigger threshold)","^7= {0} ^8(각성한 연속 주문의 발동 임계값)"
"= {0} (Awakened Spell Echo trigger threshold)","^7= {0} ^8(각성한 주문 메아리의 발동 임계값)"
"= {0} (Awakened Swift Affliction trigger threshold)","^7= {0} ^8(각성한 고통 격화의 발동 임계값)"
"= {0} (Awakened Unbound Ailments trigger threshold)","^7= {0} ^8(각성한 벌어지는 상처의 발동 임계값)"
"= {0} (Awakened Unleash trigger threshold)","^7= {0} ^8(각성한 촉발의 발동 임계값)"
"= {0} (Awakened Vicious Projectiles trigger threshold)","^7= {0} ^8(각성한 포악한 투사체의 발동 임계값)"
"= {0} (Awakened Void Manipulation trigger threshold)","^7= {0} ^8(각성한 공허 조작의 발동 임계값)"
"= {0} (Ballista Totem trigger threshold)","^7= {0} ^8(쇠뇌 토템의 발동 임계값)"
"= {0} (Barrage trigger threshold)","^7= {0} ^8(연발 사격의 발동 임계값)"
"= {0} (Base Damage) * {1} (Damage taken as Cold)","^7= {0} ^8(기본 피해) ^7x {1} ^8(받는 냉기 피해)"
"= {0} (Base Damage) * {1} (Damage taken as Fire)","^7= {0} ^8(기본 피해) ^7x {1} ^8(받는 화염 피해)"
"= {0} (Base Damage) * {1} (Damage taken as Lightning)","^7= {0} ^8(기본 피해) ^7x {1} ^8(받는 번개 피해)"
"= {0} (Base Damage) * {1} (Damage taken as Physical)","^7= {0} ^8(기본 피해) ^7x {1} ^8(받는 물리 피해)"
"= {0} (Behead trigger threshold)","^7= {0} ^8(참수의 발동 임계값)"
"= {0} (Blasphemy trigger threshold)","^7= {0} ^8(신성 모독의 발동 임계값)"
"= {0} (Blastchain Mine trigger threshold)","^7= {0} ^8(연쇄 폭발 지뢰의 발동 임계값)"
"= {0} (Blind trigger threshold)","^7= {0} ^8(실명의 발동 임계값)"
"= {0} (Block Chance Reduction trigger threshold)","^7= {0} ^8(막기 확률 감소의 발동 임계값)"
"= {0} (Bloodlust trigger threshold)","^7= {0} ^8(유혈 충동의 발동 임계값)"
"= {0} (Bloodthirst trigger threshold)","^7= {0} ^8(피의 갈증의 발동 임계값)"
"= {0} (Bonechill trigger threshold)","^7= {0} ^8(사무치는 한기의 발동 임계값)"
"= {0} (Brutality trigger threshold)","^7= {0} ^8(포악함의 발동 임계값)"
"= {0} (Burning Damage trigger threshold)","^7= {0} ^8(화상 피해의 발동 임계값)"
"= {0} (Cast On Critical Strike trigger threshold)","^7= {0} ^8(치명타 시 시전의 발동 임계값)"
"= {0} (Cast on Death trigger threshold)","^7= {0} ^8(사망 시 시전의 발동 임계값)"
"= {0} (Cast on Melee Kill trigger threshold)","^7= {0} ^8(근접 처치 시 시전의 발동 임계값)"
"= {0} (Cast when Damage Taken trigger threshold)","^7= {0} ^8(피격 시 시전의 발동 임계값)"
"= {0} (Cast when Stunned trigger threshold)","^7= {0} ^8(기절 시 시전의 발동 임계값)"
"= {0} (Cast while Channelling trigger threshold)","^7= {0} ^8(집중 유지 중 시전의 발동 임계값)"
"= {0} (Chain trigger threshold)","^7= {0} ^8(연쇄의 발동 임계값)"
"= {0} (Chance to Bleed trigger threshold)","^7= {0} ^8(출혈 확률의 발동 임계값)"
"= {0} (Chance to Flee trigger threshold)","^7= {0} ^8(도망칠 확률의 발동 임계값)"
"= {0} (Chance to Poison trigger threshold)","^7= {0} ^8(중독 확률의 발동 임계값)"
"= {0} (Charged Mines trigger threshold)","^7= {0} ^8(충전된 지뢰의 발동 임계값)"
"= {0} (Charged Traps trigger threshold)","^7= {0} ^8(충전된 덫의 발동 임계값)"
"= {0} (Close Combat trigger threshold)","^7= {0} ^8(근접 전투의 발동 임계값)"
"= {0} (Cluster Traps trigger threshold)","^7= {0} ^8(무리 덫의 발동 임계값)"
"= {0} (Cold Damage taken)","^7= {0} ^8(받는 냉기 피해)"
"= {0} (Cold Damage) * {1} (Damage taken multi)","^7= {0} ^8(냉기 피해) ^7x {1} ^8(받는 피해 배율)"
"= {0} (Cold Penetration trigger threshold)","^7= {0} ^8(냉기 관통의 발동 임계값)"
"= {0} (Cold to Fire trigger threshold)","^7= {0} ^8(냉기 화염 전환의 발동 임계값)"
"= {0} (Combustion trigger threshold)","^7= {0} ^8(연소의 발동 임계값)"
"= {0} (Concentrated Effect trigger threshold)","^7= {0} ^8(효과 집중의 발동 임계값)"
"= {0} (Controlled Blaze trigger threshold)","^7= {0} ^8(제어된 불길의 발동 임계값)"
"= {0} (Controlled Destruction trigger threshold)","^7= {0} ^8(제어된 파괴의 발동 임계값)"
"= {0} (Corrupting Cry trigger threshold)","^7= {0} ^8(타락시키는 비명의 발동 임계값)"
"= {0} (Critical Strike Affliction trigger threshold)","^7= {0} ^8(치명타 고통 격화의 발동 임계값)"
"= {0} (Cruelty trigger threshold)","^7= {0} ^8(잔혹의 발동 임계값)"
"= {0} (Culling Strike trigger threshold)","^7= {0} ^8(마무리 타격의 발동 임계값)"
"= {0} (Cursed Ground trigger threshold)","^7= {0} ^8(저주받은 지대의 발동 임계값)"
"= {0} (Damage on Full Life trigger threshold)","^7= {0} ^8(최대 생명력 시 피해의 발동 임계값)"
"= {0} (Deadly Ailments trigger threshold)","^7= {0} ^8(치명적인 상태 이상의 발동 임계값)"
"= {0} (Decay trigger threshold)","^7= {0} ^8(부패의 발동 임계값)"
"= {0} (Devour trigger threshold)","^7= {0} ^8(포식의 발동 임계값)"
"= {0} (Divine Blessing trigger threshold)","^7= {0} ^8(신성한 축복의 발동 임계값)"
"= {0} (Earthbreaker trigger threshold)","^7= {0} ^8(대지 분쇄자의 발동 임계값)"
"= {0} (Effective source rate)","^7= {0} ^8(유효 소스 속도)"
"= {0} (Efficacy trigger threshold)","^7= {0} ^8(효력의 발동 임계값)"
"= {0} (Elemental Army trigger threshold)","^7= {0} ^8(원소의 군단의 발동 임계값)"
"= {0} (Elemental Damage with Attacks trigger threshold)","^7= {0} ^8(공격 시 원소 피해의 발동 임계값)"
"= {0} (Elemental Focus trigger threshold)","^7= {0} ^8(원소 집중의 발동 임계값)"
"= {0} (Elemental Penetration trigger threshold)","^7= {0} ^8(원소 관통의 발동 임계값)"
"= {0} (Elemental Proliferation trigger threshold)","^7= {0} ^8(원소 확산의 발동 임계값)"
"= {0} (Empower trigger threshold)","^7= {0} ^8(강화의 발동 임계값)"
"= {0} (Endurance Charge on Melee Stun trigger threshold)","^7= {0} ^8(기절 시 인내 충전의 발동 임계값)"
"= {0} (Energy Leech trigger threshold)","^7= {0} ^8(에너지 흡수의 발동 임계값)"
"= {0} (Enhance trigger threshold)","^7= {0} ^8(향상의 발동 임계값)"
"= {0} (Enlighten trigger threshold)","^7= {0} ^8(계몽의 발동 임계값)"
"= {0} (Eternal Blessing trigger threshold)","^7= {0} ^8(영원한 축복의 발동 임계값)"
"= {0} (Faster Attacks trigger threshold)","^7= {0} ^8(공격 속도 증가의 발동 임계값)"
"= {0} (Faster Casting trigger threshold)","^7= {0} ^8(시전 속도 증가의 발동 임계값)"
"= {0} (Faster Projectiles trigger threshold)","^7= {0} ^8(투사체 속도 증가의 발동 임계값)"
"= {0} (Feeding Frenzy trigger threshold)","^7= {0} ^8(격분 주입의 발동 임계값)"
"= {0} (Fire Damage taken)","^7= {0} ^8(받는 화염 피해)"
"= {0} (Fire Damage) * {1} (Damage taken multi)","^7= {0} ^8(화염 피해) ^7x {1} ^8(받는 피해 배율)"
"= {0} (Fire Penetration trigger threshold)","^7= {0} ^8(화염 관통의 발동 임계값)"
"= {0} (Fist of War trigger threshold)","^7= {0} ^8(전쟁의 주먹의 발동 임계값)"
"= {0} (Flamewood trigger threshold)","^7= {0} ^8(화염나무의 발동 임계값)"
"= {0} (Focused Ballista trigger threshold)","^7= {0} ^8(쇠뇌 집중 사격의 발동 임계값)"
"= {0} (Fork trigger threshold)","^7= {0} ^8(갈래의 발동 임계값)"
"= {0} (Fortify trigger threshold)","^7= {0} ^8(방어 상승의 발동 임계값)"
"= {0} (Fresh Meat trigger threshold)","^7= {0} ^8(신선한 고기의 발동 임계값)"
"= {0} (Frigid Bond trigger threshold)","^7= {0} ^8(차디찬 유대의 발동 임계값)"
"= {0} (Generosity trigger threshold)","^7= {0} ^8(관대함의 발동 임계값)"
"= {0} (Greater Multiple Projectiles trigger threshold)","^7= {0} ^8(상위 다중 투사체의 발동 임계값)"
"= {0} (Greater Volley trigger threshold)","^7= {0} ^8(상위 사격 공세의 발동 임계값)"
"= {0} (Guardian's Blessing trigger threshold)","^7= {0} ^8(수호자의 축복의 발동 임계값)"
"= {0} (Hex Bloom trigger threshold)","^7= {0} ^8(사술의 꽃의 발동 임계값)"
"= {0} (Hextouch trigger threshold)","^7= {0} ^8(사술 손길의 발동 임계값)"
"= {0} (High-Impact Mine trigger threshold)","^7= {0} ^8(고충격 지뢰의 발동 임계값)"
"= {0} (Hypothermia trigger threshold)","^7= {0} ^8(체온저하의 발동 임계값)"
"= {0} (Ice Bite trigger threshold)","^7= {0} ^8(얼음 쐐기의 발동 임계값)"
"= {0} (Ignite Proliferation trigger threshold)","^7= {0} ^8(점화 확산의 발동 임계값)"
"= {0} (Immolate trigger threshold)","^7= {0} ^8(번제의 발동 임계값)"
"= {0} (Impale trigger threshold)","^7= {0} ^8(꿰뚫기의 발동 임계값)"
"= {0} (Impending Doom trigger threshold)","^7= {0} ^8(임박한 멸망의 발동 임계값)"
"= {0} (Increased Area of Effect trigger threshold)","^7= {0} ^8(효과 범위 증가의 발동 임계값)"
"= {0} (Increased Critical Damage trigger threshold)","^7= {0} ^8(치명타 피해 증가의 발동 임계값)"
"= {0} (Increased Critical Strikes trigger threshold)","^7= {0} ^8(치명타 증가의 발동 임계값)"
"= {0} (Increased Duration trigger threshold)","^7= {0} ^8(지속시간 증가의 발동 임계값)"
"= {0} (Infernal Legion trigger threshold)","^7= {0} ^8(지옥불 군단의 발동 임계값)"
"= {0} (Infused Channelling trigger threshold)","^7= {0} ^8(깊어지는 집중 유지의 발동 임계값)"
"= {0} (Innervate trigger threshold)","^7= {0} ^8(자극의 발동 임계값)"
"= {0} (Inspiration trigger threshold)","^7= {0} ^8(영감의 발동 임계값)"
"= {0} (Intensify trigger threshold)","^7= {0} ^8(격화의 발동 임계값)"
"= {0} (Iron Grip trigger threshold)","^7= {0} ^8(강철 손아귀의 발동 임계값)"
"= {0} (Iron Will trigger threshold)","^7= {0} ^8(강철의 의지의 발동 임계값)"
"= {0} (Item Rarity trigger threshold)","^7= {0} ^8(아이템 희귀도의 발동 임계값)"
"= {0} (Knockback trigger threshold)","^7= {0} ^8(밀어내기의 발동 임계값)"
"= {0} (Less Duration trigger threshold)","^7= {0} ^8(지속시간 감소의 발동 임계값)"
"= {0} (Lesser Multiple Projectiles trigger threshold)","^7= {0} ^8(하위 다중 투사체의 발동 임계값)"
"= {0} (Life Gain on Hit trigger threshold)","^7= {0} ^8(명중 시 생명력 획득의 발동 임계값)"
"= {0} (Life Leech trigger threshold)","^7= {0} ^8(생명력 흡수의 발동 임계값)"
"= {0} (Lifetap trigger threshold)","^7= {0} ^8(생명력 전환의 발동 임계값)"
"= {0} (Lightning Damage taken)","^7= {0} ^8(받는 번개 피해)"
"= {0} (Lightning Damage) * {1} (Damage taken multi)","^7= {0} ^8(번개 피해) ^7x {1} ^8(받는 피해 배율)"
"= {0} (Lightning Penetration trigger threshold)","^7= {0} ^8(번개 관통의 발동 임계값)"
"= {0} (Locus Mine trigger threshold)","^7= {0} ^8(궤적 지뢰의 발동 임계값)"
"= {0} (Maim trigger threshold)","^7= {0} ^8(힘줄 절단의 발동 임계값)"
"= {0} (Mana Leech trigger threshold)","^7= {0} ^8(마나 흡수의 발동 임계값)"
"= {0} (Mana spent per second)","^7= {0} ^8(초당 소모되는 마나)"
"= {0} (Manaforged trigger threshold)","^7= {0} ^8(마나벼림의 발동 임계값)"
"= {0} (Mark On Hit trigger threshold)","^7= {0} ^8(명중 시 징표의 발동 임계값)"
"= {0} (Meat Shield trigger threshold)","^7= {0} ^8(육탄 방어의 발동 임계값)"
"= {0} (Melee Physical Damage trigger threshold)","^7= {0} ^8(근접 물리 피해의 발동 임계값)"
"= {0} (Melee Splash trigger threshold)","^7= {0} ^8(근접 범위 피해의 발동 임계값)"
"= {0} (Minefield trigger threshold)","^7= {0} ^8(지뢰밭의 발동 임계값)"
"= {0} (Minion Damage trigger threshold)","^7= {0} ^8(소환수 피해의 발동 임계값)"
"= {0} (Minion Life trigger threshold)","^7= {0} ^8(소환수 생명력의 발동 임계값)"
"= {0} (Minion Speed trigger threshold)","^7= {0} ^8(소환수 속도의 발동 임계값)"
"= {0} (Mirage Archer trigger threshold)","^7= {0} ^8(신기루 궁수의 발동 임계값)"
"= {0} (Momentum trigger threshold)","^7= {0} ^8(기세의 발동 임계값)"
"= {0} (Multiple Totems trigger threshold)","^7= {0} ^8(다중 토템의 발동 임계값)"
"= {0} (Multiple Traps trigger threshold)","^7= {0} ^8(다중 덫의 발동 임계값)"
"= {0} (Multistrike trigger threshold)","^7= {0} ^8(연속타격의 발동 임계값)"
"= {0} (Nightblade trigger threshold)","^7= {0} ^8(밤의 칼날의 발동 임계값)"
"= {0} (Overcharge trigger threshold)","^7= {0} ^8(과충전의 발동 임계값)"
"= {0} (Physical Damage taken)","^7= {0} ^8(받는 물리 피해)"
"= {0} (Physical Damage) * {1} (Damage taken multi)","^7= {0} ^8(물리 피해) ^7x {1} ^8(받는 피해 배율)"
"= {0} (Physical to Lightning trigger threshold)","^7= {0} ^8(물리 번개 전환의 발동 임계값)"
"= {0} (Pierce trigger threshold)","^7= {0} ^8(관통의 발동 임계값)"
"= {0} (Pinpoint trigger threshold)","^7= {0} ^8(핵심 조준의 발동 임계값)"
"= {0} (Point Blank trigger threshold)","^7= {0} ^8(근접 사격의 발동 임계값)"
"= {0} (Power Charge On Critical trigger threshold)","^7= {0} ^8(치명타 시 권능 충전의 발동 임계값)"
"= {0} (Predator trigger threshold)","^7= {0} ^8(포식자의 발동 임계값)"
"= {0} (Prismatic Burst trigger threshold)","^7= {0} ^8(분광 격발의 발동 임계값)"
"= {0} (Pulverise trigger threshold)","^7= {0} ^8(분쇄의 발동 임계값)"
"= {0} (Rage trigger threshold)","^7= {0} ^8(격노의 발동 임계값)"
"= {0} (Returning Projectiles trigger threshold)","^7= {0} ^8(돌아오는 투사체의 발동 임계값)"
"= {0} (Ruthless trigger threshold)","^7= {0} ^8(무자비의 발동 임계값)"
"= {0} (Sacrifice trigger threshold)","^7= {0} ^8(희생의 발동 임계값)"
"= {0} (Sadism trigger threshold)","^7= {0} ^8(가학증의 발동 임계값)"
"= {0} (Second Wind trigger threshold)","^7= {0} ^8(새로운 활력의 발동 임계값)"
