"Available Mastery node options are:","사용 가능한 숙련 노드 옵션은 다음과 같습니다:"
"(Adrenaline grants 100% increased Damage, 25% increased Attack, Cast and Movement Speed and 10% additional Physical Damage Reduction. You cannot gain Adrenaline if you already have it)","(""아드레날린""이 주는 피해를 100% 증가시키고 공격, 시전 및 이동 속도를 25% 증가시킵니다. 또한 받는 물리 피해를 10% 추가로 감소시킵니다. 이미 아드레날린이 있는 경우 획득할 수 없습니다.)"
"(Overkill Damage is any Damage from a Hit in excess of the Enemy's remaining Life)","(""과잉살상"" 피해는 적에게 남은 생명력을 초과해서 주는 모든 피해입니다)"
"(Elemental Ailments are Ignited, Scorched, Chilled, Frozen, Brittled, Shocked, and Sapped)","(원소 상태 이상 - 점화, 그을림, 냉각, 동결, 허약, 감전, 활력 감소)"
"(Hinder reduces movement speed by 30%)","(""이동 방해""가 이동 속도를 30% 감소시킵니다.)"
"(Cold Ailments are Chilled, Frozen and Brittle)","(냉기 상태 이상에는 냉각, 동결, 허약이 있습니다)"
"(Convergence grants 30% more Elemental Damage and lasts 4 seconds)","(수렴은 원소 피해를 30% 증폭시키고 4초 지속됩니다)"
"(Killing an Enemy is not Spawning a corpse)","(적을 처치할 때 시체를 생성하지 않습니다)"
"(You can only take one of the three Witch Ascendancy passives)","(세 개의 위치 전직 직업 중 하나만 선택할 수 있습니다)"
"(Choose one of the three attached options)","(세 선택지 중 하나를 선택하십시오)"
"(You can only take one of the three Templar Ascendancy passives)","(세 개의 템플러 전직 직업 중 하나만 선택할 수 있습니다)"
"(You can only take one of the three Marauder Ascendancy passives)","(세 개의 머라우더 전직 직업 중 하나만 선택할 수 있습니다)"
"(You can only take one of the three Duelist Ascendancy passives)","(세 개의 듀얼리스트 전직 직업 중 하나만 선택할 수 있습니다)"
"(Fortifying grants an amount of Fortification based on the Damage of the Hit)","(방어 상승이 부여하는 방어 상승의 양은 명중으로 주는 피해에 기반합니다)"
"(Take 1% less Damage from Hits per Fortification. Maximum 20 Fortification. Fortification lasts 6 seconds)","(피격 시 받는 피해가 방어 상승 1당 1% 감폭됩니다. 방어 상승은 최대 20까지 중첩되며 6초 지속됩니다.)"
"(You can only take one of the three Ranger Ascendancy passives)","(세 개의 레인저 전직 직업 중 하나만 선택할 수 있습니다)"
"(You can only take one of the three Shadow Ascendancy passives)","(세 개의 쉐도우 전직 직업 중 하나만 선택할 수 있습니다)"
"(Leeched Energy Shield is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(""에너지 보호막 흡수""는 지속적으로 회복됩니다. 흡수는 최대 속도에 이를 때까지 여러 개가 동시에 적용될 수 있습니다)"
"(Brand Critical Strikes are any Critical Strikes dealt by Brand Skills or by Skills Triggered by a Brand)","(낙인 치명타란 낙인 스킬 또는 낙인으로 인해 발동하는 스킬이 주는 치명타입니다.)"

