"#% increased Attack Speed","공격 속도 #% 증가"
"{0}% increased Attack Speed","공격 속도 {0}% 증가"
"While a Unique Enemy is in your Presence, (43-45)% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 (43-45)% 증가"
"While a Unique Enemy is in your Presence, (46-48)% increased Critical Strike Chance for Attacks","고유 적이 접근해 있는 동안, 공격 치명타 확률 (46-48)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, #% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 #% 증가"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 {0}% 증가"
"While a Pinnacle Atlas Boss is in your Presence, (43-45)% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 (43-45)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, (46-48)% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 (46-48)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, (49-51)% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 (49-51)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, (52-54)% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 (52-54)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, (55-57)% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 (55-57)% 증가"
"While a Pinnacle Atlas Boss is in your Presence, (58-60)% increased Critical Strike Chance for Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 치명타 확률 (58-60)% 증가"

"Adds # to # Physical Damage to Attacks","공격 시 물리 피해 #~# 추가"
"Adds {0} to {1} Physical Damage to Attacks","공격 시 물리 피해 {0}~{1} 추가"
"Adds (3-5) to (7-9) Physical Damage to Attacks","공격 시 물리 피해 (3-5)~(7-9) 추가"
"Adds (4-5) to (8-9) Physical Damage to Attacks","공격 시 물리 피해 (4-5)~(8-9) 추가"
"Adds (4-6) to (9-10) Physical Damage to Attacks","공격 시 물리 피해 (4-6)~(9-10) 추가"
"Adds (5-6) to (10-11) Physical Damage to Attacks","공격 시 물리 피해 (5-6)~(10-11) 추가"
"Adds (5-7) to (11-12) Physical Damage to Attacks","공격 시 물리 피해 (5-7)~(11-12) 추가"
"Adds (6-7) to (12-14) Physical Damage to Attacks","공격 시 물리 피해 (6-7)~(12-14) 추가"
"While a Unique Enemy is in your Presence, Adds # to # Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 #~# 추가"
"While a Unique Enemy is in your Presence, Adds {0} to {1} Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 {0}~{1} 추가"
"While a Unique Enemy is in your Presence, Adds (5-6) to (10-11) Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 (5-6)~(10-11) 추가"
"While a Unique Enemy is in your Presence, Adds (5-7) to (11-12) Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 (5-7)~(11-12) 추가"
"While a Unique Enemy is in your Presence, Adds (6-7) to (12-14) Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 (6-7)~(12-14) 추가"
"While a Unique Enemy is in your Presence, Adds (6-9) to (13-15) Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 (6-9)~(13-15) 추가"
"While a Unique Enemy is in your Presence, Adds (7-9) to (14-17) Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 (7-9)~(14-17) 추가"
"While a Unique Enemy is in your Presence, Adds (8-10) to (16-18) Physical Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 물리 피해 (8-10)~(16-18) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds # to # Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 #~# 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds {0} to {1} Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 {0}~{1} 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (6-9) to (13-15) Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 (6-9)~(13-15) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (7-9) to (14-17) Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 (7-9)~(14-17) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (8-10) to (16-18) Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 (8-10)~(16-18) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (9-12) to (18-21) Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 (9-12)~(18-21) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (10-14) to (21-24) Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 (10-14)~(21-24) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (12-15) to (24-28) Physical Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 물리 피해 (12-15)~(24-28) 추가"

"Adds # to # Fire Damage to Attacks","공격 시 화염 피해 #~# 추가"
"Adds {0} to {1} Fire Damage to Attacks","공격 시 화염 피해 {0}~{1} 추가"
"Adds (6-8) to (13-15) Fire Damage to Attacks","공격 시 화염 피해 (6-8)~(13-15) 추가"
"Adds (7-9) to (14-16) Fire Damage to Attacks","공격 시 화염 피해 (7-9)~(14-16) 추가"
"Adds (8-10) to (15-18) Fire Damage to Attacks","공격 시 화염 피해 (8-10)~(15-18) 추가"
"Adds (8-11) to (17-20) Fire Damage to Attacks","공격 시 화염 피해 (8-11)~(17-20) 추가"
"Adds (9-12) to (19-22) Fire Damage to Attacks","공격 시 화염 피해 (9-12)~(19-22) 추가"
"Adds (10-13) to (21-24) Fire Damage to Attacks","공격 시 화염 피해 (10-13)~(21-24) 추가"
"While a Unique Enemy is in your Presence, Adds # to # Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 #~# 추가"
"While a Unique Enemy is in your Presence, Adds {0} to {1} Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 {0}~{1} 추가"
"While a Unique Enemy is in your Presence, Adds (8-11) to (17-20) Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 (8-11)~(17-20) 추가"
"While a Unique Enemy is in your Presence, Adds (9-12) to (19-22) Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 (9-12)~(19-22) 추가"
"While a Unique Enemy is in your Presence, Adds (10-13) to (21-24) Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 (10-13)~(21-24) 추가"
"While a Unique Enemy is in your Presence, Adds (11-15) to (23-26) Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 (11-15)~(23-26) 추가"
"While a Unique Enemy is in your Presence, Adds (13-16) to (25-29) Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 (13-16)~(25-29) 추가"
"While a Unique Enemy is in your Presence, Adds (13-18) to (28-32) Fire Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 화염 피해 (13-18)~(28-32) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds # to # Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 #~# 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds {0} to {1} Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 {0}~{1} 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (11-15) to (23-26) Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 (11-15)~(23-26) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (13-16) to (25-29) Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 (13-16)~(25-29) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (13-18) to (28-32) Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 (13-18)~(28-32) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (16-20) to (32-37) Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 (16-20)~(32-37) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (18-24) to (37-42) Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 (18-24)~(37-42) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (21-27) to (42-49) Fire Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 화염 피해 (21-27)~(42-49) 추가"

"Adds # to # Cold Damage to Attacks","공격 시 냉기 피해 #~# 추가"
"Adds {0} to {1} Cold Damage to Attacks","공격 시 냉기 피해 {0}~{1} 추가"
"Adds (6-7) to (11-13) Cold Damage to Attacks","공격 시 냉기 피해 (6-7)~(11-13) 추가"
"Adds (6-8) to (12-15) Cold Damage to Attacks","공격 시 냉기 피해 (6-8)~(12-15) 추가"
"Adds (7-9) to (13-16) Cold Damage to Attacks","공격 시 냉기 피해 (7-9)~(13-16) 추가"
"Adds (7-10) to (15-18) Cold Damage to Attacks","공격 시 냉기 피해 (7-10)~(15-18) 추가"
"Adds (8-11) to (17-19) Cold Damage to Attacks","공격 시 냉기 피해 (8-11)~(17-19) 추가"
"Adds (9-12) to (18-22) Cold Damage to Attacks","공격 시 냉기 피해 (9-12)~(18-22) 추가"
"While a Unique Enemy is in your Presence, Adds # to # Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 #~# 추가"
"While a Unique Enemy is in your Presence, Adds {0} to {1} Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 {0}~{1} 추가"
"While a Unique Enemy is in your Presence, Adds (7-10) to (15-18) Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 (7-10)~(15-18) 추가"
"While a Unique Enemy is in your Presence, Adds (8-11) to (17-19) Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 (8-11)~(17-19) 추가"
"While a Unique Enemy is in your Presence, Adds (9-12) to (18-22) Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 (9-12)~(18-22) 추가"
"While a Unique Enemy is in your Presence, Adds (10-13) to (20-24) Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 (10-13)~(20-24) 추가"
"While a Unique Enemy is in your Presence, Adds (11-15) to (22-26) Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 (11-15)~(22-26) 추가"
"While a Unique Enemy is in your Presence, Adds (12-16) to (24-29) Cold Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 냉기 피해 (12-16)~(24-29) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds # to # Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 #~# 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds {0} to {1} Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 {0}~{1} 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (10-13) to (20-24) Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 (10-13)~(20-24) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (11-15) to (22-26) Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 (11-15)~(22-26) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (12-16) to (24-29) Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 (12-16)~(24-29) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (14-18) to (28-33) Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 (14-18)~(28-33) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (16-21) to (32-38) Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 (16-21)~(32-38) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (18-24) to (37-44) Cold Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 냉기 피해 (18-24)~(37-44) 추가"

"Adds # to # Lightning Damage to Attacks","공격 시 번개 피해 #~# 추가"
"Adds {0} to {1} Lightning Damage to Attacks","공격 시 번개 피해 {0}~{1} 추가"
"Adds (1-2) to (22-24) Lightning Damage to Attacks","공격 시 번개 피해 (1-2)~(22-24) 추가"
"Adds (1-3) to (24-26) Lightning Damage to Attacks","공격 시 번개 피해 (1-3)~(24-26) 추가"
"Adds (1-3) to (27-28) Lightning Damage to Attacks","공격 시 번개 피해 (1-3)~(27-28) 추가"
"Adds (1-3) to (29-32) Lightning Damage to Attacks","공격 시 번개 피해 (1-3)~(29-32) 추가"
"Adds (2-4) to (32-35) Lightning Damage to Attacks","공격 시 번개 피해 (2-4)~(32-35) 추가"
"Adds (2-4) to (36-38) Lightning Damage to Attacks","공격 시 번개 피해 (2-4)~(36-38) 추가"
"While a Unique Enemy is in your Presence, Adds # to # Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 #~# 추가"
"While a Unique Enemy is in your Presence, Adds {0} to {1} Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 {0}~{1} 추가"
"While a Unique Enemy is in your Presence, Adds (1-3) to (29-32) Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 (1-3)~(29-32) 추가"
"While a Unique Enemy is in your Presence, Adds (2-4) to (32-35) Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 (2-4)~(32-35) 추가"
"While a Unique Enemy is in your Presence, Adds (2-4) to (36-38) Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 (2-4)~(36-38) 추가"
"While a Unique Enemy is in your Presence, Adds (2-4) to (39-42) Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 (2-4)~(39-42) 추가"
"While a Unique Enemy is in your Presence, Adds (2-4) to (43-47) Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 (2-4)~(43-47) 추가"
"While a Unique Enemy is in your Presence, Adds (2-5) to (48-51) Lightning Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 번개 피해 (2-5)~(48-51) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds # to # Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 #~# 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds {0} to {1} Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 {0}~{1} 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (2-4) to (39-42) Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 (2-4)~(39-42) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (2-4) to (43-47) Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 (2-4)~(43-47) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (2-5) to (48-51) Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 (2-5)~(48-51) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (2-6) to (55-59) Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 (2-6)~(55-59) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (3-6) to (63-68) Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 (3-6)~(63-68) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (3-8) to (72-78) Lightning Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 번개 피해 (3-8)~(72-78) 추가"

"Adds # to # Chaos Damage to Attacks","공격 시 카오스 피해 #~# 추가"
"Adds {0} to {1} Chaos Damage to Attacks","공격 시 카오스 피해 {0}~{1} 추가"
"Adds (5-6) to (10-11) Chaos Damage to Attacks","공격 시 카오스 피해 (5-6)~(10-11) 추가"
"Adds (5-7) to (11-12) Chaos Damage to Attacks","공격 시 카오스 피해 (5-7)~(11-12) 추가"
"Adds (6-7) to (12-14) Chaos Damage to Attacks","공격 시 카오스 피해 (6-7)~(12-14) 추가"
"Adds (6-9) to (13-15) Chaos Damage to Attacks","공격 시 카오스 피해 (6-9)~(13-15) 추가"
"Adds (7-9) to (14-17) Chaos Damage to Attacks","공격 시 카오스 피해 (7-9)~(14-17) 추가"
"Adds (8-10) to (16-18) Chaos Damage to Attacks","공격 시 카오스 피해 (8-10)~(16-18) 추가"
"While a Unique Enemy is in your Presence, Adds # to # Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 #~# 추가"
"While a Unique Enemy is in your Presence, Adds {0} to {1} Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 {0}~{1} 추가"
"While a Unique Enemy is in your Presence, Adds (6-9) to (13-15) Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 (6-9)~(13-15) 추가"
"While a Unique Enemy is in your Presence, Adds (7-9) to (14-17) Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 (7-9)~(14-17) 추가"
"While a Unique Enemy is in your Presence, Adds (8-10) to (16-18) Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 (8-10)~(16-18) 추가"
"While a Unique Enemy is in your Presence, Adds (9-11) to (17-20) Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 (9-11)~(17-20) 추가"
"While a Unique Enemy is in your Presence, Adds (10-13) to (19-22) Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 (10-13)~(19-22) 추가"
"While a Unique Enemy is in your Presence, Adds (10-14) to (21-24) Chaos Damage to Attacks","고유 적이 접근해 있는 동안, 공격 시 카오스 피해 (10-14)~(21-24) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds # to # Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 #~# 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds {0} to {1} Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 {0}~{1} 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (9-11) to (17-20) Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 (9-11)~(17-20) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (10-13) to (19-22) Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 (10-13)~(19-22) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (10-14) to (21-24) Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 (10-14)~(21-24) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (12-15) to (24-28) Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 (12-15)~(24-28) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (13-18) to (28-32) Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 (13-18)~(28-32) 추가"
"While a Pinnacle Atlas Boss is in your Presence, Adds (16-20) to (32-37) Chaos Damage to Attacks","최종 아틀라스 보스가 접근해 있는 동안, 공격 시 카오스 피해 (16-20)~(32-37) 추가"

"+#% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +#%"
"{0}% to Fire Damage over Time Multiplier","지속 화염 피해 배율 {0}%"
"+(5-7)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(5-7)%"
"+(8-10)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(8-10)%"
"+(11-13)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(11-13)%"
"+(14-16)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(14-16)%"
"+(17-18)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(17-18)%"
"+(19-20)% to Fire Damage over Time Multiplier","지속 화염 피해 배율 +(19-20)%"
"While a Unique Enemy is in your Presence, +#% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +#%"
"While a Unique Enemy is in your Presence, {0}% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 {0}%"
"While a Unique Enemy is in your Presence, {0}% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 {0}%"
"While a Unique Enemy is in your Presence, +(14-16)% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +(14-16)%"
"While a Unique Enemy is in your Presence, +(17-19)% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +(17-19)%"
"While a Unique Enemy is in your Presence, +(20-22)% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +(20-22)%"
"While a Unique Enemy is in your Presence, +(23-25)% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +(23-25)%"
"While a Unique Enemy is in your Presence, +(26-27)% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +(26-27)%"
"While a Unique Enemy is in your Presence, +(28-29)% to Fire Damage over Time Multiplier","고유 적이 접근해 있는 동안, 지속 화염 피해 배율 +(28-29)%"
"While a Pinnacle Atlas Boss is in your Presence, +#% to Fire Damage over Time Multiplier","최종 아틀라스 보스가 접근해 있는 동안, 지속 화염 피해 배율 +#%"
"While a Pinnacle Atlas Boss is in your Presence, {0}% to Fire Damage over Time Multiplier","최종 아틀라스 보스가 접근해 있는 동안, 지속 화염 피해 배율 {0}%"
"While a Pinnacle Atlas Boss is in your Presence, +(23-25)% to Fire Damage over Time Multiplier","최종 아틀라스 보스가 접근해 있는 동안, 지속 화염 피해 배율 +(23-25)%"
"While a Pinnacle Atlas Boss is in your Presence, +(26-28)% to Fire Damage over Time Multiplier","최종 아틀라스 보스가 접근해 있는 동안, 지속 화염 피해 배율 +(26-28)%"
"While a Pinnacle Atlas Boss is in your Presence, +(29-31)% to Fire Damage over Time Multiplier","최종 아틀라스 보스가 접근해 있는 동안, 지속 화염 피해 배율 +(29-31)%"
"While a Pinnacle Atlas Boss is in your Presence, +(32-34)% to Fire Damage over Time Multiplier","최종 아틀라스 보스가 접근해 있는 동안, 지속 화염 피해 배율 +(32-34)%"
