"1 Projectile","1 투사체"
"Life Cost per second","초당 생명력 소모"
"Combust","발화"
"Supports any non-blessing skill with a reservation.","점유가 있는 모든 비-축복 스킬에 적용됩니다."
"Casts an aura that grants armour to you and your allies.","시전자와 동료들의 방어도를 증가시키는 오라를 시전합니다."
"Supports attack skills.","공격 스킬에 적용됩니다."
"Supports melee attack skills. Minions cannot gain rage.","근접 공격 스킬에 적용됩니다. 소환수 스킬에는 적용되지 않습니다."
"Supports attack skills, or spell skills that deal damage.","공격 스킬 또는 피해를 주는 주문 스킬에 적용됩니다."
"Supports skills with cooldowns","재사용 대기시간을 가진 스킬에 적용됩니다."
"Cannot support triggered skills","발동형 스킬에는 적용되지 않습니다."
"Supports skills with cooldowns.","재사용 대기시간을 가진 스킬에 적용됩니다."
"Cannot support triggered skills.","발동형 스킬에는 적용되지 않습니다."
"Casts an aura that grants evasion to you and your allies.","시전자와 동료들의 회피를 증가시키는 오라를 시전합니다."
"Supports projectile skills, and any other skills that chain.","투사체 스킬과 모든 연쇄 스킬에 적용됩니다."
"Supports projectile attack skills.","투사체 공격 스킬에 적용됩니다."
"Supports warcry skills.","함성 스킬에 적용됩니다."
"Supports projectile skills.","투사체 스킬에 적용됩니다."
"Deals attack damage in an area.","범위 내에 공격 피해를 줍니다."
"Supports melee attack skills.","근접 공격 스킬에 적용됩니다."
"Deals chaos damage in an area.","범위 내에 카오스 피해를 줍니다."
"Supports skills which create brands.","낙인 생성 스킬에 적용됩니다."
"Supports mark curse skills.","징표 저주 스킬에 적용됩니다."
"Supports link skills.","연결 스킬을 보조합니다."
"Supports skills that create minions.","소환수 생성 스킬에 적용됩니다."
"Supports skills which create Minions.","소환수 생성 스킬에 적용됩니다."
"Supports strike skills.","타격 스킬에 적용됩니다."
"Supports attack skills that aren't triggered.","발동형이 아닌 공격 스킬에 적용됩니다."
"Throws a mine that deals damage in an area when detonated.","폭발 시 범위 피해를 주는 지뢰를 투척합니다."
"Launches a series of fireballs in a spiral around the caster.","시전자 주위에 소용돌이 형태로 일련의 화염구를 발사합니다."
"Fires multiple arrows at different targets.","여러 개의 화살을 각기 다른 대상에게 발사합니다."
"Item Quantity","아이템 수량 증가 보조"
"Supports attack skills, or other skills that can maim enemies.","공격 스킬 또는 힘줄 절단 상태를 유발하는 스킬에 적용됩니다."
"Supports any skill that hits enemies or inflicts ailments","적을 명중하거나 상태 이상을 유발하는 모든 스킬에 적용됩니다."
"Supports skills which throw traps.","덫을 던지는 스킬에 적용됩니다."
"Avenging Flame","복수의 화염"
"Supports melee attack skills that are not triggered.","비 발동형 근접 공격 스킬에 적용됩니다."
"Supports any skill with a duration.","지속시간이 있는 모든 스킬에 적용됩니다."

"Pulse has 15% increased Area of Effect per 0.1s of Stun Duration, up to 400%","기절 지속시간의 0.1초당 파동의 효과 범위 15% 증가, 최대 400%"
"8% increased Area of Effect per 0.1 metre additional Melee Strike Range","추가 근접 타격 범위 0.1미터마다 효과 범위 8% 증가"
"Lose 1 Stage every 0.33 seconds while not Channelling","집중 유지가 없을 경우 0.33초마다 단계를 1만큼 상실"
"Gains 1 Stage every 0.17 seconds while Channelling","집중 유지하는 동안 0.17초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.18 seconds while Channelling","집중 유지하는 동안 0.18초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.19 seconds while Channelling","집중 유지하는 동안 0.19초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.20 seconds while Channelling","집중 유지하는 동안 0.20초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.21 seconds while Channelling","집중 유지하는 동안 0.21초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.22 seconds while Channelling","집중 유지하는 동안 0.22초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.23 seconds while Channelling","집중 유지하는 동안 0.23초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.24 seconds while Channelling","집중 유지하는 동안 0.24초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.25 seconds while Channelling","집중 유지하는 동안 0.25초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.26 seconds while Channelling","집중 유지하는 동안 0.26초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.27 seconds while Channelling","집중 유지하는 동안 0.27초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.28 seconds while Channelling","집중 유지하는 동안 0.28초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.29 seconds while Channelling","집중 유지하는 동안 0.29초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.30 seconds while Channelling","집중 유지하는 동안 0.30초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.31 seconds while Channelling","집중 유지하는 동안 0.31초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.32 seconds while Channelling","집중 유지하는 동안 0.32초마다 단계를 1만큼 획득"
"Gains 1 Stage every 0.33 seconds while Channelling","집중 유지하는 동안 0.33초마다 단계를 1만큼 획득"
"+0.1 metres to radius per Stage","단계 하나당 반경 +0.1미터"
"{0} metre to radius","반경 {0}미터"
