"	-10% to all Resistances","	모든 원소 저항 -10%"
" Blind applies the following effects.","[실명]일 때 다음과 같은 효과가 있습니다."
" this will enable the Fortify buff itself. (Grants {0}% less Damage taken from Hits)","이것을 체크하면 [방어 상승] 버프 효과가 활성화됩니다. (피격으로 받는 피해 {0}% 감폭)"
"# of Active Spectral Wolves:","활성화된 영체 늑대왕 수:"
"# of Bleeds on enemy (if not maximum):","적의 출혈 횟수(최대가 아닐때):"
"# of Blitz Charges (if not maximum):","공세 충전 개수(최대가 아닐 때):"
"# of Blood Charges (if not maximum):","피 충전 개수(최대가 아닐때):"
"# of Brands attached to the enemy:","적에게 부착된 낙인의 개수:"
"# of Challenger Charges (if not maximum):","도전자 충전 수(최대가 아닐 때):"
"# of Corpses Consumed Recently:","최근에 소모한 시체 수:"
"# of Corrupting Cry stacks on enemy","적에게 중첩된 타락시키는 비명 수"
"# of Crab Barriers (if not maximum):","게의 방어막 수(최대가 아닐 때):"
"# of Endurance Charges (if not maximum):","인내 충전 상태(최대가 아닐 때):"
"# of Endurance Charges lost Recently:","최근 잃은 인내 충전 수:"
"# of Enemies Killed Recently","# 최근에 죽인 적의 수"
"# of Enemies Killed Recently:","최근에 죽인 적의 수:"
"# of Enemies Killed by Minions Recently","# 최근에 소환수가 죽인 적의 수"
"# of Enemies Killed by Minions Recently:","최근에 소환수가 죽인 적의 수:"
"# of Enemies Killed by Totems Recently","# 최근에 토템이 죽인 적의 수"
"# of Enemies affected:","영향을 받는 적의 수:"
"# of Ensnare Stacks:","올가미 중첩 개수:"
"# of Fortification Stacks (if not maximum):","방어 상승 중첩 수(최대가 아닐 때)"
"# of Freeze / Shock / Ignite on enemy:","^x3F6DB3동결 ^7/ ^xADAA47감전 ^7/ ^xB97123점화 ^7상태의 적:"
"# of Freeze/Shock/Ignite on Enemy:","동결/감전/점화된 적의 수:"
"# of Frenzy Charges (if not maximum):","격분 충전 상태(최대가 아닐 때):"
"# of Gale Force:","강풍의 힘 개수:"
"# of Impales on enemy (if not maximum):","적을 꿰뚫은 수(최대가 아닐 때)"
"# of Inspiration Charges (if not maximum):","영감 충전 수(최대가 아닐 때):"
"# of Intensity:","격렬함 개수:"
"# of Life spent Recently:","최근 ^xE05030생명력^7 소모:"
"# of Mana spent Recently:","최근 ^x7070FF마나^7 소모:"
"# of Mana spent Recently:","최근에 소비한 마나량:"
"# of Mines Detonated Recently:","최근에 폭발한 지뢰 개수:"
"# of Momentum (if not average):","기세 개수 (평균이 아닐 때):"
"# of Nearby Allies","# 주변의 아군 수"
"# of Nearby Allies:","주변의 동료 수:"
"# of Nearby Corpses","# 주변의 시체 수"
"# of Nearby Enemies","# 주변의 적의 수"
"# of Nearby Non-Golem Minions:","근처의 골렘이 아닌 소환수 수:"
"# of Normal Enemies in Divine Ire's Channel radius","신성한 진노 채널 반경에 있는 일반 적의 수"
"# of Overlapping Beams:","겹치는 광선 수:"
"# of Overlapping Pods:","겹치는 포자 주머니 수:"
"# of Poison on Enemy:","중독된 적의 수:"
"# of Poison on You:","중독된 독의 수:"
"# of Poison on enemy:","중독된 적의 수:"
"# of Poisons applied Recently:","최근에 적용한 독의 수:"
"# of Power Charges (if not maximum):","권능 충전 상태(최대가 아닐 때):"
"# of Rampage Kills:","광란으로 연속 처치한 적의 수:"
"# of Sextants affecting the area","# 지역에 영향을 미치는 육분의 수"
"# of Shocked Enemies Killed Recently:","최근에 감전으로 죽인 적의 수:"
"# of Siphoning Charges (if not maximum):","착취 충전 수(최대가 아닐 때):"
"# of Skills Used Recently:","최근에 사용한 스킬 개수:"
"# of Snipe stages:","저격 중첩 개수:"
"# of Soul Eater Stacks:","영혼 포식자 중첩 수:"
"# of Spider's Web Stacks:","거미줄 최대 개수:"
"# of Spiders:","거미 수:"
"# of Summoned Minions:","소환 가능한 소환수 수:"
"# of Summoned Totems (if not maximum):","소환 가능한 토템 개수(최대가 아닐 때):"
"# of Traps Triggered Recently:","최근에 발동한 덫의 개수:"
"# of Trauma Stacks:","외상 중첩 수:"
"# of Unique Enemies in Divine Ire's Channel radius","신성한 진노 채널 반경에 있는 고유 적의 수"
"# of Virulence Stacks:","병독성 중첩 개수:"
"# of Withered Stacks:","위축 중첩:"
"# of active Brands:","활성화된 낙인 개수:"
"# of linked Targets:","연결된 대상 수:"
"# of nearby Enemies:","근처에 있는 적의 수:"
"# of nearby Rare or Unique Enemies:","근처에 있는 희귀 또는 고유 적의 수:"
"# of times Skill has Chained:","스킬의 연쇄 횟수:"
"# of times Skill has Forked:","스킬의 갈라지는 횟수:"
"# of times Skill has Pierced:","스킬의 관통 횟수:"
"# of times you have been Hit Recently:","최근 공격을 받은 횟수:"
"% increased effect of map mods","맵 모드의 효과 % 증가"
"'Armoured'","'장갑을 두른'"
"'Hall of Grandmasters'","명인의 전당"
"'Hexproof'","'사술 방지'"
"'Hexwarded'","'사술 수호의'"
"'Impervious'","'뚫리지 않는'"
"'Resistant'","'저항하는'"
"'of Balance'","- 균형"
"'of Congealment'","- 응고"
"'of Drought'","- 가뭄"
"'of Exposure'","- 노출"
"'of Impotence'","- 무기력"
"'of Insulation'","- 절연"
"'of Miring'","- 수렁"
"'of Rust'","- 녹"
"'of Skirmishing'","- 절전"
"'of Smothering'","- 질식"
"'of Stasis'","- 정체"
"'of Toughness'","- 강인함"
"+15% to all Elemental Resistances","모든 원소 저항 +15%"
"+20% to Critical Strike Multiplier","일반 치명타 피해 배율 +20%"
"+40% Chaos Resistance against Damage Over Time","지속 피해 대응 카오스 저항 +40%"
"-X% maximum Res                                Resistancesof Exposure","최대 저항 -X%"
"-X% maximum Resistances:","플레이어의 최대 저항 -X% 감소:"
"1% additional Physical Damage Reduction for each Hit you've taken Recently up to a maximum of 5%","최근 4초 이내 받은 피격 하나당 받는 물리 피해 1% 추가 감소, 최대 5%"
"1% additional Physical Damage Reduction for each nearby Enemy, up to 8%","주변의 적 하나당 받는 피해 1% 추가 감소, 최대 8%"
"1% increased Movement Speed for each nearby Enemy, up to 8%","주변의 적 하나당 이동 속도 1% 증가, 최대 8%"
"10% additional Physical Damage Reduction","	물리 피해 10% 추가 감소"
"10% chance to avoid Projectiles","10% 확률로 투사체 긴급회피"
"10% chance to throw up to 1 additional Trap or Mine","10%의 확률로 덫 또는 지뢰 최대 1개 추가 투척"
"10% increased Attack Damage Taken by enemy","적이 받는 공격 피해 10% 증가"
"10% increased Damage Taken by enemy","적에게 받은 피해 10% 증가"
"10% increased Movement Speed while on Burning Ground","용암 지대에 있는 동안 이동 속도 10% 증가"
"10% increased Spell Damage Taken by enemy","적이 받는 주문 피해 10% 증가"
"100% chance to Avoid being Frozen","100%의 확률로 동결 긴급 회피"
"100% chance to Defend with Double Armour","100% 확률로 2배의 방어도로 방어"
"100% increased Damage","피해 100% 증가"
"2% additional Physical Damage Reduction","받는 물리 피해 2% 추가 감소"
"20% chance to take 50% less Area Damage from Hits","20%의 확률로 피격 시 범위 피해 50% 감폭"
"20% increased Fire Damage Taken by enemy","적이 받는 화염 피해 20% 증가"
"20% increased Recovery rate of Life and Energy Shield if you've stopped taking Damage Over Time Recently","최근 4초 이내 받는 지속 피해가 끝난 경우 생명력 및 에너지 보호막의 회복 속도 20% 증가"
"20% less Elemental Damage Taken","받는 원소 피해 20% 감폭"
"25% reduced Chaos Damage over Time taken while on Caustic Ground","부식성 지대에 있는 동안 받는 지속 카오스 피해 25% 감소"
"25% reduced Physical Damage over Time taken while moving","이동 중 받는 지속 물리 피해 25% 감소"
"3% additional Physical Damage Reduction per second you've been stationary, up to a maximum of 9%","정지 상태를 유지한 시간 1초당 받는 물리 피해 3% 추가 감소, 최대 9%"
"30% reduced Effect of Curses on you","플레이어에게 적용되는 저주 효과 30% 감소"
"5% reduced Chaos Damage taken","받는 카오스 피해 5% 감소"
"50% chance to Reflect Hexes","50%의 확률로 사술 반사"
"50% chance to avoid Ailments from Critical Strikes","50%의 확률로 치명타로 인한 상태 이상 긴급회피"
"50% less Duration of Bleed","출혈 지속시간 50% 감폭"
"50% less Duration of Ignite","점화 지속시간 50% 감폭"
"50% less Duration of Poison","독 지속시간 50% 감폭"
"50% less Duration of Poisons on You","플레이어에게 유발된 중독의 지속시간 50% 감폭"
"50% more Elemental Damage","원소 피해 50% 증가"
"50% reduced Effect of Chill on you","플레이어에게 적용되는 냉각 효과 50% 감소"
"6% additional Physical Damage Reduction while there is only one nearby Enemy","주변의 적이 하나만 있을 때 받는 물리 피해 6% 추가 감소"
"6% increased Attack Speed while Leeching","흡수하는 동안 공격 속도 6% 증가"
"6% reduced Elemental Damage taken if you have been Hit Recently","최근 4초 이내 피격된 경우 받는 원소 피해 6% 감소"
"60% increased Life Recovery from Flasks used when on Low Life","낮은 생명력 상태일 때 플라스크로 회복되는 생명력 60% 증가"
"60% less Duration of Ignite on You","플레이어에게 유발된 점화의 지속시간 60% 감폭"
"60% reduced Effect of Shock on you","플레이어에게 적용되는 감전 효과 60% 감소"
"8% reduced Elemental Damage taken if you haven't been Hit Recently","최근 4초 이내 피격되지 않은 경우 받는 원소 피해 8% 감소"
"Act {0}{1}%)","액트 {0}장 {1}%)"
"Agony Arbiter","괴로운 중재자"
"Ailment calculation mode:","상태 이상 계산 방식:"
"All waves hitting","모든 파도가 타격"
"Allies on your Fungal Ground gain 10% of Non-Chaos Damage as extra Chaos Damage.","^7동료의 곰팡이 지대에 있는 동안 비-카오스 피해의 10%를 추가 카오스 피해로 획득합니다."
"Allocating Cosmic Wounds increases the penetration to 40% (Applied on Uber) and adds 2 projectiles","우주의 상처를 할당하면 관통력이 40%로 증가하고 발사체 2개가 추가됩니다."
"Allocating Insatiable Appetite causes the beam to always shock for at least 30%","끝없는 허기를 할당하면 빔이 최소 30% 동안 항상 충격을 받습니다"
"Allocating Throw the Gauntlet increases Damage by a further 100% (Applied on Uber) and causes the fireball to have 30 Fire penetration (Applied on Uber)","결투 신청을 할당하면 피해가 추가로 100% 증가하고(우버에 적용됨) 불덩이가 30의 화염 관통력을 갖게 됩니다(우버에 적용됨)."
"Amount of Rage Sacrificed?","소모한 격노는 몇 개입니까?"
"Animate Guardian's Weapon","움직이는 수호자의 무기"
"Animate Weapon:","무기 기둥:"
"Applies mods that use `while stationary` and `per/every second while stationary`","이것을 사용하면 '정지 상태일 때/정지 상태일 때 1초마다'의 보너스가 적용됩니다."
"Arcanist Brand:","신비학자 낙인:"
"Are skills targeting the Branded enemy?","대상이 낙인이 부착된 적입니까?"
"Are you Bleeding?","당신은 출혈중입니까?"
"Are you Blinded?","당신은 실명되었습니까?"
"Are you Brittle?","당신은 허약 상태입니까?"
"Are you Burning?","당신은 불타고 있습니까?"
"Are you Channelling?","당신은 집중 유지중입니까?"
"Are you Chilled?","^7당신은 ^x3F6DB3냉각^7되었습니까?"
"Are you Elusive?","도피 상태입니까?"
"Are you Focused?","당신은 집중하고 있습니까?"
"Are you Focussed?","당신은 집중하고 있습니까?"
"Are you Fortified?","방어 상승이 있습니까?"
"Are you Frozen?","당신은 동결상태입니까?"
"Are you Ignited?","당신은 점화되었습니까?"
"Are you Leeching Energy Shield?","에너지 보호막^7을 흡수했습니까?"
"Are you Leeching Life?","생명력을 흡수를 합니까?"
"Are you Leeching Mana?","마나를 흡수를 합니까?"
"Are you Leeching?","당신은 흡수를 합니까?"
"Are you Poisoned?","당신은 중독 되었습니까?"
"Are you Shocked?","당신은 감전되었습니까?"
"Are you against Damage over Time?","당신은 지속 피해에 대응합니까?"
"Are you always moving?","항상 이동 상태"
"Are you always on Full Energy Shield?","에너지 보호막^7이 항상 최대입니까?"
"Are you always on Full Life?","생명력^7이 항상 최대입니까?"
"Are you always on Full Mana?","^x7070FF마나^7가 항상 최대입니까?"
"Are you always on Low Life?","생명력^7이 항상 낮습니까?"
"Are you always on Low Mana?","^x7070FF마나^7가 항상 낮습니까?"
"Are you always stationary?","항상 정지 상태"
"Are you in Her Embrace?","여신의 포옹 효과가 있습니까?"
"Are you in a Bloodstorm?","혈풍을 가지고 있습니까?"
"Are you in a Sandstorm?","모래태풍을 가지고 있습니까?"
"Are you insane?","당신은 광기 상태입니까?"
"Are you on Burning Ground?","용암 지대^7에 있습니까?"
"Are you on Caustic Ground?","당신은 부신된 대지에 있습니까?"
"Are you on Chilled Ground?","얼음 지대에 있습니까?"
"Are you on Consecrated Ground?","당신은 신성한 대지에 있습니까?"
"Are you on Fungal Ground?","곰팡이 지대에 있습니까?"
"Are you on Shocked Ground?","감전 지대에 있습니까?"
"Are you stationary?","당신은 몇 초 동안 정지 상태입니까?"
"Are your Minions always on Full Life?","^7소환수의 ^xE05030생명력^7이 항상 최대입니까?"
"Are your minions always on Full Life?","^7소환수의 ^xE05030생명력^7이 항상 최대입니까?"
"Armour calculation mode:","방어도 계산 방식:"
"Aspect of the Avian:","새의 위상:"
"Aspect of the Cat:","고양이의 위상:"
"Aspect of the Crab:","게의 위상:"
"Aspect of the Spider:","거미의 위상:"
"Assassin's Mark:","암살자의 징표:"
"At 100% effect:","100% 효과일 때:"
"Attack","공격"
"Atziri Flameblast","앗지리의 심판의 화염"
"Aura Effect Mod:","오라효과 보너스:"
"Average Damage: Ignite is based on the average damage dealt, factoring in crits and non-crits.","평균 피해 : 점화는 치명타와 비-치명타를 고려하여 입힌 평균 피해를 기반으로 합니다."
"Average Ignite Roll:","평균 점화 롤:"
"Average active traps, all waves","평균 활성 덫에서 모든 파도 방출"
"Average active traps, average waves","평균 활성 덫에서 평균 파도 방출"
"Average active traps, one wave","평균 활성 덫에서 1개의 파도 방출"
"Average waves hitting configured size enemy","설정된 크기의 적에게 평균 파도 타격"
"Average","평균"
"Average: Averages out Warcry usage with cast time, attack speed and warcry cooldown.","평균: 시전 시간, 공격 속도 및 함성 쿨다운으로 함성 사용량을 평균화합니다."
"Avian's Might","새의 힘"
"Avoid All Dmg Ch.:","모든 피해 회피 확률:"
"Avoid Projectiles that have Chained","연쇄 투사체 긴급회피"
"Awakening Level:","각성 레벨:"
"Bandit quest:","도적 퀘스트:"
"Banner Skills:","깃발 스킬:"
"Banner Stages:","깃발 단계:"
"Base Maximum Rage is 50, and inherently grants the following:","기본 최대 격노는 50이며, 다음 효과가 적용됩니다:"
"Base Physical Damage Reduction: {0}","기본 물리 피해 감소: {0}"
"Base maximum Gale Force is 10.","기본 최대 강풍의 힘은 10 입니다."
"Blade Vortex blade count:","칼날 소용돌이 칼날 개수:"
"Bladestorm:","칼날 폭풍:"
"Blink","점멸"
"Block:","막기:"
"Blood Stance","핏빛 태세"
"Bonechill Support:","사무치는 한기 보조:"
"Boneshatter:","뼈 박살:"
"Boss Inc Damage / Speed                                 Unique deals increased has Attack and CastOverlord's","보스 피해/시전속도 증가"
"Boss Skill Preset","보스 스킬 사전 설정"
"Bosses' armour and evasion multiplier are calculated using the average of the boss type","보스의 방어도와 회피 배율은 보스 유형의 평균을 사용하여 계산됩니다"
"Bosses' damage is modified by roll range configuration, defaulted at a 70% roll, at the normal monster level for your character level (capped at 85)","보스의 피해는 롤 범위 설정에 따라 변경되며, 기본값으로 70% 롤로 구성되고, 캐릭터 레벨에 따라 일반 몬스터 레벨로 변경됩니다.(최대 85)."
"Bosses' damage is monster damage scaled to an average damage of their attacks","보스의 피해는 몬스터 공격의 평균 피해로 조정됩니다."
"Brand Skills:","낙인 스킬:"
"Buff affects the player and allies","버프가 플레이어 및 근접한 모든 동료들의 동작 속도를 증가시킵니다"
"Buff has a base duration of 8s with a 10s Cooldown","버프의 기본 지속 시간은 8초이며, 재사용 대기 시간은 10초입니다."
"Burning Ground:","용암 지대:"
"Burst","돌발"
"By default it multiplies both minion count and skill hit count which leads to incorrect","기본적으로 소환수 수와 스킬 적중 횟수를 모두 곱하므로 결과가 부정확해집니다."
"Bypass CD?","냉각 시간을 무시합니까?"
"Can you apply Exposure?","당신은 노출을 적용할 수 있습니까?"
"Cannot Leech                                Life / Manaof Congealment","흡수할 수 없음"
"Cannot Leech Life/Mana?","생명력/마나 흡수불가?"
"Cannot Leech from Monsters","몬스터에게서 흡수할 수 없음"
"Cannot Leech","흡혈 안됨"
"Cannot Regen                                Life, Mana or ESof Stasis","생명력, 마나, 에너지 보호막 재생 불가"
"Cannot Regen Life, Mana or ES?","생명력, 마나, 에너지 보호막 재생 불가"
"Cannot be Blinded","실명될 수 없음"
"Cannot be Evaded.  Allocating Cosmic Wounds increases Damage by a further 100% (Applied on Uber) and cannot be blocked or dodged","회피할 수 없습니다. 우주의 상처를 할당하면 피해를 두 배로 증가시키고 방어하거나 회피할 수 없습니다."
"Cap to Single Poison on enemy?","적에게 단일 독을 적용하시겠습니까?"
"Captain Clayborne, The Accursed","^XC7C75D얼어붙은 오막 지도^7 [^XB1973E저주받은 자 클레이본 대장^7] 영혼 수확"
"Captain Tanner Lightfoot","^XC7C75D산호 유적 지도^7 [^XB1973E혁갑 경보병 지휘관^7] 영혼 수확"
"Avatar of Undoing","^XDE7977정동석 지도^7 [^XB1973E파멸의 화신^7] 영혼 수확"
"Armala, the Widow","^XDE7977물에 잠진 도시 지도^7 [^XB1973E과부 아말라^7] 영혼 수확"
"Ancient Architect","^XC7C75D선창 지도^7 [^XB1973E고대의 건축가^7] 영혼 수확"
"Corruptor Eedaiak","^XDE7977금단의 숲 지도^7 [^XB1973E타락자 에다이아크^7] 영혼 수확"
"The Gorgon","^XC7C75D유황 분출구 지도^7 [^XB1973E고르곤^7] 영혼 수확"

