"Agony Crawler","고통의 벌레"
"Freezing Wolf","동결 늑대"
"Frost Archmage","서리 대마법사"
"Frost Auto-Scout","서리 자동정찰병"
"Frost Harbinger","서리 선구자"
"Frost Sentinel","서리 파수꾼"
"Galvanic Ribbon","충격의 리본"
"Gluttonous Gull","걸신들린 갈매기"
"Goatman Fire-raiser","염소인간 방화범"
"Goatman Shaman","염소인간 주술사"
"Goatman","염소인간"
"Grave Spirit","무덤혼백"
"Gravel Eater","자갈 포식자"
"Gut Flayer","내장 박피사"
"Hairy Bonecruncher","털투성이 뼈깨물이"
"Holy Relic","신성한 유물"
"Host Chieftain","숙주 부족장"
"Hyrri's Watch","하이리의 감시병"
"Ice Mortar","얼음 박격포"
"Ice Storm","얼음 태풍"
"Ice Golem","얼음 골렘"
"Impact Force Propagator","충격력 확산자"
"Imperial Vanguard","제국 선봉대"
"Incinerated Mage","소각된 마법사"
"Infernal Blade","지옥불 칼"
"Kaom's Chosen","카옴의 선발대"
"Kiln Mother","가마의 어머니"
"Kitava's Herald","키타바의 전령"
"Knitted Horror","견고한 호러"
"Kraityn's Sentry","크레이틴의 보초"
"Kraityn's Sniper","크레이틴의 저격수"
"Leaping Spider","도약 거미"
"Lightning Golem","번개 골렘"
"Lunaris Concubine","루나리스의 첩"
"Lunarsworn Wintermage","달 서약의 겨울마법사"
"Merveil's Attendant","머베일의 수행원"
"Merveil's Blessed","머베일의 축복받은 자"
"Merveil's Chosen","머베일의 선택받은 자"
"Merveil's Retainer","머베일의 신하"
"Mortality Experimenter","필멸성 실험자"
"Murk Fiend","암흑 마귀"
"Necromancer","네크로맨서"
"Noisome Ophidian","유해한 장충"
"Oak's Devoted","오크의 헌신자"
"Oak's Sniper","오크의 저격수"
"Pale Angel","창백한 천사"
"Pale Seraphim","창백한 치천사"
"Phantom Occultist","혼령 오컬티스트"
"Oscillating Sceptre","진동 셉터"
"Plagued Bowman","역병 활잡이"
"Plumed Chimeral","깃털 키메랄"
"Pocked Illuminator","구멍투성이 조명자"
"Pocked Lanternbea...","구멍투성이 등불 운반자"
"Pocked Lanternbearer","구멍투성이 등불 운반자"
"Primal Crushclaw","원시 박살발톱"
"Primal Rhex Matr...","원시 렉스 어미"
"Primal Rhex Matriarch","원시 렉스 어미"
"Primeval Hunter","원시 사냥꾼"
"Raise Spectre gem for their buffs and curses to activate"," 망령 소환 젬의 버프와 저주를 활성화하십시오."
"Ravenous Misshap...","굶주린 이형"
"Ravenous Misshapen","굶주린 이형"
"Potentiality Rod","잠재력의 막대"
"Raging Spirit","격노의 유령"
"Raised Zombie","소환한 좀비"
"Reanimator","소생술사"
"Redemption Knight","구원의 기사"
"Redemption Sentry","구원의 보초"
"Restless Archer","쉬지 못하는 궁수"
"Risen Vaal Advocate","일어난 바알 대변자"
"Risen Vaal Fanatic","일어난 바알 광신도"
"Ruins Hellion","유적 헬리온"
"Sandworn Slaves","모래에 닳은 노예거미"
"Sentinel of Dominance","지배의 파수꾼"
"Sentinel of Purity","정화의 파수꾼"
"Scale of Esh","에쉬의 비늘"
"Scinteel Synthete","불꽃 결합자"
"Shadow Lurker","그림자 잠복자"
"Shaggy Monstrosity","털복숭이 괴수"
"Sin Archer","죄악의 궁수"
"Sin Lord","죄악의 군주"
"Singing Siren","노래하는 사이렌"
"Slashed Miscreation","베어진 기형물"
"Slave Driver","노예 감독"
"Snow Rhex","눈 렉스"
"Solar Guard","태양의 수호병"
"Solaris Champion","솔라리스 용사"
"Sparking Mage","전기불꽃 마법사"
"Spectral Bowman","유령 활잡이"
"Spectral Scoundrel","영체 불한당"
"Spectral Wolf Companion","영체 늑대 동료"
"Spider Minion","거미 소환수"
"Stabilising Sceptre","안정화의 셉터"
"Stone Golem","돌 골렘"
"Stoneskin Flayer","돌 피부 타격가"
"Stygian Revenant","명계의 원령"
"Summoned Cobra","소환된 코브라"
"Summoned Phantasm","소환된 환영"
"Summoned Rhoa","소환된 로아"
"Summoned Skeleton Archer","소환된 해골 궁수"
"Summoned Skeleton Caster","소환된 해골 시전자"
"Summoned Skeleton","소환된 해골"
"Summoned Ursa","소환된 곰"
"Syndicate Operative","연합 첩보원"
"Templar Tactician","템플러 전술가"
"Tentacle Miscreation","촉수 기형물"
"They of Tul","툴의 그들"
"Thunder Archmage","천둥 대마법사"
"Towering Figment","뛰어난 허구"
"Trial Galecaller","시련 강풍소환사"
"Trial Windchaser","시련 바람추적자"
"Tukohama's Vanguard","투코하마의 선봉대"
"Undying Alchemist","산 송장 연금술사"
"Undying Evangelist","산 송장 선교사"
"Undying Grappler","산 송장 격투자"
"Undying Impaler","산 송장 가시괴물"
"Undying Incinerator","산 송장 소각자"
"Undying Outcast","산 송장 낙오자"
"Vaal Slayer","바알 처형자"
"Vexing Archer","지긋지긋한 궁수"
"Voidbearer","공허 운반자"
"Whipping Miscreation","채찍 기형물"
"Wicker Man","인신공양 제물"

"Spectres in your Library must be assigned to an active","망령 도감을 활성화하려면 망령이 할당되어야 합니다."
