"The Anvil",모루
Deerstalker,"사슴 추적자"
"Demigod's Stride","반신의 질주"
Dusktoe,"황혼의 끝자락"
Goldwyrm,"황금 아룡"
"Lioneye's Paws","라이온아이의 발"
"Victario's Flight","빅타리오의 비상"
Rainbowstride,"무지갯빛 발걸음"
"Shavronne's Pace","샤브론의 보폭"
"Sin Trek","죄악의 여정"
Sundance,"태양을 보는 춤"
"Wake of Destruction","파괴의 경야"
Wanderlust,방랑벽
Windscream,"바람의 괴성"
Wondertrap,"기적의 발판"
"Asenath's Gentle Touch","아세나스의 부드러운 손길"
"Atziri's Acuity","앗지리의 예리함"
Aurseize,아우르시즈
"Demigod's Touch","반신의 손길"
"Meginord's Vise","메기노드의 조임쇠"
"Doedre's Tenure","도이드리의 임기"
Facebreaker,페이스브레이커
Voidbringer,"공허 인도자"
Hrimsorrow,흐림소로우
"Lochtonial Caress","록토니얼의 손길"
"Maligaro's Virtuosity","말리가로의 기교"
"Ondar's Clasp","온다르의 걸쇠"
"Sadima's Touch","사디마의 손길"
"Shackles of the Wretched","불운아의 족쇄"
Slitherpinch,"뱀의 손길"
Snakebite,"뱀 이빨"
Thunderfist,"천둥 주먹"
"Vaal Caress","바알의 손길"
Abyssus,"깊은 심연"
"Alpha's Howl","우두머리의 울부짖음"
"Asenath's Mark","아세나스의 징표"
"The Bringer of Rain","비의 인도자"
"Chitus' Apex","치투스의 정점"
"Crown of Eyes","눈알 왕관"
"Crown of Thorns","가시 왕관"
Deidbell,"죽음의 종"
"Demigod's Triumph","반신의 성공"
"Devoto's Devotion","드보토의 헌신"
"Ezomyte Peak","에조미어의 면갑"
"Fairgraves' Tricorne","페어그레이브즈의 삼각모"
"Geofri's Crest","조프리의 문양"
Goldrim,금테
"The Gull",갈매기
Heatshiver,"열기와 오한"
Honourhome,"명예의 총본산"
"Hrimnor's Resolve","흐림노르의 결의"
"Leer Cast","음흉한 시선"
"Malachai's Simula","말라카이의 위장막"
Mindspiral,"정신의 소용돌이"
"The Peregrine",송골매
"Rat's Nest","쥐의 둥지"
"Rime Gaze","냉기의 시선"
Skullhead,"두개골 투구"
"Starkonja's Head","스타콘자의 머리"
"The Three Dragons","세 마리의 용"
"Veil of the Night","밤의 장막"
"The Vertex",최정점
"Aegis Aurora","비호의 오로라"
"Atziri's Mirror","앗지리의 거울"
"Chernobog's Pillar","체르노보그의 기둥"
"Crest of Perandus","페란두스의 문양"
"Daresso's Courage","다레소의 용기"
Kaltenhalt,"붙잡은 냉기"
"Lioneye's Remorse","라이온아이의 후회"
"Matua Tupuna","마투아 투푸나"
"Prism Guardian","분광의 수호자"
"Rathpith Globe","래스피스 구체"
"Rise of the Phoenix","불사조의 비상"
"Saffell's Frame","사펠의 골격"
Springleaf,"생기의 잎사귀"
"Titucius' Span","티투시우스의 방패"
"Wheel of the Stormsail","거친 항해의 타륜"
"The Screaming Eagle","울부짖는 독수리"
"Soul Taker","영혼 수확자"
Dyadus,디아두스
"Chin Sol","친 솔"
Darkscorn,"어두운 냉소"
"Death's Harp","죽음의 하프"
Infractem,침범자
"Lioneye's Glare","라이온아이의 섬광"
"Quill Rain","화살 비"
Silverbranch,"은빛 가지"
"Storm Cloud","태풍 구름"
"Voltaxic Rift","전도성 균열"
Windripper,윈드리퍼
"Al Dhih","알 디"
Bloodseeker,"피의 탐색자"
"Cybil's Paw","시빌의 발"
"Essentia Sanguis","피의 정수"
"Last Resort","최후의 수단"
"Mortem Morsu","고통스러운 죽음"
"Bino's Kitchen Knife","비노의 부엌칼"
Divinarius,디비나리우스
Heartbreaker,"심장 분쇄기"
Mightflay,"강력한 가죽칼"
"Ungil's Gauche","웅힐의 투박함"
Brightbeak,"밝은 부리"
"Doon Cuebiyari","둔 큐비야리"
Mjölner,묠니르
"Mon'tregul's Grasp","몬트레굴의 장악"
"Nycta's Lantern","닉타의 등불"
"The Supreme Truth","지고의 진리"
"Doryani's Catalyst","도리아니의 기폭제"
Aurumvorax,"금빛 욕망"
"Ephemeral Edge","덧없는 칼날"
"The Goddess Bound","속박된 여신"
"The Goddess Scorned","경멸받는 여신"
"Prismatic Eclipse","분광 월식"
"Rebuke of the Vaal","바알의 질책"
Redbeak,"붉은 부리"
"Dying Breath","죽어가는 숨결"
Fencoil,"늪 감긴 가지"
"Pillar of the Caged God","갇힌 신의 기둥"
"The Searing Touch","이글거리는 손길"
"Taryn's Shiver","타린의 오한"
Lifesprig,"생명의 가지"
"Midnight Bargain","심야의 교섭"
Moonsorrow,"달의 슬픔"
"Void Battery","공허 충전기"
"Song of the Sirens","사이렌의 노래"
"Atziri's Promise","앗지리의 약속"
"Blood of the Karui","카루이의 피"
"Divination Distillate","예언의 정수"
"Doedre's Elixir","도이드리의 묘약"
"Lavianga's Spirit","라비앙가의 혼백"
"Acton's Nightmare","액턴의 악몽"
"The Coward's Trial","겁쟁이의 시험"
"Maelström of Chaos","혼돈의 마엘스트롬"
"Mao Kun","마오 쿤"
"Olmec's Sanctum","올멕의 지성소"
"Poorjoy's Asylum","푸어조이의 은신처"
"Vaults of Atziri","앗지리의 금고실"
"Atziri's Disfavour","앗지리의 경멸"
"The Blood Reaper","피의 수확자"
"Kaom's Primacy","카옴의 탁월함"
Limbsplit,"사지 분할기"
"Reaper's Pursuit","수확자의 추적"
Wideswing,"넓은 자루 도끼"
"Wings of Entropy","엔트로피의 날개"
"Chober Chaber","초버 차버"
"Geofri's Baptism","조프리의 세례"
"Hrimnor's Hymn","흐림노르의 찬가"
"Kongor's Undying Rage","콩고르의 끝없는 격노"
"Marohi Erqi","마로히 에르키"
Quecholli,퀘촐리
Voidhome,"공허한 고향"
"Oro's Sacrifice","오로의 희생"
"Queen's Decree","여왕의 법령"
"Rigwald's Charge","리그월드의 돌진"
Shiversting,"오한의 검"
"Terminus Est","다가온 최후"
"Atziri's Splendour","앗지리의 위풍"
Doomfletch,"죽음의 깃"
"Asphyxia's Wrath","질식의 진노"
"Hyaon's Fury","하야온의 광분"
"Kaom's Roots","카옴의 근본"
"Jaws of Agony","고통의 턱"
"Forbidden Taste","금단의 맛"
"Death and Taxes","죽음과 의무"
"Soul Strike","영혼의 일격"
"Pledge of Hands","손으로 맺은 서약"
Pyre,장작
"Rumi's Concoction","루미의 혼합물"
"Thousand Teeth Temu","천 개의 이빨 테무"
"Piscator's Vigil","피스카토의 기도"
"Chalice of Horrors","공포의 성배"
Craghead,"바위 화살촉"
"Edge of Madness","광기의 칼날"
"Flesh and Spirit","육체와 영혼"
"Shadows and Dust","그림자와 먼지"
Dreamfeather,"꿈의 깃털"
"Apep's Rage","아펩의 격노"
"Gang's Momentum","무리의 추진력"
"Hegemony's Era","패권의 시대"
"Mark of the Doubting Knight","불안한 기사의 징표"
"Mokou's Embrace","모코우의 포옹"
"The Dark Seer","어둠 예견자"
"The Harvest",수확
"Cherrubim's Maleficence","체루빔의 악행"
"Null and Void","무효와 공허"
"Untainted Paradise","때묻지 않은 낙원"
"Oba's Cursed Trove","오바의 저주받은 전리품"
"Whakawairua Tuahu","와카와 투아후"
"Sentari's Answer","센타리의 응답"
"Agnerod East","동쪽의 아그네로드"
"Demigod's Eye","반신의 눈"
"Agnerod North","북쪽의 아그네로드"
"Bated Breath","약해진 숨결"
"Belt of the Deceiver","기만자의 허리띠"
Doomsower,"멸망 유발자"
"Great Old One's Ward","위대한 고대 신의 수호"
Kikazaru,키카자루
"Brutus' Lead Sprinkler","브루투스의 리드 스프링클러"
"Malachai's Artifice","말라카이의 책략"
"Maligaro's Lens","말리가로의 렌즈"
"Maligaro's Restraint","말리가로의 속박"
"Maloney's Nightfall","말로니의 해질녘"
"Ngamahu's Sign","나마후의 표식"
"Valako's Sign","발라코의 표식"
"Tasalio's Sign","타살리오의 표식"
"Nomic's Storm","노믹의 태풍"
Prismweave,"빛의 매듭"
"Reverberation Rod","울림의 막대"
"Scold's Bridle","꾸짖음의 굴레"
"Sibyl's Lament","시빌의 한탄"
"The Blood Thorn","피의 가시"
"The Broken Crown","부서진 왕관"
"The Rat Cage",쥐덫
Timeclasp,"시간의 속박"
"Ungil's Harmony","웅힐의 조화"
"Taste of Hate","증오의 맛"
"Warped Timepiece","뒤틀린 시계"
"Greed's Embrace","탐욕의 포옹"
"Hall of Grandmasters","명인의 전당"
"Rashkaldor's Patience","라시칼도어의 인내"
"Blood of Summer","여름날의 피"
"Rust of Winter","부패한 겨울"
"Ashes of the Sun","태양의 재"
"Splinter of the Moon","달의 파편"
"Thunder of the Dawn","새벽의 천둥"
"Vestige of Divinity","신성의 자취"
"Fragment of Eternity","영원의 조각"
"Relic of the Cycle","순환의 유물"
"Scar of Fate","운명의 흉터"
"Tear of Entropy","엔트로피의 눈물"
"Remnant of Empires","제국의 유물"
"Chains of Time","시간의 사슬"
"Black Sun Crest","검은 태양 문양"
"The Whispering Ice","속삭이는 얼음"
"The Consuming Dark","타들어 가는 어둠"
"Sire of Shards","파편의 영주"
"Null's Inclination","몰살 의지"
"Dyadian Dawn","쌍둥이의 여명"
"Empire's Grasp","제국의 손아귀"
"Lioneye's Vision","라이온아이의 시각"
"To Dust","먼지처럼 사라져라"
"Eldritch Knowledge","섬뜩한 지식"
"Fluid Motion","유체 운동"
"Intuitive Leap","직관의 도약"
"Lioneye's Fall","라이온아이의 몰락"
"Selfless Leadership","이타적인 통솔력"
"Doedre's Scorn","도이드리의 멸시"
"Shaper's Seed","쉐이퍼의 씨앗"
Brawn,근육
Inertia,관성
"Vampire's Might","흡혈귀의 완력"
"Survival Secrets","생존 비결"
"Survival Skills","생존 기술"
"Inspired Learning","탁월한 학습"
"Martial Artistry","무도가의 기교"
"Survival Instincts","생존 본능"
"Fertile Mind","풍요로운 마음"
"Cannibalistic Habits","야만적 습성"
"Spire of Stone",첨탑
Apparitions,유령
"Mantra of Flames","화염의 주문"
"Fortified Legion","견고한 부대"
Hotheaded,핫헤드
Combustibles,"가연성 보석"
"Weight of Sin","죄의 무게"
"The Naming Temporary","임시 이름"
"Fragile Bloom","가냘픈 꽃"
"Rain of Splinters","파편의 비"
"Malicious Intent","불순한 의도"
"Clear Mind","맑은 정신"
Specialised,특별함
"Miser of Misery","불행의 수전노"
"Efficient Training","효율적인 훈련"
"Brute Force Solution","완력 해결"
"Careful Planning","철저한 계획"
"Atziri's Reign","앗지리의 치세"
"Blood of Corruption","타락의 피"
"Tear of Purity","정화의 눈물"
Twyzel,트위즐
"Vaal Sentencing","바알의 판결"
Southbound,남행
"Tremor Rod","전율의 막대"
"Relentless Fury","맹렬한 광분"
Ichimonji,이치몬지
"Fairgraves' Bearing","페어그레이브즈의 인내"
"Fidelitas' Spike","피델리타스의 가시"
"Hidden Potential","숨겨진 잠재력"
"Fevered Mind","흥분한 마음"
"Sacrificial Harvest","희생의 수확"
"Blood Sacrifice","피의 희생"
Self-Flagellation,"자학 채찍질"
Powerlessness,무력함
"Poacher's Aim","밀렵꾼의 조준"
"Warlord's Reach","전쟁군주의 역량"
"Assassin's Haste","암살자의 신속함"
"Conqueror's Efficiency","정복자의 효율"
"Conqueror's Potency","정복자의 능력"
"Conqueror's Longevity","정복자의 수명"
"Chill of Corruption","타락의 한기"
"Ancient Waystones","고대 경로석"
"Mutated Growth","변이한 종양"
"Hungry Abyss","굶주린 심연"
"Zerphi's Youth","제르피의 젊음"
"Corrupted Energy","타락한 에너지"
"Brittle Barrier","부실한 방어막"
Pacifism,평화주의
Fragility,허약
"Talisman of the Victor","승리자의 부적"
"Heartbound Loop","마음에 묶인 고리"
Pugilist,권투가
"Cold Steel","냉기의 강철"
"Anatomical Knowledge","육체에 대한 지식"
Fireborn,"불의 체질"
"Energised Armour","활력의 방어구"
"Energy From Within","내재한 에너지"
"Static Electricity",정전기
"Healthy Mind","건강한 마음"
"Might in All Forms","만물의 힘"
"Lion's Roar","사자의 포효"
"Callinellus Malleus","집게발 쇠망치"
"The Restless Ward","끊임없는 수호"
Gorebreaker,"유혈 분쇄기"
"Lavianga's Wisdom","라비앙가의 지혜"
"Lakishu's Blade","라키슈의 검"
Repentance,참회
Flesh-Eater,식인종
"The Stormheart","태풍의 눈"
"The Princess",공주
"Moonbender's Wing","달을 구부리는 자의 날개"
Dreadarc,"접근하는 공포"
"The Deep One's Hide","심해의 가죽"
Wildslash,"거친 베기"
Realmshaper,"영역 형성자"
"Abberath's Horn","아버라스의 뿔"
Bloodplay,"피의 오락"
Goredrill,"유혈 관통"
Kingsguard,"왕의 보호구"
"Call of the Brotherhood","형제의 부름"
Kingmaker,실세
"Death's Hand","죽음의 손길"
"The Goddess Unleashed","해방된 여신"
"Jack, the Axe","도끼마 잭"
Stormblast,"태풍 파열"
"Bartek's Finger","바텍의 손가락"
"Boreal Shepherd","북쪽의 양치기"
"Celestial Fragment","천공의 조각"
Ironweld,"쇠 용접"
"Alkem Eira","알켐 에이라"
"Death Rattle","죽음의 소란"
Ghostmarch,"유령의 행진"
"Santoni's Faith","산토니의 믿음"
"Mana Sponge","마나 스폰지"
"The Rathorn",라손
"Leviathan Ivory","레비아탄의 엄니"
"Deadman's Hand","망자의 손길"
"Vizaru's Folly","비자루의 어리석음"
"Kalisa's Grace","칼리사의 은총"
"Arimagius' Honor","아리마기우스의 명예"
Wurmfist,"웜의 주먹"
"Dewath's Hide","드워스의 가죽"
"Doryani's Fist","도리아니의 주먹"
"Ventor's Gamble","벤토의 도박"
"Ornament of the East","동방의 장신구"
"Trolltimber Spire","트롤나무 꼭대기"
"Jorrhast's Blacksteel","요르하스트의 강철"
"Crown of the Pale King","창백한 왕의 왕관"
Surgebinders,"몰려드는 격동"
"Victario's Influence","빅타리오의 영향력"
"Cameria's Maul","카메리아의 대형 망치"
"Brinerot Mark","부패한 염수단 징표"
"Redblade Band","적검단 가락지"
"Mutewind Seal","고요한 바람단 봉인"
"Brinerot Flag","부패한 염수단 깃발"
"Redblade Banner","적검단 깃발"
"Mutewind Pennant","고요한 바람단 페넌트"
"Demigod's Beacon","반신의 횃불"
"Brinerot Whalers","부패한 염수단 고래잡이 신발"
"Mutewind Whispersteps","고요한 바람단의 속삭임 신발"
"Redblade Tramplers","적검단 유린자"
"Ylfeban's Trickery","일프밴의 계략"
"Band of the Victor","승리자의 반지"
"Agnerod South","남쪽의 아그네로드"
Emberwake,"잉걸불 지피기"
"Slivers of Providence","섭리의 편린 화살통"
"Steppan Eard","스테판 야드"
"Broken Faith","부서진 믿음"
"The Pariah",부랑자
Bloodgrip,"피의 지배"
Soulthirst,"목마른 영혼"
"Spine of the First Claimant","최초 선구자의 척추"
"Izaro's Dilemma","이자로의 난제"
"Winds of Change","변화의 바람"
"Izaro's Turmoil","이자로의 혼란"
"Chitus' Needle","치투스의 바늘"
"Night's Hold","밤의 연장"
Blightwell,"황폐한 샘"
"Natural Hierarchy","순수의 지배"
"Rigwald's Curse","리그월드의 저주"
"The Vigil","철야 기도"
"Rolling Flames","몰려오는 불꽃"
"Winter's Bounty","겨울의 하사품"
"Spirited Response","맹렬한 응답"
"Dead Reckoning","망자의 판단"
"Rapid Expansion","신속한 확장"
"Volley Fire","일제 포격"
"Spirit Guards","혼백의 수호"
"Shattered Chains","바스라진 사슬"
"Weight of the Empire","제국의 무게"
"Pitch Darkness","칠흑 같은 어둠"
"Steel Spirit","강철 혼백"
"Growing Agony","심해지는 고통"
"The Vinktar Square","빙타 광장"
"Caer Blaidd, Wolfpack's Den","캐어블레이드 늑대의 소굴"
"Eyes of the Greatwolf","위대한 늑대의 눈"
"Rigwald's Quills","리그월드의 화살"
Feastbind,"연회의 속박"
Faminebind,"기근의 속박"
"The Retch",레치
Allure,매혹
"Hezmana's Bloodlust","헤즈마나의 유혈 충동"
"Coruscating Elixir","빛나는 묘약"
"The Aylardex",에일러덱스
"Vessel of Vinktar","빙타의 그릇"
"Kongming's Stratagem","공명의 계략"
Skyforth,"하늘 달리기"
"Roth's Reach","로스의 역량"
Rotgut,"썩은 내장"
"Femurs of the Saints","성자의 대퇴골"
Obliteration,말살
"Extractor Mentis","정신 추출기"
"Iron Commander","철의 지휘관"
"Storm Prison","태풍 감옥"
"Eclipse Solaris","솔라리스의 쇠퇴"
Disjunction,분열
Singularity,"중력 붕괴"
Bitterdream,악몽
"Star of Wraeclast","레이클라스트의 별"
"Rigwald's Crest","리그월드의 문양"
"Rigwald's Savagery","리그월드의 야만"
"Rigwald's Command","리그월드의 명령"
"Essence Worm","에센스 웜"
"Agnerod West","서쪽의 아그네로드"
Winterheart,겨울심장
"Demigod's Dominance","반신의 지배"
"Frost Unbroken","온전한 서리"
"Advancing Fortress","전진하는 요새"
"Cheap Construction","저렴한 건축"
"Daresso's Passion","다레소의 열정"
Glitterdisc,"빛나는 원반"
"Hair Trigger","민감한 반응"
"Malachai's Loop","말라카이의 고리"
"Reckless Defence","무모한 방어"
"The Writhing Jar","꿈틀거리는 단지"
"Unstable Payload","불안정한 하중"
Varunastra,바루나스트라
Wyrmsign,"아룡의 징조"
"Geofri's Sanctuary","조프리의 성역"
Clayshaper,클레이쉐이퍼
"Seven-League Step","바람의 걸음"
"Zerphi's Last Breath","제르피의 마지막 숨결"
"Umbilicus Immortalis","불멸의 탯줄"
"The Sorrow of the Divine","신의 슬픔"
"Emperor's Cunning","황제의 잔꾀"
"Emperor's Wit","황제의 재치"
"Emperor's Might","황제의 완력"
"Emperor's Mastery","황제의 숙련"
"The Perandus Manor","페란두스 저택"
Rive,리브
"Heretic's Veil","이단자의 면사포"
"Nuro's Harp","누로의 하프"
Reefbane,"암초의 파멸"
"Axiom Perpetuum","액시옴의 무기징역"
"Viper's Scales","독사의 비늘"
Widowmaker,위도우메이커
Trypanon,트리파논
Frostbreath,"서리 숨결"
"The Tempestuous Steel","격렬한 강철"
"Xirgil's Crank","저글의 손잡이"
"Victario's Charity","빅타리오의 자비"
"The Beast Fur Shawl","야수 모피 숄"
"The Dancing Dervish","춤추는 수도승"
"Saemus' Gift","새무스의 선물"
"Cloak of Tawm'r Isley","탐위르 이슬리의 망토"
"Touch of Anguish","비통의 손길"
Ashcaller,"재 소환사"
"Veruso's Battering Rams","베루소의 공성추"
"Three-step Assault","삼단 공격"
"Hinekora's Sight","히네코라의 통찰력"
"Cospri's Will","코스프리의 의지"
"The Ascetic",고행자
"Wall of Brambles","가시나무 벽"
"Karui Charge","카루이의 돌진"
"Death's Opus","죽음의 작품"
Kintsugi,킨츠키
"Grand Spectrum","장대한 파장"
"Kiara's Determination","키아라의 결의"
Hiltless,"고통의 검"
"The Overflowing Chalice","넘치는 성배"
Cragfall,"바위 폭포"
"Doomfletch's Prism","죽음의 깃의 분광기"
Silverbough,"은빛 나뭇가지"
"Hrimnor's Dirge","흐림노르의 만가"
"The Tempest",폭풍
"Amplification Rod","증폭 막대"
"Realm Ender",종결자
"Queen's Escape","여왕의 탈주"
"Shavronne's Gambit","샤브론의 책략"
"Ezomyte Hold","에조미어의 방호"
Deidbellow,"죽음의 괘종"
Voidheart,"공허의 심장"
"Martyr's Crown","순교자의 왕관"
"The Signal Fire",봉화
"Ngamahu Tiki","나마후 티키"
Hrimburn,흐림번
"Kaom's Way","카옴의 길"
"Thirst for Horrors","공포에 대한 갈증"
"The Oak",참나무
Kaltensoul,"붙잡은 영혼"
"The Gryphon",그리폰
"The Cauteriser",소각로
Skirmish,접전
Scaeva,스카이바
"Innsbury Edge","인스뷰리 칼날"
"Coated Shrapnel","뒤덮은 파편"
"Ascent From Flesh","육체로부터의 해방"
"Breath of the Council","의회의 숨결"
"Reach of the Council","의회의 역량"
"Death's Door","죽음의 문턱"
"Grip of the Council","의회의 장악"
"The Learning Stone","배움의 돌"
"Underdog's Fury","패배자의 광분"
Duskwing,"황혼 날개"
"Mind of the Council","의회의 정신"
Spiritskin,영혼가죽
"Ewar's Mirage","이워의 신기루"
Lycosidae,"늑대 거미"
Tinkerskin,"톱니의 보호"
Rumblemarch,"요란한 행진"
"The Brass Dome","황동 철갑"
"Kitava's Thirst","키타바의 갈증"
"Kondo's Pride","콘도의 자부심"
Obscurantis,몽매주의
Praxis,관습
Valyrium,발리륨
Slivertongue,슬리버텅
Snakepit,"뱀 구덩이"
"Brain Rattler","요동치는 두뇌"
"Razor of the Seventh Sun","날카로운 일곱 번째 태양"
"Eye of Innocence","결백의 눈"
"The Putrid Cloister","악취 나는 수도원"
"The Warden's Brand","간수의 낙인"
"Witchfire Brew","불타는 마녀의 술"
"Unending Hunger","끝없는 허기"
"Cospri's Malice","코스프리의 장난"
"Hallowed Ground","거룩한 대지"
Voidwalker,"공허 보행자"
"The Scourge",재앙
Starforge,"별의 탄생"
"Dying Sun","죽어가는 해"
"Shaper's Touch","쉐이퍼의 손길"
Tulfall,"툴의 몰락"
"Primordial Eminence","태고의 고귀"
"Primordial Harmony","태고의 조화"
"The Anima Stone","생명의 돌"
"Primordial Might","태고의 완력"
"Xoph's Nurture","조프의 보살핌"
"The Formless Flame","무형의 불꽃"
"The Formless Inferno","무형의 지옥불"
"Xoph's Heart","조프의 심장"
"Ngamahu's Flame","나마후의 불꽃"
"Tukohama's Fortress","투코하마의 요새"
"Voll's Vision","볼의 시각"
Tulborn,"툴의 탄생"
"The Halcyon",평온
"Shade of Solaris","솔라리스의 그늘"
"The Infinite Pursuit","끝없는 추적"
"The Pandemonius",대혼란
"The Red Trail","붉은 발자취"
"Voice of the Storm","태풍의 목소리"
"Xoph's Blood","조프의 피"
"Xoph's Inception","조프의 시초"
"Light of Lunaris","루나리스의 빛"
"The Surrender",포기
"Malachai's Vision","말라카이의 시각"
"Hand of Thought and Motion","사고와 움직임의 손아귀"
"Sin's Rebirth","씬의 부활"
"The Snowblind Grace","설맹의 은총"
"Hand of Wisdom and Action","지혜와 행동의 손아귀"
"Esh's Mirror","에쉬의 거울"
"Esh's Visage","에쉬의 얼굴"
"Choir of the Storm","태풍의 합창"
"The Perfect Form","완벽한 구조"
"Uul-Netol's Kiss","울네톨의 입맞춤"
"Uul-Netol's Embrace","울네톨의 포옹"
"The Anticipation",기대
"Severed in Sleep",야습
"United in Dream","꿈속의 연합"
"Skin of the Loyal","충신의 가죽"
"Skin of the Lords","군주의 가죽"
"The Brine Crown","염수 왕관"
"Presence of Chayula","차율라의 존재"
"Gruthkul's Pelt","그루스컬의 가죽"
"Arakaali's Fang","아라칼리의 송곳니"
Perseverance,인내
Duskdawn,"황혼의 아침"
"Kitava's Feast","키타바의 연회"
"The Red Dream","붉은 꿈"
"The Red Nightmare","붉은 악몽"
"The Green Dream","녹색 꿈"
"The Green Nightmare","녹색 악몽"
"The Blue Dream","파란 꿈"
"The Blue Nightmare","파란 악몽"
"Abberath's Hooves","아버라스의 발굽"
"Angler's Plait","낚시꾼의 고리"
Felltooth,펠투스
"Sudden Ignition","기습적인 점화"
"Ring of Blades","칼날 경기장"
"Winter Burial","한겨울의 장례식"
"Violent Dead","난폭한 망자"
"First Snow",첫눈
"Garukhan's Flight","가루칸의 비행"
Tidebreaker,"물결 분쇄기"
"Martyr of Innocence","결백한 순교자"
"Frozen Trail","얼어붙은 길"
Wildfire,도깨비불
"Fight for Survival","처절한 분투"
"Omen on the Winds","바람에 실린 전조"
"Overwhelming Odds","압도적인 역경"
"The Baron",남작
Haemophilia,혈우병
"Bisco's Collar","비스코의 목걸이"
"Might and Influence","권력과 영향력"
Inevitability,필연
"Ryslatha's Coil","리슬라사의 감개"
"Collateral Damage","부가적 피해"
"Ahn's Heritage","안의 유산"
"The Wise Oak","지혜의 참나무"
"Bisco's Leash","비스코의 가죽끈"
"Spreading Rot","퍼져가는 부패"
"Boundless Grasp","끝없는 장악"
"Hazardous Research","위험한 연구"
"Soul Tether","영혼 올가미"
"Ahn's Might","안의 완력"
"Ahn's Contempt","안의 경멸"
Mordhau,모드하우
"Pagan Geis","이교도의 응고제"
"Prospero's Vault","프로스페로의 금고"
"Speaker's Wreath","연설가의 화관"
"The Unshattered Will","불굴의 의지"
"Choking Ash","숨막히는 잿더미"
"Straight and True","정직한 진실"
"Inya's Epiphany","이냐의 통찰"
"Volkuur's Guidance","볼쿠르의 인도"
"The Coming Calamity","다가오는 대재난"
"Eber's Unification","이버의 통합"
"Yriel's Fostering","이리엘의 훈육"
"The Tempest's Binding","폭풍의 속박"
"The Enmity Divine","증오의 신"
"The Fracturing Spinner","분쇄형 회전기"
"The Flow Untethered","얽매이지 않은 흐름"
"The Rippling Thoughts","퍼져나가는 생각"
Dendrobate,"화살독 갑옷"
Allelopathy,"생존 경쟁"
"The Embalmer","시체처리사의 장갑"
"First Piece of the Arcane","비전의 첫 번째 조각"
"Maligaro's Cruelty","말리가로의 잔혹성"
"The Wasp Nest","말벌의 독침"
"Debeon's Dirge","데비온의 장승곡"
Taproot,"흡혈 뿌리"
"The Beachhead",교두보
"From Dust","먼지처럼 나타나라"
"Second Piece of the Arcane","비전의 두 번째 조각"
