"Crimson Jewel","진홍색 주얼"
"Poacher's Aim","밀렵꾼의 조준"
"Conqueror's Longevity","정복자의 수명"
"Chill of Corruption","타락의 한기"
"Hungry Abyss","굶주린 심연"
Pacifism,평화주의
Pugilist,권투가
"Cold Steel","냉기의 강철"
"Static Electricity",정전기
"Volley Fire","일제 포격"
"Spirit Guards","혼백의 수호"
"Pitch Darkness","칠흑 같은 어둠"
"Steel Spirit","강철 혼백"
"Growing Agony","심해지는 고통"
"Cheap Construction","저렴한 건축"
"Hair Trigger","민감한 반응"
"Emperor's Cunning","황제의 잔꾀"
"Primordial Eminence","태고의 고귀"
"The Green Dream","녹색 꿈"
"The Green Nightmare","녹색 악몽"
"Sudden Ignition","기습적인 점화"
"Ring of Blades","칼날 경기장"
"Fight for Survival","처절한 분투"
"Omen on the Winds","바람에 실린 전조"
"Might and Influence","권력과 영향력"
"Collateral Damage","부가적 피해"
"Choking Ash","숨막히는 잿더미"
"Straight and True","정직한 진실"
"Pure Talent","타고난 재능"
"The Golden Rule","황금 법칙"
"Tempered Spirit","조절된 정신"
"Transcendent Spirit","초월한 정신"
"Unnatural Instinct","기이한 본능"
"Toxic Vapours","맹독성 증기"
"Seething Fury","끓어오르는 광분"
"Quickening Covenant","재촉의 계약"
"Unearth Threshold","발굴의 한계"
"Replica Hotheaded","핫헤드 모조품"
"Replica Pure Talent","타고난 재능 모조품"
"Replica Cheap Construction","저렴한 건축 모조품"
"Lord of Steel","강철의 군주"
"Impossible Escape","불가능한 탈출"
Stormshroud,폭풍연막
"Ancestral Vision","선대의 환영"
"To Dust","먼지처럼 사라져라"
"Eldritch Knowledge","섬뜩한 지식"
"Selfless Leadership","이타적인 통솔력"
"Survival Secrets","생존 비결"
"Fertile Mind","풍요로운 마음"
"Fortified Legion","견고한 부대"
"Malicious Intent","불순한 의도"
"Clear Mind","맑은 정신"
"Brute Force Solution","완력 해결"
"Vaal Sentencing","바알의 판결"
"Fevered Mind","흥분한 마음"
Powerlessness,무력함
"Assassin's Haste","암살자의 신속함"
"Conqueror's Potency","정복자의 능력"
"Mutated Growth","변이한 종양"
"Corrupted Energy","타락한 에너지"
"Brittle Barrier","부실한 방어막"
"Anatomical Knowledge","육체에 대한 지식"
"Energy From Within","내재한 에너지"
"Healthy Mind","건강한 마음"
"Rolling Flames","몰려오는 불꽃"
"Winter's Bounty","겨울의 하사품"
"Spirited Response","맹렬한 응답"
"Dead Reckoning","망자의 판단"
"Reckless Defence","무모한 방어"
"Unstable Payload","불안정한 하중"
"Emperor's Wit","황제의 재치"
"Unending Hunger","끝없는 허기"
"Primordial Harmony","태고의 조화"
"The Blue Dream","파란 꿈"
"The Blue Nightmare","파란 악몽"
"Violent Dead","난폭한 망자"
"First Snow",첫눈
"Frozen Trail","얼어붙은 길"
Inevitability,필연
"Spreading Rot","퍼져가는 부패"
"Boundless Grasp","끝없는 장악"
"Hazardous Research","위험한 연구"
"From Dust","먼지처럼 나타나라"
"The Long Winter","기나긴 겨울"
"Soul's Wick","영혼의 심지"
"Tempered Mind","조절된 마음"
"Transcendent Mind","초월한 마음"
"Fortress Covenant","요새 계약"
"Replica Reckless Defence","무모한 방어 모조품"
"Replica Unstable Payload","불안정한 하중 모조품"
"Endless Misery","끝없는 불행"
"Apex Mode","정점 모드"
"Nadir Mode","저점 모드"
"Melding of the Flesh","살점의 융합"
"Forbidden Flesh","금단의 살점"
Witchbane,"마녀의 파멸"
"Rational Doctrine","합리적인 교리"
"The Balance of Terror","공포의 균형"
"Emperor's Mastery","황제의 숙련"
"The Anima Stone","생명의 돌"
"Watcher's Eye","감시자의 눈"
"Sublime Vision","숭고한 환영"
"Glorious Vanity","찬란한 허영심"
"Militant Faith","호전적인 신념"
"Brutal Restraint","잔인한 속박"
"Elegant Hubris","고상한 오만"
"Lethal Pride","치명적인 긍지"
Voices,목소리
Megalomaniac,과대망상
"One With Nothing",맨주먹
"Kitava's Teachings","키타바의 가르침"
"The Interrogation",취조
"Calamitous Visions","환란의 시각"
"Natural Affinity","타고난 친화력"
"The Siege","포위 작전"
"Child of Violence","폭력의 아이"
"The Front Line",최전방
"Tecrod's Gaze","테크로드의 응시"
"Ulaman's Gaze","울라만의 응시"
"Kurgal's Gaze","쿠르갈의 응시"
"Amanamu's Gaze","아마나무의 응시"
"That Which Was Taken","빼앗긴 것"
"The Adorned","치장한 자"
"Replica Fragility","허약 모조품"
"Replica Pacifism","평화주의 모조품"
"Replica Powerlessness","무력함 모조품"
"The Perandus Pact","페란두스 맹약"
"The Light of Meaning","의미의 빛"
