Absolution,면죄
"Ice Shot","얼음 화살"
"Ice Spear","얼음 창"
"Ice Trap","얼음 덫"
Icestorm,얼음태풍
"Icicle Mine","고드름 지뢰"
"Ignite Proliferation","점화 확산 보조"
Immolate,"번제 보조"
"Immortal Call","불멸의 외침"
Impale,"꿰뚫기 보조"
"Impending Doom","임박한 멸망 보조"
Incinerate,소각
"Increased Area of Effect","효과 범위 증가 보조"
"Increased Critical Damage","치명타 피해 증가 보조"
"Increased Critical Strikes","치명타 증가 보조"
"Increased Duration","지속시간 증가 보조"
"Infernal Blow","지옥불 맹타"
"Infernal Cry","지옥불 함성"
"Infernal Legion","지옥불 군단 보조"
"Infused Channelling","깊어지는 집중 유지 보조"
Innervate,"자극 보조"
Inspiration,"영감 보조"
Intensify,"격화 보조"
"Intimidating Cry","위협의 함성"
"Intuitive Link","직관의 연결"
"Iron Grip","강철 손아귀 보조"
"Iron Will","강철의 의지 보조"
"Item Rarity","아이템 희귀도 보조"
"Kinetic Blast","역학 폭발"
"Kinetic Bolt","역학 투사체"
Knockback,"밀어내기 보조"
Lacerate,"피부 찢기"
"Lancing Steel","강철 관통"
"Leap Slam","도약 강타"
"Less Duration","지속시간 감소 보조"
"Lesser Multiple Projectiles","하위 다중 투사체 보조"
"Life Gain on Hit","명중 시 생명력 획득 보조"
"Life Leech","생명력 흡수 보조"
Lifetap,"생명력 전환 보조"
"Lightning Arrow","번개 화살"
"Lightning Conduit","번개 도관"
"Lightning Penetration","번개 관통 보조"
"Lightning Spire Trap","번개 첨탑 덫"
"Lightning Strike","번개 타격"
"Lightning Tendrils","덩굴 번개"
"Lightning Trap","번개 덫"
"Lightning Warp","번개 차원 이동"
Maim,"힘줄 절단 보조"
Malevolence,악의
"Mana Leech","마나 흡수 보조"
Manabond,"마나 결속"
"Manaforged Arrows","마나벼림 화살 보조"
"Mark On Hit","명중 시 징표 보조"
"Meat Shield","육탄 방어 보조"
"Melee Physical Damage","근접 물리 피해 보조"
"Melee Splash","근접 범위 피해 보조"
Minefield,"지뢰밭 보조"
"Minion Damage","소환수 피해 보조"
"Minion Life","소환수 생명력 보조"
"Minion Speed","소환수 속도 보조"
"Mirage Archer","신기루 궁수 보조"
"Mirror Arrow","거울 화살"
"Molten Shell","용암 방패"
"Molten Strike","용암 타격"
Momentum,"기세 보조"
"Multiple Totems","다중 토템 보조"
"Multiple Traps","다중 덫 보조"
Multistrike,"연속타격 보조"
Nightblade,"밤의 칼날 보조"
"Orb of Storms","폭풍 보주"
Overcharge,"과충전 보조"
"Penance Brand","속죄의 낙인"
Perforate,천공
"Pestilent Strike","전염성 일격"
"Petrified Blood","피 석화"
"Phase Run","위상 질주"
"Physical to Lightning","물리 번개 전환 보조"
Pierce,"관통 보조"
Pinpoint,"핵심 조준 보조"
"Plague Bearer","독성 운반자"
"Poacher's Mark","밀렵꾼의 징표"
"Point Blank","근접 사격 보조"
"Poisonous Concoction","독성 혼합물"
Portal,포탈
"Power Charge On Critical","치명타 시 권능 충전 보조"
"Power Siphon","권능 착취"
Precision,정밀함
Predator,"포식자 보조"
Pride,자부심
"Prismatic Burst","분광 격발"
"Protective Link","보호의 연결"
Pulverise,"분쇄 보조"
Puncture,관통상
Punishment,응징
"Purifying Flame","정화의 불길"
"Purity of Elements","원소의 순수함"
"Purity of Fire","불의 순수함"
"Purity of Ice","얼음의 순수함"
"Purity of Lightning","번개의 순수함"
"Pyroclast Mine","화산탄 지뢰"
Quickstep,"빠른 걸음"
Rage,"격노 보조"
"Rage Vortex","격노 소용돌이"
"Rain of Arrows",화살비
"Raise Spectre","망령 소환"
"Raise Zombie","좀비 소환"
"Rallying Cry","집결의 함성"
Reap,낫질
Reave,약탈
Reckoning,역습
"Rejuvenation Totem","회복 토템"
"Righteous Fire","정의의 화염"
Riposte,반격
"Rolling Magma","몰려오는 마그마"
Ruthless,"무자비 보조"
"Scorching Ray","작열 광선"
"Scourge Arrow","재앙의 화살"
"Searing Bond","불타는 굴레"
"Second Wind","새로운 활력 보조"
"Seismic Cry","지진 함성"
"Seismic Trap","지진 덫"
"Shattering Steel","강철 파편"
"Shield Charge","방패 돌진"
"Shield Crush","방패 타쇄"
"Shock Nova","충격 폭발"
Shockwave,충격파
"Shockwave Totem","충격파 토템"
"Shrapnel Ballista","파편 쇠뇌"
"Siege Ballista","공성 쇠뇌"
"Sigil of Power","힘의 부적"
"Siphoning Trap","착취 덫"
"Slower Projectiles","투사체 속도 감소 보조"
Smite,징벌
"Smoke Mine","연막 지뢰"
Snipe,저격
"Snipe Support","저격 보조"
"Sniper's Mark","저격수의 징표"
"Soul Link","영혼의 연결"
Soulrend,"영혼 분리"
Spark,전기불꽃
"Spectral Helix","영체 나선"
"Spectral Shield Throw","환영 방패 투척"
"Spectral Throw","환영 무기 투척"
"Spell Cascade","연속 주문 보조"
"Spell Echo","주문 메아리 보조"
"Spell Totem","주문 토템 보조"
Spellslinger,주문투척
"Spirit Offering","영혼 공물"
"Split Arrow","분할 화살"
"Splitting Steel","강철 분할"
"Static Strike","정전기 타격"
Steelskin,강철피부
"Storm Brand","폭풍의 낙인"
"Storm Burst","폭풍 점사"
"Storm Call","폭풍 부름"
"Storm Rain",폭풍우
Stormbind,"폭풍 연대"
"Stormblast Mine","태풍 파열 지뢰"
Stun,"기절 보조"
"Summon Carrion Golem","부패 골렘 소환"
"Summon Chaos Golem","카오스 골렘 소환"
"Summon Flame Golem","화염 골렘 소환"
"Summon Holy Relic","신성한 유물 소환"
"Summon Ice Golem","얼음 골렘 소환"
"Summon Lightning Golem","번개 골렘 소환"
"Summon Phantasm","환영 소환"
"Summon Raging Spirit","격노의 유령 소환"
"Summon Reaper","수확자 소환"
"Summon Skeletons","해골 소환"
"Summon Skitterbots","원격 기폭 장치 소환"
"Summon Stone Golem","돌 골렘 소환"
Sunder,산산조각
Sweep,휩쓸기
"Swift Affliction","고통 격화 보조"
"Swift Assembly","재빠른 조립 보조"
Swiftbrand,"재빠른 낙인 보조"
"Tectonic Slam","지층 강타"
"Tempest Shield","폭풍의 방패"
"Temporal Chains","시간의 사슬"
"Temporal Rift","시간의 균열"
Tornado,회오리
"Tornado Shot","회오리 사격"
"Toxic Rain","맹독성 비"
Trap,"덫 보조"
"Trap and Mine Damage","덫 및 지뢰 피해 보조"
Trinity,"삼위일체 보조"
"Unbound Ailments","벌어지는 상처 보조"
Unearth,발굴
Unleash,"촉발 보조"
"Urgent Orders","긴급 명령 보조"
"Vaal Absolution","바알 면죄"
"Vaal Ancestral Warchief","바알 선대의 대전사"
"Vaal Animate Weapon","바알 무기 기동"
"Vaal Arc","바알 연쇄 번개"
"Vaal Arctic Armour","바알 한기의 방어구"
"Vaal Blade Flurry","바알 질풍의 칼날"
"Vaal Blade Vortex","바알 칼날 소용돌이"
"Vaal Blight","바알 황폐"
"Vaal Breach","바알 균열"
"Vaal Burning Arrow","바알 불타는 화살"
"Vaal Caustic Arrow","바알 부식성 화살"
"Vaal Clarity","바알 명상"
"Vaal Cleave","바알 회전베기"
"Vaal Cold Snap","바알 한파"
"Vaal Cyclone","바알 회오리바람"
"Vaal Detonate Dead","바알 시체 폭발"
"Vaal Discipline","바알 단련"
"Vaal Domination","바알 지배"
"Vaal Double Strike","바알 이중 타격"
"Vaal Earthquake","바알 지진"
"Vaal Fireball","바알 화염구"
"Vaal Firestorm","바알 화염 폭풍"
"Vaal Flameblast","바알 화염파"
"Vaal Flicker Strike","바알 점멸 타격"
"Vaal Glacial Hammer","바알 빙하 망치"
"Vaal Grace","바알 은총"
"Vaal Ground Slam","바알 대지 강타"
"Vaal Haste","바알 가속"
"Vaal Ice Nova","바알 얼음 폭발"
"Vaal Ice Shot","바알 얼음 화살"
"Vaal Immortal Call","바알 불멸의 외침"
"Vaal Impurity of Fire","바알 불의 부정함"
"Vaal Impurity of Ice","바알 얼음의 부정함"
"Vaal Impurity of Lightning","바알 번개의 부정함"
"Vaal Lightning Arrow","바알 번개 화살"
"Vaal Lightning Strike","바알 번개 타격"
"Vaal Lightning Trap","바알 번개 덫"
"Vaal Lightning Warp","바알 번개 차원 이동"
"Vaal Molten Shell","바알 용암 방패"
"Vaal Molten Strike","바알 용암 타격"
"Vaal Power Siphon","바알 권능 착취"
"Vaal Rain of Arrows","바알 화살비"
"Vaal Reap","바알 낫질"
"Vaal Reave","바알 약탈"
"Vaal Rejuvenation Totem","바알 회복 토템"
"Vaal Righteous Fire","바알 정의의 화염"
"Vaal Smite","바알 징벌"
"Vaal Spark","바알 전기불꽃"
"Vaal Spectral Throw","바알 환영 무기 투척"
"Vaal Split Arrow","바알 분할 화살"
"Vaal Storm Call","바알 폭풍 부름"
"Vaal Summon Skeletons","바알 해골 소환"
"Vaal Venom Gyre","바알 독액 선회"
"Vaal Volcanic Fissure","바알 화산 균열"
"Vampiric Link","흡혈의 연결"
Vengeance,복수
"Venom Gyre","독액 선회"
"Vicious Projectiles","포악한 투사체 보조"
"Vigilant Strike","경계 타격"
"Vile Toxins","끔찍한 독소 보조"
"Viper Strike","맹독 타격"
Vitality,활력
"Void Manipulation","공허 조작 보조"
"Void Sphere","공허 구체"
"Volatile Dead","시체 불덩이"
"Volcanic Fissure","화산 균열"
Volley,"사격 공세 보조"
"Voltaxic Burst","전도성 격발"
Vortex,소용돌이
Vulnerability,취약성
"War Banner","전쟁 깃발"
"Warlord's Mark","전쟁군주의 징표"
"Wave of Conviction","신념의 파도"
"Whirling Blades","칼날 선회"
"Wild Strike","사나운 타격"
"Winter Orb","겨울 보주"
"Wintertide Brand","겨울의 낙인"
Wither,위축
"Withering Step","고사시키는 걸음"
"Withering Touch","위축의 손길 보조"
Wrath,진노
Zealotry,열광
"Superior Absolution","상급 면죄"
"Superior Added Chaos Damage","상급 카오스 피해 추가 보조"
"Superior Added Cold Damage","상급 냉기 피해 추가 보조"
"Superior Added Fire Damage","상급 화염 피해 추가 보조"
"Superior Added Lightning Damage","상급 번개 피해 추가 보조"
"Superior Additional Accuracy","상급 정확도 추가 보조"
"Superior Advanced Traps","상급 향상된 덫 보조"
"Superior Alchemist's Mark","상급 연금술사의 징표"
"Superior Ambush","상급 매복"
"Superior Ancestral Call","상급 선대의 부름 보조"
"Superior Ancestral Cry","상급 선대의 함성"
"Superior Ancestral Protector","상급 선대의 수호자"
"Superior Ancestral Warchief","상급 선대의 대전사"
"Superior Anger","상급 분노"
"Superior Animate Guardian","상급 수호자 기동"
"Superior Animate Weapon","상급 무기 기동"
"Superior Arc","상급 연쇄 번개"
"Superior Arcane Cloak","상급 비전의 망토"
"Superior Arcane Surge","상급 비전 쇄도 보조"
"Superior Arcanist Brand","상급 신비학자 낙인"
"Superior Archmage","상급 대마법사 보조"
"Superior Arctic Armour","상급 한기의 방어구"
"Superior Armageddon Brand","상급 종말의 낙인"
"Superior Arrogance","상급 오만 보조"
"Superior Arrow Nova","상급 화살 산개 보조"
"Superior Artillery Ballista","상급 포대 쇠뇌"
"Superior Assassin's Mark","상급 암살자의 징표"
"Superior Ball Lightning","상급 구형 번개"
"Superior Ballista Totem","상급 쇠뇌 토템 보조"
"Superior Bane","상급 파멸"
"Superior Barrage","상급 연발 사격"
"Superior Barrage Support","상급 연발 사격 보조"
"Superior Battlemage's Cry","상급 전투마법사의 함성"
"Superior Bear Trap","상급 곰 덫"
"Superior Behead","상급 참수 보조"
"Superior Berserk","상급 광폭"
"Superior Blade Blast","상급 칼날 폭격"
"Superior Blade Flurry","상급 질풍의 칼날"
"Superior Blade Trap","상급 칼날 덫"
"Superior Blade Vortex","상급 칼날 소용돌이"
"Superior Bladefall","상급 칼날비"
"Superior Bladestorm","상급 칼날 폭풍"
"Superior Blasphemy","상급 신성 모독 보조"
"Superior Blast Rain","상급 폭발 화살비"
"Superior Blastchain Mine","상급 연쇄 폭발 지뢰 보조"
"Superior Blazing Salvo","상급 맹렬한 포격"
"Superior Blight","상급 황폐"
"Superior Blind","상급 실명 보조"
"Superior Blink Arrow","상급 점멸 화살"
"Superior Block Chance Reduction","상급 막기 확률 감소 보조"
"Superior Blood and Sand","상급 피와 모래"
"Superior Blood Rage","상급 피의 격노"
"Superior Bloodlust","상급 유혈 충동 보조"
"Superior Bloodthirst","상급 피의 갈증 보조"
"Superior Bodyswap","상급 신체 전환"
"Superior Bone Offering","상급 뼈 공물"
"Superior Bonechill","상급 사무치는 한기 보조"
"Superior Boneshatter","상급 뼈 박살"
"Superior Brand Recall","상급 낙인 소환"
"Superior Brutality","상급 포악함 보조"
"Superior Burning Arrow","상급 불타는 화살"
"Superior Burning Damage","상급 화상 피해 보조"
"Superior Cast On Critical Strike","상급 치명타 시 시전 보조"
"Superior Cast on Death","상급 사망 시 시전 보조"
"Superior Cast on Melee Kill","상급 근접 처치 시 시전 보조"
"Superior Cast when Damage Taken","상급 피격 시 시전 보조"
"Superior Cast when Stunned","상급 기절 시 시전 보조"
"Superior Cast while Channelling","상급 집중 유지 중 시전 보조"
"Superior Caustic Arrow","상급 부식성 화살"
"Superior Chain","상급 연쇄 보조"
"Superior Chain Hook","상급 사슬 갈고리"
"Superior Chance to Bleed","상급 출혈 확률 보조"
"Superior Chance to Flee","상급 도망칠 확률 보조"
"Superior Chance to Poison","상급 중독 확률 보조"
"Superior Charged Dash","상급 충전 질주"
"Superior Charged Mines","상급 충전된 지뢰 보조"
"Superior Charged Traps","상급 충전된 덫 보조"
"Superior Clarity","상급 명상"
"Superior Cleave","상급 회전베기"
"Superior Close Combat","상급 근접 전투 보조"
"Superior Cluster Traps","상급 무리 덫 보조"
"Superior Cobra Lash","상급 코브라 채찍"
"Superior Cold Penetration","상급 냉기 관통 보조"
"Superior Cold Snap","상급 한파"
"Superior Cold to Fire","상급 냉기 화염 전환 보조"
"Superior Combustion","상급 연소 보조"
"Superior Concentrated Effect","상급 효과 집중 보조"
"Superior Conductivity","상급 전도성"
"Superior Consecrated Path","상급 축성의 진격"
"Superior Contagion","상급 전염"
"Superior Controlled Destruction","상급 제어된 파괴 보조"
"Superior Conversion Trap","상급 전향 덫"
"Superior Convocation","상급 소집"
"Superior Corrupting Fever","상급 타락한 열병"
"Superior Crackling Lance","상급 치직대는 창"
"Superior Creeping Frost","상급 엄습하는 서리"
"Superior Cremation","상급 시체 소각"
"Superior Critical Strike Affliction","상급 치명타 고통 격화 보조"
"Superior Cruelty","상급 잔혹 보조"
"Superior Culling Strike","상급 마무리 타격 보조"
"Superior Cursed Ground","상급 저주받은 지대 보조"
"Superior Cyclone","상급 회오리바람"
"Superior Damage on Full Life","상급 최대 생명력 시 피해 보조"
"Superior Dark Pact","상급 어둠의 서약"
"Superior Dash","상급 질주"
"Superior Deadly Ailments","상급 치명적인 상태 이상 보조"
"Superior Decay","상급 부패 보조"
"Superior Decoy Totem","상급 미끼 토템"
"Superior Defiance Banner","상급 저항의 깃발"
"Superior Desecrate","상급 모독"
"Superior Despair","상급 절망"
"Superior Destructive Link","상급 파괴의 연결"
"Superior Determination","상급 결의"
"Superior Detonate Dead","상급 시체 폭발"
"Superior Detonate Mines","상급 지뢰 폭발"
"Superior Devouring Totem","상급 포식 토템"
"Superior Discharge","상급 방출"
"Superior Discipline","상급 단련"
"Superior Divine Blessing","상급 신성한 축복 보조"
"Superior Divine Ire","상급 신성한 진노"
"Superior Dominating Blow","상급 지배의 맹타"
"Superior Double Strike","상급 이중 타격"
"Superior Dread Banner","상급 공포의 깃발"
"Superior Dual Strike","상급 쌍수 타격"
"Superior Earthbreaker","상급 대지 분쇄자 보조"
"Superior Earthquake","상급 지진"
"Superior Earthshatter","상급 지면 분쇄"
"Superior Efficacy","상급 효력 보조"
"Superior Elemental Army","상급 원소의 군단 보조"
"Superior Elemental Damage with Attacks","상급 공격 시 원소 피해 보조"
"Superior Elemental Focus","상급 원소 집중 보조"
"Superior Elemental Hit","상급 원소의 일격"
"Superior Elemental Penetration","상급 원소 관통 보조"
"Superior Elemental Proliferation","상급 원소 확산 보조"
"Superior Elemental Weakness","상급 원소 약화"
"Superior Empower","상급 강화 보조"
"Superior Endurance Charge on Melee Stun","상급 기절 시 인내 충전 보조"
"Superior Enduring Cry","상급 인내의 함성"
"Superior Energy Blade","상급 에너지 칼날"
"Superior Energy Leech","상급 에너지 흡수 보조"
"Superior Enfeeble","상급 쇠약화"
"Superior Enhance","상급 향상 보조"
"Superior Enlighten","상급 계몽 보조"
"Superior Ensnaring Arrow","상급 올가미 화살"
"Superior Essence Drain","상급 정수 흡수"
"Superior Eternal Blessing","상급 영원한 축복 보조"
"Superior Ethereal Knives","상급 천상의 단도"
"Superior Explosive Arrow","상급 폭발 화살"
"Superior Explosive Concoction","상급 폭발성 혼합물"
"Superior Explosive Trap","상급 폭발 덫"
"Superior Exsanguinate","상급 방혈"
"Superior Eye of Winter","상급 겨울의 눈"
"Superior Faster Attacks","상급 공격 속도 증가 보조"
"Superior Faster Casting","상급 시전 속도 증가 보조"
"Superior Faster Projectiles","상급 투사체 속도 증가 보조"
"Superior Feeding Frenzy","상급 격분 주입 보조"
"Superior Fire Penetration","상급 화염 관통 보조"
"Superior Fire Trap","상급 화염 덫"
"Superior Fireball","상급 화염구"
"Superior Firestorm","상급 화염 폭풍"
"Superior Fist of War","상급 전쟁의 주먹 보조"
"Superior Flame Dash","상급 화염 질주"
"Superior Flame Link","상급 화염의 연결"
"Superior Flame Surge","상급 화염 쇄도"
"Superior Flame Wall","상급 화염 벽"
"Superior Flameblast","상급 화염파"
"Superior Flamethrower Trap","상급 화염방사기 덫"
"Superior Flammability","상급 인화성"
"Superior Flesh and Stone","상급 육체와 돌"
"Superior Flesh Offering","상급 살점 공물"
"Superior Flicker Strike","상급 점멸 타격"
"Superior Focused Ballista","상급 쇠뇌 집중 사격 보조"
"Superior Forbidden Rite","상급 금단의 의식"
"Superior Fork","상급 갈래 보조"
"Superior Fortify","상급 방어 상승 보조"
"Superior Freezing Pulse","상급 동결 파동"
"Superior Frenzy","상급 격분"
"Superior Frost Blades","상급 서리 칼날"
"Superior Frost Bomb","상급 서리 폭탄"
"Superior Frost Shield","상급 서리 방패"
"Superior Frost Wall","상급 서리 방벽"
"Superior Frostbite","상급 동상"
"Superior Frostblink","상급 서리점멸"
"Superior Frostbolt","상급 서리 구체"
"Superior Frozen Legion","상급 얼어붙은 군단"
"Superior Galvanic Arrow","상급 충격 화살"
"Superior Galvanic Field","상급 충격장"
"Superior General's Cry","상급 장군의 함성"
"Superior Generosity","상급 관대함 보조"
"Superior Glacial Cascade","상급 빙하 폭포"
"Superior Glacial Hammer","상급 빙하 망치"
"Superior Grace","상급 은총"
"Superior Greater Multiple Projectiles","상급 상위 다중 투사체 보조"
"Superior Greater Volley","상급 상위 사격 공세 보조"
"Superior Ground Slam","상급 대지 강타"
"Superior Haste","상급 가속"
"Superior Hatred","상급 증오"
"Superior Heavy Strike","상급 묵직한 타격"
"Superior Herald of Agony","상급 고통의 전령"
"Superior Herald of Ash","상급 재의 전령"
"Superior Herald of Ice","상급 얼음의 전령"
"Superior Herald of Purity","상급 순수의 전령"
"Superior Herald of Thunder","상급 천둥의 전령"
"Superior Hex Bloom","상급 사술의 꽃 보조"
"Superior Hexblast","상급 사술 폭발"
"Superior Hextouch","상급 사술 손길 보조"
"Superior High-Impact Mine","상급 고충격 지뢰 보조"
"Superior Holy Flame Totem","상급 신성한 화염 토템"
"Superior Hydrosphere","상급 물의 구체"
"Superior Hypothermia","상급 체온저하 보조"
"Superior Ice Bite","상급 얼음 쐐기 보조"
"Superior Ice Crash","상급 얼음 충격"
"Superior Ice Nova","상급 얼음 폭발"
"Superior Ice Shot","상급 얼음 화살"
"Superior Ice Spear","상급 얼음 창"
"Superior Ice Trap","상급 얼음 덫"
"Superior Icestorm","상급 얼음태풍"
"Superior Icicle Mine","상급 고드름 지뢰"
"Superior Ignite Proliferation","상급 점화 확산 보조"
"Superior Immolate","상급 번제 보조"
"Superior Immortal Call","상급 불멸의 외침"
"Superior Impale","상급 꿰뚫기 보조"
"Superior Impending Doom","상급 임박한 멸망 보조"
"Superior Incinerate","상급 소각"
"Superior Increased Area of Effect","상급 효과 범위 증가 보조"
"Superior Increased Critical Damage","상급 치명타 피해 증가 보조"
"Superior Increased Critical Strikes","상급 치명타 증가 보조"
"Superior Increased Duration","상급 지속시간 증가 보조"
"Superior Infernal Blow","상급 지옥불 맹타"
"Superior Infernal Cry","상급 지옥불 함성"
"Superior Infernal Legion","상급 지옥불 군단 보조"
"Superior Infused Channelling","상급 깊어지는 집중 유지 보조"
"Superior Innervate","상급 자극 보조"
"Superior Inspiration","상급 영감 보조"
"Superior Intensify","상급 격화 보조"
