"Spectral Shield Throw","환영 방패 투척"
"Flame Wall","화염 벽"
Hexblast,"사술 폭발"
"Flammable Shot","가연성 사격"
Hydrosphere,"물의 구체"
"Death Aura","죽음의 오라"
Envy,선망
"Gluttony of Elements","원소의 폭식"
"Blinding Aura","실명의 오라"
Exsanguinate,방혈
"Corrupting Fever","타락한 열병"
Reap,낫질
"Petrified Blood","피 석화"
"Defiance Banner","저항의 깃발"
"Voltaxic Burst","전도성 격발"
"Rage Vortex","격노 소용돌이"
"Spectral Helix","영체 나선"
"Battlemage's Cry","전투마법사의 함성"
Absolution,면죄
Ambush,매복
"Forbidden Rite","금단의 의식"
Manabond,"마나 결속"
"Blade Trap","칼날 덫"
"Storm Rain",폭풍우
"Shield Crush","방패 타쇄"
"Blood Offering","피의 공물"
Boneshatter,"뼈 박살"
"Summon Reaper","수확자 소환"
"Explosive Concoction","폭발성 혼합물"
"Eye of Winter","겨울의 눈"
"Poisonous Concoction","독성 혼합물"
"Temporal Rift","시간의 균열"
Tornado,회오리
"Energy Blade","에너지 칼날"
"Soul Link","영혼의 연결"
"Flame Link","화염의 연결"
"Vampiric Link","흡혈의 연결"
"Protective Link","보호의 연결"
"Intuitive Link","직관의 연결"
"Destructive Link","파괴의 연결"
"Lightning Conduit","번개 도관"
"Galvanic Field",충격장
"Alchemist's Mark","연금술사의 징표"
"Volcanic Fissure","화산 균열"
"Vaal Flicker Strike","바알 점멸 타격"
"Vaal Molten Strike","바알 용암 타격"
"Frozen Legion","얼어붙은 군단"
"Vaal Cleave","바알 회전베기"
"Vaal Volcanic Fissure","바알 화산 균열"
"Vaal Caustic Arrow","바알 부식성 화살"
"Vaal Venom Gyre","바알 독액 선회"
"Vaal Smite","바알 징벌"
"Vaal Blade Flurry","바알 질풍의 칼날"
"Vaal Reap","바알 낫질"
"Vaal Animate Weapon","바알 무기 기동"
"Vaal Lightning Arrow","바알 번개 화살"
"Vaal Absolution","바알 면죄"
"Vaal Domination","바알 지배"
"Vaal Ice Shot","바알 얼음 화살"
"Vaal Firestorm","바알 화염 폭풍"
"Vaal Rejuvenation Totem","바알 회복 토템"
"Vaal Split Arrow","바알 분할 화살"
"Playtest Attack","테스트용 공격"
"Playtest Spell","테스트용 주문"
"Playtest Slam","테스트용 강타"
Quickstep,"빠른 걸음"
"Added Fire Damage","화염 피해 추가 보조"
"Faster Attacks","공격 속도 증가 보조"
"Greater Multiple Projectiles","상위 다중 투사체 보조"
"Lesser Multiple Projectiles","하위 다중 투사체 보조"
"Greater Volley","상위 사격 공세 보조"
"Faster Projectiles","투사체 속도 증가 보조"
"Added Cold Damage","냉기 피해 추가 보조"
"Additional Accuracy","정확도 추가 보조"
"Increased Area of Effect","효과 범위 증가 보조"
"Added Lightning Damage","번개 피해 추가 보조"
Inspiration,"영감 보조"
"Increased Critical Strikes","치명타 증가 보조"
"Increased Critical Damage","치명타 피해 증가 보조"
Knockback,"밀어내기 보조"
"Life Leech","생명력 흡수 보조"
"Mana Leech","마나 흡수 보조"
"Added Chaos Damage","카오스 피해 추가 보조"
Stun,"기절 보조"
Pierce,"관통 보조"
Trap,"덫 보조"
"Melee Physical Damage","근접 물리 피해 보조"
"Item Quantity","아이템 수량 증가 보조"
"Item Rarity","아이템 희귀도 보조"
"Faster Casting","시전 속도 증가 보조"
"Concentrated Effect","효과 집중 보조"
"Minion Damage","소환수 피해 보조"
"Increased Duration","지속시간 증가 보조"
"Cold to Fire","냉기 화염 전환 보조"
Combustion,"연소 보조"
"Minion Speed","소환수 속도 보조"
"Minion Life","소환수 생명력 보조"
"Elemental Damage with Attacks","공격 시 원소 피해 보조"
Bloodlust,"유혈 충동 보조"
"Life Gain on Hit","명중 시 생명력 획득 보조"
"Elemental Proliferation","원소 확산 보조"
Arrogance,"오만 보조"
"Culling Strike","마무리 타격 보조"
"Point Blank","근접 사격 보조"
"Iron Grip","강철 손아귀 보조"
"Iron Will","강철의 의지 보조"
"Damage on Full Life","최대 생명력 시 피해 보조"
"Spell Totem","주문 토템 보조"
"Blastchain Mine","연쇄 폭발 지뢰 보조"
"Chance to Flee","도망칠 확률 보조"
Blind,"실명 보조"
"Ballista Totem","쇠뇌 토템 보조"
"Fire Penetration","화염 관통 보조"
"Cold Penetration","냉기 관통 보조"
"Lightning Penetration","번개 관통 보조"
"Elemental Penetration","원소 관통 보조"
Chain,"연쇄 보조"
"Split Projectiles","분할 투사체 보조"
Fork,"갈래 보조"
"Returning Projectiles","돌아오는 투사체 보조"
Multistrike,"연속타격 보조"
"Spell Echo","주문 메아리 보조"
"Melee Splash","근접 범위 피해 보조"
"Power Charge On Critical","치명타 시 권능 충전 보조"
"Burning Damage","화상 피해 보조"
"Elemental Army","원소의 군단 보조"
Hextouch,"사술 손길 보조"
"Cast On Critical Strike","치명타 시 시전 보조"
"Cast on Melee Kill","근접 처치 시 시전 보조"
"Multiple Traps","다중 덫 보조"
Empower,"강화 보조"
"Endurance Charge on Melee Stun","기절 시 인내 충전 보조"
"Slower Projectiles","투사체 속도 감소 보조"
"Less Duration","지속시간 감소 보조"
"Cast on Death","사망 시 시전 보조"
"Cast when Damage Taken","피격 시 시전 보조"
"Cast when Stunned","기절 시 시전 보조"
Enhance,"향상 보조"
"Vicious Projectiles","포악한 투사체 보조"
Enlighten,"계몽 보조"
"Block Chance Reduction","막기 확률 감소 보조"
Generosity,"관대함 보조"
"Physical to Lightning","물리 번개 전환 보조"
Blasphemy,"신성 모독 보조"
Fortify,"방어 상승 보조"
"Ice Bite","얼음 쐐기 보조"
Hypothermia,"체온저하 보조"
Innervate,"자극 보조"
"Trap and Mine Damage","덫 및 지뢰 피해 보조"
"Critical Strike Affliction","치명타 고통 격화 보조"
"Void Manipulation","공허 조작 보조"
"Controlled Destruction","제어된 파괴 보조"
"Swift Affliction","고통 격화 보조"
"Cluster Traps","무리 덫 보조"
"Elemental Focus","원소 집중 보조"
Minefield,"지뢰밭 보조"
"Advanced Traps","향상된 덫 보조"
"Cast while Channelling","집중 유지 중 시전 보조"
"Vaal Soul Harvesting","바알 영혼 수확"
"Ignite Proliferation","점화 확산 보조"
"Chance to Bleed","출혈 확률 보조"
"Chance to Poison","중독 확률 보조"
"Deadly Ailments","치명적인 상태 이상 보조"
"Lesser Reduced Mana Cost","하위 마나 소모 감소 보조"
Decay,"부패 보조"
Efficacy,"효력 보조"
"Vile Toxins","끔찍한 독소 보조"
Maim,"힘줄 절단 보조"
Immolate,"번제 보조"
"Unbound Ailments","벌어지는 상처 보조"
Brutality,"포악함 보조"
Ruthless,"무자비 보조"
Momentum,"기세 보조"
"Arcane Surge","비전 쇄도 보조"
"Infused Channelling","깊어지는 집중 유지 보조"
Volley,"사격 공세 보조"
"Spell Cascade","연속 주문 보조"
"Ancestral Call","선대의 부름 보조"
"Summon Phantasm","환영 소환 보조"
"Mirage Archer","신기루 궁수 보조"
"Charged Traps","충전된 덫 보조"
"Charged Mines","충전된 지뢰 보조"
"Withering Touch","위축의 손길 보조"
Bonechill,"사무치는 한기 보조"
"Multiple Totems","다중 토템 보조"
"Energy Leech","에너지 흡수 보조"
Intensify,"격화 보조"
Unleash,"촉발 보조"
"Close Combat","근접 전투 보조"
Shockwave,"충격파 보조"
Impale,"꿰뚫기 보조"
Pulverise,"분쇄 보조"
Rage,"격노 보조"
"Feeding Frenzy","격분 주입 보조"
Predator,"포식자 보조"
Nightblade,"밤의 칼날 보조"
"Meat Shield","육탄 방어 보조"
"High-Impact Mine","고충격 지뢰 보조"
"Swift Assembly","재빠른 조립 보조"
"Arrow Nova","화살 산개 보조"
"Awakened Added Fire Damage","각성한 화염 피해 추가 보조"
"Awakened Ancestral Call","각성한 선대의 부름 보조"
"Awakened Brutality","각성한 포악함 보조"
"Awakened Burning Damage","각성한 화상 피해 보조"
"Awakened Elemental Damage with Attacks","각성한 공격 시 원소 피해 보조"
"Awakened Fire Penetration","각성한 화염 관통 보조"
"Awakened Generosity","각성한 관대함 보조"
"Awakened Melee Physical Damage","각성한 근접 물리 피해 보조"
"Awakened Melee Splash","각성한 근접 범위 피해 보조"
"Awakened Multistrike","각성한 연속타격 보조"
"Awakened Added Cold Damage","각성한 냉기 피해 추가 보조"
"Awakened Arrow Nova","각성한 화살 산개 보조"
"Awakened Cast On Critical Strike","각성한 치명타 시 시전 보조"
"Awakened Chain","각성한 연쇄 보조"
"Awakened Cold Penetration","각성한 냉기 관통 보조"
"Awakened Deadly Ailments","각성한 치명적인 상태 이상 보조"
"Awakened Fork","각성한 갈래 보조"
"Awakened Greater Multiple Projectiles","각성한 상위 다중 투사체 보조"
"Awakened Swift Affliction","각성한 고통 격화 보조"
"Awakened Void Manipulation","각성한 공허 조작 보조"
"Awakened Vicious Projectiles","각성한 포악한 투사체 보조"
"Awakened Added Chaos Damage","각성한 카오스 피해 추가 보조"
"Awakened Added Lightning Damage","각성한 번개 피해 추가 보조"
"Awakened Blasphemy","각성한 신성 모독 보조"
"Awakened Cast While Channelling","각성한 집중 유지 중 시전 보조"
"Awakened Controlled Destruction","각성한 제어된 파괴 보조"
"Awakened Hextouch","각성한 사술 손길 보조"
"Awakened Elemental Focus","각성한 원소 집중 보조"
"Awakened Increased Area of Effect","각성한 효과 범위 증가 보조"
"Awakened Lightning Penetration","각성한 번개 관통 보조"
"Awakened Minion Damage","각성한 소환수 피해 보조"
"Awakened Spell Cascade","각성한 연속 주문 보조"
"Awakened Spell Echo","각성한 주문 메아리 보조"
"Awakened Unbound Ailments","각성한 벌어지는 상처 보조"
"Awakened Unleash","각성한 촉발 보조"
"Awakened Empower","각성한 강화 보조"
"Awakened Enlighten","각성한 계몽 보조"
"Awakened Enhance","각성한 향상 보조"
"Infernal Legion","지옥불 군단 보조"
Archmage,"대마법사 보조"
"Second Wind","새로운 활력 보조"
"Fist of War","전쟁의 주먹 보조"
Swiftbrand,"재빠른 낙인 보조"
"Urgent Orders","긴급 명령 보조"
"Impending Doom","임박한 멸망 보조"
Pinpoint,"핵심 조준 보조"
Trinity,"삼위일체 보조"
Bloodthirst,"피의 갈증 보조"
Cruelty,"잔혹 보조"
Lifetap,"생명력 전환 보조"
Earthbreaker,"대지 분쇄자 보조"
"Focused Ballista","쇠뇌 집중 사격 보조"
Behead,"참수 보조"
"Divine Blessing","신성한 축복 보조"
"Mark On Hit","명중 시 징표 보조"
"Eternal Blessing","영원한 축복 보조"
Overcharge,"과충전 보조"
"Cursed Ground","저주받은 지대 보조"
"Hex Bloom","사술의 꽃 보조"
"Manaforged Arrows","마나벼림 화살 보조"
"Prismatic Burst","분광 격발 보조"
Trauma,"외상 보조"
Spellblade,"주문칼날 보조"
Devour,"포식 보조"
"Fresh Meat","신선한 고기 보조"
Flamewood,"화염나무 보조"
"Corrupting Cry","타락시키는 비명 보조"
"Guardian's Blessing","수호자의 축복 보조"
Sacrifice,"희생 보조"
"Frigid Bond","차디찬 유대 보조"
"Locus Mine","궤적 지뢰 보조"
Sadism,"가학증 보조"
"Controlled Blaze","제어된 불길 보조"
Volatility,"일촉즉발 보조"
,
"Glacial Shield Swipe","빙하 방패 후려치기"
"Crushing Fist","타쇄하는 주먹"
Swordstorm,"검의 폭풍"
Eviscerate,"내장 적출"
"Divine Retribution","신성한 응징"
"Vengeful Cry","복수의 함성"
Automation,자동화
Autoexertion,"자동 전력"
"More Duration","지속시간 증폭 보조"
"Sacred Wisps","신성한 도깨비불 보조"
Overexertion,"전심전력 보조"
"Expert Retaliation","노련한 보복 보조"
Rupture,"파열 보조"
