"Blue Pearl Amulet","파란 진주 목걸이"
"Ringmail Coat","외투 고리 갑옷"
"Chainmail Doublet","사슬 더블릿"
"Full Ringmail","전신 고리 갑옷"
"Full Chainmail","전신 사슬 갑옷"
"Holy Chainmail","성스러운 사슬 갑옷"
"Latticed Ringmail","격자형 고리 갑옷"
"Crusader Chainmail","십자군 사슬 갑옷"
"Two-Toned Boots","두 가지 색 장화"
"Golden Caligae","황금 칼리가"
"Rawhide Boots","생가죽 장화"
"Goathide Boots","염소가죽 장화"
"Deerskin Boots","사슴가죽 장화"
"Nubuck Boots","소가죽 장화"
"Eelskin Boots","장어가죽 장화"
"Sharkskin Boots","상어가죽 장화"
"Shagreen Boots","거친 생가죽 장화"
"Stealth Boots","은신 장화"
"Slink Boots","송아지 가죽 장화"
"Wrapped Boots","스트랩형 장화"
"Strapped Boots","끈 장화"
"Clasped Boots","버클 장화"
"Shackled Boots","섀클 장화"
"Trapper Boots","덫사냥꾼 장화"
"Ambush Boots","매복 장화"
"Carnal Boots","육욕의 장화"
"Assassin's Boots","암살자의 장화"
"Murder Boots","살인자의 장화"
"Wool Shoes","양모 신발"
"Velvet Slippers","벨벳 슬리퍼"
"Silk Slippers","실크 슬리퍼"
"Scholar Boots","학자 장화"
"Satin Slippers","새틴 슬리퍼"
"Samite Slippers","금실 슬리퍼"
"Conjurer Boots","요술사 장화"
"Arcanist Slippers","신비학자의 슬리퍼"
"Sorcerer Boots","악령술사 장화"
"Iron Greaves","철제 각반"
"Steel Greaves","강철 각반"
"Plated Greaves","판금 각반"
"Reinforced Greaves","강화 각반"
"Antique Greaves","앤티크 각반"
"Ancient Greaves","고대 각반"
"Goliath Greaves","거인 각반"
"Vaal Greaves","바알 각반"
"Titan Greaves","거신 각반"
"Leatherscale Boots","가죽 비늘 장화"
"Ironscale Boots","철제 비늘 장화"
"Bronzescale Boots","청동 비늘 장화"
"Steelscale Boots","강철 비늘 장화"
"Serpentscale Boots","뱀 비늘 장화"
"Wyrmscale Boots","아룡 비늘 장화"
"Hydrascale Boots","히드라 비늘 장화"
"Dragonscale Boots","용 비늘 장화"
"Chain Boots","사슬 장화"
"Ringmail Boots","고리 장화"
"Mesh Boots","망사 장화"
"Riveted Boots","고정못 장화"
"Zealot Boots","맹신자 장화"
"Soldier Boots","병사 장화"
"Legion Boots","군단 장화"
"Crusader Boots","십자군 장화"
"Gripped Gloves","움켜쥔 장갑"
"Fingerless Silk Gloves","손가락 없는 실크 장갑"
"Spiked Gloves","가시 장갑"
"Golden Bracers","황금 팔보호구"
"Rawhide Gloves","생가죽 장갑"
"Goathide Gloves","염소가죽 장갑"
"Deerskin Gloves","사슴가죽 장갑"
"Nubuck Gloves","소가죽 장갑"
"Eelskin Gloves","장어가죽 장갑"
"Sharkskin Gloves","상어가죽 장갑"
"Shagreen Gloves","거친 생가죽 장갑"
"Stealth Gloves","은신 장갑"
"Slink Gloves","송아지 가죽 장갑"
"Wrapped Mitts","스트랩형 미트"
"Strapped Mitts","끈 미트"
"Clasped Mitts","버클 미트"
"Trapper Mitts","덫사냥꾼 미트"
"Ambush Mitts","매복 미트"
"Carnal Mitts","육욕의 미트"
"Assassin's Mitts","암살자의 미트"
"Murder Mitts","살인자의 미트"
"Wool Gloves","양모 장갑"
"Velvet Gloves","벨벳 장갑"
"Silk Gloves","실크 장갑"
"Embroidered Gloves","수놓은 장갑"
"Satin Gloves","새틴 장갑"
"Samite Gloves","금실 장갑"
"Conjurer Gloves","요술사 장갑"
"Arcanist Gloves","신비학자의 장갑"
"Sorcerer Gloves","악령술사 장갑"
"Iron Gauntlets","철제 건틀릿"
"Plated Gauntlets","판금 건틀릿"
"Bronze Gauntlets","청동 건틀릿"
"Steel Gauntlets","강철 건틀릿"
"Antique Gauntlets","앤티크 건틀릿"
"Ancient Gauntlets","고대의 건틀릿"
"Goliath Gauntlets","거인 건틀릿"
"Vaal Gauntlets","바알 건틀릿"
"Titan Gauntlets","거신 건틀릿"
"Fishscale Gauntlets","생선 비늘 건틀릿"
"Ironscale Gauntlets","철제 비늘 건틀릿"
"Bronzescale Gauntlets","청동 비늘 건틀릿"
"Steelscale Gauntlets","강철 비늘 건틀릿"
"Serpentscale Gauntlets","뱀 비늘 건틀릿"
"Wyrmscale Gauntlets","아룡 비늘 건틀릿"
"Hydrascale Gauntlets","히드라 비늘 건틀릿"
"Dragonscale Gauntlets","용 비늘 건틀릿"
"Chain Gloves","사슬 장갑"
"Ringmail Gloves","고리 장갑"
"Mesh Gloves","망사 장갑"
"Riveted Gloves","고정못 장갑"
"Zealot Gloves","맹신자 장갑"
"Soldier Gloves","병사 장갑"
"Legion Gloves","군단 장갑"
"Crusader Gloves","십자군 장갑"
"Bone Helmet","뼈 투구"
"Golden Visage","황금 얼굴"
"Leather Cap","가죽 모자"
"Lion Pelt","사자 가죽모"
"Tricorne","삼각모"
"Leather Hood","가죽 두건"
"Wolf Pelt","늑대 가죽모"
"Hunter Hood","사냥꾼 두건"
"Noble Tricorne","귀족 삼각모"
"Ursine Pelt","곰 가죽모"
"Silken Hood","실크 두건"
"Sinner Tricorne","죄인 삼각모"
"Scare Mask","허수아비 가면"
"Vaal Mask","바알 가면"
"Deicide Mask","신살자 가면"
"Plague Mask","역병 가면"
"Iron Mask","철 가면"
"Festival Mask","축제용 가면"
"Golden Mask","황금 가면"
"Raven Mask","큰까마귀 가면"
"Callous Mask","냉담한 가면"
"Regicide Mask","왕 시해자 가면"
"Harlequin Mask","할리퀸 가면"
"Vine Circlet","덩굴 관"
"Mind Cage","정신의 창살"
"Hubris Circlet","자만의 관"
"Iron Circlet","철제 관"
"Torture Cage","고문용 창살"
"Tribal Circlet","부족 관"
"Bone Circlet","뼈의 관"
"Lunaris Circlet","달의 관"
"Steel Circlet","강철 관"
"Necromancer Circlet","네크로맨서 관"
"Solaris Circlet","태양의 관"
"Iron Hat","철제 투구"
"Royal Burgonet","왕실 기병 투구"
"Eternal Burgonet","영원의 기병 투구"
"Cone Helmet","원뿔 투구"
"Barbute Helmet","철갑 투구"
"Close Helmet","폐쇄형 투구"
"Gladiator Helmet","검투사 투구"
"Reaver Helmet","강탈자 투구"
"Siege Helmet","공성 투구"
"Samite Helmet","금실 투구"
"Ezomyte Burgonet","에조미어 기병 투구"
"Battered Helm","닳은 헬름"
"Nightmare Bascinet","악몽의 배서닛"
"Sallet","샐릿"
"Visored Sallet","차양 단 샐릿"
"Gilded Sallet","도금 샐릿"
"Secutor Helm","호위병 샐릿"
"Fencer Helm","검사 샐릿"
"Lacquered Helmet","옻칠한 투구"
"Fluted Bascinet","홈이 긴 배서닛"
"Pig-Faced Bascinet","돼지 머리 배서닛"
"Rusted Coif","녹슨 코이프"
"Praetor Crown","집정관 왕관"
"Soldier Helmet","병사 투구"
"Great Helmet","대형 투구"
"Crusader Helmet","십자군 투구"
"Aventail Helmet","쇠사슬 투구"
"Zealot Helmet","맹신자 투구"
"Great Crown","대형 왕관"
"Magistrate Crown","재판관 왕관"
"Prophet Crown","예언자 왕관"
"Golden Wreath","황금 화관"
"Golden Flame","황금 불꽃"
"Goathide Buckler","염소 가죽 버클러"
"Battle Buckler","전투용 버클러"
"Golden Buckler","금색 버클러"
"Ironwood Buckler","철목 버클러"
"Lacquered Buckler","옻칠한 버클러"
"Vaal Buckler","바알 버클러"
"Crusader Buckler","십자군 버클러"
"Imperial Buckler","제국 버클러"
"Pine Buckler","소나무 버클러"
"Painted Buckler","도색된 버클러"
"Hammered Buckler","단련한 버클러"
"War Buckler","전쟁용 버클러"
"Gilded Buckler","도금 버클러"
"Oak Buckler","참나무 버클러"
"Enameled Buckler","유약 도색 버클러"
"Corrugated Buckler","주름진 버클러"
"Spiked Bundle","가시 박힌 꾸러미"
"Alder Spiked Shield","오리나무 가시 방패"
"Ezomyte Spiked Shield","에조미어 가시 방패"
"Mirrored Spiked Shield","거울 같은 가시 방패"
"Supreme Spiked Shield","최상급 가시 방패"
"Driftwood Spiked Shield","유목 가시 방패"
"Alloyed Spiked Shield","합금 가시 방패"
"Burnished Spiked Shield","윤이 나는 가시 방패"
"Ornate Spiked Shield","화려한 가시 방패"
"Redwood Spiked Shield","삼나무 가시 방패"
"Compound Spiked Shield","합성 가시 방패"
"Polished Spiked Shield","광택을 낸 가시 방패"
"Sovereign Spiked Shield","주권자 가시 방패"
"Twig Spirit Shield","잔가지 영혼 방패"
"Chiming Spirit Shield","차임벨 영혼 방패"
"Thorium Spirit Shield","토륨 영혼 방패"
"Lacewood Spirit Shield","쥐방울나무 영혼 방패"
"Fossilised Spirit Shield","화석 영혼 방패"
"Vaal Spirit Shield","바알 영혼 방패"
"Harmonic Spirit Shield","화음 영혼 방패"
"Titanium Spirit Shield","티타늄 영혼 방패"
"Yew Spirit Shield","주목 영혼 방패"
"Bone Spirit Shield","뼈 영혼 방패"
"Tarnished Spirit Shield","변색된 영혼 방패"
"Jingling Spirit Shield","방울 영혼 방패"
"Brass Spirit Shield","황동 영혼 방패"
"Walnut Spirit Shield","호두나무 영혼 방패"
"Ivory Spirit Shield","상아 영혼 방패"
"Ancient Spirit Shield","고대의 영혼 방패"
"Splintered Tower Shield","쪼개진 거대 방패"
"Bronze Tower Shield","청동 거대 방패"
"Girded Tower Shield","둘러싼 거대 방패"
"Crested Tower Shield","문장 거대 방패"
"Shagreen Tower Shield","거친 생가죽 거대 방패"
"Ebony Tower Shield","칠흑의 거대 방패"
"Ezomyte Tower Shield","에조미어 거대 방패"
"Colossal Tower Shield","초대형 거대 방패"
"Pinnacle Tower Shield","최고의 거대 방패"
"Corroded Tower Shield","부식된 거대 방패"
"Rawhide Tower Shield","생가죽 거대 방패"
"Cedar Tower Shield","삼나무 거대 방패"
"Copper Tower Shield","구리 거대 방패"
"Reinforced Tower Shield","강화 거대 방패"
"Painted Tower Shield","도색된 거대 방패"
"Buckskin Tower Shield","사슴가죽 거대 방패"
"Mahogany Tower Shield","마호가니 거대 방패"
"Rotted Round Shield","썩은 원형 방패"
"Teak Round Shield","티크목 원형 방패"
"Spiny Round Shield","가시투성이 원형 방패"
"Cardinal Round Shield","선홍색 원형 방패"
"Elegant Round Shield","고상한 원형 방패"
"Fir Round Shield","전나무 원형 방패"
"Studded Round Shield","징 박힌 원형 방패"
"Scarlet Round Shield","다홍색 원형 방패"
"Splendid Round Shield","화려한 원형 방패"
"Maple Round Shield","단풍나무 원형 방패"
"Spiked Round Shield","가시 박힌 원형 방패"
"Crimson Round Shield","진홍색 원형 방패"
"Baroque Round Shield","바로크 원형 방패"
"Plank Kite Shield","널빤지 연모양 방패"
"Branded Kite Shield","각인한 연모양 방패"
"Champion Kite Shield","용사의 연모양 방패"
"Mosaic Kite Shield","조각무늬 연모양 방패"
"Archon Kite Shield","집정관의 연모양 방패"
"Linden Kite Shield","린덴목 연모양 방패"
"Reinforced Kite Shield","강화 연모양 방패"
"Layered Kite Shield","겹재질 연모양 방패"
"Ceremonial Kite Shield","제사장의 연모양 방패"
"Etched Kite Shield","조각된 연모양 방패"
"Steel Kite Shield","강철 연모양 방패"
"Laminated Kite Shield","합판 연모양 방패"
"Angelic Kite Shield","천사의 연모양 방패"
"Cured Quiver","보존된 화살통"
"Fire Arrow Quiver","불화살통"
"Broadhead Arrow Quiver","넓은 촉 화살통"
"Penetrating Arrow Quiver","관통 화살통"
"Spike-Point Arrow Quiver","가시촉 화살통"
"Ornate Quiver","화려한 화살통"
"Rugged Quiver","투박한 화살통"
"Conductive Quiver","전도성 화살통"
"Heavy Quiver","무거운 화살통"
"Light Quiver","가벼운 화살통"
"Serrated Arrow Quiver","톱니 화살통"
"Two-Point Arrow Quiver","쌍촉 화살통"
"Sharktooth Arrow Quiver","상어이빨 화살통"
"Blunt Arrow Quiver","뭉툭한 화살통"
"Taxing Gauntlets","고된 건틀릿"
"Gruelling Gauntlets","가혹한 건틀릿"
"Debilitation Gauntlets","쇠약 건틀릿"
"Gauche Gloves","서툰 장갑"
"Southswing Gloves","남향 장갑"
"Sinistral Gloves","왼편 장갑"
"Leyline Gloves","지맥 장갑"
"Aetherwind Gloves","에테르 바람 장갑"
"Nexus Gloves","연결부 장갑"
"Basemetal Treads","일반 금속 발 보호대"
"Darksteel Treads","검은 강철 발 보호대"
"Brimstone Treads","유황 발 보호대"
"Kaom's Greaves","카옴의 각반"
"Cloudwhisper Boots","구름속삭임 장화"
"Windbreak Boots","바람가름 장화"
"Stormrider Boots","태풍의 기수 장화"
"Duskwalk Slippers","황혼걸음 슬리퍼"
"Nightwind Slippers","밤바람 슬리퍼"
"Dreamquest Slippers","꿈의 정벌 슬리퍼"
"Avian Slippers","새의 슬리퍼"
"Kaom's Plate","카옴의 판금 갑옷"
"Samnite Helmet","삼니움 투구"
"Sorrow Mask","슬픔 가면"
"Atonement Mask","속죄 가면"
"Penitent Mask","참회 가면"
"Imp Crown","임프 왕관"
"Demon Crown","악마 왕관"
"Archdemon Crown","대악마 왕관"
"Gale Crown","강풍 왕관"
"Winter Crown","겨울 왕관"
"Blizzard Crown","눈보라 왕관"
"Apothecary's Gloves","약제상의 장갑"
"Runic Gloves","룬 장갑"
"Runic Gages","룬 손 보호대"
"Runic Gauntlets","룬 건틀릿"
"Fugitive Boots","도망자 장화"
"Runic Greaves","룬 각반"
"Runic Sollerets","룬 쇠구두"
"Runic Sabatons","룬 발 덮개"
"Grasping Mail","탐욕스러운 사슬옷"
"Runic Helm","룬 투구"
"Runic Crest","룬 관모"
"Runic Crown","룬 왕관"
"Armageddon Eye","아마겟돈의 눈"
"Small Hybrid Flask","소형 하이브리드 플라스크"
"Medium Hybrid Flask","중형 하이브리드 플라스크"
"Large Hybrid Flask","대형 하이브리드 플라스크"
"Colossal Hybrid Flask","초대형 하이브리드 플라스크"
"Sacred Hybrid Flask","성스러운 하이브리드 플라스크"
"Hallowed Hybrid Flask","거룩한 하이브리드 플라스크"
"Small Life Flask","소형 생명력 플라스크"
"Sanctified Life Flask","축성된 생명력 플라스크"
"Divine Life Flask","신성한 생명력 플라스크"
"Eternal Life Flask","영원의 생명력 플라스크"
"Medium Life Flask","중형 생명력 플라스크"
"Large Life Flask","대형 생명력 플라스크"
"Greater Life Flask","대용량 생명력 플라스크"
"Grand Life Flask","거대 생명력 플라스크"
"Giant Life Flask","초거대 생명력 플라스크"
"Colossal Life Flask","초대형 생명력 플라스크"
"Sacred Life Flask","성스러운 생명력 플라스크"
"Hallowed Life Flask","거룩한 생명력 플라스크"
"Small Mana Flask","소형 마나 플라스크"
"Sanctified Mana Flask","축성된 마나 플라스크"
"Divine Mana Flask","신성한 마나 플라스크"
"Eternal Mana Flask","영원의 마나 플라스크"
"Medium Mana Flask","중형 마나 플라스크"
"Large Mana Flask","대형 마나 플라스크"
"Greater Mana Flask","대용량 마나 플라스크"
"Grand Mana Flask","거대 마나 플라스크"
"Giant Mana Flask","초거대 마나 플라스크"
"Colossal Mana Flask","초대형 마나 플라스크"
"Sacred Mana Flask","성스러운 마나 플라스크"
"Hallowed Mana Flask","거룩한 마나 플라스크"
"Diamond Flask","다이아몬드 플라스크"
"Basalt Flask","현무암 플라스크"
"Aquamarine Flask","아쿠아마린 플라스크"
"Stibnite Flask","휘안석 플라스크"
"Sulphur Flask","유황 플라스크"
"Silver Flask","은 플라스크"
"Bismuth Flask","비스무트 플라스크"
"Ruby Flask","루비 플라스크"
"Sapphire Flask","사파이어 플라스크"
"Topaz Flask","토파즈 플라스크"
"Granite Flask","화강암 플라스크"
"Quicksilver Flask","수은 플라스크"
"Amethyst Flask","자수정 플라스크"
"Quartz Flask","석영 플라스크"
"Jade Flask","비취 플라스크"
"Imbued Wand","부여된 마법봉"
"Flanged Mace","테두리 철퇴"
"Butcher Axe","도살자 도끼"

"Hypnotic Eye Jewel","최면 거는 눈 주얼"
"Murderous Eye Jewel","살인적인 눈 주얼"
"Searching Eye Jewel","탐색하는 눈 주얼"
"Ghastly Eye Jewel","무시무시한 눈 주얼"
"Viridian Jewel","진청록색 주얼"
"Cobalt Jewel","코발트색 주얼"
"Prismatic Jewel","분광 주얼"
"Crimson Jewel","진홍색 주얼"
"Timeless Jewel","무궁한 주얼"
"Medium Cluster Jewel","중형 스킬 군 주얼"
"Small Cluster Jewel","소형 스킬 군 주얼"
"Large Cluster Jewel","대형 스킬 군 주얼"

"Vaal Claw","바알 클로"
"Sinner Tricorne","죄인 삼각모"
"Carnal Mitts","육욕의 미트"

"Bone Ring","뼈 반지"
"Vagan Dagger","베이건 단검"
"Ward Boots","수호 장화"
"Ward Gloves","수호 장갑"
"Ward Helmet","수호 투구"
"Apex Cleaver","정점의 가로날도끼"
"Fleshripper","살점 거열기"
"Coronal Maul","광환의 대형 망치"
"Mana Ring","마나 반지"
"Mana Amulet","마나 목걸이"
"Life Ring","생명력 반지"
"Fire Bow","화염 활"
"Flask Belt","플라스크 허리띠"
"Solarine Bow","태양의 활"
"Cold-attuned Buckler","조율된 냉기 버클러"
"Transfer-attuned Spirit Shield","조율된 전이 영혼 방패"
"Energy Shield Ring","에너지 보호막 반지"
"Energy Shield Belt","에너지 보호막 허리띠"
"Energy Shield Amulet","에너지 보호막 목걸이"
"Coronal Maul","광환의 대형 망치"
"Chaos Resistance Ring","카오스 저항 반지"
"Chaos Claw","카오스 클로"
"Heat-attuned Tower Shield","조율된 열기 거대 방패"
"Labrys","라브리스"
"Battery Staff","충전 지팡이"
"Eclipse Staff","월식 지팡이"
"Heavy Arrow Quiver","무거운 화살통"
"Short Bow","단궁"
"Vaal Axe","바알 도끼"
"Headsman Axe","침수자 도끼"
"Noble Axe","귀족 도끼"
"Ezomyte Axe","에조미어 도끼"
"Karui Axe","카루이 도끼"
"Void Axe","공허의 도끼"
"Sundering Axe","작렬하는 도끼"
"Abyssal Axe","심연의 도끼"
"Stone Axe","돌도끼"
"Woodsplitter","벌목스플리터"
"Poleaxe","자루 도끼"
"Jade Chopper","비취 절단기"
"Karui Chopper","카루이 절단기"
"Jade Chopper of Steadiness","비취 절단기 - 안정감"
"Endothermic Buckler","흡열성 버클러"
"Vile Arrow Quiver","끔찍한 화살통"
"Blazing Arrow Quiver","맹렬한 화살통"
"Primal Arrow Quiver","원시 화살통"

"Dusk Ring","황혼 반지"
"Gloam Ring","석양 반지"
"Penumbra Ring","음영 반지"
"Shadowed Ring","그늘진 반지"
"Tenebrous Ring","어둑한 반지"

"Subsuming Spirit Shield","아우르는 영혼 방패"
"Exhausting Spirit Shield","기진맥진한 영혼 방패"
"Polar Buckler","극지의 버클러"

"Judgement Staff","심판 지팡이"
"Ezomyte Staff","에조미어 지팡이"
"Serpentine Staff","사문석 지팡이"
"Military Staff","군용 지팡이"
"Vile Staff","끔찍한 지팡이"
"Coiled Staff","코일형 지팡이"
"Iron Staff","철제 지팡이"
"Foul Staff","사악한 지팡이"

"Talon Axe","발톱 도끼"
"Honed Cleaver","연마한 가로날도끼"
"Timber Axe","목재용 도끼"
"Jasper Chopper","벽옥 절단기"
"Dagger Axe","단검 도끼"
"Shadow Axe","그림자 도끼"
"Prime Cleaver","최종형 가로날도끼"
"Gilded Axe","도금된 도끼"
"Double Axe","양날 도끼"

"Terror Maul","공포의 대형 망치"
"Imperial Maul","제국 대형 망치"
"Meatgrinder","고기 갈이개"
"Piledriver","말뚝 망치"
"Colossus Mallet","초대형 나무 망치"
"Karui Maul","카루이 대형 망치"
"Solar Maul","태양의 대형 망치"
"Dread Maul","끔찍한 대형 망치"
"Plated Maul","판금 대형 망치"
"Spiny Maul","가시투성이 대형 망치"
"Steelhead","강철머리 망치"
"Great Mallet","대형 나무 망치"
"Totemic Maul","토템 대형 망치"
"Morning Star","모닝스타"
"Fright Maul","섬뜩한 대형 망치"
"Brass Maul","황동 대형 망치"
"Jagged Maul","삐죽삐죽한 대형 망치"
"Sledgehammer","대형 양손 망치"
"Mallet","나무 망치"
"Tribal Maul","부족 대형 망치"
"Driftwood Maul","표류목 대형 망치"
"Spine Bow","척추 활"
"Imperial Bow","제국 활"
"Compound Bow","복합궁"
"Decimation Bow","대량 학살의 활"
"Maraketh Bow","마라케스 활"
"Assassin Bow","암살자 활"
"Ranger Bow","레인저 활"
"Steelwood Bow","강철목 활"
"Foundry Bow","주물 활"
"Highborn Bow","명문가의 활"
"Ivory Bow","상아색 활"
"Sniper Bow","저격수 활"
"Decurve Bow","비곡궁"
"Reflex Bow","반동궁"
"Grove Bow","수목원 활"
"Death Bow","죽음의 활"
"Hedron Bow","다면체 활"
"Royal Bow","왕실 활"
