"Absolution of Inspiring","격려의 면죄"
"Glacial Hammer of Shattering","산산조각의 빙하 망치"
"Ground Slam of Earthshaking","지동의 대지 강타"
"Hexblast of Contradiction","상반의 사술폭발"
"Hexblast of Havoc","혼란의 사술폭발"
"Holy Flame Totem of Ire","노여움의 신성한 화염 토템"
"Ice Crash of Cadence","운율의 얼음 충격"
"Ice Nova of Deep Freeze","결빙의 얼음 폭발"
"Ice Nova of Frostbolts","서리 구체의 얼음 폭발"
"Ice Spear of Splitting","분할의 얼음 창"
"Ice Trap of Hollowness","무상의 얼음 덫"
"Icicle Mine of Fanning","퍼짐의 고드름 지뢰"
"Icicle Mine of Sabotage","방해 공작의 고드름 지뢰"
"Infernal Blow of Immolation","제물의 지옥불 맹타"
"Kinetic Bolt of Fragmentation","파쇄의 역학 투사체"
"Lacerate of Butchering","도살의 피부 찢기"
"Lacerate of Haemorrhage","실혈의 피부 찢기"
"Lancing Steel of Spraying","분사의 강철 관통"
"Leap Slam of Groundbreaking","땅 분쇄의 도약 강타"
"Lightning Arrow of Electrocution","전기 처형의 번개 화살"
"Lightning Conduit of the Heavens","천국의 번개 도관"
"Lightning Spire Trap of Overloading","과부하의 번개 첨탑 덫"
"Lightning Spire Trap of Zapping","전류의 번개 첨탑 덫"
"Lightning Strike of Arcing","전호의 번개 타격"
"Lightning Tendrils of Eccentricity","기행의 덩굴 번개"
"Lightning Tendrils of Escalation","격화의 덩굴 번개"
"Lightning Trap of Sparking","전기불꽃의 번개 덫"
"Mirror Arrow of Bombarding Clones","포격 분신의 거울 화살"
"Mirror Arrow of Prismatic Clones","분광 분신의 거울 화살"
"Molten Strike of the Zenith","북극성의 용암 타격"
"Pacify","진정"
"Penance Brand of Conduction","전도의 속죄의 낙인"
"Penance Brand of Dissipation","소실의 속죄의 낙인"
"Penance Mark","속죄의 징표"
"Perforate of Bloodshed","유혈의 천공"
"Perforate of Duality","이중성의 천공"
"Power Siphon of the Archmage","대마법사의 권능 착취"
"Purifying Flame of Revelations","계시의 정화의 불길"
"Pyroclast Mine of Sabotage","방해 공작의 화산탄 지뢰"
"Rage Vortex of Berserking","광폭화의 격노 소용돌이"
"Rain of Arrows of Artillery","포대의 화살비"
"Rain of Arrows of Saturation","포화의 화살비"
"Raise Spectre of Transience","덧없음의 망령 소환"
"Raise Zombie of Falling","추락의 좀비 소환"
"Raise Zombie of Slamming","강타의 좀비 소환"
"Ravenous","굶주림"
"Reave of Refraction","굴절의 약탈"
"Righteous Fire of Arcane Devotion","비전 헌신의 정의의 화염"
"Rune Blast of Teleportation","순간이동의 룬 폭발"
"Scorching Ray of Immolation","제물의 작열 광선"
"Scourge Arrow of Menace","위험의 재앙의 화살"
"Seismic Trap of Swells","팽창의 지진 덫"
"Shattering Steel of Ammunition","탄약의 강철 파편"
"Shield Crush of the Chieftain","부족장의 방패 타쇄"
"Shrapnel Ballista of Steel","강철의 파편 쇠뇌"
"Siege Ballista of Splintering","파편의 공성 쇠뇌"
"Smite of Divine Judgement","신성한 심판의 징벌"
"Soulrend of Reaping","낫질의 영혼 분리"
"Soulrend of the Spiral","나선의 영혼 분리"
"Spark of Unpredictability","예측 불허의 전기불꽃"
"Spark of the Nova","폭발의 전기불꽃"
"Spectral Shield Throw of Shattering","산산조각의 환영 방패 투척"
"Spectral Throw of Materialising","구체화의 환영 무기 투척"
"Split Arrow of Splitting","분할의 분할 화살"
"Splitting Steel of Ammunition","탄약의 강철 분할"
"Spray Paint Blood","핏빛 물감 뿌리기"
"Spray Paint Celestial","천공의 물감 뿌리기"
"Spray Paint Magmatic","마그마 물감 뿌리기"
"Storm Brand of Indecision","우유부단의 폭풍의 낙인"
"Storm Rain of the Conduit","도관의 폭풍우"
"Storm Rain of the Fence","울타리의 폭풍우"
"Stormbind of Teleportation","순간이동의 폭풍 연대"
"Summon Carrion Golem of Hordes","군단의 부패 골렘 소환"
"Summon Carrion Golem of Scavenging","청소부의 부패 골렘 소환"
"Summon Chaos Golem of Hordes","군단의 카오스 골렘 소환"
"Summon Chaos Golem of the Maelström","마엘스트롬의 카오스 골렘 소환"
"Summon Dark Effigy","어둠의 제웅 소환"
"Summon Flame Golem of Hordes","군단의 화염 골렘 소환"
"Summon Flame Golem of the Meteor","유성의 화염 골렘 소환"
"Summon Ice Golem of Hordes","군단의 얼음 골렘 소환"
"Summon Ice Golem of Shattering","산산조각의 얼음 골렘 소환"
"Summon Lightning Golem of Hordes","군단의 번개 골렘 소환"
"Summon Raging Spirit of Enormity","극악무도의 격노의 유령 소환"
"Summon Reaper of Eviscerating","적출의 수확자 소환"
"Summon Reaper of Revenants","원령의 수확자 소환"
"Summon Skeletons of Archers","궁수의 해골 소환"
"Summon Skeletons of Mages","마법사의 해골 소환"
"Summon Stone Golem of Hordes","군단의 돌 골렘 소환"
"Summon Stone Golem of Safeguarding","방비의 돌 골렘 소환"
"Sunder of Earthbreaking","대지 분쇄의 산산조각"
"Tectonic Slam of Cataclysm","대재앙의 지층 강타"
"Tornado Shot of Cloudburst","구름폭발의 회오리 사격"
"Toxic Rain of Sporeburst","포자 폭발의 맹독성 비"
"Toxic Rain of Withering","고사의 맹독성 비"
"Viper Strike of the Mamba","큰독사의 맹독 타격"
"Void Sphere of Rending","분리의 공허 구체"
"Volatile Dead of Confinement","감금의 시체 불덩이"
"Volatile Dead of Seething","끓어오름의 시체 불덩이"
"Volcanic Fissure of Snaking","구불거림의 화산 균열"
"Vortex of Projection","투영의 소용돌이"
"Wild Strike of Extremes","극단의 사나운 타격"

"Vaal Absolution of Inspiring","바알 격려의 면죄"
"Vaal Animate Guardian of Smiting","바알 징벌의 수호자 기동"
"Vaal Animate Weapon of Ranged Arms","바알 원거리 병기의 무기 기동"
"Vaal Animate Weapon of Self Reflection","바알 자기 반사의 무기 기동"
"Vaal Arc of Oscillating","바알 뇌동의 연쇄 번개"
"Vaal Arc of Surging","바알 쇄도의 연쇄 번개"
"Vaal Armageddon Brand of Recall","바알 소환의 종말의 낙인"
"Vaal Armageddon Brand of Volatility","바알 일촉즉발의 종말의 낙인"
"Vaal Ball Lightning of Orbiting","바알 공전의 구형 번개"
"Vaal Ball Lightning of Static","바알 정전기의 구형 번개"
"Vaal Bane of Condemnation","바알 규탄의 파멸"
"Vaal Barrage of Volley Fire","바알 일제 포격의 연발 사격"
"Vaal Bear Trap of Skewers","바알 꼬챙이의 곰 덫"
"Vaal Blade Blast of Dagger Detonation","바알 단검 폭파의 칼날 폭격"
"Vaal Blade Blast of Unloading","바알 난사의 칼날 폭격"
"Vaal Blade Flurry of Incision","바알 절개의 질풍의 칼날"
"Vaal Blade Trap of Greatswords","바알 대검의 칼날 덫"
"Vaal Blade Trap of Laceration","바알 열상의 칼날 덫"
"Vaal Blade Vortex of the Scythe","바알 낫의 칼날 소용돌이"
"Vaal Bladefall of Impaling","바알 꿰뚫기의 칼날비"
"Vaal Bladefall of Volleys","바알 사격 공세의 칼날비"
"Vaal Bladestorm of Uncertainty","바알 불확실성의 칼날 폭풍"
"Vaal Blight of Atrophy","바알 위축의 황폐"
"Vaal Blight of Contagion","바알 전염의 황폐"
"Vaal Blink Arrow of Bombarding Clones","바알 포격 분신의 점멸 화살"
"Vaal Blink Arrow of Prismatic Clones","바알 분광 분신의 점멸 화살"
"Vaal Bodyswap of Sacrifice","바알 희생의 신체 전환"
"Vaal Boneshatter of Carnage","바알 살육의 뼈 박살"
"Vaal Boneshatter of Complex Trauma","바알 복합 외상의 뼈 박살"
"Vaal Burning Arrow of Vigour","바알 활력의 불타는 화살"
"Vaal Caustic Arrow of Poison","바알 독의 부식성 화살"
"Vaal Cleave of Rage","바알 격노의 회전베기"
"Vaal Cold Snap of Power","바알 권능의 한파"
"Vaal Consecrated Path of Endurance","바알 인내의 축성의 진격"
"Vaal Contagion of Subsiding","바알 침하의 전염"
"Vaal Contagion of Transference","바알 전이의 전염"
"Vaal Crackling Lance of Branching","바알 파생의 치직대는 창"
"Vaal Crackling Lance of Disintegration","바알 분해의 치직대는 창"
"Vaal Cremation of Exhuming","바알 발굴의 시체 소각"
"Vaal Cremation of the Volcano","바알 화산의 시체 소각"
"Vaal Cyclone of Tumult","바알 소동의 회오리바람"
"Vaal Detonate Dead of Chain Reaction","바알 연쇄 반응의 시체 폭발"
"Vaal Detonate Dead of Scavenging","바알 청소부의 시체 폭발"
"Vaal Discharge of Misery","바알 비참의 방출"
"Vaal Divine Ire of Disintegration","바알 분해의 신성한 진노"
"Vaal Divine Ire of Holy Lightning","바알 상서로운 번개의 신성한 진노"
"Vaal Dominating Blow of Inspiring","바알 격려의 지배의 맹타"
"Vaal Double Strike of Impaling","바알 꿰뚫기의 이중 타격"
"Vaal Double Strike of Momentum","바알 기세의 이중 타격"
"Vaal Dual Strike of Ambidexterity","바알 양손잡이의 쌍수 타격"
"Vaal Earthquake of Amplification","바알 증폭의 지진"
"Vaal Earthshatter of Fragility","바알 허약의 지면 분쇄"
"Vaal Earthshatter of Prominence","바알 출중의 지면 분쇄"
"Vaal Essence Drain of Desperation","바알 필사의 정수 흡수"
"Vaal Essence Drain of Wickedness","바알 사악함의 정수 흡수"
"Vaal Ethereal Knives of Lingering Blades","바알 지속되는 칼날의 천상의 단도"
"Vaal Ethereal Knives of the Massacre","바알 도륙의 천상의 단도"
"Vaal Explosive Concoction of Destruction","바알 파괴의 폭발성 혼합물"
"Vaal Explosive Trap of Magnitude","바알 규모의 폭발 덫"
"Vaal Explosive Trap of Shrapnel","바알 파편의 폭발 덫"
"Vaal Exsanguinate of Transmission","바알 전송의 방혈"
"Vaal Eye of Winter of Finality","바알 종극의 겨울의 눈"
"Vaal Eye of Winter of Transience","바알 덧없음의 겨울의 눈"
"Vaal Fire Trap of Blasting","바알 폭발의 화염 덫"
"Vaal Firestorm of Meteors","바알 유성의 화염 폭풍"
"Vaal Firestorm of Pelting","바알 퍼부음의 화염 폭풍"
"Vaal Flame Dash of Incinerating","바알 소각의 화염 질주"
"Vaal Flame Dash of Return","바알 귀환의 화염 질주"
"Vaal Flame Surge of Combusting","바알 발화의 화염 쇄도"
"Vaal Flameblast of Celerity","바알 민첩함의 화염파"
"Vaal Flameblast of Contraction","바알 수축의 화염파"
"Vaal Flicker Strike of Power","바알 권능의 점멸 타격"
"Vaal Forbidden Rite of Soul Sacrifice","바알 영혼 희생의 금단의 의식"
"Vaal Frenzy of Onslaught","바알 맹공의 격분"
"Vaal Frost Blades of Katabasis","바알 퇴각의 서리 칼날"
"Vaal Frost Bomb of Forthcoming","바알 임박의 서리 폭탄"
"Vaal Frost Bomb of Instability","바알 불안정의 서리 폭탄"
"Vaal Frostblink of Wintry Blast","바알 차가운 폭발의 서리점멸"
"Vaal Frozen Legion of Rallying","바알 재집결의 얼어붙은 군단"
"Vaal Galvanic Arrow of Energy","바알 에너지의 충격 화살"
"Vaal Galvanic Arrow of Surging","바알 쇄도의 충격 화살"
"Vaal Galvanic Field of Intensity","바알 격렬함의 충격장"
"Vaal Glacial Cascade of the Fissure","바알 균열의 빙하 폭포"
"Vaal Glacial Hammer of Shattering","바알 산산조각의 빙하 망치"
"Vaal Ground Slam of Earthshaking","바알 지동의 대지 강타"
"Vaal Hexblast of Contradiction","바알 상반의 사술폭발"
"Vaal Hexblast of Havoc","바알 혼란의 사술폭발"
"Vaal Holy Flame Totem of Ire","바알 노여움의 신성한 화염 토템"
"Vaal Ice Crash of Cadence","바알 운율의 얼음 충격"
"Vaal Ice Nova of Deep Freeze","바알 결빙의 얼음 폭발"
"Vaal Ice Nova of Frostbolts","바알 서리 구체의 얼음 폭발"
"Vaal Ice Spear of Splitting","바알 분할의 얼음 창"
"Vaal Ice Trap of Hollowness","바알 무상의 얼음 덫"
"Vaal Icicle Mine of Fanning","바알 퍼짐의 고드름 지뢰"
"Vaal Icicle Mine of Sabotage","바알 방해 공작의 고드름 지뢰"
"Vaal Infernal Blow of Immolation","바알 제물의 지옥불 맹타"
"Vaal Kinetic Bolt of Fragmentation","바알 파쇄의 역학 투사체"
"Vaal Lacerate of Butchering","바알 도살의 피부 찢기"
"Vaal Lacerate of Haemorrhage","바알 실혈의 피부 찢기"
"Vaal Lancing Steel of Spraying","바알 분사의 강철 관통"
"Vaal Leap Slam of Groundbreaking","바알 땅 분쇄의 도약 강타"
"Vaal Lightning Arrow of Electrocution","바알 전기 처형의 번개 화살"
"Vaal Lightning Conduit of the Heavens","바알 천국의 번개 도관"
"Vaal Lightning Spire Trap of Overloading","바알 과부하의 번개 첨탑 덫"
"Vaal Lightning Spire Trap of Zapping","바알 전류의 번개 첨탑 덫"
"Vaal Lightning Strike of Arcing","바알 전호의 번개 타격"
"Vaal Lightning Tendrils of Eccentricity","바알 기행의 덩굴 번개"
"Vaal Lightning Tendrils of Escalation","바알 격화의 덩굴 번개"
"Vaal Lightning Trap of Sparking","바알 전기불꽃의 번개 덫"
"Vaal Mirror Arrow of Bombarding Clones","바알 포격 분신의 거울 화살"
"Vaal Mirror Arrow of Prismatic Clones","바알 분광 분신의 거울 화살"
"Vaal Molten Strike of the Zenith","바알 북극성의 용암 타격"
"Vaal Pacify","바알 진정"
"Vaal Penance Brand of Conduction","바알 전도의 속죄의 낙인"
"Vaal Penance Brand of Dissipation","바알 소실의 속죄의 낙인"
"Vaal Penance Mark","바알 속죄의 징표"
"Vaal Perforate of Bloodshed","바알 유혈의 천공"
"Vaal Perforate of Duality","바알 이중성의 천공"
"Vaal Power Siphon of the Archmage","바알 대마법사의 권능 착취"
"Vaal Purifying Flame of Revelations","바알 계시의 정화의 불길"
"Vaal Pyroclast Mine of Sabotage","바알 방해 공작의 화산탄 지뢰"
"Vaal Rage Vortex of Berserking","바알 광폭화의 격노 소용돌이"
"Vaal Rain of Arrows of Artillery","바알 포대의 화살비"
"Vaal Rain of Arrows of Saturation","바알 포화의 화살비"
"Vaal Raise Spectre of Transience","바알 덧없음의 망령 소환"
"Vaal Raise Zombie of Falling","바알 추락의 좀비 소환"
"Vaal Raise Zombie of Slamming","바알 강타의 좀비 소환"
"Vaal Ravenous","바알 굶주림"
"Vaal Reave of Refraction","바알 굴절의 약탈"
"Vaal Righteous Fire of Arcane Devotion","바알 비전 헌신의 정의의 화염"
"Vaal Rune Blast of Teleportation","바알 순간이동의 룬 폭발"
"Vaal Scorching Ray of Immolation","바알 제물의 작열 광선"
"Vaal Scourge Arrow of Menace","바알 위험의 재앙의 화살"
"Vaal Seismic Trap of Swells","바알 팽창의 지진 덫"
"Vaal Shattering Steel of Ammunition","바알 탄약의 강철 파편"
"Vaal Shield Crush of the Chieftain","바알 부족장의 방패 타쇄"
"Vaal Shrapnel Ballista of Steel","바알 강철의 파편 쇠뇌"
"Vaal Siege Ballista of Splintering","바알 파편의 공성 쇠뇌"
"Vaal Smite of Divine Judgement","바알 신성한 심판의 징벌"
"Vaal Soulrend of Reaping","바알 낫질의 영혼 분리"
"Vaal Soulrend of the Spiral","바알 나선의 영혼 분리"
"Vaal Spark of Unpredictability","바알 예측 불허의 전기불꽃"
"Vaal Spark of the Nova","바알 폭발의 전기불꽃"
"Vaal Spectral Shield Throw of Shattering","바알 산산조각의 환영 방패 투척"
"Vaal Spectral Throw of Materialising","바알 구체화의 환영 무기 투척"
"Vaal Split Arrow of Splitting","바알 분할의 분할 화살"
"Vaal Splitting Steel of Ammunition","바알 탄약의 강철 분할"
"Vaal Spray Paint Blood","바알 핏빛 물감 뿌리기"
"Vaal Spray Paint Celestial","바알 천공의 물감 뿌리기"
"Vaal Spray Paint Magmatic","바알 마그마 물감 뿌리기"
"Vaal Storm Brand of Indecision","바알 우유부단의 폭풍의 낙인"
"Vaal Storm Rain of the Conduit","바알 도관의 폭풍우"
"Vaal Storm Rain of the Fence","바알 울타리의 폭풍우"
"Vaal Stormbind of Teleportation","바알 순간이동의 폭풍 연대"
"Vaal Summon Carrion Golem of Hordes","바알 군단의 부패 골렘 소환"
"Vaal Summon Carrion Golem of Scavenging","바알 청소부의 부패 골렘 소환"
"Vaal Summon Chaos Golem of Hordes","바알 군단의 카오스 골렘 소환"
"Vaal Summon Chaos Golem of the Maelström","바알 마엘스트롬의 카오스 골렘 소환"
"Vaal Summon Dark Effigy","바알 어둠의 제웅 소환"
"Vaal Summon Flame Golem of Hordes","바알 군단의 화염 골렘 소환"
"Vaal Summon Flame Golem of the Meteor","바알 유성의 화염 골렘 소환"
"Vaal Summon Ice Golem of Hordes","바알 군단의 얼음 골렘 소환"
"Vaal Summon Ice Golem of Shattering","바알 산산조각의 얼음 골렘 소환"
"Vaal Summon Lightning Golem of Hordes","바알 군단의 번개 골렘 소환"
"Vaal Summon Raging Spirit of Enormity","바알 극악무도의 격노의 유령 소환"
"Vaal Summon Reaper of Eviscerating","바알 적출의 수확자 소환"
"Vaal Summon Reaper of Revenants","바알 원령의 수확자 소환"
"Vaal Summon Skeletons of Archers","바알 궁수의 해골 소환"
"Vaal Summon Skeletons of Mages","바알 마법사의 해골 소환"
"Vaal Summon Stone Golem of Hordes","바알 군단의 돌 골렘 소환"
"Vaal Summon Stone Golem of Safeguarding","바알 방비의 돌 골렘 소환"
"Vaal Sunder of Earthbreaking","바알 대지 분쇄의 산산조각"
"Vaal Tectonic Slam of Cataclysm","바알 대재앙의 지층 강타"
"Vaal Tornado Shot of Cloudburst","바알 구름폭발의 회오리 사격"
"Vaal Toxic Rain of Sporeburst","바알 포자 폭발의 맹독성 비"
"Vaal Toxic Rain of Withering","바알 고사의 맹독성 비"
"Vaal Viper Strike of the Mamba","바알 큰독사의 맹독 타격"
"Vaal Void Sphere of Rending","바알 분리의 공허 구체"
"Vaal Volatile Dead of Confinement","바알 감금의 시체 불덩이"
"Vaal Volatile Dead of Seething","바알 끓어오름의 시체 불덩이"
"Vaal Volcanic Fissure of Snaking","바알 구불거림의 화산 균열"
"Vaal Vortex of Projection","바알 투영의 소용돌이"
"Vaal Wild Strike of Extremes","바알 극단의 사나운 타격"

"Absolution of Inspiring {0}","격려의 면죄 {0}"
"Animate Guardian of Smiting {0}","징벌의 수호자 기동 {0}"
"Animate Weapon of Ranged Arms {0}","원거리 병기의 무기 기동 {0}"
"Animate Weapon of Self Reflection {0}","자기 반사의 무기 기동 {0}"
"Arc of Oscillating {0}","뇌동의 연쇄 번개 {0}"
"Arc of Surging {0}","쇄도의 연쇄 번개 {0}"
"Armageddon Brand of Recall {0}","소환의 종말의 낙인 {0}"
"Armageddon Brand of Volatility {0}","일촉즉발의 종말의 낙인 {0}"
"Ball Lightning of Orbiting {0}","공전의 구형 번개 {0}"
"Ball Lightning of Static {0}","정전기의 구형 번개 {0}"
"Bane of Condemnation {0}","규탄의 파멸 {0}"
"Barrage of Volley Fire {0}","일제 포격의 연발 사격 {0}"
"Bear Trap of Skewers {0}","꼬챙이의 곰 덫 {0}"
"Blade Blast of Dagger Detonation {0}","단검 폭파의 칼날 폭격 {0}"
"Blade Blast of Unloading {0}","난사의 칼날 폭격 {0}"
"Blade Flurry of Incision {0}","절개의 질풍의 칼날 {0}"
"Blade Trap of Greatswords {0}","대검의 칼날 덫 {0}"
"Blade Trap of Laceration {0}","열상의 칼날 덫 {0}"
"Blade Vortex of the Scythe {0}","낫의 칼날 소용돌이 {0}"
"Bladefall of Impaling {0}","꿰뚫기의 칼날비 {0}"
"Bladefall of Volleys {0}","사격 공세의 칼날비 {0}"
"Bladestorm of Uncertainty {0}","불확실성의 칼날 폭풍 {0}"
"Blight of Atrophy {0}","위축의 황폐 {0}"
"Blight of Contagion {0}","전염의 황폐 {0}"
"Blink Arrow of Bombarding Clones {0}","포격 분신의 점멸 화살 {0}"
"Blink Arrow of Prismatic Clones {0}","분광 분신의 점멸 화살 {0}"
"Bodyswap of Sacrifice {0}","희생의 신체 전환 {0}"
"Boneshatter of Carnage {0}","살육의 뼈 박살 {0}"
"Boneshatter of Complex Trauma {0}","복합 외상의 뼈 박살 {0}"
"Burning Arrow of Vigour {0}","활력의 불타는 화살 {0}"
"Caustic Arrow of Poison {0}","독의 부식성 화살 {0}"
"Cleave of Rage {0}","격노의 회전베기 {0}"
"Cold Snap of Power {0}","권능의 한파 {0}"
"Consecrated Path of Endurance {0}","인내의 축성의 진격 {0}"
"Contagion of Subsiding {0}","침하의 전염 {0}"
"Contagion of Transference {0}","전이의 전염 {0}"
"Crackling Lance of Branching {0}","파생의 치직대는 창 {0}"
"Crackling Lance of Disintegration {0}","분해의 치직대는 창 {0}"
"Cremation of Exhuming {0}","발굴의 시체 소각 {0}"
"Cremation of the Volcano {0}","화산의 시체 소각 {0}"
"Cyclone of Tumult {0}","소동의 회오리바람 {0}"
"Detonate Dead of Chain Reaction {0}","연쇄 반응의 시체 폭발 {0}"
"Detonate Dead of Scavenging {0}","청소부의 시체 폭발 {0}"
"Discharge of Misery {0}","비참의 방출 {0}"
"Divine Ire of Disintegration {0}","분해의 신성한 진노 {0}"
"Divine Ire of Holy Lightning {0}","상서로운 번개의 신성한 진노 {0}"
"Dominating Blow of Inspiring {0}","격려의 지배의 맹타 {0}"
"Double Strike of Impaling {0}","꿰뚫기의 이중 타격 {0}"
"Double Strike of Momentum {0}","기세의 이중 타격 {0}"
"Dual Strike of Ambidexterity {0}","양손잡이의 쌍수 타격 {0}"
"Earthquake of Amplification {0}","증폭의 지진 {0}"
"Earthshatter of Fragility {0}","허약의 지면 분쇄 {0}"
"Earthshatter of Prominence {0}","출중의 지면 분쇄 {0}"
"Essence Drain of Desperation {0}","필사의 정수 흡수 {0}"
"Essence Drain of Wickedness {0}","사악함의 정수 흡수 {0}"
"Ethereal Knives of Lingering Blades {0}","지속되는 칼날의 천상의 단도 {0}"
"Ethereal Knives of the Massacre {0}","도륙의 천상의 단도 {0}"
"Explosive Concoction of Destruction {0}","파괴의 폭발성 혼합물 {0}"
"Explosive Trap of Magnitude {0}","규모의 폭발 덫 {0}"
"Explosive Trap of Shrapnel {0}","파편의 폭발 덫 {0}"
"Exsanguinate of Transmission {0}","전송의 방혈 {0}"
"Eye of Winter of Finality {0}","종극의 겨울의 눈 {0}"
"Eye of Winter of Transience {0}","덧없음의 겨울의 눈 {0}"
"Fire Trap of Blasting {0}","폭발의 화염 덫 {0}"
"Firestorm of Meteors {0}","유성의 화염 폭풍 {0}"
"Firestorm of Pelting {0}","퍼부음의 화염 폭풍 {0}"
"Flame Dash of Incinerating {0}","소각의 화염 질주 {0}"
"Flame Dash of Return {0}","귀환의 화염 질주 {0}"
"Flame Surge of Combusting {0}","발화의 화염 쇄도 {0}"
"Flameblast of Celerity {0}","민첩함의 화염파 {0}"
"Flameblast of Contraction {0}","수축의 화염파 {0}"
"Flicker Strike of Power {0}","권능의 점멸 타격 {0}"
"Forbidden Rite of Soul Sacrifice {0}","영혼 희생의 금단의 의식 {0}"
"Frenzy of Onslaught {0}","맹공의 격분 {0}"
"Frost Blades of Katabasis {0}","퇴각의 서리 칼날 {0}"
"Frost Bomb of Forthcoming {0}","임박의 서리 폭탄 {0}"
"Frost Bomb of Instability {0}","불안정의 서리 폭탄 {0}"
"Frostblink of Wintry Blast {0}","차가운 폭발의 서리점멸 {0}"
"Frozen Legion of Rallying {0}","재집결의 얼어붙은 군단 {0}"
"Galvanic Arrow of Energy {0}","에너지의 충격 화살 {0}"
"Galvanic Arrow of Surging {0}","쇄도의 충격 화살 {0}"
"Galvanic Field of Intensity {0}","격렬함의 충격장 {0}"
