"Two Sockets","홈 2개"
"(15-18)% increased Cast Speed","시전 속도 (15~18)% 증가"
"(37-51)% increased Fire Damage","화염 피해 (37~51)% 증가"
"(52-66)% increased Fire Damage","화염 피해 (52~66)% 증가"
"(67-81)% increased Fire Damage","화염 피해 (67~81)% 증가"
"(25-34)% increased Fire Damage","화염 피해 (25~34)% 증가"
"(35-44)% increased Fire Damage","화염 피해 (35~44)% 증가"
"(45-54)% increased Fire Damage","화염 피해 (45~54)% 증가"
"(9-12)% increased Fire Damage","화염 피해 (9~12)% 증가"
"(13-16)% increased Fire Damage","화염 피해 (13~16)% 증가"
"(37-51)% increased Cold Damage","냉기 피해 (37~51)% 증가"
"(52-66)% increased Cold Damage","냉기 피해 (52~66)% 증가"
"(67-81)% increased Cold Damage","냉기 피해 (67~81)% 증가"
"(25-34)% increased Cold Damage","냉기 피해 (25~34)% 증가"
"(35-44)% increased Cold Damage","냉기 피해 (35~44)% 증가"
"(45-54)% increased Cold Damage","냉기 피해 (45~54)% 증가"
"(9-12)% increased Cold Damage","냉기 피해 (9~12)% 증가"
"(13-16)% increased Cold Damage","냉기 피해 (13~16)% 증가"
"(37-51)% increased Lightning Damage","번개 피해 (37~51)% 증가"
"(52-66)% increased Lightning Damage","번개 피해 (52~66)% 증가"
"(67-81)% increased Lightning Damage","번개 피해 (67~81)% 증가"
"(25-34)% increased Lightning Damage","번개 피해 (25~34)% 증가"
"(35-44)% increased Lightning Damage","번개 피해 (35~44)% 증가"
"(45-54)% increased Lightning Damage","번개 피해 (45~54)% 증가"
"(9-12)% increased Lightning Damage","번개 피해 (9~12)% 증가"
"(13-16)% increased Lightning Damage","번개 피해 (13~16)% 증가"
"(37-51)% increased Chaos Damage","카오스 피해 (37~51)% 증가"
"(52-66)% increased Chaos Damage","카오스 피해 (52~66)% 증가"
"(67-81)% increased Chaos Damage","카오스 피해 (67~81)% 증가"
"(25-34)% increased Chaos Damage","카오스 피해 (25~34)% 증가"
"(35-44)% increased Chaos Damage","카오스 피해 (35~44)% 증가"
"(45-54)% increased Chaos Damage","카오스 피해 (45~54)% 증가"
"(9-12)% increased Chaos Damage","카오스 피해 (9~12)% 증가"
"(13-16)% increased Chaos Damage","카오스 피해 (13~16)% 증가"
"+(91-120) to Accuracy Rating","정확도 +(91~120)"
"+(121-200) to Accuracy Rating","정확도 +(121~200)"
"+(201-300) to Accuracy Rating","정확도 +(201~300)"
"+(121-150) to Accuracy Rating","정확도 +(121~150)"
"+(151-220) to Accuracy Rating","정확도 +(151~220)"
"(9-12)% increased Global Physical Damage","일반 물리 피해 (9~12)% 증가"
"(13-16)% increased Global Physical Damage","일반 물리 피해 (13~16)% 증가"
"(26-35)% increased Armour","방어도 (26~35)% 증가"
"(41-50)% increased Armour","방어도 (41~50)% 증가"
"(56-74)% increased Armour","방어도 (56~74)% 증가"
"+(50-75) to Armour","방어도 +(50~75)"
"+(100-150) to Armour","방어도 +(100~150)"
"+(250-320) to Armour","방어도 +(250~320)"
"(26-35)% increased Evasion Rating","회피 (26~35)% 증가"
"(41-50)% increased Evasion Rating","회피 (41~50)% 증가"
"(56-74)% increased Evasion Rating","회피 (56~74)% 증가"
"+(50-75) to Evasion Rating","회피 +(50~75)"
"+(100-150) to Evasion Rating","회피 +(100~150)"
"+(250-320) to Evasion Rating","회피 +(250~320)"
"(26-35)% increased Energy Shield","에너지 보호막 (26~35)% 증가"
"(41-50)% increased Energy Shield","에너지 보호막 (41~50)% 증가"
"(56-74)% increased Energy Shield","에너지 보호막 (56~74)% 증가"
"+(17-22) to maximum Energy Shield","에너지 보호막 최대치 +(17~22)"
"+(35-45) to maximum Energy Shield","에너지 보호막 최대치 +(35~45)"
"+(56-69) to maximum Energy Shield","에너지 보호막 최대치 +(56~69)"
"(10-12)% increased maximum Energy Shield","에너지 보호막 최대치 (10~12)% 증가"
"(13-15)% increased maximum Energy Shield","에너지 보호막 최대치 (13~15)% 증가"
"+(21-25) to maximum Energy Shield","에너지 보호막 최대치 +(21~25)"
"+(26-30) to maximum Energy Shield","에너지 보호막 최대치 +(26~30)"
"(26-35)% increased Armour and Evasion","방어도 및 회피 (26~35)% 증가"
"(41-50)% increased Armour and Evasion","방어도 및 회피 (41~50)% 증가"
"(56-74)% increased Armour and Evasion","방어도 및 회피 (56~74)% 증가"
"(26-35)% increased Armour and Energy Shield","방어도 및 에너지 보호막 (26~35)% 증가"
"(41-50)% increased Armour and Energy Shield","방어도 및 에너지 보호막 (41~50)% 증가"
"(56-74)% increased Armour and Energy Shield","방어도 및 에너지 보호막 (56~74)% 증가"
"(26-35)% increased Evasion and Energy Shield","회피 및 에너지 보호막 (26~35)% 증가"
"(41-50)% increased Evasion and Energy Shield","회피 및 에너지 보호막 (41~50)% 증가"
"(56-74)% increased Evasion and Energy Shield","회피 및 에너지 보호막 (56~74)% 증가"
"Adds (19-21) to (32-41) Fire Damage","화염 피해 (19~21)~(32~41) 추가"
"Adds (38-46) to (73-85) Fire Damage","화염 피해 (38~46)~(73~85) 추가"
"Adds (60-72) to (110-128) Fire Damage","화염 피해 (60~72)~(110~128) 추가"
"Adds (11-12) to (19-23) Fire Damage","화염 피해 (11~12)~(19~23) 추가"
"Adds (22-27) to (42-49) Fire Damage","화염 피해 (22~27)~(42~49) 추가"
"Adds (35-41) to (63-73) Fire Damage","화염 피해 (35~41)~(63~73) 추가"
"Adds (8-11) to (16-20) Fire Damage to Attacks","공격 시 화염 피해 (8~11)~(16~20) 추가"
"Adds (12-17) to (26-30) Fire Damage to Attacks","공격 시 화염 피해 (12~17)~(26~30) 추가"
"Adds (19-21) to (32-41) Cold Damage","냉기 피해 (19~21)~(32~41) 추가"
"Adds (38-46) to (73-85) Cold Damage","냉기 피해 (38~46)~(73~85) 추가"
"Adds (60-72) to (110-128) Cold Damage","냉기 피해 (60~72)~(110~128) 추가"
"Adds (11-12) to (19-23) Cold Damage","냉기 피해 (11~12)~(19~23) 추가"
"Adds (22-27) to (42-49) Cold Damage","냉기 피해 (22~27)~(42~49) 추가"
"Adds (35-41) to (63-73) Cold Damage","냉기 피해 (35~41)~(63~73) 추가"
"Adds (6-8) to (14-18) Cold Damage to Attacks","공격 시 냉기 피해 (6~8)~(14~18) 추가"
"Adds (11-15) to (23-27) Cold Damage to Attacks","공격 시 냉기 피해 (11~15)~(23~27) 추가"
"Adds (2-5) to (46-64) Lightning Damage","번개 피해 (2~5)~(46~64) 추가"
"Adds (6-9) to (104-139) Lightning Damage","번개 피해 (6~9)~(104~139) 추가"
"Adds (10-14) to (162-197) Lightning Damage","번개 피해 (10~14)~(162~197) 추가"
"Adds (1-3) to (27-37) Lightning Damage","번개 피해 (1~3)~(27~37) 추가"
"Adds (3-5) to (60-80) Lightning Damage","번개 피해 (3~5)~(60~80) 추가"
"Adds (6-8) to (100-113) Lightning Damage","번개 피해 (6~8)~(100~113) 추가"
"Adds (1-4) to (32-36) Lightning Damage to Attacks","공격 시 번개 피해 (1~4)~(32~36) 추가"
"Adds (1-5) to (41-48) Lightning Damage to Attacks","공격 시 번개 피해 (1~5)~(41~48) 추가"
"Adds (9-12) to (18-21) Physical Damage","물리 피해 (9~12)~(18~21) 추가"
"Adds (11-15) to (23-27) Physical Damage","물리 피해 (11~15)~(23~27) 추가"
"Adds (18-24) to (36-42) Physical Damage","물리 피해 (18~24)~(36~42) 추가"
"Adds (6-8) to (13-15) Physical Damage","물리 피해 (6~8)~(13~15) 추가"
"Adds (7-11) to (16-19) Physical Damage","물리 피해 (7~11)~(16~19) 추가"
"Adds (13-17) to (26-30) Physical Damage","물리 피해 (13~17)~(26~30) 추가"
"Adds (3-5) to (6-8) Physical Damage to Attacks","공격 시 물리 피해 (3~5)~(6~8) 추가"
"Adds (5-7) to (8-10) Physical Damage to Attacks","공격 시 물리 피해 (5~7)~(8~10) 추가"
"Adds (6-8) to (14-18) Chaos Damage to Attacks","공격 시 카오스 피해 (6~8)~(14~18) 추가"
"Adds (11-15) to (23-27) Chaos Damage to Attacks","공격 시 카오스 피해 (11~15)~(23~27) 추가"
"Adds (16-21) to (31-36) Fire Damage to Spells","주문 시전 시 화염 피해 (16~21)~(31~36) 추가"
"Adds (28-38) to (57-66) Fire Damage to Spells","주문 시전 시 화염 피해 (28~38)~(57~66) 추가"
"Adds (41-55) to (83-96) Fire Damage to Spells","주문 시전 시 화염 피해 (41~55)~(83~96) 추가"
"Adds (12-16) to (23-27) Fire Damage to Spells","주문 시전 시 화염 피해 (12~16)~(23~27) 추가"
"Adds (21-28) to (42-49) Fire Damage to Spells","주문 시전 시 화염 피해 (21~28)~(42~49) 추가"
"Adds (31-41) to (61-71) Fire Damage to Spells","주문 시전 시 화염 피해 (31~41)~(61~71) 추가"
"Adds (14-19) to (28-33) Cold Damage to Spells","주문 시전 시 냉기 피해 (14~19)~(28~33) 추가"
"Adds (26-34) to (52-60) Cold Damage to Spells","주문 시전 시 냉기 피해 (26~34)~(52~60) 추가"
"Adds (38-50) to (75-88) Cold Damage to Spells","주문 시전 시 냉기 피해 (38~50)~(75~88) 추가"
"Adds (10-13) to (19-22) Cold Damage to Spells","주문 시전 시 냉기 피해 (10~13)~(19~22) 추가"
"Adds (17-23) to (34-40) Cold Damage to Spells","주문 시전 시 냉기 피해 (17~23)~(34~40) 추가"
"Adds (25-33) to (50-58) Cold Damage to Spells","주문 시전 시 냉기 피해 (25~33)~(50~58) 추가"
"Adds (1-5) to (59-63) Lightning Damage to Spells","주문 시전 시 번개 피해 (1~5)~(59~63) 추가"
"Adds (3-9) to (109-115) Lightning Damage to Spells","주문 시전 시 번개 피해 (3~9)~(109~115) 추가"
"Adds (4-13) to (159-168) Lightning Damage to Spells","주문 시전 시 번개 피해 (4~13)~(159~168) 추가"
"Adds (1-4) to (39-42) Lightning Damage to Spells","주문 시전 시 번개 피해 (1~4)~(39~42) 추가"
"Adds (2-6) to (73-77) Lightning Damage to Spells","주문 시전 시 번개 피해 (2~6)~(73~77) 추가"
"Adds (3-9) to (106-112) Lightning Damage to Spells","주문 시전 시 번개 피해 (3~9)~(106~112) 추가"
"(17-19)% increased Critical Strike Chance","치명타 확률 (17~19)% 증가"
"(20-24)% increased Critical Strike Chance","치명타 확률 (20~24)% 증가"
"(25-27)% increased Critical Strike Chance","치명타 확률 (25~27)% 증가"
"+(17-19)% to Global Critical Strike Multiplier","일반 치명타 피해 배율 +(17~19)%"
"+(20-24)% to Global Critical Strike Multiplier","일반 치명타 피해 배율 +(20~24)%"
"+(25-28)% to Global Critical Strike Multiplier","일반 치명타 피해 배율 +(25~28)%"
"(45-75)% increased Critical Strike Chance for Spells","주문 치명타 확률 (45~75)% 증가"
"(76-105)% increased Critical Strike Chance for Spells","주문 치명타 확률 (76~105)% 증가"
"(30-49)% increased Critical Strike Chance for Spells","주문 치명타 확률 (30~49)% 증가"
"(50-69)% increased Critical Strike Chance for Spells","주문 치명타 확률 (50~69)% 증가"
"(17-21)% increased Global Critical Strike Chance","일반 치명타 확률 (17~21)% 증가"
"(22-27)% increased Global Critical Strike Chance","일반 치명타 확률 (22~27)% 증가"
"(5-10)% increased Flask Effect Duration","플라스크 효과 지속시간 (5~10)% 증가"
"(11-15)% increased Flask Effect Duration","플라스크 효과 지속시간 (11~15)% 증가"
"(15-20)% chance to Avoid being Stunned","(15~20)%의 확률로 기절 회피"
"(21-25)% chance to Avoid being Stunned","(21~25)%의 확률로 기절 회피"
"(16-20)% chance to Avoid Elemental Ailments","(16~20)%의 확률로 원소 상태 이상 회피"
"(21-25)% chance to Avoid Elemental Ailments","(21~25)%의 확률로 원소 상태 이상 회피"
"(24-30)% reduced Effect of Chill and Shock on you","플레이어에게 적용되는 냉각 및 감전 효과 (24~30)% 감소"
"(31-40)% reduced Effect of Chill and Shock on you","플레이어에게 적용되는 냉각 및 감전 효과 (31~40)% 감소"
"+(2-3)% Chance to Block","막아낼 확률 +(2~3)%"
"+(4-5)% Chance to Block","막아낼 확률 +(4~5)%"
"(2-3)% Chance to Block Spell Damage","(2~3)%의 확률로 주문 피해를 막아냄"
"(4-5)% Chance to Block Spell Damage","(4~5)%의 확률로 주문 피해를 막아냄"
"(5-6)% increased Life Regeneration rate","생명력 재생 속도 (5~6)% 증가"
"(7-8)% increased Life Regeneration rate","생명력 재생 속도 (7~8)% 증가"
"2% additional Physical Damage Reduction","받는 물리 피해 2% 추가 감소"
"3% additional Physical Damage Reduction","받는 물리 피해 3% 추가 감소"
"+(5-6)% chance to Suppress Spell Damage","주문 피해 억제 확률 +(5~6)%"
"+(5-7)% chance to Suppress Spell Damage","주문 피해 억제 확률 +(5~7)%"
"+(7-8)% chance to Suppress Spell Damage","주문 피해 억제 확률 +(7~8)%"
"+(8-10)% chance to Suppress Spell Damage","주문 피해 억제 확률 +(8~10)%"
"+(11-13)% chance to Suppress Spell Damage","주문 피해 억제 확률 +(11~13)%"
"(9-11)% increased Energy Shield Recharge Rate","에너지 보호막 재충전 속도 (9~11)% 증가"
"(12-14)% increased Energy Shield Recharge Rate","에너지 보호막 재충전 속도 (12~14)% 증가"
"(16-20)% faster start of Energy Shield Recharge","에너지 보호막 재충전 시작 속도 (16~20)% 가속"
"(21-25)% faster start of Energy Shield Recharge","에너지 보호막 재충전 시작 속도 (21~25)% 가속"
"5% reduced Damage taken from Damage Over Time","지속 피해로 받는 피해 5% 감소"
"Item drops on Death if Equipped by an Animated Guardian","기동된 수호자에 장착된 아이템이 사망 시 떨어짐"
"Light Radius is based on Energy Shield instead of Life","시야 반경이 생명력 대신 에너지 보호막에 비례함"
"Minions have (11-15)% increased maximum Life","소환수의 최대 생명력 (11~15)% 증가"
"Minions have (16-20)% increased maximum Life","소환수의 최대 생명력 (16~20)% 증가"
"Minions deal (10-20)% increased Damage","소환수가 주는 피해 (10~20)% 증가"
"Minions have (13-17)% increased Movement Speed","소환수의 이동 속도 (13~17)% 증가"
"Minions have (18-22)% increased Movement Speed","소환수의 이동 속도 (18~22)% 증가"
"Minions deal (37-51)% increased Damage","소환수가 주는 피해 (37~51)% 증가"
"Minions deal (52-66)% increased Damage","소환수가 주는 피해 (52~66)% 증가"
"Minions deal (67-81)% increased Damage","소환수가 주는 피해 (67~81)% 증가"
"Minions deal (25-34)% increased Damage","소환수가 주는 피해 (25~34)% 증가"
"Minions deal (35-44)% increased Damage","소환수가 주는 피해 (35~44)% 증가"
"Minions deal (45-54)% increased Damage","소환수가 주는 피해 (45~54)% 증가"
"(52-66)% increased Trap Damage","덫 피해 (52~66)% 증가"
"(67-81)% increased Trap Damage","덫 피해 (67~81)% 증가"
"(35-44)% increased Trap Damage","덫 피해 (35~44)% 증가"
"(45-54)% increased Trap Damage","덫 피해 (45~54)% 증가"
"(52-66)% increased Mine Damage","지뢰 피해 (52~66)% 증가"
"(67-81)% increased Mine Damage","지뢰 피해 (67~81)% 증가"
"(35-44)% increased Mine Damage","지뢰 피해 (35~44)% 증가"
"(45-54)% increased Mine Damage","지뢰 피해 (45~54)% 증가"
"(17-20)% increased Trap Throwing Speed","덫 투척 속도 (17~20)% 증가"
"(21-23)% increased Trap Throwing Speed","덫 투척 속도 (21~23)% 증가"
"(9-12)% increased Trap Throwing Speed","덫 투척 속도 (9~12)% 증가"
"(13-15)% increased Trap Throwing Speed","덫 투척 속도 (13~15)% 증가"
"(17-20)% increased Mine Throwing Speed","지뢰 투척 속도 (17~20)% 증가"
"(21-23)% increased Mine Throwing Speed","지뢰 투척 속도 (21~23)% 증가"
"(9-12)% increased Mine Throwing Speed","지뢰 투척 속도 (9~12)% 증가"
"(13-15)% increased Mine Throwing Speed","지뢰 투척 속도 (13~15)% 증가"
"(3-5)% increased Attack Speed","공격 속도 (3~5)% 증가"
"(6-8)% increased Cast Speed","시전 속도 (6~8)% 증가"
"(15-20)% increased Warcry Speed","함성 속도 (15~20)% 증가"
"Warcries cannot Exert Travel Skills","함성이 이동 전용 스킬의 전력 공격 횟수를 소비하지 않음"
"Used when an adjacent Flask is used","인접한 플라스크 사용 시 사용"
"Reused at the end of this Flask's effect","이 플라스크 효과가 끝나면 재사용"
"Used when Charges reach full","충전이 가득 차면 사용"
"Used when you Use a Guard Skill","수호 스킬 사용 시 사용"
"Used when you Use a Travel Skill","이동 전용 스킬 사용 시 사용"
"Used when you Hit a Rare or Unique Enemy, if not already in effect","효과가 적용 중이지 않을 때 희귀 또는 고유 적 명중 시 사용"
"Used when you become Frozen","플레이어 동결 시 사용"
"Used when you become Chilled","플레이어 냉각 시 사용"
"Used when you become Shocked","플레이어 감전 시 사용"
"Used when you become Ignited","플레이어 점화 시 사용"
"Used when you start Bleeding","출혈 시작 시 사용"
"Used when you become Poisoned","플레이어 중독 시 사용"
"Used when you Block","막아낼 시 사용"
"Used when you take a Savage Hit","야만적인 타격에 피격 시 사용"
"Used when you use a Life Flask","생명력 플라스크 사용 시 사용"
"Remove Enchantments","인챈트 제거"
"Moving while Bleeding doesn't cause you to take extra Damage","출혈 상태에서 이동해도 추가 피해를 받지 않음"
"+(31-36)% Chaos Resistance against Damage Over Time","지속 피해 대응 카오스 저항 +(31~36)%"
"+(37-43)% Chaos Resistance against Damage Over Time","지속 피해 대응 카오스 저항 +(37~43)%"
"(41-50)% chance to Avoid Bleeding","(41~50)%의 확률로 출혈 회피"
"(51-60)% chance to Avoid Bleeding","(51~60)%의 확률로 출혈 회피"
"(41-50)% reduced Ignite Duration on you","플레이어에게 적용되는 점화 지속시간 (41~50)% 감소"
"(51-60)% reduced Ignite Duration on you","플레이어에게 적용되는 점화 지속시간 (51~60)% 감소"
"(41-50)% reduced Effect of Chill on you","플레이어에게 적용되는 냉각 효과 (41~50)% 감소"
"(51-60)% reduced Effect of Chill on you","플레이어에게 적용되는 냉각 효과 (51~60)% 감소"
"(41-50)% reduced Effect of Shock on you","플레이어에게 적용되는 감전 효과 (41~50)% 감소"
"(51-60)% reduced Effect of Shock on you","플레이어에게 적용되는 감전 효과 (51~60)% 감소"
"(16-20)% reduced Effect of Curses on you","플레이어에게 적용되는 저주 효과 (16~20)% 감소"
"(21-25)% reduced Effect of Curses on you","플레이어에게 적용되는 저주 효과 (21~25)% 감소"
"(11-15)% reduced Effect of Freeze on you","플레이어에게 적용되는 동결 효과 (11~15)% 감소"
"(16-20)% reduced Effect of Freeze on you","플레이어에게 적용되는 동결 효과 (16~20)% 감소"
"Adds (9-11) to (16-21) Fire Damage to Attacks","공격 시 화염 피해 (9~11)~(16~21) 추가"
"Adds (19-23) to (37-42) Fire Damage to Attacks","공격 시 화염 피해 (19~23)~(37~42) 추가"
"Adds (9-11) to (16-21) Cold Damage to Attacks","공격 시 냉기 피해 (9~11)~(16~21) 추가"
"Adds (19-23) to (37-42) Cold Damage to Attacks","공격 시 냉기 피해 (19~23)~(37~42) 추가"
"Adds (3-6) to (52-70) Lightning Damage to Attacks","공격 시 번개 피해 (3~6)~(52~70) 추가"
"(81-85)% increased Physical Damage/(13-15)% chance to Impale Enemies on Hit with Attacks","물리 피해 (81~85)% 증가/공격 명중 시 (13~15)%의 확률로 적 꿰뚫음"
"(86-94)% increased Physical Damage/(16-17)% chance to Impale Enemies on Hit with Attacks","물리 피해 (86~94)% 증가/공격 명중 시 (16~17)%의 확률로 적 꿰뚫음"
"(95-105)% increased Physical Damage/(18-20)% chance to Impale Enemies on Hit with Attacks","물리 피해 (95~105)% 증가/공격 명중 시 (18~20)%의 확률로 적 꿰뚫음"
"(81-85)% increased Physical Damage/(13-15)% chance to cause Bleeding on Hit","물리 피해 (81~85)% 증가/명중 시 (13~15)%의 확률로 출혈 유발"
"(86-94)% increased Physical Damage/(16-17)% chance to cause Bleeding on Hit","물리 피해 (86~94)% 증가/명중 시 (16~17)%의 확률로 출혈 유발"
"(95-105)% increased Physical Damage/(18-20)% chance to cause Bleeding on Hit","물리 피해 (95~105)% 증가/명중 시 (18~20)%의 확률로 출혈 유발"
"(81-85)% increased Physical Damage/(13-15)% chance to Blind Enemies on hit","물리 피해 (81~85)% 증가/명중 시 (13~15)%의 확률로 적 실명 유발"
