
"Abandoned Abode","버려진 거처"
"Abandoned Sanctuary","버려진 성역"
"Abandoned Sanctum","버려진 지성소"
"Abandoned Saw","버려진 톱"
"Abandoned Scalpel","버려진 수술칼"
"Abandoned Scar","버려진 흉터"
"Abandoned Scarab","버려진 갑충석"
"Abandoned Scratch","버려진 찰과상"
"Abandoned Scripture","버려진 성서"
"Abandoned Scum","버려진 쓰레기"
"Abandoned Secrets","버려진 비밀"
"Abandoned Sector","버려진 영역"
"Abandoned Sentry","버려진 보초"
"Abandoned Sepulchre","버려진 매장소"
"Abandoned Sever","버려진 절단"
"Abandoned Shackle","버려진 족쇄"
"Abandoned Shadows","버려진 그림자"
"Abandoned Shard","버려진 파편"
"Abandoned Shatter","버려진 산산조각"
"Abandoned Shell","버려진 껍질"
"Abandoned Shelter","버려진 대피소"
"Abandoned Shine","버려진 광채"
"Abandoned Shot","버려진 사격"
"Abandoned Shroud","버려진 연막"
"Abandoned Siege","버려진 공성"
"Abandoned Sight","버려진 통찰력"
"Abandoned Sinker","버려진 봉돌"
"Abandoned Skewer","버려진 꼬챙이"
"Abandoned Skin","버려진 피부"
"Abandoned Slag","버려진 용재"
"Abandoned Slayer","버려진 슬레이어"
"Abandoned Slicer","버려진 썰기"
"Abandoned Slippers","버려진 슬리퍼"
"Abandoned Sliver","버려진 편린"
"Abandoned Smasher","버려진 파쇄기"
"Abandoned Snare","버려진 올가미"
"Abandoned Solace","버려진 위안"
"Abandoned Sole","버려진 밑창"
"Abandoned Solitude","버려진 고독"
"Abandoned Song","버려진 노래"
"Abandoned Span","버려진 발"
"Abandoned Spark","버려진불꽃"
"Abandoned Spawn","버려진 유충"
"Abandoned Spear","버려진 창"
"Abandoned Spell","버려진 주문"
"Abandoned Sphere","버려진 구"
"Abandoned Spike","버려진 가시"
"Abandoned Spiker","버려진 가시등"
"Abandoned Spiral","버려진 소용돌이"
"Abandoned Spire","버려진 첨탑"
"Abandoned Spires","버려진 첨탑"
"Abandoned Splinter","버려진 파편"
"Abandoned Splitter","버려진 스플리터"
"Abandoned Spur","버려진 박차"
"Abandoned Star","버려진 별"
"Abandoned Stare","버려진 눈초리"
"Abandoned Stinger","버려진 쐐기털"
"Abandoned Stone","버려진 돌"
"Abandoned Strap","버려진 혁대"
"Abandoned Stride","버려진 질주"
"Abandoned Strike","버려진 일격"
"Abandoned Suit","버려진 복장"
"Abandoned Summons","버려진 소환"
"Abandoned Sunder","버려진 작렬"
"Abandoned Tackle","버려진 낚시 도구"
"Abandoned Tale","버려진 이야기"
"Abandoned Talisman","버려진 부적"
"Abandoned Talons","버려진 발톱"
"Abandoned Territory","버려진 영토"
"Abandoned Testament","버려진 증거"
"Abandoned Tether","버려진 밧줄"
"Abandoned Thirst","버려진 갈증"
"Abandoned Thread","버려진 실타래"
"Abandoned Thresher","버려진 도리깨"
"Abandoned Thunder","버려진 천둥"
"Abandoned Tool","버려진 도구"
"Abandoned Torc","버려진 목걸이 사슬"
"Abandoned Touch","버려진 손길"
"Abandoned Tower","버려진 탑"
"Abandoned Track","버려진 통로"
"Abandoned Trail","버려진 발자취"
"Abandoned Trap","버려진 덫"
"Abandoned Tread","버려진 발걸음"
"Abandoned Trek","버려진 길"
"Abandoned Trinket","버려진 장신구"
"Abandoned Turn","버려진 선회"
"Abandoned Twine","버려진 꼬임"
"Abandoned Twirl","버려진 회전"
"Abandoned Undertaking","버려진 일"
"Abandoned Urge","버려진 열망"
"Abandoned Vault","버려진 금고"
"Abandoned Veil","버려진 장막"
"Abandoned Vessel","버려진 그릇"
"Abandoned View","버려진 관점"
"Abandoned Vine","버려진 덩굴"
"Abandoned Visage","버려진 얼굴"
"Abandoned Vise","버려진 조임쇠"
"Abandoned Vision","버려진 시각"
"Abandoned Visor","버려진 차양"
"Abandoned Volcano","버려진 화산"
"Abandoned Volley","버려진 사격 공세"
"Abandoned Vow","버려진 맹세"
"Abandoned Voyage","버려진 항해"
"Abandoned Ward","버려진 수호"
"Abandoned Warden","버려진 간수"
"Abandoned Waste","버려진 황무지"
"Abandoned Watch","버려진 감시"
"Abandoned Watcher","버려진 감시자"
"Abandoned Weaver","버려진 직공"
"Abandoned Whorl","버려진 나사선"
"Abandoned Wind","버려진 바람"
"Abandoned Wing","버려진 부속 건물"
"Abandoned Wisdom","버려진 지혜"
"Abandoned Wish","버려진 소망"
"Abandoned Wound","버려진 상처"
"Abandoned Wrap","버려진 겉옷"
"Abandoned Wreck","버려진 붕괴"
"Abandoned Writ","버려진 영장"
"Abandoned Ziggurat","버려진 지구라트"
"Abandoned Zone","버려진 지역"
"Agony Abode","괴로운 거처"
"Agony Abyss","괴로운 심연"
"Agony Aegis","괴로운 비호"
"Agony Angler","괴로운 낚시꾼"
"Agony Anthem","괴로운 찬가"
"Agony Apex","괴로운 정점"
"Agony Apparatus","괴로운 기구"
"Agony Arbiter","괴로운 중재자"
"Agony Arch","괴로운 활"
"Agony Arrow","괴로운 화살"
"Agony Artifice","괴로운 책략"
"Agony Badge","괴로운 배지"
"Agony Bait","괴로운 미끼"
"Agony Ballad","괴로운 담시"
"Agony Band","괴로운 띠"
"Agony Bane","괴로운 파멸"
"Agony Barb","괴로운 가시"
"Agony Barrage","괴로운 연발 사격"
"Agony Barrier","괴로운 방어막"
"Agony Bastion","괴로운 보루"
"Agony Batter","괴로운 구타"
"Agony Bauble","괴로운 방울"
"Agony Bead","괴로운 구슬"
"Agony Beads","괴로운 구슬"
"Agony Beak","괴로운 부리"
"Agony Beam","괴로운 광선"
"Agony Bid","괴로운 노력"
"Agony Bind","괴로운 묶음"
"Agony Bite","괴로운 이빨"
"Agony Blast","괴로운 폭발"
"Agony Bliss","괴로운 지복"
"Agony Blood","괴로운 피의"
"Agony Bloom","괴로운 꽃"
"Agony Blow","괴로운 일격"
"Agony Blunt","괴로운 둔기"
"Agony Bolt","괴로운 화살"
"Agony Bond","괴로운 유대"
"Agony Braid","괴로운 끈"
"Agony Branch","괴로운 나뭇가지"
"Agony Brand","괴로운 낙인"
"Agony Breach","괴로운 균열"
"Agony Breaker","괴로운 분쇄기"
"Agony Breath","괴로운 숨결"
"Agony Breeze","괴로운 바람"
"Agony Brow","괴로운 이마"
"Agony Buckle","괴로운 버클"
"Agony Bulwark","괴로운 방벽"
"Agony Burst","괴로운 격발"
"Agony Butcher","괴로운 도살자"
"Agony Cage","괴로운 창살"
"Agony Caldera","괴로운 칼데라"
"Agony Call","괴로운 소환"
"Agony Campaign","괴로운 작전"
"Agony Carapace","괴로운 등딱지"
"Agony Caress","괴로운 손길"
"Agony Cast","괴로운 던지기"
"Agony Challenge","괴로운 도전"
"Agony Chambers","괴로운 방"
"Agony Chant","괴로운 노래"
"Agony Charm","괴로운 부적"
"Agony Choker","괴로운 목줄"
"Agony Chum","괴로운 밑밥"
"Agony Circle","괴로운 고리"
"Agony Clasp","괴로운 걸쇠"
"Agony Claw","괴로운 클로"
"Agony Cloak","괴로운 망토"
"Agony Clutches","괴로운 손아귀"
"Agony Coat","괴로운 외투"
"Agony Coffers","괴로운 궤짝"
"Agony Coil","괴로운 감개"
"Agony Collar","괴로운 목걸이"
"Agony Colony","괴로운 식민지"
"Agony Construct","괴로운 구조물"
"Agony Contraption","괴로운 고안품"
"Agony Cord","괴로운 줄"
"Agony Core","괴로운 중심부"
"Agony Corona","괴로운 광환"
"Agony Court","괴로운 법정"
"Agony Covenant","괴로운 계약"
"Agony Cover","괴로운 덮개"
"Agony Cowl","괴로운 고깔"
"Agony Crack","괴로운 균열"
"Agony Cradle","괴로운 받침대"
"Agony Crag","괴로운 바위"
"Agony Cramp","괴로운 경련"
"Agony Crate","괴로운 나무상자"
"Agony Creed","괴로운 신념"
"Agony Crest","괴로운 문양"
"Agony Crown","괴로운 왕관"
"Agony Crusher","괴로운 타쇄자"
"Agony Cry","괴로운 함성"
"Agony Curio","괴로운 골동품"
"Agony Curtain","괴로운 장막"
"Agony Cut","괴로운 조각"
"Agony Dart","괴로운 화살침"
"Agony Dash","괴로운 질주"
"Agony Deed","괴로운 증서"
"Agony Delirium","괴로운 섬망"
"Agony Depths","괴로운 심연"
"Agony Desire","괴로운 갈망"
"Agony Device","괴로운 장치"
"Agony Dew","괴로운 이슬"
"Agony Disguise","괴로운 위장"
"Agony Dome","괴로운 돔"
"Agony Dream","괴로운 꿈"
"Agony Dregs","괴로운 찌꺼기"
"Agony Drop","괴로운 방울"
"Agony Duty","괴로운 의무"
"Agony Dwelling","괴로운 거주지"
"Agony Edge","괴로운 칼날"
"Agony Ember","괴로운 잉걸불"
"Agony Emblem","괴로운 상징"
"Agony Enterprise","괴로운 사업"
"Agony Equipment","괴로운 장착품"
"Agony Essence","괴로운 에센스"
"Agony Etcher","괴로운 부각사"
"Agony Excavation","괴로운 발굴터"
"Agony Excursion","괴로운 기행"
"Agony Expedition","괴로운 탐험"
"Agony Exploration","괴로운 원정"
"Agony Eye","괴로운 눈"
"Agony Fang","괴로운 송곳니"
"Agony Fend","괴로운 방어"
"Agony Fetish","괴로운 숭배물"
"Agony Finger","괴로운 손가락"
"Agony Fingers","괴로운 손가락"
"Agony Firestorm","괴로운 화염 폭풍"
"Agony Fish","괴로운 물고기"
"Agony Fist","괴로운 주먹"
"Agony Flame","괴로운 화염"
"Agony Fletch","괴로운 화살깃"
"Agony Flight","괴로운 비행"
"Agony Folktale","괴로운 설화"
"Agony Frontier","괴로운 개척지"
"Agony Gaze","괴로운 응시"
"Agony Gear","괴로운 장비"
"Agony Gill","괴로운 아가미"
"Agony Girdle","괴로운 허리띠"
"Agony Glance","괴로운 곁눈질"
"Agony Glare","괴로운 섬광"
"Agony Glimmer","괴로운 미광"
"Agony Glisten","괴로운 반짝임"
"Agony Globe","괴로운 구체"
"Agony Gnarl","괴로운 마디"
"Agony Gnash","괴로운 악문 이빨"
"Agony Goad","괴로운 몰이 막대"
"Agony Gorget","괴로운 목가리개"
"Agony Grasp","괴로운 장악"
"Agony Grinder","괴로운 갈이개"
"Agony Grip","괴로운 손아귀"
"Agony Guard","괴로운 수호"
"Agony Guardian","괴로운 가디언"
"Agony Guide","괴로운 안내"
"Agony Gutter","괴로운 시궁창"
"Agony Gyre","괴로운 선회"
"Agony Hail","괴로운 칭송"
"Agony Halo","괴로운 후광"
"Agony Hand","괴로운 손"
"Agony Harness","괴로운 고삐"
"Agony Haven","괴로운 안식처"
"Agony Heart","괴로운 심장"
"Agony Hide","괴로운 가죽"
"Agony Hold","괴로운 유지"
"Agony Hoof","괴로운 발굽"
"Agony Hope","괴로운 희망"
"Agony Horn","괴로운 뿔"
"Agony Hunger","괴로운 갈망"
"Agony Ichor","괴로운 영액"
"Agony Idol","괴로운 우상"
"Agony Impaler","괴로운 꼬챙이"
"Agony Implement","괴로운 기물"
"Agony Incitement","괴로운 조장"
"Agony Inferno","괴로운 지옥불"
"Agony Inscription","괴로운 명문"
"Agony Instigation","괴로운 교사"
"Agony Instrument","괴로운 계기"
"Agony Invitation","괴로운 초대"
"Agony Invocation","괴로운 기원"
"Agony Iridescence","괴로운 무지개 빛깔"
"Agony Jack","괴로운 상인"
"Agony Jig","괴로운 지그"
"Agony Journey","괴로운 여정"
"Agony Joy","괴로운 기쁨"
"Agony Keep","괴로운 감옥"
"Agony Keeper","괴로운 보관자"
"Agony Key","괴로운 열쇠"
"Agony Kit","괴로운 공구"
"Agony Knell","괴로운 전조"
"Agony Knot","괴로운 매듭"
"Agony Knuckle","괴로운 관절"
"Agony Lahar","괴로운 화산이류"
"Agony Lands","괴로운 땅"
"Agony Lash","괴로운 채찍"
"Agony League","괴로운 리그"
"Agony Leash","괴로운 가죽끈"
"Agony Leer","괴로운 시선"
"Agony Lens","괴로운 시점"
"Agony Line","괴로운 낚싯줄"
"Agony Liturgy","괴로운 기도문"
"Agony Lock","괴로운 자물쇠"
"Agony Locket","괴로운 갑 목걸이"
"Agony Loop","괴로운 고리"
"Agony Lure","괴로운 루어"
"Agony Machine","괴로운 장치"
"Agony Magma","괴로운 마그마"
"Agony Mandate","괴로운 통치"
"Agony Mangler","괴로운 파괴자"
"Agony Manifesto","괴로운 성명서"
"Agony Mantle","괴로운 외투"
"Agony March","괴로운 행진"
"Agony Mark","괴로운 징표"
"Agony Mast","괴로운 돛대"
"Agony Material","괴로운 재료"
"Agony Medallion","괴로운 메달리온"
"Agony Mission","괴로운 임무"
"Agony Mitts","괴로운 미트"
"Agony Myth","괴로운 신화"
"Agony Nail","괴로운 손톱"
"Agony Nails","괴로운 손톱"
"Agony Needle","괴로운 바늘"
"Agony Nexus","괴로운 연결부"
"Agony Nock","괴로운 활시위"
"Agony Noose","괴로운 올가미"
"Agony Oath","괴로운 서약"
"Agony Oculus","괴로운 눈"
"Agony Offer","괴로운 제안"
"Agony Orb","괴로운 구체"
"Agony Orders","괴로운 명령서"
"Agony Ornament","괴로운 장신구"
"Agony Oubliette","괴로운 지하 감옥"
"Agony Outpost","괴로운 전초기지"
"Agony Pace","괴로운 보조"
"Agony Pact","괴로운 맹약"
"Agony Palm","괴로운 손바닥"
"Agony Panorama","괴로운 전경"
"Agony Passage","괴로운 통로"
"Agony Pause","괴로운 중지"
"Agony Paw","괴로운 발"
"Agony Peak","괴로운 앞챙"
"Agony Pelt","괴로운 가죽모"
"Agony Pendant","괴로운 펜던트"
"Agony Pile","괴로운 더미"
"Agony Pillar","괴로운 기둥"
"Agony Pit","괴로운 구덩이"
"Agony Pith","괴로운 핵심"
"Agony Pledge","괴로운 선서"
"Agony Point","괴로운 끝"
"Agony Pole","괴로운 기둥"
"Agony Portent","괴로운 전조"
"Agony Post","괴로운 말뚝"
"Agony Precinct","괴로운 구획"
"Agony Prism","괴로운 분광기"
"Agony Provocation","괴로운 촉발"
"Agony Quarters","괴로운 구역"
"Agony Quest","괴로운 도전"
"Agony Quill","괴로운 화살"
"Agony Rain","괴로운 비"
"Agony Ram","괴로운 충격"
"Agony Razor","괴로운 면도날"
"Agony Reach","괴로운 역량"
"Agony Reaches","괴로운 역량"
"Agony Refuge","괴로운 피난처"
"Agony Refuse","괴로운 거절"
"Agony Relic","괴로운 유물"
"Agony Remains","괴로운 유물"
"Agony Remnant","괴로운 유물"
"Agony Rend","괴로운 분리"
"Agony Rite","괴로운 의례"
"Agony Road","괴로운 길"
"Agony Roar","괴로운 포효"
"Agony Rock","괴로운 바위"
"Agony Rod","괴로운 막대"
"Agony Rook","괴로운 성"
"Agony Roost","괴로운 보금자리"
"Agony Rosary","괴로운 묵주"
"Agony Ruin","괴로운 유적"
"Agony Rupture","괴로운 파열"
"Agony Saga","괴로운 영웅담"
"Agony Salvation","괴로운 구원"
"Agony Sanctuary","괴로운 성역"
"Agony Sanctum","괴로운 지성소"
"Agony Saw","괴로운 톱"
"Agony Scalpel","괴로운 수술칼"
"Agony Scar","괴로운 흉터"
"Agony Scarab","괴로운 갑충석"
"Agony Scratch","괴로운 찰과상"
"Agony Scripture","괴로운 성서"
"Agony Scum","괴로운 쓰레기"
"Agony Secrets","괴로운 비밀"
"Agony Sector","괴로운 영역"
"Agony Sentry","괴로운 보초"
"Agony Sepulchre","괴로운 매장소"
"Agony Sever","괴로운 절단"
"Agony Shackle","괴로운 족쇄"
"Agony Shadows","괴로운 그림자"
"Agony Shard","괴로운 파편"
"Agony Shatter","괴로운 산산조각"
"Agony Shell","괴로운 껍질"
"Agony Shelter","괴로운 대피소"
"Agony Shine","괴로운 광채"
"Agony Shot","괴로운 사격"
"Agony Shroud","괴로운 연막"
"Agony Siege","괴로운 공성"
"Agony Sight","괴로운 통찰력"
"Agony Sinker","괴로운 봉돌"
"Agony Skewer","괴로운 꼬챙이"
"Agony Skin","괴로운 피부"
"Agony Slag","괴로운 용재"
"Agony Slayer","괴로운 슬레이어"
"Agony Slicer","괴로운 썰기"
"Agony Slippers","괴로운 슬리퍼"
"Agony Sliver","괴로운 편린"
"Agony Smasher","괴로운 파쇄기"
"Agony Snare","괴로운 올가미"
"Agony Solace","괴로운 위안"
"Agony Sole","괴로운 밑창"
"Agony Solitude","괴로운 고독"
"Agony Song","괴로운 노래"
"Agony Span","괴로운 발"
"Agony Spark","괴로운불꽃"
"Agony Spawn","괴로운 유충"
"Agony Spear","괴로운 창"
"Agony Spell","괴로운 주문"
"Agony Sphere","괴로운 구"
"Agony Spike","괴로운 가시"
"Agony Spiker","괴로운 가시등"
"Agony Spiral","괴로운 소용돌이"
"Agony Spire","괴로운 첨탑"
"Agony Spires","괴로운 첨탑"
"Agony Splinter","괴로운 파편"
"Agony Splitter","괴로운 스플리터"
"Agony Spur","괴로운 박차"
"Agony Star","괴로운 별"
"Agony Stare","괴로운 눈초리"
"Agony Stinger","괴로운 쐐기털"
"Agony Stone","괴로운 돌"
"Agony Strap","괴로운 혁대"
"Agony Stride","괴로운 질주"
"Agony Strike","괴로운 일격"
"Agony Suit","괴로운 복장"
"Agony Summons","괴로운 소환"
"Agony Sunder","괴로운 작렬"
"Agony Tackle","괴로운 낚시 도구"
"Agony Tale","괴로운 이야기"
"Agony Talisman","괴로운 부적"
"Agony Talons","괴로운 발톱"
"Agony Territory","괴로운 영토"
"Agony Testament","괴로운 증거"
"Agony Tether","괴로운 밧줄"
