"Abberath's Hooves","아버라스의 발굽(Abberath's Hooves)"
"Cowl of the Thermophile","고열애호가의 고깔(Cowl of the Thermophile)"
"Cragfall","바위 폭포(Cragfall)"
"Craghead","바위 화살촉(Craghead)"
"Craiceann's Carapace","크라칸의 등딱지(Craiceann's Carapace)"
"Craiceann's Chitin","크라칸의 키틴질(Craiceann's Chitin)"
"Craiceann's Pincers","크라칸의 집게(Craiceann's Pincers)"
"Craiceann's Tracks","크라칸의 발자국(Craiceann's Tracks)"
"Crest of Desire","갈망의 문양(Crest of Desire)"
"Crest of Perandus","페란두스의 문양(Crest of Perandus)"
"Crown of Eyes","눈알 왕관(Crown of Eyes)"
"Crown of the Inward Eye","심안의 왕관(Crown of the Inward Eye)"
"Crown of the Pale King","창백한 왕의 왕관(Crown of the Pale King)"
"Crown of the Tyrant","폭군의 왕관(Crown of the Tyrant)"
"Crown of Thorns","가시 왕관(Crown of Thorns)"
"Crystal Vault","수정 금고(Crystal Vault)"
"Curtain Call","커튼콜(Curtain Call)"
"Cybil's Paw","시빌의 발(Cybil's Paw)"
"Cyclopean Coil","키클로프의 고리(Cyclopean Coil)"
"Dance of the Offered","제물의 춤(Dance of the Offered)"
"Daresso's Courage","다레소의 용기(Daresso's Courage)"
"Daresso's Defiance","다레소의 저항(Daresso's Defiance)"
"Daresso's Passion","다레소의 열정(Daresso's Passion)"
"Daresso's Salute","다레소의 경례(Daresso's Salute)"
"Darkness Enthroned","어둠에 대한 경외(Darkness Enthroned)"
"Darkray Vectors","어두운 빛의 궤적(Darkray Vectors)"
"Darkscorn","어두운 냉소(Darkscorn)"
"Dead Reckoning","망자의 판단(Dead Reckoning)"
"Death's Door","죽음의 문턱(Death's Door)"
"Death's Hand","죽음의 손길(Death's Hand)"
"Death's Harp","죽음의 하프(Death's Harp)"
"Death's Oath","죽음의 서약(Death's Oath)"
"Death's Opus","죽음의 작품(Death's Opus)"
"Death and Taxes","죽음과 의무(Death and Taxes)"
"Death Rush","죽음의 재촉(Death Rush)"
"Debeon's Dirge","데비온의 장승곡(Debeon's Dirge)"
"Deerstalker","사슴 추적자(Deerstalker)"
"Deidbell","죽음의 종(Deidbell)"
"Deidbellow","죽음의 괘종(Deidbellow)"
"Demigod's Authority","반신의 권위(Demigod's Authority)"
"Demigod's Beacon","반신의 횃불(Demigod's Beacon)"
"Demigod's Bounty","반신의 하사품(Demigod's Bounty)"
"Demigod's Dominance","반신의 지배(Demigod's Dominance)"
"Demigod's Eye","반신의 눈(Demigod's Eye)"
"Demigod's Immortality","반신의 불멸(Demigod's Immortality)"
"Demigod's Presence","반신의 존재(Demigod's Presence)"
"Demigod's Stride","반신의 질주(Demigod's Stride)"
"Demigod's Touch","반신의 손길(Demigod's Touch)"
"Demigod's Triumph","반신의 성공(Demigod's Triumph)"
"Demon Stitcher","악마 봉합자(Demon Stitcher)"
"Dendrobate","화살독 갑옷(Dendrobate)"
"Devoto's Devotion","드보토의 헌신(Devoto's Devotion)"
"Dialla's Malefaction","디알라의 악행(Dialla's Malefaction)"
"Disintegrator","파쇄자(Disintegrator)"
"Divide and Conquer","분열과 정복(Divide and Conquer)"
"Divinarius","디비나리우스(Divinarius)"
"Divination Distillate","예언의 정수(Divination Distillate)"
"Doedre's Damning","도이드리의 파멸(Doedre's Damning)"
"Doedre's Elixir","도이드리의 묘약(Doedre's Elixir)"
"Doedre's Malevolence","도이드리의 악의(Doedre's Malevolence)"
"Doedre's Scorn","도이드리의 멸시(Doedre's Scorn)"
"Doedre's Skin","도이드리의 가죽(Doedre's Skin)"
"Doedre's Tenure","도이드리의 임기(Doedre's Tenure)"
"Doomfletch's Prism","죽음의 깃의 분광기(Doomfletch's Prism)"
"Doomfletch","죽음의 깃(Doomfletch)"
"Doomsower","멸망 유발자(Doomsower)"
"Doon Cuebiyari","둔 큐비야리(Doon Cuebiyari)"
"Doppelg??nger Guise","도플갱어 위장(Doppelgänger Guise)"
"Doppelganger Guise","도플갱어 위장(Doppelgänger Guise)"
"Doppelgänger Guise","도플갱어 위장(Doppelgänger Guise)"
"Doryani's Catalyst","도리아니의 기폭제(Doryani's Catalyst)"
"Doryani's Delusion","도리아니의 기만(Doryani's Delusion)"
"Doryani's Fist","도리아니의 주먹(Doryani's Fist)"
"Doryani's Invitation","도리아니의 초대(Doryani's Invitation)"
"Doryani's Machinarium","도리아니의 기계실(Doryani's Machinarium)"
"Doryani's Prototype","도리아니의 프로토타입(Doryani's Prototype)"
"Dreadarc","접근하는 공포(Dreadarc)"
"Dreadbeak","공포의 부리(Dreadbeak)"
"Dreadsurge","밀려드는 공포(Dreadsurge)"
"Dream Fragments","꿈의 조각(Dream Fragments)"
"Dreamfeather","꿈의 깃털(Dreamfeather)"
"Drillneck","치명적 송곳(Drillneck)"
"Drops from Kurgal, the Blackblooded","[검은 피 쿠르갈]에게서 획득"
"Drops from The Eradicator (Tier 11+)","[박별자]에게서 획득 (11티어 이상)"
"Drops from The Eradicator","[박별자]에게서 획득"
"Drops from The Shaper","[쉐이퍼]에게서 획득"
"Duskblight","황혼의 황폐(Duskblight)"
"Duskdawn","황혼의 아침(Duskdawn)"
"Dusktoe","황혼의 끝자락(Dusktoe)"
"Dyadian Dawn","쌍둥이의 여명(Dyadian Dawn)"
"Dyadus","디아두스(Dyadus)"
"Dying Breath","죽어가는 숨결(Dying Breath)"
"Dying Sun","죽어가는 해(Dying Sun)"
"Earendel's Embrace","에아렌델의 포옹(Earendel's Embrace)"
"Eber's Unification","이버의 통합(Eber's Unification)"
"Eclipse Solaris","솔라리스의 쇠퇴(Eclipse Solaris)"
"Edge of Madness","광기의 칼날(Edge of Madness)"
"Efficient Training","효율적인 훈련(Efficient Training)"
"Eldritch Knowledge","섬뜩한 지식(Eldritch Knowledge)"
"Elegant Hubris","고상한 오만(Elegant Hubris)"
"Emberwake","잉걸불 지피기(Emberwake)"
"Emperor's Cunning","황제의 잔꾀(Emperor's Cunning)"
"Emperor's Mastery","황제의 숙련(Emperor's Mastery)"
"Emperor's Might","황제의 완력(Emperor's Might)"
"Emperor's Vigilance","황제의 철야(Emperor's Vigilance)"
"Emperor's Wit","황제의 재치(Emperor's Wit)"
"Empire's Grasp","제국의 손아귀(Empire's Grasp)"
"Endless Misery","끝없는 불행(Endless Misery)"
"Energised Armour","활력의 방어구(Energised Armour)"
"Energy From Within","내재한 에너지(Energy From Within)"
"Ephemeral Edge","덧없는 칼날(Ephemeral Edge)"
"Esh's Mirror","에쉬의 거울(Esh's Mirror)"
"Esh's Visage","에쉬의 얼굴(Esh's Visage)"
"Essence Worm","에센스 웜(Essence Worm)"
"Essentia Sanguis","피의 정수(Essentia Sanguis)"
"Ewar's Mirage","이워의 신기루(Ewar's Mirage)"
"Expedition's End","탐험의 끝(Expedition's End)"
"Extractor Mentis","정신 추출기(Extractor Mentis)"
"Eye of Chayula","차율라의 눈(Eye of Chayula)"
"Eye of Innocence","결백의 눈(Eye of Innocence)"
"Eye of Malice","적의의 눈(Eye of Malice)"
"Eyes of the Greatwolf","위대한 늑대의 눈(Eyes of the Greatwolf)"
"Ezomyte Hold","에조미어의 방호(Ezomyte Hold)"
"Ezomyte Peak","에조미어의 면갑(Ezomyte Peak)"
"Facebreaker","페이스브레이커(Facebreaker)"
"Fairgraves' Tricorne","페어그레이브즈의 삼각모(Fairgraves' Tricorne)"
"Faminebind","기근의 속박(Faminebind)"
"Farrul's Bite","페룰의 이빨(Farrul's Bite)"
"Farrul's Chase","페룰의 추적(Farrul's Chase)"
"Farrul's Fur","페룰의 모피(Farrul's Fur)"
"Farrul's Pounce","페룰의 급습(Farrul's Pounce)"
"Farsight","먼거리 시야"
"Fate of the Vaal","바알의 운명(Fate of the Vaal)"
"Fated End","예견된 최후(Fated End)"
"Feastbind","연회의 속박(Feastbind)"
"Femurs of the Saints","성자의 대퇴골(Femurs of the Saints)"
"Fencoil","늪 감긴 가지(Fencoil)"
"Fenumus' Shroud","페누무스의 연막(Fenumus' Shroud)"
"Fenumus' Spinnerets","페누무스의 방사 돌기(Fenumus' Spinnerets)"
"Fenumus' Toxins","페누무스의 독소(Fenumus' Toxins)"
"Fenumus' Weave","페누무스의 매듭(Fenumus' Weave)"
"Fertile Mind","풍요로운 마음(Fertile Mind)"
"Fevered Mind","흥분한 마음(Fevered Mind)"
"Fidelitas' Spike","피델리타스의 가시(Fidelitas' Spike)"
"Fight for Survival","처절한 분투(Fight for Survival)"
"Fireborn","불의 체질(Fireborn)"
"First Snow","첫눈(First Snow)"
"Flamesight","불꽃 시야(Flamesight)"
"Flesh-Eater","식인종(Flesh-Eater)"
"Flesh and Spirit","육체와 영혼(Flesh and Spirit)"
"Fleshcrafter","살점조각사(Fleshcrafter)"
"Fluid Motion","유체 운동(Fluid Motion)"
"Font of Thunder","천둥의 샘(Font of Thunder)"
"Forbidden Shako","금단의 샤코(Forbidden Shako)"
"Forbidden Taste","금단의 맛(Forbidden Taste)"
"Fortified Legion","견고한 부대(Fortified Legion)"
"Fortress Covenant","요새 계약(Fortress Covenant)"
"Fox's Fortune","여우의 행운(Fox's Fortune)"
"Foxshade","여우 그림자(Foxshade)"
"Fractal Thoughts","프랙털 사상(Fractal Thoughts)"
"Fragile Bloom","가냘픈 꽃(Fragile Bloom)"
"Fragility","허약(Fragility)"
"Fragment of Eternity","영원의 조각(Fragment of Eternity)"
"From Dust","먼지처럼 나타나라(From Dust)"
"Frost Unbroken","온전한 서리(Frost Unbroken)"
"Frostbreath","서리 숨결(Frostbreath)"
"Frostferno","서리와 화염(Frostferno)"
"Frozen Trail","얼어붙은 길(Frozen Trail)"
"Fury Valve","광분의 밸브(Fury Valve)"
"Galesight","강풍 시야(Galesight)"
"Gang's Momentum","무리의 추진력(Gang's Momentum)"
"Garb of the Ephemeral","덧없는 자의 의복(Garb of the Ephemeral)"
"Garukhan's Flight","가루칸의 비행(Garukhan's Flight)"
"Geofri's Baptism","조프리의 세례(Geofri's Baptism)"
"Geofri's Crest","조프리의 문양(Geofri's Crest)"
"Geofri's Devotion","조프리의 헌신(Geofri's Devotion)"
"Geofri's Legacy","조프리의 유산(Geofri's Legacy)"
"Geofri's Sanctuary","조프리의 성역(Geofri's Sanctuary)"
"Giantsbane","거대한 파멸(Giantsbane)"
"Gifts from Above","하늘에서 내려준 선물(Gifts from Above)"
"Glitterdisc","빛나는 원반(Glitterdisc)"
"Gloomfang","그롬팡(Gloomfang)"
"Glorious Vanity","찬란한 허영심(Glorious Vanity)"
"Gluttony","폭식(Gluttony)"
"Goblinedge","고블린날(Goblinedge)"
"Goldrim","금테(Goldrim)"
"Goldwyrm","황금 아룡(Goldwyrm)"
"Gorebreaker","유혈 분쇄기(Gorebreaker)"
"Goredrill","유혈 관통(Goredrill)"
"Gorgon's Gaze","고르곤의 응시(Gorgon's Gaze)"
"Grand Spectrum","장대한 파장(Grand Spectrum)"
"Graven's Secret","그레이븐의 비밀(Graven's Secret)"
"Great Old One's Tentacles","위대한 고대 신의 촉수(Great Old One's Tentacles)"
"Great Old One's Ward","위대한 고대 신의 수호(Great Old One's Ward)"
"Greed's Embrace","탐욕의 포옹(Greed's Embrace)"
"Greedtrap","탐욕의 발판(Greedtrap)"
"Grelwood Shank","그렐나무 자루(Grelwood Shank)"
"Grip of the Council","의회의 장악(Grip of the Council)"
"Growing Agony","심해지는 고통(Growing Agony)"
"Gruthkul's Pelt","그루스컬의 가죽(Gruthkul's Pelt)"
"Haemophilia","혈우병(Haemophilia)"
"Hair Trigger","민감한 반응(Hair Trigger)"
"Hale Negator","건장한 부정자(Hale Negator)"
"Hall of Grandmasters","명인의 전당(Hall of Grandmasters)"
"Hallowed Ground","거룩한 대지(Hallowed Ground)"
"Hand of the Fervent","열렬한 자의 손(Hand of the Fervent)"
"Hand of Thought and Motion","사고와 움직임의 손아귀(Hand of Thought and Motion)"
"Hand of Wisdom and Action","지혜와 행동의 손아귀(Hand of Wisdom and Action)"
"Hands of the High Templar","고위 템플러의 손(Hands of the High Templar)"
"Hazardous Research","위험한 연구(Hazardous Research)"
"Headhunter","헤드헌터(Headhunter)"
"Healthy Mind","건강한 마음(Healthy Mind)"
"Heartbound Loop","마음에 묶인 고리(Heartbound Loop)"
"Heartbreaker","심장 분쇄기(Heartbreaker)"
"Heatshiver","열기와 오한(Heatshiver)"
"Hegemony's Era","패권의 시대(Hegemony's Era)"
"Heretic's Veil","이단자의 면사포(Heretic's Veil)"
"Hezmana's Bloodlust","헤즈마나의 유혈 충동(Hezmana's Bloodlust)"
"Hidden Potential","숨겨진 잠재력(Hidden Potential)"
"Hiltless","고통의 검(Hiltless)"
"Hinekora's Sight","히네코라의 통찰력(Hinekora's Sight)"
"Honourhold","명예의 지배(Honourhold)"
"Honourhome","명예의 총본산(Honourhome)"
"Hopeshredder","희망 종결자(Hopeshredder)"
"Hotheaded","핫헤드(Hotheaded)"
"Hrimburn","흐림번(Hrimburn)"
"Hrimnor's Dirge","흐림노르의 만가(Hrimnor's Dirge)"
"Hrimnor's Hymn","흐림노르의 찬가(Hrimnor's Hymn)"
"Hrimnor's Resolve","흐림노르의 결의(Hrimnor's Resolve)"
"Hrimsorrow","흐림소로우(Hrimsorrow)"
"Hungry Abyss","굶주린 심연(Hungry Abyss)"
"Hyaon's Fury","하야온의 광분(Hyaon's Fury)"
"Hyperboreus","북방 주민(Hyperboreus)"
"Hyrri's Bite","하이리의 이빨(Hyrri's Bite)"
"Hyrri's Demise","하이리의 소멸(Hyrri's Demise)"
"Hyrri's Ire","하이리의 노여움(Hyrri's Ire)"
"Hyrri's Truth","하이리의 진리(Hyrri's Truth)"
"Icefang Orbit","얼음송곳니의 위력(Icefang Orbit)"
"Icetomb","얼음 묘지(Icetomb)"
"Ichimonji","이치몬지(Ichimonji)"
"Immortal Flesh","불멸의 육체(Immortal Flesh)"
"Impresence","무존재(Impresence)"
"Incandescent Heart","백열하는 심장(Incandescent Heart)"
"Indigon","인디곤(Indigon)"
"Inertia","관성(Inertia)"
"Inevitability","필연(Inevitability)"
"Infernal Mantle","지옥불 외투(Infernal Mantle)"
"Infractem","침범자(Infractem)"
"Infused Beachhead","주입된 교두보(Infused Beachhead)"
"Innsbury Edge","인스뷰리 칼날(Innsbury Edge)"
"Inpulsa's Broken Heart","인펄사의 상심(Inpulsa's Broken Heart)"
"Inspired Learning","탁월한 학습(Inspired Learning)"
"Intuitive Leap","직관의 도약(Intuitive Leap)"
"Invictus Solaris","지지 않는 태양(Invictus Solaris)"
"Inya's Epiphany","이냐의 통찰(Inya's Epiphany)"
"Iron Commander","철의 지휘관(Iron Commander)"
"Iron Heart","철 심장(Iron Heart)"
"Irresistable Temptation","불가항력의 유혹(Irresistable Temptation)"
"Izaro's Dilemma","이자로의 난제(Izaro's Dilemma)"
"Izaro's Turmoil","이자로의 혼란(Izaro's Turmoil)"
"Jack, the Axe","도끼마 잭(Jack, the Axe)"
"Jack, the Axe, Vaal Hatchet","도끼마 잭(Jack, the Axe), 바알 손도끼"
"Jaws of Agony","고통의 턱(Jaws of Agony)"
"Jorrhast's Blacksteel","요르하스트의 강철(Jorrhast's Blacksteel)"
"Kalisa's Grace","칼리사의 은총(Kalisa's Grace)"
"Kaltenhalt","붙잡은 냉기(Kaltenhalt)"
"Kaltensoul","붙잡은 영혼(Kaltensoul)"
"Kaom's Heart","카옴의 심장(Kaom's Heart)"
"Kaom's Primacy","카옴의 탁월함(Kaom's Primacy)"
"Kaom's Roots","카옴의 근본(Kaom's Roots)"
"Kaom's Sign","카옴의 표식(Kaom's Sign)"
"Kaom's Way","카옴의 길(Kaom's Way)"
"Karui Charge","카루이의 돌진(Karui Charge)"
"Karui Ward","카루이의 수호(Karui Ward)"
"Kiara's Determination","키아라의 결의(Kiara's Determination)"
"Kikazaru","키카자루(Kikazaru)"
"Kingmaker","실세(Kingmaker)"
"Kingsguard","왕의 보호구(Kingsguard)"
"Kintsugi","킨츠키(Kintsugi)"
"Kitava's Feast","키타바의 연회(Kitava's Feast)"
"Kitava's Teachings","키타바의 가르침(Kitava's Teachings)"
"Kitava's Thirst","키타바의 갈증(Kitava's Thirst)"
"Kondo's Pride","콘도의 자부심(Kondo's Pride)"
"Kongming's Stratagem","공명의 계략(Kongming's Stratagem)"
"Kongor's Undying Rage","콩고르의 끝없는 격노(Kongor's Undying Rage)"
"Lakishu's Blade","라키슈의 검(Lakishu's Blade)"
