"Class","직업"
"Conqueror:","정복자:"
"Jewel Socket:","주얼 소켓:"
"Filter Nodes:","필터 노드:"
"Enable this option to exclude nodes that you do not have allocated on your active passive skill tree.","이 옵션을 사용하면 활성화된 패시브 트리에서 할당되지 않은 노드는 제외됩니다."
"This can be useful if you're never going to path towards those excluded nodes and don't care what happens to them.","이는 제외된 노드에 연결할 의도가 없고 노드에 어떤 일이 발생하는지 신경 쓰지 않는 경우에 유용합니다."
"Primary Node Weight:","기본 노드 가중치:"
"For nodes with multiple stats this slider controls the weight of the first stat listed.","여러 속성이 있는 노드의 경우 이 슬라이더는 첫 번째 속성의 가중치를 제어합니다."
"This slider controls the weight of the following stat:","이 슬라이더는 다음 속성의 가중치를 제어합니다."
"Secondary Node Weight:","보조 노드 가중치:"
"For nodes with multiple stats this slider controls the weight of the second stat listed.","여러 속성이 있는 노드의 경우 이 슬라이더는 두 번째 속성의 가중치를 제어합니다."
"Minimum Node Weight:","최소 노드 가중치:"
"Seeds that do not meet the minimum weight threshold for a desired node are excluded from the search results.","필수 노드에 대한 최소 가중치 임계값을 충족하지 않는 하위 시드가 검색 결과에서 제외됩니다."
"Search for Node:","검색 노드:"
"Fallback Weight Mode:","대체 가중치 모드:"
"Click this button to generate new fallback node weights, replacing your old ones.","이 버튼을 누르면 새 대체 노드 가중치를 생성하고 이전 가중치를 바꿉니다."
"Desired Nodes","필요한 노드"
"This contains a list of your desired nodes along with their primary, secondary, and minimum weights.","여기에는 일련의 필요한 노드와 1차, 2차 및 최소 가중치가 포함됩니다."
"This list can be updated manually or by selecting the node you want to update via the search dropdown list and then moving the node weight sliders.","목록은 수동으로 업데이트하거나 드롭다운 목록에서 업데이트할 노드를 검색한 다음 노드 가중치 슬라이더를 이동할 수 있습니다."
"Fallback Nodes","대체 노드"
"This contains a list of your fallback nodes along with their primary, secondary, and minimum weights.","여기에는 일련의 백업 노드와 기본, 보조 및 최소 가중치가 포함됩니다."
"Fallback node weights are only used when no matching entry exists in the desired nodes list, allowing you to override or disable specific automatic weights.","대체 노드 가중치는 필요한 노드 목록에 일치하는 항목이 없는 경우에만 사용되므로 특정 자동 가중치를 덮어쓰거나 비활성화할 수 있습니다."
"Fallback node weights typically contain automatically generated stat weights based on your current build.","대체 노드 가중치는 일반적으로 현재 Build에 따라 자동으로 생성되는 속성 가중치를 포함합니다."
"Any manual changes made to your fallback nodes are lost when you click the generate button, as it completely replaces them.","생성 버튼을 클릭하면 새로 생성된 노드가 완전히 대체되기 때문에 대체 노드에 대한 수동 변경 사항이 손실됩니다."
"Copy Trade URL","거래소 URL 복사"
"Copy Next Trade URL","다음 거래소 URL 복사"
"Search Results:","검색 결과:"
"Search","검색"
"Required","필요"
"Find a Timeless Jewel","무궁한 주얼 검색"
"Node Distance:","노드 거리:"
"Devotion modifiers:","헌신 변경:"
"Minion Instability","소환수 불안정"
"Eldritch Battery","섬뜩한 충전기"
"Ghost Dance","혼의 춤"
"This controls the maximum amount of points that need to be spent to grab a node before its filtered out","이것은 노드가 필터링되기 전에 노드를 확보하는 데 필요한 최대 포인트 양을 제어합니다"
"{0} to Minimum Frenzy Charges while you have at least {1} Devotion","헌신이 {1} 이상인 경우 최소 격분 충전 {0}"
"Click to generate and copy a trade URL for searching for jewels in this list.","이 목록에서 주얼을 검색하기 위한 거래 URL을 생성하고 복사하려면 클릭합니다."
"Paste the URL in a web browser to search.","검색할 웹 브라우저에 URL을 붙여넣으십시오."
"You can click to select a row so that search begins from there.","클릭해서 행을 선택하면 해당 행부터 검색이 시작됩니다."
"After selecting a row You can also shift+click on another row to select a range of rows to search.","행을 선택한 후 다른 행을 Shift+클릭하여 검색할 행 범위를 선택할 수도 있습니다."
"Total Devotion","총 헌신"
"Frenzied Faith","열광적인 믿음"
"Enduring Faith","인내하는 믿음"
"Cloistered","격리됨"
"Sort by Recoverable ES","에너지 보호막 회복순 정렬"
"Totem Damage","토템 피해"
"Channelling Damage","집중 유지 피해"
"Area Damage","범위 피해"
"Skill Cost","스킬 소모"
"Defences from Shield","에너지 보호막 방어"
"Non-Curse Aura Effect","저주 이외의 오라 효과"
"Minions Accuracy Rating","소환수 정확도"
"Duration of Curses","저주 지속시간"
"Elemental Ailment Duration","원소 상태 이상 지속 시간"
"Effect of non-Damaging Ailments","피해를 주지 않는 질병 효과"
"Double click to add this jewel to your build.","이 주얼을 빌드에 추가하려면 마우스로 두 번 클릭하세요."
"Node List:","노드 목록:"
"Combined Node Weight: {0}","결합된 노드 가중치: {0}"


"The tree has been converted to 3.22.","3.22 버전으로 변환했습니다."
"Act: {0}","엑트: {0}"
"Questpoints: {0}","퀘스트 포인트: {0}"
"Extra Skillpoints: {0}","추가 스킬 포인트: {0}"
"Labyrinth: Normal Lab","미궁: 일반"
"Required Level: {0}","요구 레벨: {0}"
"Estimated Progress:","예상 진행 상황:"

"Elemental Damage","원소 피해"
"Elemental Resistances","원소 저항"
"Minion Attack and Cast Speed","소환수의 공격 및 시전 속도"

"This is a hybrid node containing all additions to Devotion","헌신에 대한 모든 추가 사항을 포함하는 하이브리드 노드입니다."

"Calming Devotion","냉정한 헌신"
"Cloistered","격리됨"
"Enduring Faith","인내하는 믿음"
"Frenzied Faith","열광적인 믿음"
"Heated Devotion","열렬한 헌신"
"Intolerance of Sin","씬의 분노"
"Martyr's Might","순교자의 완력"
"Powerful Faith","강력한 믿음"
"Smite the Heretical","이단자 징벌"
"Smite the Ignorant","몰지각자 징벌"
"Smite the Wicked","악인 징벌"
"Thoughts and Prayers","사색과 기도"
"Thundrous Devotion","우레 같은 헌신"
"Zealot","맹신자"

"Flow of Life","생의 흐름"
