"Paua Amulet","파우아 목걸이"
"Replica Tasalio's Sign","타살리오의 표식 모조품"
"Call of the Void","공허의 부름"
"Mokou's Embrace","모코우의 포옹"
"Ngamahu's Sign","나마후의 표식"
Emberwake,"잉걸불 지피기"
"Ahkeli's Mountain","아켈리의 산"
"Ahkeli's Meadow","아켈리의 초원"
"Ahkeli's Valley","아켈리의 계곡"
"Circle of Anguish","비통의 고리"
"Warrior's Legacy","전사의 유산"
"Replica Emberwake","잉걸불 지피기 모조품"
"Lori's Lantern","로리의 등불"
"The Taming",조련
"Thief's Torment","도둑의 고통"
"Shavronne's Revelation","샤브론의 계시"
Timeclasp,"시간의 속박"
"Heartbound Loop","마음에 묶인 고리"
"Mana Sponge","마나 스폰지"
Valyrium,발리륨
Timetwist,"시간 왜곡"
Anathema,"극한의 혐오"
"Tawhanuku's Timing","타하누쿠의 때맞춤"
"Death Rush","죽음의 재촉"
"Ming's Heart","밍의 심장"
"Circle of Nostalgia","그리움의 고리"
Blackflame,검은화염
"Original Sin",원죄
"Gifts from Above","하늘에서 내려준 선물"
"Romira's Banquet","로미라의 연회"
"Berek's Respite","베렉의 유예"
"Berek's Grip","베렉의 손아귀"
"Call of the Brotherhood","형제의 부름"
"Berek's Pass","베렉의 길"
"Rigwald's Crest","리그월드의 문양"
Voideye,"공허의 눈"
"Malachai's Artifice","말라카이의 책략"
"Brinerot Mark","부패한 염수단 징표"
"Redblade Band","적검단 가락지"
"Mutewind Seal","고요한 바람단 봉인"
"The Pariah",부랑자
"Essence Worm","에센스 웜"
"Angler's Plait","낚시꾼의 고리"
"The Hungry Loop","허기진 고리"
"Mark of Submission","복종의 징표"
Vivinsect,"생체 해부"
"Profane Proxy","부정한 대리자"
"Replica Malachai's Artifice","말라카이의 책략 모조품"
"Replica Voideye","공허의 눈 모조품"
"Rotblood Promise","부식혈의 약속"
"Triumvirate Authority","삼두 정치의 권위"
"Band of the Victor","승리자의 반지"
"Mark of the Elder","엘더의 징표"
Stormfire,태풍불길
"Mark of the Shaper","쉐이퍼의 징표"
"Polaric Devastation","극성의 유린"
"Kalandra's Touch","칼란드라의 손길"
Prismweave,"빛의 매듭"
"Chains of Time","시간의 사슬"
Feastbind,"연회의 속박"
Faminebind,"기근의 속박"
"The Retch",레치
"Replica Prismweave","빛의 매듭 모조품"
"Bated Breath","약해진 숨결"
"Maligaro's Restraint","말리가로의 속박"
"Ascent From Flesh","육체로부터의 해방"
"Coward's Chains","겁쟁이의 사슬"
"Coward's Legacy","겁쟁이의 유물"
"Chains of Emancipation","해방의 사슬"
"Replica Bated Breath","약해진 숨결 모조품"
"Chain of Endurance","인내의 사슬"
Headhunter,헤드헌터
"Immortal Flesh","불멸의 육체"
"Wurm's Molt","웜의 허물"
"Umbilicus Immortalis","불멸의 탯줄"
"Cyclopean Coil","키클로프의 고리"
Gluttony,폭식
Hyperboreus,"북방 주민"
"Leash of Oblation","봉헌의 가죽끈"
"Bear's Girdle","곰의 허리띠"
"Replica Headhunter","헤드헌터 모조품"
"Pyroshock Clasp","화염격 걸쇠"
"Doryani's Invitation","도리아니의 초대"
"Meginord's Girdle","메기노드의 허리띠"
"Belt of the Deceiver","기만자의 허리띠"
"Dyadian Dawn","쌍둥이의 여명"
"Bisco's Leash","비스코의 가죽끈"
"String of Servitude","노예의 끈"
Siegebreaker,공성분쇄기
"Mother's Embrace","어머니의 포옹"
"Replica Siegebreaker","공성분쇄기 모조품"
"Survivor's Guilt","생존자의 죄책감"
Mageblood,"마법사의 피"
"Kaom's Binding","카옴의 속박"
"Perandus Blazon","페란두스 문장"
Sunblast,"태양의 파동"
Soulthirst,"목마른 영혼"
"Soul Tether","영혼 올가미"
"The Flow Untethered","얽매이지 않은 흐름"
"The Torrent's Reclamation","격류의 교화"
"Replica Soul Tether","영혼 올가미 모조품"
"The Druggery",약품
"Arn's Anguish","안의 비통"
"Olesya's Delight","올레샤의 기쁨"
"Graven's Secret","그레이븐의 비밀"
"Ceinture of Benevolence","관대함의 띠"
"Bound Fate","속박된 운명"
"The Magnate",거물
"Ryslatha's Coil","리슬라사의 감개"
"The Tactician",전술가
"The Nomad",유목민
Perseverance,인내
Auxium,오시움
"The Burden of Truth","버거운 진실"
"Demigod's Bounty","반신의 하사품"
"Darkness Enthroned","어둠에 대한 경외"
"Focused Amulet","집중된 목걸이"
"Composite Ring","합성 반지"
"Manifold Ring","다면의 반지"
"Ratcheting Ring","미늘톱니 반지"
"Helical Ring","나선형 반지"
"Nameless Ring","이름 없는 반지"
"Mechanical Belt","기계식 허리띠"
"The Untouched Soul","손길이 닿지 않은 영혼"
"The Utmost",극도
"Replica Hinekora's Sight","히네코라의 통찰력 모조품"
"Replica Badge of the Brotherhood","형제단의 증표 모조품"
"Ixchel's Temptation","익스첼의 유혹"
"Circle of Ambition","야심의 고리"
"Grattus Signet","그라투스 인장"
"The Queller of Minds","정신 억압자"
"The Selfish Shepherd","이기적인 목자"
"The Hateful Accuser","증오에 찬 고발인"
"Nevalius Inheritance","네발리우스의 유산"
"Ynda's Stand","인다의 항전"
"The Tides of Time","시간의 파도"
