"Detect Evil","악 감지"
"They cast a projectile spell which deals physical damage, and are immune to curses. You can only have one Mark at a time)","환영은 물리 피해를 주는 투사체 주문을 시전하고, 저주에 면역입니다. 징표는 한 번에 하나만 적용할 수 있습니다."
"(Attacks that Trigger when you are Hit are Counterattacks)","(""반격""은 피격당할 때 발동하는 공격입니다.)"
"(This skill is triggered when you use a Slam or Strike skill, and summons a Mirage Chieftain who will use that Slam or Strike skill once before dissipating)","이 스킬은 강타 또는 타격 스킬을 사용하면 발동하여 신기루 부족장을 소환합니다. 신기루 부족장은 해당 강타 또는 타격 스킬을 한 번 사용하고 소멸합니다.)"
"(Summons a Sentinel of Radiance which follows you and attacks enemies in melee, while burning enemies around it and taking a portion of damage from hits for you. You can only have one Sentinel of Radiance)","(플레이어를 따라다니며 적에게 근접 공격을 하는 광휘의 파수꾼을 소환합니다. 광휘의 파수꾼은 주변의 적을 불태우며 플레이어가 받는 피해의 일부를 플레이어 대신 받습니다. 광휘의 파수꾼은 한 번에 하나만 보유할 수 있습니다.)"
"(Summons a Relic of a random element that stays near you. Depending on the element chosen, the relic minion will have an Anger, Hatred, or Wrath aura. These relics explode when they die, dealing elemental damage to enemies around them. If you already have a relic of the chosen element, its duration will be refreshed instead of summoning a new one)","(플레이어 근처에 머무르는 무작위 원소의 유물을 소환합니다. 유물 소환수는 선택한 원소에 따라 분노, 증오, 진노의 오라 중 하나를 보유합니다. 유물은 사망 시 폭발하여 주위에 있는 적에게 원소 피해를 줍니다. 이미 선택한 원소의 유물을 보유한 경우, 새로운 유물을 소환하지 않고 기존 유물의 지속시간이 초기화됩니다.)"
"{0}% more Accuracy Rating against Marked Enemy","징표 찍힌 적에 대한 정확도 {0}% 증폭"
"20% increased Maximum Energy Shield if both Equipped Rings have an Explicit Evasion Modifier","장착한 반지 양쪽에 비고정 회피 속성이 부여된 경우 에너지 보호막 최대치 20% 증가"
"40% increased Energy Shield Recharge Rate if Equipped Amulet has an Explicit Evasion Modifier","장착한 목걸이에 비고정 회피 속성이부여된 경우 에너지 보호막 재충전 속도 40% 증가"
"20% increased Maximum Energy Shield if both Equipped Rings have an Explicit Evasion Modifier / 40% increased Energy Shield Recharge Rate if Equipped Amulet has an Explicit Evasion Modifier","장착한 반지 양쪽에 비고정 회피 속성이 부여된 경우 에너지 보호막 최대치 20% 증가 / 장착한 목걸이에 비고정 회피 속성이부여된 경우 에너지 보호막 재충전 속도 40% 증가"

"Primalist","야생림 원시술사"
"Warlock","연무의 마법사"
"Warden","미지의 간수"
"40% more Accuracy Rating against Unique Enemies","고유 적에 대한 정확도 40% 증폭"
