"Doedre's Gluttony","도이드리의 폭식"
"Beef","근력"
"Wall of Muscle","근육 벽"
"Melee Attack Speed","근접 공격 속도"
"Point Blank","근접 사격 보조"
"Melee Critical Strike Multiplier","근접 치명타 피해 증가"
"Melee Critical Strike Chance","근접 치명타 확률"
"Melee Damage","근접 피해"
"Melee Damage and Life","근접 피해 및 생명력"
"Melee Damage and Strike Range","근접 피해 및 타격 범위"
"Melee Area of Effect and Damage","근접 효과 범위 및 피해"
"Adjacent Animosity","근처의 적개심"
"Gladiator","글레디에이터"
"Disciple of the Forbidden","금단 신봉자"
"Master of Metal","금속의 대가"
"Fasting","금식"
"Forbidden Words","금지 된 단어"
"Forbidden Power","금지된 힘"
"Pressure Points","급소"
"Duration Mastery","지속시간 숙련"
"Bravery","기개"
"Trick Shot","기교 사격"
"Prowess","기량"
"Anointed Flesh","기름 부은 살"
"Wizardry","기묘한 마법"
"Nimbleness","기민함"
"Basic Jewel Socket","기본 주얼 슬롯"
"Master the Fundamentals","기본기의 달인"
"Bannerman","기수"
"Surprise Sabotage","기습적인 방해"
"Inspiring Bond","기운 나는 유대"
"Rattling Bellow","기운찬 고함"
"Unnatural Calm","기이한 고요"
"Stun Duration","기절 지속시간"
"Stun Threshold Reduction","기절 한계치 감소"
"Stun Avoidance","기절 회피"
"Cooked Alive","기진맥진"
"Window of Opportunity","기회의 창"
"Opportunistic","기회주의"
"Avoidance","긴급회피"
"Time of Need","긴요한 시기"
"Deep Thoughts","깊은 생각"
"Deep Wisdom","깊은 지혜"
"Deep Cuts","깊은 컷"
"Claws of the Magpie","까치의 발톱"
"Snaring Spirits","꾀어내는 혼"
"Steady Torment","꾸준한 격통"
"Admonisher","꾸짖는 자"
"Impale Mastery","꿰뚫기 숙련"
"Impale Chance","꿰뚫기 확률"
"Impale Chance and Physical Attack Damage","꿰뚫기 확률 및 물리 공격 피해"
"Impale Effect","꿰뚫기 효과"
"The Impaler","꿰뚫는 자"
"Tireless","끈기"
"Vile Bastion","끔찍한 보루"
"Vile Reinvigoration","끔찍한 재활"
"Endless Hunger","끝없는 굶주림"
"Endless Munitions","끝없는 탄약"
"Brand Range and Brand Recall Cooldown Recovery","낙인 범위 및 낙인 소환 재사용 대기시간 회복"
"Brand Recall Cooldown Recovery","낙인 소환 재사용 대기시간 회복"
"Brand Mastery","낙인 숙련"
"Brand Duration","낙인 지속시간"
"Brand Critical Strike Chance","낙인 치명타 확률"
"Brand Damage","낙인 피해"
"Brand Damage and Duration","낙인 피해 및 지속 시간"
"Brand Equity","낙인 형평성"
"Agility","날렵함"
"Depth Perception","날카로운 감각"
"Low Tolerance","낮은 역치"
"Blanketed Snow","내려앉은 눈"
"Tolerance","내성"
"Introspection","내성"
"Non-Flammable","내화성"
"Chill and Freeze Resistance","냉각 및 동결 저항"
"Cold and Lightning Damage","냉기 및 번개 피해"
"Cold Ailment Duration","냉기 상태 이상 지속시간"
"Cold Ailment Effect","냉기 상태 이상 효과"
"Cold Mastery","냉기 숙련"
"Cold Resistance","냉기 저항"
"Maximum Cold Resistance","냉기 저항 최대치"
"Cold Damage","냉기 피해"
"Cold Damage and Freeze Chance","냉기 피해 및 동결 확률"
"Cold Damage and Cold Ailment Effect","냉기 피해와 냉기 상태 이상 효과"
"Coldhearted Calculation","냉담한 계산"
"Cold-Blooded Killer","냉혹한 살해자"
"Fleetfoot","넓은 발"
"Necromancer","네크로멘서"
"Veteran Defender","노련한 방어"
"Veteran Bowyer","노련한 활장이"
"Exposure Therapy","노출 요법"
"Molten One's Mark","녹아내린 신의 징표"
"Chip Away","누그러짐"
"Snowstorm","눈 태풍"
"Blizzard Caller","눈보라 소환사"
"Eye to Eye","눈에"
"Snowforged","눈의 대장간"
"Attributes Mastery","능력치 숙련"
"Diamond Skin","다이아몬드 가죽"
"Darting Movements","다트 운동"
"Dagger Ailment Damage","단검 상태 이상 피해"
"Dagger Ailment Damage and Poison Chance","단검 상태 이상 피해 및 중독 확률"
"Dagger Mastery","단검 숙련"
"Dagger Critical Strike Multiplier","단검 치명타 피해 배율"
"Dagger Critical Strike Multiplier and Poison Duration","단검 치명타 피해 배율 및 중독 지속시간"
"Dagger Critical Strike Chance","단검 치명타 확률"
"Dagger Critical Strike Chance and Leech","단검 치명타 확률 및 흡수"
"Dagger Critical Strike Chance and Multiplier","단검 치명타 확률과 피해"
"Dagger Damage","단검 피해"
"Dagger Damage and Attack Speed","단검 피해 및 공격 속도"
"Dagger Damage and Movement Speed","단검 피해 및 이동 속도"
"Tempered Arrowheads","단조한 화살촉"
"Purposeful Harbinger","단호한 선구자"
"Unfaltering","단호함"
"Skittering Runes","달리는 룬 문자"
"Run Through","달음박질"
"Arohongui, Moon's Presence","달의 존재, 아로호누이"
"Overlord","대군주"
"Longshot","대담한 사격"
"Daring Ideas","대담한 아이디어"
"Champion of the Cause","대의의 용사"
"Blacksmith","대장장이"
"Blacksmith's Clout","대장장이의 강타"
"Polymath","대학자"
"Large Jewel Socket","대형 주얼 슬롯"
"Dirty Techniques","더러운 기술"
"Defiled Forces","더럽혀진 힘"
"Second Skin","덧씌운 피부"
"Trap and Mine Damage","덫 및 지뢰 피해 보조"
"Trap and Mine Damage, Elemental Resistances","덫 및 지뢰 피해, 원소 저항"
"Trap Trigger Area","덫 발동 범위"
"Trap Mastery","덫 숙련"
"Trap Cooldown Recovery","덫 재사용 대기시간 회복"
"Trap Critical Strike Chance and Multiplier","덫 치명타 확률 및 배율"
"Trap Throwing Speed","덫 투척 속도"
"Trap Throwing Speed and Trigger Area","덫 투척 속도 및 발동 범위"
"Trap Damage","덫 피해"
"Trap and Mine Throwing Speed","덫과 지뢰 투척 속도"
"Trap and Mine Damage, Trap Throwing Speed","덫과 지뢰 피해, 덫 투척 속도"
"Trap and Mine Damage, Movement Speed","덫과 지뢰 피해, 이동 속도"
"Trap and Mine Damage, Mine Throwing Speed","덫과 지뢰 피해, 지뢰 투척 속도"
"Deadeye","데드아이"
"Conduit","도관"
"Axe Mastery","도끼 숙련"
"Axe Damage","도끼 피해"
"Axe Damage and Attack Speed","도끼 피해 및 공격 속도"
"Axe Damage and Accuracy","도끼 피해 및 정확도"
"Axe Damage and Critical Strike Chance","도끼 피해 및 치명타 확률"
"Thief's Craft","도둑의 술책"
"Doryani's Lesson","도리아니의 교훈"
"Butchery","도살"
"Fangs of the Viper","독사의 송곳니"
"Serpent Stance","독사의 자세"
"Poisonous Fangs","독성 송곳니"
"Antivenom","독소 방지"
"Eagle Eye","독수리의 눈"
"Aspect of the Eagle","독수리의 위상"
"Circling Oblivion","돌고 도는 망각"
"Aspect of Stone","돌의 위상"
"Freeze and Chill Avoidance","동결 및 냉각 긴급회피"
"Antifreeze","동결 방지"
"Freeze Chance","동결 확률"
"Thick Skin","두꺼운 가죽"
"Master of Fear","두려움의 주인"
"Blunt Trauma","둔탁한 외상"
"DUELIST","듀얼리스트"
"Duelist Ascendancy","듀얼리스트 전직"
"Path of the Duelist","듀얼리스트의 길"
"Dragon Hunter","드래곤 헌터"
"Druidic Rite","드루이드 의식"
"Mender's Wellspring","땜장이의 원천"
"Raider","레이더"
"RANGER","레인저"
"Ranger Ascendancy","레인저 전직"
"Path of the Ranger","레인저의 길"
"Lethe Shade","레테의 그늘"
"Runebinder","룬 결속사"
"Runesmith","룬 제작자"
"Magmatic Strikes","마그마성 일격"
"Mana","마나"
"Mana and Reduced Mana Cost","마나 및 마나 소모 감소"
"Mana and Mana Regeneration","마나 및 마나 재생"
"Mana and Arcane Surge Effect","마나 및 비전 쇄도 효과"
"Mana and Life","마나 및 생명력"
"Mana and Life Regeneration","마나 및 생명력 재생"
"Mana and Guard Skill Cooldown Recovery","마나 및 수호 스킬 재사용 대기시간 회복"
"Mana and Aura Area of Effect","마나 및 오라 효과 범위"
"Mana and Spell Block","마나 및 주문 막기"
"Mana and Spell Damage","마나 및 주문 피해"
"Mana and Mana on Kill","마나 및 처치 시 마나"
"Mana and Flask Charges Gained","마나 및 플라스크 충전 획득"
"Mana Mastery","마나 숙련"
"Mana Regeneration","마나 재생"
"Mana Regeneration and Reduced Mana Cost","마나 재생 및 마나 소모 감소"
"Mana Regeneration and Increased Mana Cost","마나 재생 및 마나 소모 증가"
"Mana Regeneration and Life","마나 재생 및 생명력"
"Mana Regeneration and Intelligence","마나 재생 및 지능"
"Mana Regeneration, Brand Damage","마나 재생, 낙인 피해"
"Mana Regeneration, Mana","마나 재생, 마나"
"Mana Regeneration, Arcane Surge Effect","마나 재생, 비전 쇄도 효과"
"Mana Regeneration, Totem Placement Speed","마나 재생, 토템 설치 속도"
"Mana Flasks","마나 플라스크"
"Mana Flask Charge Gain","마나 플라스크 충전 획득"
"Mana Leech","마나 흡수"
"Mana and Flasks","마나와 플라스크"
"Mana and Flask Effect","마나와 플라스크 효과"
"Mana Flows","마나의 흐름"
"Wind-up","마무리 일격"
"Wand Attack Speed and Accuracy","마법봉 공격 속도 및 정확도"
"Wand Physical Damage","마법봉 물리 피해"
"Wand Physical Damage and Attack Speed","마법봉 물리 피해 및 공격 속도"
"Wand Lightning Damage","마법봉 번개 피해"
"Wand Mastery","마법봉 숙련"
"Wand Elemental Damage","마법봉 원소 피해"
"Wand Elemental Damage and Penetration","마법봉 원소 피해 및 관통"
"Wand Critical Strike Chance and Multiplier","마법봉 치명타 확률 및 피해"
"Wandslinger","마법봉 투척가"
"Wand Damage","마법봉 피해"
"Wand Damage and Attack Speed","마법봉 피해 및 공격 속도"
"Mage Hunter","마법사 사냥꾼"
"Magebane","마법사 파멸"
"Mage Bane","마법사의 파멸"
"Paralysis","마비"
"Numbing Elixir","마비의 묘약"
"Thaumophage","마석 항체"
"Block","막기"
"Block Mastery","막기 숙련"
"Block Recovery and Energy Shield","막기 회복 및 에너지 보호막"
"Fending","막아내기"
"Insatiable Killer","만족을 모르는 살인자"
"Lord of the Dead","망자의 군주"
"Peace Amidst Chaos","망중한"
"Ambush and Assassinate","매복과 암살"
"Claws of the Falcon","매의 발톱"
"Toxic Strikes","맹독성 일격"
"Toxic Delivery","맹독성 전달"
"Towering Threat","맹렬한 위협"
"Zealot's Oath","맹신자의 서약"
"MARAUDER","머라우더"
"Marauder Ascendancy","머라우더 전직"
"Path of the Marauder","머라우더의 길"
"Farsight","멀리 보는 자"
"Doom Cast","멸망 시전"
"Undeniable","명명백백"
"Masterful Form","명인의 형태"
"Mana on Hit","명중 시 마나"
"Life on Hit","명중 시 생명력"
"Life and Mana on Hit","명중 시 생명력 및 마나"
"No Witnesses","목격자 없음"
"Clarity of Purpose","목적의 명확성"
"Gathering Winds","몰려드는 바람"
"Dreamer","몽상가"
"Weapon Cold Damage","무기 냉기 피해"
"Weapon Lightning Damage","무기 번개 피해"
"Weapon Elemental Damage","무기 원소 피해"
"Weapon Elemental Damage and Ailment Effect","무기 원소 피해 및 상태 이상 효과"
"Weapon Elemental Damage, Status Ailment Chance","무기 원소 피해, 상태 이상 확률"
"Weapon Fire Damage","무기 화염 피해"
"Weapon Artistry","무기의 예술성"
"Sap Psyche","무너지는 영체"
"Martial Experience","무도 경험"
"Iron Breaker","무쇠 분쇄기"
"Martial Mastery","무술 숙달"
"Fearsome Warrior","무시 무시한 전사"
"Fearsome Force","무시무시한 힘"
"Martial Prowess","무예 기량"
"Merciless Skewering","무자비한 꿰뚫기"
"Unbreakable","무적"
"Untouchable","무적의"
"Unstoppable Hero","무적의 영웅"
"Bloodless","무혈"
"Heavy Draw","묵직한 당기기"
"Heavy Hitter","묵직한 타격가"
"Heraldry","문장"
"Physical Attack Damage","물리 공격 피해"
"Physical Attack Damage and Life","물리 공격 피해 및 생명력"
"Physical and Lightning Damage","물리 및 번개 피해"
"Physical and Minion Damage","물리 및 소환수 피해"
"Physical and Elemental Damage","물리 및 원소 피해"
"Physical and Chaos Damage","물리 및 카오스 피해"
"Physical and Chaos Damage and Life","물리 및 카오스 피해와 생명력"
"Physical and Fire Damage","물리 및 화염 피해"
"Physical Mastery","물리 숙련"
"Physical Damage","물리 피해"
"Physical Damage and Attack and Cast Speed","물리 피해 및 공격과 시전 속도"
"Physical Damage and Overwhelm","물리 피해 및 압도"
"Physical Damage and Strength","물리 피해 및 힘"
"Physical Damage, Attack Speed","물리 피해, 공격 속도"
"Physical Damage, Life Leeched per Second","물리 피해, 초당 생명력 흡수"
"Physical Damage, Critical Strike Chance","물리 피해, 치명타 확률"
"Physical Damage, Warcry Speed","물리 피해, 함성 속도"
"Physical Damage as Extra Cold Damage","물리 피해를 추가 냉기 피해로 획득"
"Physical Damage as Extra Fire Damage","물리 피해를 추가 화염 피해로 획득"
"Physical Bow Damage","물리 활 피해"
"Tasalio, Cleansing Water","물을 정화하는 자, 타살리오"
"Mind Over Matter","물질보다 정신"
"Instruments of Virtue","미덕의 도구"
"Dexterity","민첩"
"Dexterity and Intelligence","민첩과 지능"
"Alacrity","민활함"
"Pursuit of Faith","믿음의 추구"
"Way of the Poacher","밀렵꾼의 길"
"Knockback Distance","밀어내기 거리"
"Knockback Chance","밀어내기 확률"
"Wind Ward","바람 수호"
"Wind Dancer","바람의 무희"
"Vaal Pact","바알의 계약"
"Smashing Strikes","박살내는 일격"
"Reflexes","반사신경"
"Nightstalker","밤추적자"
"Safeguard","방비"
"Armour and Evasion","방어 및 회피"
"Attack Damage while Fortified","방어 상승 상태에서 공격 피해"
"Fortify Mastery","방어 상승 숙련"
"Fortification Duration","방어 상승 지속 시간"
"Maximum Fortification","방어 상승 최대치"
"Fortification Gain","방어 상승 획득"
"Armour","방어도"
"Armour and Guard Skill Cooldown Recovery","방어도 및 방어 스킬 재사용 대기시간 회복"
"Armour and Life","방어도 및 생명력"
"Armour and Life Regeneration","방어도 및 생명력 재생"
"Armour and Energy Shield","방어도 및 에너지 보호막"
"Armour and Energy Shield, Link Effect","방어도 및 에너지 보호막, 연결 효과"
"Armour and Energy Shield, Block Recovery","방어도 및 에너지 보호막, 막기 회복"

"Armour and Energy Shield Mastery","방어도 및 에너지 보호막 숙련"
"Armour and Energy Shield, Block Chance","방어도 및 에너지 보호막, 막기 확률"
"Armour and Energy Shield, Life Regeneration","방어도 및 에너지 보호막, 생명력 재생"
"Armour and Energy Shield, Minion Damage","방어도 및 에너지 보호막, 소환수 피해"
"Armour and Energy Shield, Aura Effect","방어도 및 에너지 보호막, 오라 효과"
"Armour and Energy Shield, Charge Duration","방어도 및 에너지 보호막, 충전 지속시간"
"Armour and Elemental Resistances","방어도 및 원소 저항"
"Armour and Evasion Mastery","방어도 및 회피 숙련"
"Armour and Evasion, Attack Damage","방어도 및 회피, 공격 피해"
"Armour and Evasion, Impale Chance","방어도 및 회피, 꿰뚫기 확률"
"Armour and Evasion, Taunt Duration","방어도 및 회피, 도발 지속시간"
"Armour and Evasion, Attack Damage while Fortified","방어도 및 회피, 방어 상승 상태에서 공격 피해"
"Armour and Evasion, Aura Effect","방어도 및 회피, 오라 효과"
"Armour Mastery","방어도 숙련"
"Armour, Attack Speed","방어도, 공격 속도"
"Armour, Stun Duration","방어도, 기절 지속시간"
"Armour, Stun Threshold","방어도, 기절 한계치"
"Armour, Life Regeneration","방어도, 생명력 재생"
"Armour, Movement Speed","방어도, 이동 속도"
"Armour, Endurance Charge Duration","방어도, 인내 충전 지속시간"
"Armour, Evasion and Onslaught Effect","방어도, 회피 및 맹공 효과"
"Armour, Evasion and Life","방어도, 회피 및 생명력"
"Shield Block and Block Recovery","방패 막기 및 막기 회복"
"Shield Block and Elemental Resistances with a Shield","방패 막기 및 방패의 원소 저항"
"Shield Block and Elemental Resistances","방패 막기 및 원소 저항"
"Shield Defences","방패 방어력"
"One with the Shield","방패 소지"
"Shield Mastery","방패 숙련"
"Shield Cast Speed","방패 시전 속도"
"Shield Spell Damage","방패 주문 피해"
"Shield Spell Damage and Spell Block","방패 주문 피해 및 주문 막기"
"Shield Damage","방패 피해"
"Shield Damage and Block","방패 피해 및 막기"
"Shield Damage and Defences","방패 피해 및 방어력"
"Attack Damage with Shield","방패의 공격 피해"
"Attack Damage and Attack Speed with Shield","방패의 공격 피해 및 공격 속도"
"Block Chance and Attack Damage with Shield","방패의 막기 확률 및 공격 피해"
"Defences with Shield","방패의 방어력"
"Elemental Resistances with a Shield","방패의 원소 저항"
"Pyromaniac","방화광"
"Arsonist","방화범"
"Berserker","버서커"
"Lightning Walker","번개 보행자"
"Lightning Ailment Effect","번개 상태 이상 효과"
"Lightning Mastery","번개 숙련"
"Lightning Resistance","번개 저항"
"Maximum Lightning Resistance","번개 저항 최대치"
"Lightning Critical Strike Multiplier","번개 치명타 피해 배율"
"Lightning Damage","번개 피해"
"Lightning Damage and Shock Chance","번개 피해 및 감전 확률"
"Lightning Damage and Cast Speed","번개 피해 및 시전 속도"
"Breath of Lightning","번개의 숨결"
"Scintillating Idea","번득이는 사고"
"Thunderstruck","벼락 직격"
"Brinkmanship","벼랑 끝 전략"
"Unwavering Faith","변함없는 믿음"
"Unwavering Crusade","변함없는 성전"
"Unwaveringly Evil","변함없는 악"
"Unwavering Stance","변함없는 자세"
"Unwavering Focus","변함없는 집중"
"Shifting Shadow","변화하는 그림자"
"Bastion Breaker","보루 분쇄자"
"Retaliation","보복"
"Asylum","보호소"
"Guardian","가디언"
"Instinct","본능"
"Seal Mender","봉인 땜질"
"Rot-Resistant","부식 저항"
"Corrosive Elements","부식성 원소"
"Steeped in the Profane","부정에 대한 몰입"
"Profane Bloom","부정한 꽃"
"Profane Chemistry","부정한 반응"
"Tribal Fury","부족의 광분"
"Decay Ward","부패 수호"
"Student of Decay","부패 연구자"
"Septic Spells","부패성 주문"
"Furious Assault","분개한 공격"
"Prismatic Carapace","분광 등딱지"
"Prismatic Heart","분광 심장"
"Prismatic Skin","분광 피부"
"Prismatic Dance","분광의 춤"
"Unrelenting","분투"
"Split Shot","분할 사격"
"The Agnostic","불가지론자"
"Unholy Authority","불경한 권위"
"Unholy Grace","불경한 은총"
"Unflinching","불굴"
"Indomitable Army","불굴의 군단"
"Ngamahu, Flame's Advance","불꽃의 진보, 나마후"
"Lasting Impression","불변하는 인상"
"Malicious Intent","불순한 의도"
"Instability","불안정"
"Imbalanced Guard","불안정한 방어"
"Unstable Infusion","불안정한 주입"
"Unstable Munitions","불안정한 탄약"
"Master of Fire","불의 주인"
"Avatar of Fire","불의 화신"
"Burning Bright","불타는 광채"
"Burning Brutality","불타는 포악함"
"Gratuitous Violence","불필요한 폭력"
"Discord Artisan","불화의 장인"
"Mastermind of Discord","불화의 지휘자"
"Fan of Blades","블레이드의 팬"
"Prodigious Defence","비범한 방어"
"Remarkable","비범함"
"Arcane Adept","비전 권위자"
"Arcane Pyrotechnics","비전 불꽃"
"Arcane Sanctuary","비전 성소"
"Arcane Guarding","비전 수호"
"Arcane Heroism","비전 영웅"
"Arcane Capacitor","비전 축전기"
"Capacitor","비전 축전기"
"Arcane Expanse","비전 팽창"
"Arcane Chemistry","비전의 반응"
"Arcane Will","비전의 의지"
"Arcane Potency","비전의 잠재력"
"Arcane Focus","비전의 집중"
"Arcane Blessing","비전의 축복"
"Glancing Blows","비껴내기"
"Vengeant Cascade","빗발치는 응징"
"Light Eater","빛 포식자"
"Illuminated Devotion","빛나는 헌신"
"Prism Weave","빛의 매듭"
"Quick and Deadly","빠르고 치명적"
"Quickstep","빠른 걸음"
"Quick Recovery","빠른 회복"
"Bone Breaker","뼈 분쇄기"
"Bone Barrier","뼈대 방어막"
"Sanctuary of Thought","사고의 성역"
"Mark the Prey","사냥감 징표 찍기"
"Revenge of the Hunted","사냥감의 복수"
"Path of the Hunter","사냥꾼의 길"
"Hunter's Gambit","사냥꾼의 책략"
"Claws of the Hawk","사냥매의 발톱"
"Avatar of the Hunt","사냥의 화신"
"Mortifying Aspect","사망 측면"
"Saboteur","사보추어"
"Sanctum of Thought","사상의 지성소"
"Hex Area of Effect","사술 효과 범위"
"Hex Master","사술의 대가"
"Evil Eye","사악한 눈"
"Wicked Ward","사악한 수호"
"Wicked Pall","사악한 휘장"
"Dismembering","사지 절단"
"Prodigal Perfection","사치스러운 마무리"
"Executioner","사형 집행자"
"Adder's Touch","살무사의 접촉"
"Slaughter","살육"
"Crave the Slaughter","살육의 갈망"
"Avatar of the Slaughter","살육의 화신"
"Call to the Slaughter","살육자 호출"
"Thrill Killer","살인마"
"Life and Energy Shield on Kill","살인에 대한 생명과 에너지 방패"
"Flow of Life","삶의 흐름"
"Militarism","상무 정신"
"Conjured Wall","상상의 벽"
"Wound Aggravation","상처 악화"
"Disorienting Wounds","상처를 혼란스럽게합니다"
"Fettle","상태"
"Ailment Damage","상태 이상 피해"
"Avoid Status Ailments","상태 이상 회피"
"Ailment Effect","상태 이상 효과"
"Renewal","새로운 시작"
"Life Raker","생명 채집자"
"Life","생명력"
"Life and Stun Avoidance","생명력 및 기절 긴급회피"
"Life and Mana Leech","생명력 및 마나 흡수"
"Life and Armour","생명력 및 방어도"
"Life and Reduced Cost","생명력 및 소모 감소"
"Life and Energy Shield","생명력 및 에너지 보호막"
"Life and Elemental Ailment Avoidance","생명력 및 원소 상태 이상 긴급회피"
"Life and Elemental Resistances","생명력 및 원소 저항"
"Life and Life on Kill","생명력 및 처치 시 생명력"
"Life and Strength","생명력 및 힘"
"Damage with Life Cost Skills and Reduced Life Cost","생명력 소모 스킬로 피해, 생명력 소모량 감소"
"Life Mastery","생명력 숙련"
"Life Regeneration","생명력 재생"
"Life Regeneration and Stun Threshold","생명력 재생 및 기절 한계치"
"Life Regeneration, Endurance Charge on Kill","생명력 재생, 처치 시 인내 충전"
"Life Regeneration, Totem Placement Speed","생명력 재생, 토템 설치 속도"
"Life Regeneration, Fire Resistance","생명력 재생, 화염 저항"
"Life Regeneration, Fire Damage","생명력 재생, 화염 피해"
"Life Regeneration, Area of Effect","생명력 재생, 효과 범위"
"Life Flasks and Flask Duration","생명력 플라스크 및 플라스크 지속시간"
