"Doryani (Corrupted Soul)","도리아니(타락한영혼)"
"Critical Strikes do not always Freeze","치명타가 본질적으로 동결을 유발하지 않음"
"Critical Strikes do not inherently Ignite / {0}% increased Damage with Hits against Ignited Enemies","치명타가 기본적으로 점화를 유발하지 않음 / 점화된 적 명중 시 피해 {0}% 증가"
"Critical Strikes do not inherently apply non-Damaging Ailments","치명타가 기본적으로 비-피해 상태 이상을 유발하지 않음"
"Currently has {0} Charge","현재 충전량: {0}"
"Currently has {0} Charges","현재 충전량: {0}"
"Damage Penetrates #% Fire Resistance","피해가 화염 저항 #% 관통"
"Damage Penetrates #% Lightning Resistance","피해가 번개 저항 #% 관통"
"Damage from Enemies Hitting you is Unlucky while you are Cursed with Vulnerability","취약성 저주를 받는 동안 적으로부터 피격되어 받는 피해에 불운 적용"
"Debuffs on you Expire (80-100)% faster","플레이어에게 적용되는 디버프가 (80–100)% 더 빠르게 만료됨"
"Debuffs on you Expire 100% Faster","플레이어에게 적용되는 디버프가 100% 더 빠르게 만료됨"
"Dedication to the Goddess","여신에게 바치는 헌신"
"Demon Wrap","악마 겉옷"
"Disciple of Kitava","키타바의 신봉자"
"Dispels Elemental Ailments on Rampage","광란 시 원소 상태 이상 제거"
"Drops from Oshabi, Avatar of the Grove","^xAF6025숲의 화신, 오샤비^8에게서 드랍됩니다."
"Drops from Rigwald, The Wolven King (Level 70+)","늑대왕 리그월드(레벨 70+)가 드랍"
"Drops from The Elder (Uber)","우버 엘더가 드랍"
"During Flask Effect, Damage Penetrates {0}% Resistance of each Element for which your Uncapped Elemental Resistance is highest","플라스크 효과를 받는 동안, 피해가 자신의 비 제한 원소 저항이 가장 높은 원소 하나당 {0}%의 저항 관통"
"During Flask Effect, {0}% reduced Damage taken of each Element for which your Uncapped Elemental Resistance is lowest","플라스크 효과를 받는 동안, 비 제한 원소 저항이 가장 낮은 원소 하나당 받는 피해 {0}% 감소"
"ES Regen","에너지 보호막 재생"
"Enemies Cannot Leech Life From You","적이 플레이어의 생명력을 흡수할 수 없음"
"Enemies Cannot Leech Mana From You","적이 플레이어의 마나를 흡수할 수 없음"
"Enemies Ignited by you during Flask Effect take {0}% increased Damage","플라스크 효과를 받는 동안 점화된 적이 받는 피해 {0}% 증가"
"Enemies Ignited by you during Flask Effect take {0}% reduced Damage","플라스크 효과를 받는 동안 점화된 적이 받는 피해 {0}% 감소"
"Enemies killed explode dealing 10% of their Life as Fire Damage","공격 또는 주문에 적중되어 사망한 적이 폭발하여, 자신의 생명력의 10%를 화염 피해로 줌"
"Enemies take 4% increased Elemental Damage from your Hits for","플레이어가 적에게 적용한 위축 하나당 해당 적이 플레이어에게 피격 시"
"Enemies you Kill that are affected by Elemental Ailments / grant {0}% increased Flask Charges","원소 상태 이상이 유발된 적 처치 시 / 플라스크 충전량 {0}% 증가"
"For each nearby corpse, Regenerate 8.00 Life per Second","주변의 시신 하나당 1초마다 생명력 8 재생"
"Freezes you inflict spread to other Enemies with a Radius of 15","플레이어가 유발한 동결이 반경 15 이내의 다른 적에게 확산"
"Gain #% of Physical Damage as Extra Fire Damage","물리 피해의 #%를 추가 화염 피해로 획득"
"Gain #% of Physical Damage as Extra Lightning Damage","물리 피해의 #%를 추가 번개 피해로 획득"
"Gain 1 Rage on Critical Hit with attacks, no more than once every 0.5 seconds","공격 치명타 시 격노 1 획득, 0.5초마다 최대 1번 획득"
"Gain a Power Charge on non-Critical Strike","비-치명타 명중 시 권능 충전 획득"
"Gain an Endurance Charge when a Power Charge expires or is consumed","권능 충전 상실 시 인내 충전 획득"
"Gains 1 Stage every 0.3 seconds while you are losing Energy Shield","에너지 보호막이 고갈되는 동안 0.3초마다 단계 1만큼 획득"
"Gift to the Goddess","여신에게 바치는 선물"
"Golems Summoned in the past 8 seconds deal (100-125)% increased Damage","지난 8초 이내에 소환된 골렘이 주는 피해 (100–125)% 증가"
"Golems Summoned in the past 8 seconds deal (35-45)% increased Damage","지난 8초 이내에 소환된 골렘이 주는 피해 (35–45)% 증가"
"Grants Level 20 Summon Petrification Statue Skill","20레벨 석화의 조각상 스킬 사용 가능"
"Grants Level 22 Wintertide Brand","22레벨 황폐 스킬 사용 가능"
"Ignited Enemies you hit are destroyed on Kill","플레이어에게 피격되어 점화가 유발된 적이 사망 시 파괴됨"
"Immunity to Bleeding and Corrupted Blood during Flask Effect","플라스크 효과를 받는 동안 출혈 및 타락한 피 면역"
"Kineticism","역학의 예술"
"Left ring slot: 80% reduced Reflected Elemental Damage taken","왼쪽 반지 슬롯: 자신 및 소환수가 반사로 받는 원소 피해 80% 감소"
"LevelReq: 45","요구 레벨: ^745"
"Life Recovery from Regeneration is not applied / Every 4 seconds, Recover 1 Life for every 0.1 Life Recovery per second from Regeneration","재생으로 인한 생명력 회복이 적용되지 않음 / 4초마다 재생으로 인한 초당 생명력 회복 1당 생명력 0.1 회복"
"Life that would be lost by taking Damage is instead Reserved","생명력이 피해를 받아 상실되는 대신 점유됨,"
"Lightning Damage from Enemies Hitting you is Lucky","적으로부터 피격되어 받는 번개 피해에 행운 적용"
"Limited to: {0}","중복 사용 제한: ^7{0}"
"Lose 7% of maximum Mana per Second","1초마다 마나의 7% 상실"
"Magic Utility Flask cannot be Used","마법 특수 플라스크 사용 불가"
"Minions Convert 2% of their Maximum Life to Maximum Energy Shield per 1% Chaos Resistance they have","소환수가 카오스 저항 1%당 생명력 최대치의 2%를 에너지 보호막 최대치로 전환"
"Minions deal 1% increased Damage per 5 Dexterity","소환수가 민첩 5당 주는 피해 1% 증가"
"Minions' Base Attack Critical Strike Chance is equal to the Critical Strike Chance of your Main Hand Weapon","소환수의 기본 공격 치명타 확률이 플레이어 주 무기의 치명타 확률과 동일"
"Mirage Archer can use Triggered Attacks as though they were not Triggered","신기루 궁수는 발동형 스킬을 발동되지 않은 것처럼 사용 가능"
"Modifiers to Attributes instead Apply to Omniscience","능력치에 부여되는 속성이 능력치가 아닌 전지력에 적용"
"Modifiers to number of Projectiles instead apply to the number of targets Projectiles Split towards","속성 부여 효과를 투사체 수 대신 투사체가 분할되는 대상 수에 적용"
"Natural Affinity","자연의 인내"
"Nature's Patience","자연의 인내"
"Nearby Allies gain 4% of Life Regenerated per Second","주변 동료들이 1초마다 생명력의 4% 재생"
"No longer obtainable","더 이상 획득할 수 없습니다."
"Non-instant Mana recovery from Flasks is also recovered as Life","효과가 즉시 적용되지 않는 플라스크를 사용하여 마나 회복 시 생명력도 회복"
"Normal pulse","보통 파동"
"Notable Passive Skills in Radius are Transformed to instead grant: 10% increased Mana Cost of Skills and 20% increased Spell Damage","반경 내 주요 패시브 스킬이 변형되어 다음을 대신 제공: 스킬의 마나 소모 10% 증가, 주문 피해 20% 증가"
"Notable Passive Skills in Radius are Transformed to instead grant: Minions have 25% reduced Movement Speed","반경 내 주요 패시브 스킬이 변형되어 다음을 대신 제공: 소환수의 이동 속도 25% 감소"
"Notable Passive Skills in Radius are Transformed to instead grant: Minions take 20% increased Damage","반경 내 주요 패시브 스킬이 변형되어 다음을 대신 제공: 소환수가 받는 피해 20% 증가"
"Offering to the Goddess","여신에게 바치는 공물"
"Poison you inflict is Reflected to you","자신이 유발한 중독이 자신에게 반사됨"
"Poison you inflict with Travel Skills is Reflected to you if you have fewer than 5 Poisons on you","자신에게 적용된 중독 수치가 5 미만일 경우 이동 전용 스킬로 유발하는 중독이 자신에게 반사됨"
"Prevent {0}% of Suppressed Spell Damage per Hit Suppressed Recently / {1}% chance to Suppress Spell Damage per Hit Suppressed Recently","최근 4초 이내 억제된 명중 하나당 억제된 주문 피해 방지 {0}% / 최근 4초 이내 억제된 명중 하나당 주문 피해 억제 확률 {1}%"
"Raise Zombie does not require a Corpse","시신 없이도 좀비 소환 가능"
"Recover (8-10)% of maximum Life when you use a Mana Flask","마나 플라스크 사용 시 생명력의 (8–10)% 회복"
"Recover {0}% of Energy Shield when you Block Spell Damage while wielding a Staff / Recover {1}% of Life when you Block Attack Damage while wielding a Staff","지팡이를 장착하고 주문 피해를 막아낼 시 에너지 보호막 {0}% 회복 / 지팡이를 장착하고 공격 피해를 막아낼 시 생명력 {1}% 회복"
"Recover {0}% of Energy Shield when you Kill an Enemy during Flask Effect","플라스크 효과를 받는 동안 적 처치 시 에너지 보호막의 {0}%를 회복"
"Recover {0}% of Life when you Kill an Enemy during Flask Effect","플라스크 효과를 받는 동안 적 처치 시 생명력의 {0}%를 회복"
"Recover {0}% of Mana when you Kill an Enemy during Flask Effect","플라스크 효과를 받는 동안 적 처치 시 마나의 {0}%를 회복"
"Regenerate (6-8) Life over 1 second for each Spell you Cast","주문 시전 시 1초 동안 생명력 (6–8) 재생"
"Regenerate 1 Rage per second for every 100 Life Recovery per second from Regeneration","재생으로 인한 초당 생명력 회복 100당 1초마다 격노 1 재생"
"Requires {0} Int","요구사항: 민첩 ^7{0}"
"Right ring slot: 80% reduced Reflected Physical Damage taken","오른쪽 반지 슬롯: 자신 및 소환수가 반사로 받는 물리 피해 80% 감소"
"Shocks you inflict spread to other Enemies within 1 metre","플레이어가 유발한 감전이 반경 1미터 내의 다른 적에게 확산"
"Singel Target ","단일 대상"
"Skills which Place Mines place up to 1 additional Mine if you have at least 800 Dexterity","민첩이 800이상인 경우, 지뢰 투척 스킬로 지뢰 최대 1개 추가 투척"
"Skills which Place Mines place up to 1 additional Mine if you have at least 800 Intelligence","지능이 800이상인 경우, 지뢰 투척 스킬로 지뢰 최대 1개 추가 투척"
"Socketed Curse Gems are Supported by Level 22 Blasphemy","장착된 젬에 22레벨 신성 모독 보조 효과 적용"
"Socketed Gems Have no Reservation","장착된 젬으로 인한 점유 없음"
"Socketed Gems are Supported by Level 10 Blind","장착된 젬에 10레벨 실명 보조 효과 적용"
"Socketed Gems are Supported by Level 10 Cast when Stunned","장착된 젬에 10레벨 기절 시 시전 보조 효과 적용"
"Socketed Gems are Supported by Level 30 Blind","장착된 젬에 30레벨 실명 보조 효과 적용"
"Socketed Gems are supported by level 30 Infernal Legion","장착된 젬에 30레벨 지옥불 군단 보조 효과 적용"
"Socketed Gems fire Projectiles in a Nova","장착된 젬이 원형으로 투사체 발사"
"Socketed Golem Skills have Minions Regenerate 5% Life per second","장착한 골렘 스킬이 1초마다 소환수 생명력의 5% 재생"
"Spell Suppression Chance","주문 억제 확률"
"Spells cause you to gain Energy Shield equal to their Upfront Cost every fifth time you Pay it","주문의 초기 비용을 5번 소모할 때마다 해당 주문의 초기 비용과 동일한 에너지 보호막 획득"
"Spells which have gained Intensity Recently gain 1 Intensity every 0.5 Seconds","최근 4초 이내 격렬함을 획득한 주문이 0.5초마다 격렬함 1중첩 획득"
"Spells which have gained Intensity Recently lose 1 Intensity every 0.50 Seconds","최근 4초 이내 격렬함을 획득한 주문이 0.5초마다 격렬함 1중첩 상실"
"Steal from a Curio Display during a Grand Heist","대강탈 중 골동품 전시품에서 훔치기"
"Strength's Damage Bonus instead grants 3% increased Melee Physical Damage per 10 Strength","힘의 피해 보너스가 힘 10당 근접 물리 피해 3% 증가 효과로 대체"
"Strike if Intelligence is your highest Attribute","치명타 명중 시 25%의 확률로 부정 지대 생성"
"Stronger pulse","강한 파동"
"Such a hit would drain the following:","이러한 적중은 다음과 같이 소모됩니다:"
"Thunderhand's Carved Wand of Ease","천둥손의 조각된 마법봉 - 쉬움"
"Thunderhand's Carved Wand of Skill","천둥손의 조각된 마법봉 - 스킬"
"Thunderhand's Driftwood Wand of Skill","천둥손의 표류목 마법봉 - 스킬"
"Tribute to the Goddess","여신에게 바치는 제물"
"Trigger Level 10 Assassin's Mark when you Hit a Rare or Unique Enemy","징표가 없는 상태로 희귀 또는 고유 적 명중 시 10레벨 암살자의 징표 발동"
"Trigger a Socketed Bow Skill when you Attack with a Bow, with a 1 second Cooldown","활 공격 시 장착된 활 스킬 발동, 재사용 대기시간 1초"
"Trigger a Socketed Bow Skill when you Cast a Spell while wielding a Bow","활 장착 상태로 주문 시전 시 장착된 활 스킬 발동, 재사용 대기시간 1초"
"Unhinge","흐트러뜨리기"
"Vaal Attack Skills Cost Rage instead of requiring Souls to Use","플레이어가 직접 사용하는 바알 공격 스킬이 영혼 대신 격노 소모"
"Veteran's Awareness","노병의 마음가짐"
"When you Attack, take (15-20)% of Life as Physical Damage for each Warcry Exerting the Attack","공격 시 해당 공격에 전력을 다하게 하는 함성 하나당 생명력의 (15–20)%를 물리 피해로 받음"
"While a Pinnacle Atlas Boss is in your Presence, {0}% increased Spell Damage","최종 아틀라스 보스가 접근해 있는 동안, 주문 피해 {0}% 증가"
"While on Low Life, Enemies are Unlucky when Damaging you","낮은 생명력 상태일 때 적으로부터 피격되어 받는 피해에 불운 적용"
"With 1000 or more Strength (1.5-2)% of Damage dealt by your Zombies is Leeched to you as Life","힘이 1000 이상이면 소환한 좀비가 주는 피해의 (1.5–2)%를 생명력으로 흡수"
"With 4 Notables Allocated in Radius, When you Kill a Rare monster, you gain 1 of its Modifiers for 20 seconds","반경 내 주요 스킬 4개가 할당된 상태에서 희귀 몬스터 처치 시 20초 동안 해당 몬스터의 속성 중 1개 획득"
"With at least 40 Intelligence in Radius, Discharge Cooldown is 250 ms","반경 내 지능이 40 이상이면 방출의 재사용 대기시간 250ms"
"With at least 40 Intelligence in Radius, Discharge deals 60% less Damage","반경 내 지능이 40 이상이면 방출이 주는 피해 60% 감폭"
"With at least 40 Intelligence in Radius, Discharge has 60% less Area of Effect","반경 내 지능이 40 이상이면 방출의 효과 범위 60% 감폭"
"With at least 40 Intelligence in Radius, Summon Skeletons can Summon up to 15 Skeleton Mages","반경 내 지능이 40 이상이면 해골 소환으로 최대 15마리의 해골 마법사 소환 가능"
"With at least 40 Intelligence in Radius, can summon up to 15 Skeleton Mages with Summon Skeletons","반경 내 지능이 40 이상이면 해골 소환으로 최대 15마리의 해골 마법사 소환 가능"
"You Cannot Be Shocked While Chilled","냉각 상태에서 100%의 확률로 감전 긴급회피"
"You are Chilled while you are Poisoned","중독되면 냉각 상태 유발"
"You are cursed with Vulnerability","취약성 저주에 걸림"
"You cannot be Maimed / You cannot be Hindered","힘줄 절단 면역 / 이동 방해 면역"
"You have Consecrated Ground around you while","능력치 중 힘이 가장 높을 경우"
"You have Phasing if you have Suppressed Spell Damage Recently / {0}% chance to Suppress Spell Damage while Phasing","최근 4초 이내 주문 피해를 억제한 경우 차원 능력 획득 / 차원 능력 상태에서 주문 억제 확률 {0}%"
"You take 450 Chaos Damage per second for 3 seconds on Kill","처치 시 3초 동안 1초마다 450 카오스 피해를 받음"
"Your Mark transfers to another Enemy when Marked Enemy dies","징표가 찍힌 적이 사망하면 징표가 다른 적에게 전이됨"
"Your Raised Zombies count as Corpses","소환한 좀비를 시신으로 간주"
"Your Skills deal you 400% of Mana Cost as Physical Damage","스킬 사용 시 초기 비용으로 소모한 마나의 400%를 물리 피해로 받음"
"Your spells have 100% chance to Shock against Frozen enemies","주문이 100%의 확률로 동결된 적 감전 유발"
"each Withered you have inflicted on them","받는 원소 피해 4% 증가"
"stationary if Strength is your highest Attribute","정지 상태일 때 주변에 신성화 지대 생성"
"until you take no Damage to Life for 2 seconds","해당 효과는 2초 동안 생명력 피해를 받지 않을 때까지 지속됨"
"x {0} (burn rate modifier)","^7x {0} ^8(연소율 보정)"
"your maximum number of Crab Barriers","10%의 확률로 게의 방어막 최대치 획득"
"your maximum number of Power Charges","25%의 확률로 권능 충전 최대치 획득"
"{0} Life gained for each Enemy hit by Attacks","공격으로 명중한 적 하나당 획득하는 생명력 {0}"
"{0} Life gained when you Block / {1} Mana gained when you Block","막아낼 시 생명력 {0} 획득 / 막아낼 시 마나 {1} 획득"
"{0} additional Elemental Resistances during Flask effect","플라스크 효과를 받는 동안 추가 원소 저항 {0}"
"{0} increased Armour during Flask effect","플라스크 효과를 받는 동안 방어도 {0} 증가"
