原文(有{0}),翻譯
"{0} Added Passive Skill is Arcane Adept","{0} 個附加天賦為祕能專精"
"{0} Added Passive Skill is Arcane Heroism","{0} 個附加天賦為祕能英雄"
"{0} Added Passive Skill is Arcane Pyrotechnics","{0} 個附加天賦為祕能煙花"
"{0} Added Passive Skill is Arcing Shot","{0} 個附加天賦為弧射"
"{0} Added Passive Skill is Assert Dominance","{0} 個附加天賦為維護地位"
"{0} Added Passive Skill is Astonishing Affliction","{0} 個附加天賦為驚奇痛楚"
"{0} Added Passive Skill is Basics of Pain","{0} 個附加天賦為苦痛之基"
"{0} Added Passive Skill is Battle-Hardened","{0} 個附加天賦為固守戰場"
"{0} Added Passive Skill is Battlefield Dominator","{0} 個附加天賦為戰場統治者"
"{0} Added Passive Skill is Blacksmith","{0} 個附加天賦為鐵匠"
"{0} Added Passive Skill is Blanketed Snow","{0} 個附加天賦為拂雪"
"{0} Added Passive Skill is Blast-Freeze","{0} 個附加天賦為爆凍"
"{0} Added Passive Skill is Blessed","{0} 個附加天賦為祝福"
"{0} Added Passive Skill is Blessed Rebirth","{0} 個附加的天賦為祝禱重生"
"{0} Added Passive Skill is Blizzard Caller","{0} 個附加天賦為暴雪舵手"
"{0} Added Passive Skill is Blood Artist","{0} 個附加天賦為血腥藝術家"
"{0} Added Passive Skill is Bloodscent","{0} 個附加天賦為血腥味"
"{0} Added Passive Skill is Blowback","{0} 個附加天賦為後座力"
"{0} Added Passive Skill is Bodyguards","{0} 個附加天賦為保鑣"
"{0} Added Passive Skill is Born of Chaos","{0} 個附加天賦為混沌之誕"
"{0} Added Passive Skill is Brand Loyalty","{0} 個附加天賦為品牌忠誠"
"{0} Added Passive Skill is Brewed for Potency","{0} 個附加天賦為釀造之力"
"{0} Added Passive Skill is Broadside","{0} 個附加天賦為舷側砲"
"{0} Added Passive Skill is Brush with Death","{0} 個附加天賦為死神之拂"
"{0} Added Passive Skill is Brutal Infamy","{0} 個附加天賦為殘暴惡名"
"{0} Added Passive Skill is Burden Projection","{0} 個附加天賦為重擔投射"
"{0} Added Passive Skill is Burning Bright","{0} 個附加天賦為燃燒閃耀"
"{0} Added Passive Skill is Calamitous","{0} 個附加天賦為災難"
"{0} Added Passive Skill is Call to the Slaughter","{0} 個附加天賦為屠殺惡夢"
"{0} Added Passive Skill is Capacitor","{0} 個附加天賦為容器"
"{0} Added Passive Skill is Careful Handling","{0} 個附加天賦為細心掌控"
"{0} Added Passive Skill is Chilling Presence","{0} 個附加天賦為冰緩光環"
"{0} Added Passive Skill is Chip Away","{0} 個附加天賦為抹除"
"{0} Added Passive Skill is Circling Oblivion","{0} 個附加天賦為閉鎖遺忘"
"{0} Added Passive Skill is Clarity of Purpose","{0} 個附加天賦為明淨之志"
"{0} Added Passive Skill is Cold Conduction","{0} 個附加天賦為冷傳導"
"{0} Added Passive Skill is Cold to the Core","{0} 個附加天賦為冰心"
"{0} Added Passive Skill is Cold-Blooded Killer","{0} 個附加天賦為冷血殺手"
"{0} Added Passive Skill is Combat Rhythm","{0} 個附加天賦為戰鬥韻律"
"{0} Added Passive Skill is Compound Injury","{0} 個附加天賦為複合傷害"
"{0} Added Passive Skill is Confident Combatant","{0} 個附加天賦為自信戰士"
"{0} Added Passive Skill is Conjured Wall","{0} 個附加天賦為召喚之璧"
"{0} Added Passive Skill is Conservation of Energy","{0} 個附加天賦為節能"
"{0} Added Passive Skill is Cooked Alive","{0} 個附加天賦為現宰"
"{0} Added Passive Skill is Corrosive Elements","{0} 個附加天賦為腐蝕元素"
"{0} Added Passive Skill is Cremator","{0} 個附加天賦為焚屍爐"
"{0} Added Passive Skill is Cry Wolf","{0} 個附加天賦為狼嚎"
"{0} Added Passive Skill is Cult-Leader","{0} 個附加天賦為邪教教主"
"{0} Added Passive Skill is Daring Ideas","{0} 個附加天賦為大膽的想法"
"{0} Added Passive Skill is Dark Discourse","{0} 個附加天賦為黑暗論述"
"{0} Added Passive Skill is Dark Ideation","{0} 個附加天賦為黑暗觀念"
"{0} Added Passive Skill is Dark Messenger","{0} 個附加天賦為黑暗信使"
"{0} Added Passive Skill is Darting Movements","{0} 個附加天賦為猛突位移"
"{0} Added Passive Skill is Deadly Repartee","{0} 個附加天賦為致命才能"
"{0} Added Passive Skill is Deep Chill","{0} 個附加天賦為深層冰緩"
"{0} Added Passive Skill is Deep Cuts","{0} 個附加天賦為深度切割"
"{0} Added Passive Skill is Destructive Aspect","{0} 個附加天賦為破壞面"
"{0} Added Passive Skill is Devastator","{0} 個附加的天賦為毀滅者"
"{0} Added Passive Skill is Disciples","{0} 個附加的天賦為紀律"
"{0} Added Passive Skill is Disease Vector","{0} 個附加的天賦為病原體"
"{0} Added Passive Skill is Disorienting Display","{0} 個附加的天賦為迷茫之列"
"{0} Added Passive Skill is Disorienting Wounds","{0} 個附加的天賦為迷茫之殤"
"{0} Added Passive Skill is Distilled Perfection","{0} 個附加的天賦為完美淬鍊"
"{0} Added Passive Skill is Doedre's Apathy","{0} 個附加天賦為德瑞的冷漠"
"{0} Added Passive Skill is Doedre's Gluttony","{0} 個附加天賦為德瑞的暴食"
"{0} Added Passive Skill is Doedre's Spite","{0} 個附加天賦為德瑞的怨恨"
"{0} Added Passive Skill is Doryani's Lesson","{0} 個附加的天賦為多里亞尼的教程"
"{0} Added Passive Skill is Dragon Hunter","{0} 個附加的天賦為獵龍幻士"
"{0} Added Passive Skill is Dread March","{0} 個附加的天賦為驚懼遊行"
"{0} Added Passive Skill is Drive the Destruction","{0} 個附加的天賦為破壞之意"
"{0} Added Passive Skill is Eldritch Inspiration","{0} 個附加的天賦為怪異靈感"
"{0} Added Passive Skill is Electric Presence","{0} 個附加天賦為電力光環"
"{0} Added Passive Skill is Elegant Form","{0} 個附加的天賦為高雅之姿"
"{0} Added Passive Skill is Empowered Envoy","{0} 個附加的天賦為授權使徒"
"{0} Added Passive Skill is Endbringer","{0} 個附加的天賦為終焉使者"
"{0} Added Passive Skill is Enduring Composure","{0} 個附加的天賦為耐久鎮靜"
"{0} Added Passive Skill is Enduring Focus","{0} 個附加的天賦為耐久專注"
"{0} Added Passive Skill is Enduring Ward","{0} 個附加的天賦為耐久守衛"
"{0} Added Passive Skill is Energy From Naught","{0} 個附加的天賦為虛無淬能"
"{0} Added Passive Skill is Essence Rush","{0} 個附加的天賦為精華湧現"
"{0} Added Passive Skill is Eternal Suffering","{0} 個附加的天賦為永恆磨難"
"{0} Added Passive Skill is Evil Eye","{0} 個附加的天賦為邪眼"
"{0} Added Passive Skill is Expansive Might","{0} 個附加的天賦為擴展之力"
"{0} Added Passive Skill is Expendability","{0} 個附加的天賦為擴展性"
"{0} Added Passive Skill is Expert Sabotage","{0} 個附加的天賦為破壞專精"
"{0} Added Passive Skill is Exploit Weakness","{0} 個附加天賦為攻其之弱"
"{0} Added Passive Skill is Explosive Force","{0} 個附加的天賦為爆破力"
"{0} Added Passive Skill is Exposure Therapy","{0} 個附加的天賦為曝曬療法"
"{0} Added Passive Skill is Eye of the Storm","{0} 個附加的天賦為風暴之眼"
"{0} Added Passive Skill is Eye to Eye","{0} 個附加的天賦為對視"
"{0} Added Passive Skill is Fan of Blades","{0} 個附加的天賦為刀鋒狂熱"
"{0} Added Passive Skill is Fan the Flames","{0} 個附加的天賦為搧風點火"
"{0} Added Passive Skill is Fasting","{0} 個附加的天賦為快速"
"{0} Added Passive Skill is Fearsome Warrior","{0} 個附加的天賦為膽怯戰士"
"{0} Added Passive Skill is Feast of Flesh","{0} 個附加的天賦為血肉盛宴"
"{0} Added Passive Skill is Feasting Fiends","{0} 個附加的天賦為宴請邪魔"
"{0} Added Passive Skill is Feed the Fury","{0} 個附加天賦為豢養狂怒"
"{0} Added Passive Skill is Fettle","{0} 個附加的天賦為修補"
"{0} Added Passive Skill is Fire Attunement","{0} 個附加的天賦為火焰曲調"
"{0} Added Passive Skill is First Among Equals","{0} 個附加的天賦為平等為初"
"{0} Added Passive Skill is Flexible Sentry","{0} 個附加的天賦為機動哨兵"
"{0} Added Passive Skill is Flow of Life","{0} 個附加的天賦為生機流動"
"{0} Added Passive Skill is Follow-Through","{0} 個附加的天賦為貫徹始終"
"{0} Added Passive Skill is Forbidden Words","{0} 個附加的天賦為禁咒"
"{0} Added Passive Skill is Force Multiplier","{0} 個附加的天賦為原力加成"
"{0} Added Passive Skill is Frantic Aspect","{0} 個附加天賦為瘋狂面"
"{0} Added Passive Skill is Fuel the Fight","{0} 個附加的天賦為刺激戰鬥"
"{0} Added Passive Skill is Furious Assault","{0} 個附加的天賦為狂暴突襲"
"{0} Added Passive Skill is Genius","{0} 個附加的天賦為天才"
"{0} Added Passive Skill is Gladiator's Fortitude","{0} 個附加的天賦為衛士的毅力"
"{0} Added Passive Skill is Gladiatorial Combat","{0} 個附加的天賦為衛士戰鬥"
"{0} Added Passive Skill is Graceful Execution","{0} 個附加的天賦為優雅處刑"
"{0} Added Passive Skill is Grand Design","{0} 個附加的天賦為宏偉設計"
"{0} Added Passive Skill is Grim Oath","{0} 個附加的天賦為殘酷誓言"
"{0} Added Passive Skill is Grounded Commander","{0} 個附加天賦為地基指揮官"
"{0} Added Passive Skill is Guerilla Tactics","{0} 個附加的天賦為游擊戰術"
"{0} Added Passive Skill is Haemorrhage","{0} 個附加的天賦為滲血"
"{0} Added Passive Skill is Haunting Shout","{0} 個附加的天賦為鬼魅呼嘯"
"{0} Added Passive Skill is Heart of Iron","{0} 個附加的天賦為鋼鐵之心"
"{0} Added Passive Skill is Heavy Hitter","{0} 個附加的天賦為沉重打手"
"{0} Added Passive Skill is Heraldry","{0} 個附加的天賦為符紋學"
"{0} Added Passive Skill is Hex Breaker","{0} 個附加的天賦為破魔者"
"{0} Added Passive Skill is Hibernator","{0} 個附加的天賦為冬眠"
"{0} Added Passive Skill is Hit and Run","{0} 個附加的天賦為打帶跑"
"{0} Added Passive Skill is Holistic Health","{0} 個附加的天賦為整體健康"
"{0} Added Passive Skill is Holy Conquest","{0} 個附加的天賦為神聖征服"
"{0} Added Passive Skill is Hound's Mark","{0} 個附加天賦為獵犬印記"
"{0} Added Passive Skill is Hulking Corpses","{0} 個附加的天賦為龐大屍堆"
"{0} Added Passive Skill is Improvisor","{0} 個附加的天賦為即興詩人"
"{0} Added Passive Skill is Inevitable Doom","{0} 個附加天賦為不可避免的厄運"
"{0} Added Passive Skill is Insatiable Killer","{0} 個附加的天賦為貪得無厭的殺手"
"{0} Added Passive Skill is Inspired Oppression","{0} 個附加的天賦為啟發壓迫"
"{0} Added Passive Skill is Insulated","{0} 個附加的天賦為絕緣"
"{0} Added Passive Skill is Intensity","{0} 個附加的天賦為劇烈"
"{0} Added Passive Skill is Introspection","{0} 個附加天賦為自我反省"
"{0} Added Passive Skill is Invigorating Portents","{0} 個附加的天賦為振奮預兆"
"{0} Added Passive Skill is Iron Breaker","{0} 個附加的天賦為碎鐵者"
"{0} Added Passive Skill is Lasting Impression","{0} 個附加的天賦為持續印象"
"{0} Added Passive Skill is Lead By Example","{0} 個附加的天賦為模範領導"
"{0} Added Passive Skill is Life from Death","{0} 個附加的天賦為死而復生"
"{0} Added Passive Skill is Liquid Inspiration","{0} 個附加的天賦為液態啟發"
"{0} Added Passive Skill is Lord of Drought","{0} 個附加天賦為枯旱之王"
"{0} Added Passive Skill is Low Tolerance","{0} 個附加的天賦為低容忍"
"{0} Added Passive Skill is Mage Bane","{0} 個附加的天賦為魔術災厄"
"{0} Added Passive Skill is Mage Hunter","{0} 個附加的天賦為魔術獵手"
"{0} Added Passive Skill is Magnifier","{0} 個附加的天賦為放大"
"{0} Added Passive Skill is Martial Mastery","{0} 個附加的天賦為武術精通"
"{0} Added Passive Skill is Martial Momentum","{0} 個附加的天賦為武術氣勢"
"{0} Added Passive Skill is Martial Prowess","{0} 個附加的天賦為武術英勇"
"{0} Added Passive Skill is Master of Command","{0} 個附加的天賦為引導大師"
"{0} Added Passive Skill is Master of Fear","{0} 個附加的天賦為恐懼大師"
"{0} Added Passive Skill is Master of Fire","{0} 個附加的天賦為火焰大師"
"{0} Added Passive Skill is Master of the Maelstrom","{0} 個附加天賦為混亂大師"
"{0} Added Passive Skill is Master the Fundamentals","{0} 個附加的天賦為精通基礎"
"{0} Added Passive Skill is Mender's Wellspring","{0} 個附加的天賦為治癒湧泉"
"{0} Added Passive Skill is Militarism","{0} 個附加的天賦為軍國主義"
"{0} Added Passive Skill is Mindfulness","{0} 個附加的天賦為謹慎"
"{0} Added Passive Skill is Misery Everlasting","{0} 個附加天賦為永恆苦難"
"{0} Added Passive Skill is Mob Mentality","{0} 個附加的天賦為暴民心理"
"{0} Added Passive Skill is Molten One's Mark","{0} 個附加的天賦為熔火之印"
"{0} Added Passive Skill is Mortifying Aspect","{0} 個附加天賦為屈辱面"
"{0} Added Passive Skill is Mystical Ward","{0} 個附加的天賦為魔幻守衛"
"{0} Added Passive Skill is Natural Vigour","{0} 個附加的天賦為自然活力"
"{0} Added Passive Skill is No Witnesses","{0} 個附加的天賦為無目擊者"
"{0} Added Passive Skill is Non-Flammable","{0} 個附加的天賦為非易燃"
"{0} Added Passive Skill is Numbing Elixir","{0} 個附加的天賦為無感不死藥"
"{0} Added Passive Skill is One with the Shield","{0} 個附加的天賦為持盾者"
"{0} Added Passive Skill is Openness","{0} 個附加的天賦為開放"
"{0} Added Passive Skill is Opportunistic Fusilade","{0} 個附加的天賦為機會主義福斯雷"
"{0} Added Passive Skill is Overlord","{0} 個附加的天賦為封建霸主"
"{0} Added Passive Skill is Overshock","{0} 個附加的天賦為過度震驚"
"{0} Added Passive Skill is Overwhelming Malice","{0} 個附加的天賦為壓倒性的惡意"
"{0} Added Passive Skill is Paralysis","{0} 個附加的天賦為麻痺"
"{0} Added Passive Skill is Peace Amidst Chaos","{0} 個附加的天賦為混沌中的平靜"
"{0} Added Passive Skill is Peak Vigour","{0} 個附加的天賦為活力之巔"
"{0} Added Passive Skill is Phlebotomist","{0} 個附加天賦為放血屍"
"{0} Added Passive Skill is Powerful Assault","{0} 個附加的天賦為猛烈襲擊"
"{0} Added Passive Skill is Powerful Ward","{0} 個附加的天賦為強力守衛"
"{0} Added Passive Skill is Practiced Caster","{0} 個附加的天賦為見習術士"
"{0} Added Passive Skill is Precise Commander","{0} 個附加的天賦為精確指揮官"
"{0} Added Passive Skill is Precise Focus","{0} 個附加的天賦為精確專注"
"{0} Added Passive Skill is Precise Retaliation","{0} 個附加的天賦為精確復仇"
"{0} Added Passive Skill is Pressure Points","{0} 個附加的天賦為壓力點"
"{0} Added Passive Skill is Primordial Bond","{0} 個附加的天賦為原始連繫"
"{0} Added Passive Skill is Prismatic Carapace","{0} 個附加的天賦為多稜甲殼"
"{0} Added Passive Skill is Prismatic Dance","{0} 個附加的天賦為多稜舞蹈"
"{0} Added Passive Skill is Prismatic Heart","{0} 個附加的天賦為多稜之心"
"{0} Added Passive Skill is Prodigious Defence","{0} 個附加的天賦為出奇防禦"
"{0} Added Passive Skill is Provocateur","{0} 個附加的天賦為挑唆者"
"{0} Added Passive Skill is Pure Agony","{0} 個附加的天賦為純粹苦痛"
"{0} Added Passive Skill is Pure Aptitude","{0} 個附加的天賦為純粹才能"
"{0} Added Passive Skill is Pure Commander","{0} 個附加的天賦為純粹指揮官"
"{0} Added Passive Skill is Pure Guile","{0} 個附加的天賦為純粹詭計"
"{0} Added Passive Skill is Pure Might","{0} 個附加的天賦為純粹之力"
"{0} Added Passive Skill is Purposeful Harbinger","{0} 個附加的天賦為果斷的神諭"
"{0} Added Passive Skill is Quick and Deadly","{0} 個附加的天賦為迅速與致命"
"{0} Added Passive Skill is Quick Getaway","{0} 個附加的天賦為迅速逃離"
"{0} Added Passive Skill is Rapid Infusion","{0} 個附加的天賦為極速注入"
"{0} Added Passive Skill is Rattling Bellow","{0} 個附加的天賦為慌亂吼叫"
"{0} Added Passive Skill is Raze and Pillage","{0} 個附加的天賦為抹除和掠奪"
"{0} Added Passive Skill is Readiness","{0} 個附加的天賦為準備就緒"
"{0} Added Passive Skill is Remarkable","{0} 個附加的天賦為非凡"
"{0} Added Passive Skill is Rend","{0} 個附加的天賦為撕裂"
"{0} Added Passive Skill is Renewal","{0} 個附加的天賦為換新"
"{0} Added Passive Skill is Repeater","{0} 個附加的天賦為背誦者"
"{0} Added Passive Skill is Replenishing Presence","{0} 個附加的天賦為補充光環"
"{0} Added Passive Skill is Righteous Path","{0} 個附加天賦為正道"
"{0} Added Passive Skill is Riot Queller","{0} 個附加的天賦為暴動殺手"
"{0} Added Passive Skill is Rot-Resistant","{0} 個附加的天賦為抗鏽"
"{0} Added Passive Skill is Rote Reinforcement","{0} 個附加的天賦為加強記憶"
"{0} Added Passive Skill is Rotten Claws","{0} 個附加的天賦為腐鏽之爪"
"{0} Added Passive Skill is Run Through","{0} 個附加的天賦為迅速略過"
"{0} Added Passive Skill is Sadist","{0} 個附加的天賦為施虐者"
"{0} Added Passive Skill is Sage","{0} 個附加的天賦為哲人"
"{0} Added Passive Skill is Sap Psyche","{0} 個附加的天賦為心靈乾枯"
"{0} Added Passive Skill is Savage Response","{0} 個附加的天賦為殘暴應對"
"{0} Added Passive Skill is Savour the Moment","{0} 個附加的天賦為享受時光"
"{0} Added Passive Skill is Scintillating Idea","{0} 個附加的天賦為靈光乍現"
"{0} Added Passive Skill is Seal Mender","{0} 個附加的天賦為封口修補"
"{0} Added Passive Skill is Second Skin","{0} 個附加的天賦為換皮"
"{0} Added Passive Skill is Seeker Runes","{0} 個附加的天賦為符文探尋者"
"{0} Added Passive Skill is Self-Control","{0} 個附加天賦為自制力"
"{0} Added Passive Skill is Self-Fulfilling Prophecy","{0} 個附加的天賦為自我實現預言"
"{0} Added Passive Skill is Septic Spells","{0} 個附加的天賦為腐爛法術"
"{0} Added Passive Skill is Set and Forget","{0} 個附加的天賦為設定和遺忘"
"{0} Added Passive Skill is Shifting Shadow","{0} 個附加的天賦為替換陰影"
"{0} Added Passive Skill is Shrieking Bolts","{0} 個附加的天賦為尖嘯音波"
"{0} Added Passive Skill is Skeletal Atrophy","{0} 個附加的天賦為骷髏萎縮"
"{0} Added Passive Skill is Skullbreaker","{0} 個附加的天賦為碎骨者"
"{0} Added Passive Skill is Sleepless Sentries","{0} 個附加的天賦為無眠哨兵"
"{0} Added Passive Skill is Smite the Weak","{0} 個附加的天賦為弱點打擊"
"{0} Added Passive Skill is Smoking Remains","{0} 個附加的天賦為殘煙"
"{0} Added Passive Skill is Snaring Spirits","{0} 個附加的天賦為咆嘯靈魂"
"{0} Added Passive Skill is Snowstorm","{0} 個附加的天賦為暴風雪"
"{0} Added Passive Skill is Special Reserve","{0} 個附加的天賦為特別保留"
"{0} Added Passive Skill is Spiked Concoction","{0} 個附加的天賦為尖刺混物"
"{0} Added Passive Skill is Spiteful Presence","{0} 個附加天賦為惡意光環"
"{0} Added Passive Skill is Spring Back","{0} 個附加的天賦為彈回"
"{0} Added Passive Skill is Stalwart Commander","{0} 個附加的天賦為堅定指揮官"
"{0} Added Passive Skill is Steady Torment","{0} 個附加的天賦為持續折磨"
"{0} Added Passive Skill is Stoic Focus","{0} 個附加的天賦為專注禁慾"
"{0} Added Passive Skill is Storm Drinker","{0} 個附加的天賦為風暴狂飲"
"{0} Added Passive Skill is Storm's Hand","{0} 個附加的天賦為風暴之手"
"{0} Added Passive Skill is Stormrider","{0} 個附加的天賦為風暴馭者"
"{0} Added Passive Skill is Streamlined","{0} 個附加的天賦為流線型"
"{0} Added Passive Skill is Strike Leader","{0} 個附加的天賦為罷工領袖"
"{0} Added Passive Skill is Stubborn Student","{0} 個附加的天賦為頑固學生"
"{0} Added Passive Skill is Student of Decay","{0} 個附加的天賦為腐朽之徒"
"{0} Added Passive Skill is Sublime Form","{0} 個附加天賦為昇華之型"
"{0} Added Passive Skill is Sublime Sensation","{0} 個附加的天賦為崇高之覺"
"{0} Added Passive Skill is Summer Commander","{0} 個附加天賦為立夏指揮官"
"{0} Added Passive Skill is Supercharge","{0} 個附加的天賦為超負荷"
"{0} Added Passive Skill is Surefooted Striker","{0} 個附加的天賦為踏實打手"
"{0} Added Passive Skill is Surging Vitality","{0} 個附加的天賦為活力湧現"
"{0} Added Passive Skill is Surprise Sabotage","{0} 個附加的天賦為驚喜破壞"
"{0} Added Passive Skill is Tempered Arrowheads","{0} 個附加的天賦為鍛煉的箭頭"
"{0} Added Passive Skill is Tempt the Storm","{0} 個附加天賦為誘惑風暴"
"{0} Added Passive Skill is Thaumophage","{0} 個附加的天賦為噬菌體"
"{0} Added Passive Skill is Thunderstruck","{0} 個附加的天賦為雷擊"
"{0} Added Passive Skill is Titanic Swings","{0} 個附加的天賦為泰坦揮擊"
"{0} Added Passive Skill is Touch of Cruelty","{0} 個附加的天賦為殘酷之觸"
"{0} Added Passive Skill is Towering Threat","{0} 個附加的天賦為聳天威脅"
"{0} Added Passive Skill is Uncompromising","{0} 個附加天賦為永不妥協"
"{0} Added Passive Skill is Unholy Grace","{0} 個附加的天賦為不潔優雅"
"{0} Added Passive Skill is Unspeakable Gifts","{0} 個附加的天賦為不可描述之贈"
"{0} Added Passive Skill is Untouchable","{0} 個附加的天賦為不能觸碰"
"{0} Added Passive Skill is Unwavering Focus","{0} 個附加的天賦為堅定專注"
"{0} Added Passive Skill is Unwaveringly Evil","{0} 個附加的天賦為堅定邪靈"
"{0} Added Passive Skill is Vast Power","{0} 個附加的天賦為投入力量"
"{0} Added Passive Skill is Vengeful Commander","{0} 個附加的天賦為復仇指揮官"
"{0} Added Passive Skill is Veteran Defender","{0} 個附加的天賦為防禦老手"
"{0} Added Passive Skill is Vicious Bite","{0} 個附加的天賦為惡毒之咬"
"{0} Added Passive Skill is Vicious Guard","{0} 個附加的天賦為惡毒護衛"
"{0} Added Passive Skill is Vicious Skewering","{0} 個附加的天賦為惡毒穿刺"
"{0} Added Passive Skill is Victim Maker","{0} 個附加的天賦為加害人"
"{0} Added Passive Skill is Vile Reinvigoration","{0} 個附加的天賦為復興邪惡"
"{0} Added Passive Skill is Vital Focus","{0} 個附加的天賦為活力專注"
"{0} Added Passive Skill is Vivid Hues","{0} 個附加的天賦為生動色調"
"{0} Added Passive Skill is Volatile Presence","{0} 個附加天賦為變動光環"
"{0} Added Passive Skill is Wall of Muscle","{0} 個附加的天賦為肉璧"
"{0} Added Passive Skill is Warning Call","{0} 個附加的天賦為預警呼喚"
"{0} Added Passive Skill is Wasting Affliction","{0} 個附加的天賦為耗盡苦難"
"{0} Added Passive Skill is Weight Advantage","{0} 個附加的天賦為優勢權重"
"{0} Added Passive Skill is Whispers of Death","{0} 個附加的天賦為死神低語"
"{0} Added Passive Skill is Wicked Pall","{0} 個附加的天賦為邪惡棺木"
"{0} Added Passive Skill is Widespread Destruction","{0} 個附加的天賦為毀滅擴散"
"{0} Added Passive Skill is Will Shaper","{0} 個附加的天賦為意志雕塑"
"{0} Added Passive Skill is Wind-up","{0} 個附加的天賦為風起"
"{0} Added Passive Skill is Winter Commander","{0} 個附加天賦為凜冬指揮官"
"{0} Added Passive Skill is Winter Prowler","{0} 個附加的天賦為冬季竊賊"
"{0} Added Passive Skill is Wish for Death","{0} 個附加的天賦為求死"
"{0} Added Passive Skill is Wizardry","{0} 個附加的天賦為巫術"
"{0} Added Passive Skill is Wound Aggravation","{0} 個附加的天賦為創傷加劇"
"{0} Added Passive Skill is Wrapped in Flame","{0} 個附加的天賦為火焰包覆"
"{0} Added Passive Skills are Jewel Sockets","{0} 個附加的天賦為珠寶插槽"
"{0} additional Accuracy Rating","附加 {0} 命中"
"{0} additional Armour","增加 {0} 護甲"
"{0} additional Basic Currency Items drops when the first Invasion Boss is slain","當第一個侵略頭目被擊殺時，掉落 {0} 個額外基礎通貨"
"{0} additional chance for Slain monsters to drop Scrolls of Wisdom","額外 {0} 的機率掉落知識卷軸"
"{0} additional chance to Dodge Attack Hits","有額外 {0} 的機率躲避攻擊擊中"
"{0} additional chance to Dodge Spell Hits","額外 {0} 的機率躲避法術擊中"
"{0} additional Currency Items drops when the first Invasion Boss is slain","擊敗的第 1 個侵略首領會掉落額外 {0} 個通貨物品"
"{0} additional Curses can be applied to you","你可以受到 {0} 個額外的詛咒"
"{0} additional Elemental Resistances during Flask effect","藥劑持續期間，附加 {0} 元素抗性"
