"Crimson Jewel",赤紅珠寶
"Fortress Covenant",堅壁誓約
"Replica Reckless Defence",贗品．魯莽防禦
"Replica Unstable Payload",贗品．不穩定承載
"Endless Misery",無盡謎團
"Apex Mode",巔峰模式
"Nadir Mode",深淵模式
"Melding of the Flesh",血肉融合
"Forbidden Flesh",禁忌血肉
Witchbane,禍星女巫
"Rational Doctrine",理性主義
"The Balance of Terror",恐怖平衡
"Emperor's Mastery",帝王的純熟
"The Anima Stone",聚魂石
"Watcher's Eye",看守之眼
"Sublime Vision",崇高願景
"Glorious Vanity",輝煌的虛榮
"Militant Faith",激進的信仰
"Brutal Restraint",殘酷的紀律
"Elegant Hubris",優雅的高傲
"Lethal Pride",致命的驕傲
Voices,嗓音
Megalomaniac,妄想症
"One With Nothing",一無所有
"Kitava's Teachings",奇塔弗的教學
"The Interrogation",審問
"Calamitous Visions",悲慘幻視
"Natural Affinity",天性
"The Siege",圍城
"Child of Violence",暴力之子
"The Front Line",前列的線
"Tecrod's Gaze",特克羅德的邪眼
"Ulaman's Gaze",烏拉曼的邪眼
"Kurgal's Gaze",柯戈的邪眼
"Amanamu's Gaze",阿姆那姆的邪眼
Bloodnotch,缺血症
"Ancestral Vision",先祖預視
"Warrior's Tale",戰士的故事
"That Which Was Taken",霸佔
"The Adorned",假掰
"Replica Fragility",贗品．虛弱
"Replica Pacifism",贗品．和平主義
"Replica Powerlessness",贗品．無力
"The Perandus Pact",普蘭德斯協議
"The Light of Meaning",意涵之光
