"The Anvil",信念之砧
Flesh-Eater,血肉之嗜
"The Stormheart",風暴之眼
"The Princess",女爵
"Moonbender's Wing",月嵐
Dreadarc,恐懼之鐮
"The Deep One's Hide",深淵絕壁
Wildslash,野性狂爪
Realmshaper,創域
"Abberath's Horn",艾貝拉斯之角
Bloodplay,血謔
Goredrill,血鑿
Kingsguard,皇家衛甲
"Call of the Brotherhood",意志呼喚
Kingmaker,王者之刃
"Death's Hand",死神之手
"The Goddess Unleashed",女神的束縛
"Jack, the Axe",劊子手．傑克
Stormblast,雷暴
"Bartek's Finger",巴特克的魔指
"Boreal Shepherd",牧者之音
"Celestial Fragment",殘星
Ironweld,鐵芒
"Alkem Eira",神諭
"Death Rattle",亡靈之音
Ghostmarch,鬼行
"Santoni's Faith",桑托尼的忠誠之心
"Mana Sponge",吸魔海綿
"The Rathorn",咒荊
"Leviathan Ivory",神力之牙
"Deadman's Hand",枯萎之手
"Vizaru's Folly",維札盧的不堪往事
"Kalisa's Grace",卡莉莎的優雅之影
"Arimagius' Honor",志士的榮耀之心
Wurmfist,崩石
"Dewath's Hide",德瓦斯的匿蹤
"Doryani's Fist",多里亞尼之拳
"Ventor's Gamble",賭神芬多
"Ornament of the East",東之飾
"Trolltimber Spire",巫木
"Jorrhast's Blacksteel",喬赫黑鋼
"Crown of the Pale King",殞皇之冠
Surgebinders,浪湧縛者
"Victario's Influence",維多里奧之絕響
"Cameria's Maul",卡美利亞之錘
"Brinerot Mark",布琳洛特印記
"Redblade Band",紅刃之環
"Mutewind Seal",啞風封印
"Brinerot Flag",布琳洛特之旗
"Redblade Banner",紅刃旗幟
"Mutewind Pennant",啞風尖旗
"Demigod's Beacon",昇華之燈
"Brinerot Whalers",布琳洛特岸行者
"Mutewind Whispersteps",啞風輕步
"Redblade Tramplers",紅刃蹂躪靴
"Ylfeban's Trickery",伊芙班的詭計
"Band of the Victor",勝利之環
"Agnerod South",南方雷霆聖杖
Emberwake,餘燼之痕
"Slivers of Providence",白銀恩典
"Steppan Eard",絕地魔履
"Broken Faith",破碎信念
"The Pariah",草民
Bloodgrip,鮮血支配
Soulthirst,嗜魂
"Spine of the First Claimant",先驅之脊
"Izaro's Dilemma",伊澤洛之謎
"Winds of Change",昇華之風
"Izaro's Turmoil",伊澤洛之亂
"Chitus' Needle",切特斯之針
"Night's Hold",夜守
Blightwell,枯井
"Natural Hierarchy",自然組織
"Rigwald's Curse",瑞佛詛咒
"The Vigil",監視守夜
"Rolling Flames",滾動烈焰
"Winter's Bounty",冬季賞金
"Spirited Response",先祖回音
"Dead Reckoning",死亡清算
"Rapid Expansion",急速擴張
"Volley Fire",怒火齊發
"Spirit Guards",精神守護
"Shattered Chains",破碎之鍊
"Weight of the Empire",帝國重量
"Pitch Darkness",黯黑之調
"Steel Spirit",堅毅心靈
"Growing Agony",茁壯苦痛
"The Vinktar Square",維克塔廣場
"Caer Blaidd, Wolfpack's Den",塞爾．佈雷德狼穴
"Eyes of the Greatwolf",巨狼之眼
"Rigwald's Quills",瑞佛之羽
Feastbind,盛宴之結
Faminebind,饑荒之結
"The Retch",嘔吐
Allure,魅惑
"Hezmana's Bloodlust",嗜血黑茲瑪娜
"Coruscating Elixir",閃耀精華
"The Aylardex",艾拉黛絲
"Vessel of Vinktar",維克塔血器
"Kongming's Stratagem",孔明的神算
Skyforth,空向
"Roth's Reach",蘿絲之觸
Rotgut,傷胃酒
"Femurs of the Saints",聖徒脛骨
Obliteration,抹滅
"Extractor Mentis",心靈抽取
"Iron Commander",鋼鐵指揮
"Storm Prison",禁錮暴風
"Eclipse Solaris",宇蝕
Disjunction,分裂析取
Singularity,奇異
Bitterdream,苦夢
"Star of Wraeclast",瓦爾克拉斯之星
"Rigwald's Crest",瑞佛之冠
"Rigwald's Savagery",野性瑞佛
"Rigwald's Command",瑞佛統帥
"Essence Worm",菁華蠕蟲
"Agnerod West",西方雷霆聖杖
Winterheart,冬之心
"Demigod's Dominance",昇華統御
"Frost Unbroken",不滅冰晶
"Advancing Fortress",超越壁壘
"Cheap Construction",廉價建設
"Daresso's Passion",德瑞索的熱情
Glitterdisc,七彩碟
"Hair Trigger",髮閘機關
"Malachai's Loop",輪迴
"Reckless Defence",魯莽防禦
"The Writhing Jar",扭曲之罐
"Unstable Payload",不穩定承載
Varunastra,黑鯊
Wyrmsign,龍族印記
"Geofri's Sanctuary",吉爾菲的聖殿
Clayshaper,塑泥者
"Seven-League Step",盟誓之跡
"Zerphi's Last Breath",澤佛伊的終息
"Umbilicus Immortalis",不朽繫命
"The Sorrow of the Divine",神聖哀悼
"Emperor's Cunning",帝王的詭計
"Emperor's Wit",帝王的智慧
"Emperor's Might",帝王的霸權
"Emperor's Mastery",帝王的純熟
"The Perandus Manor",普蘭德斯莊園
Rive,裂隙
"Heretic's Veil",異教面紗
"Nuro's Harp",努羅的豎琴
Reefbane,災禍之礁
"Axiom Perpetuum",歷史公理
"Viper's Scales",毒蛇之度
Widowmaker,寡婦
Trypanon,裂顱
Frostbreath,霜息
"The Tempestuous Steel",暴風之鋼
"Xirgil's Crank",舍吉的手柄
"Victario's Charity",維多里奧的貢獻
"The Beast Fur Shawl",獸毛披肩
"The Dancing Dervish",狂舞德爾維希
"Saemus' Gift",謝默斯的贈禮
"Cloak of Tawm'r Isley",陶米兒艾斯理之袍
"Touch of Anguish",極度苦痛
Ashcaller,灰燼行者
"Veruso's Battering Rams",維盧梭攻城槌
"Three-step Assault",三步突擊
"Hinekora's Sight",悉妮蔻拉之眼
"Cospri's Will",卡斯普里意志
"The Ascetic",苦行
"Wall of Brambles",荊棘之牆
"Karui Charge",卡魯充能
"Death's Opus",死亡之作
Kintsugi,金繕
"Grand Spectrum",巨光譜
"Kiara's Determination",奇亞拉的決心
Hiltless,長卷
"The Overflowing Chalice",滿溢聖杯
Cragfall,落石
"Doomfletch's Prism",滅世之獄
Silverbough,銀枝
"Hrimnor's Dirge",雷姆諾的輓歌
"The Tempest",暴風雨
"Amplification Rod",增幅杖
"Realm Ender",魂界終結
"Queen's Escape",逃亡女王
"Shavronne's Gambit",薛朗的詭計
"Ezomyte Hold",艾茲麥之握
Deidbellow,喪吼
Voidheart,虛空心靈
"Martyr's Crown",烈士之冠
"The Signal Fire",狼煙
"Ngamahu Tiki",拿瑪乎蒂基
Hrimburn,李姆本
"Kaom's Way",岡姆之路
"Thirst for Horrors",顫慄之飢
"The Oak",橡樹
Kaltensoul,冰霜之魂
"The Gryphon",獅鷲
"The Cauteriser",燒灼器
Skirmish,小會戰
Scaeva,食蚜
"Innsbury Edge",茵斯布雷之刃
"Coated Shrapnel",榴星
"Ascent From Flesh",血軀昇華
"Breath of the Council",議會之息
"Reach of the Council",議會之觸
"Death's Door",死亡大門
"Grip of the Council",議會之握
"The Learning Stone",學習之石
"Underdog's Fury",犧牲者怒息
Duskwing,黃昏之翼
"Mind of the Council",議會之心
Spiritskin,精神之膚
"Ewar's Mirage",伊沃幻像
Lycosidae,狼蛛
Tinkerskin,焊匠之膚
Rumblemarch,奮勇進軍
"The Brass Dome",堅銅戰罩
"Kitava's Thirst",奇塔弗之渴望
"Kondo's Pride",剛多的虛榮
Obscurantis,朦朧詭面
Praxis,普拉克斯
Valyrium,戰日
Slivertongue,裂舌
Snakepit,蛇巢
"Brain Rattler",腦亂者
"Razor of the Seventh Sun",七日鋒
"Eye of Innocence",無罪之眼
"The Putrid Cloister",腐臭迴廊
"The Warden's Brand",獄使之印
"Witchfire Brew",巫火秘釀
"Unending Hunger",無盡飢餓
"Cospri's Malice",卡斯普里的怨恨
"Hallowed Ground",萬聖之地
Voidwalker,虛空行者
"The Scourge",災害
Starforge,核星
"Dying Sun",滅日
"Shaper's Touch",塑者之觸
Tulfall,托沃臥
"Primordial Eminence",先祖卓越
"Primordial Harmony",先祖和諧
"The Anima Stone",聚魂石
"Primordial Might",先祖力量
"Xoph's Nurture",索伏的愛撫
"The Formless Flame",無形火炬
"The Formless Inferno",無形煉獄
"Xoph's Heart",索伏之心
"Ngamahu's Flame",里特拿馬乎
"Tukohama's Fortress",圖克哈瑪堡壘
"Voll's Vision",福爾的遠見
Tulborn,托沃崩
"The Halcyon",太平
"Shade of Solaris",日耀之影
"The Infinite Pursuit",無盡之距
"The Pandemonius",群魔殿
"The Red Trail",赤紅蹤跡
"Voice of the Storm",暴風之言
"Xoph's Blood",索伏之血
"Xoph's Inception",索伏的始源
"Light of Lunaris",月影之耀
"The Surrender",降伏
"Malachai's Vision",瑪拉凱的遠見
"Hand of Thought and Motion",思動之手
"Sin's Rebirth",再生的罪惡
"The Snowblind Grace",雪盲恩惠
"Hand of Wisdom and Action",智行之手
"Esh's Mirror",艾許之鏡
"Esh's Visage",艾許之面
"Choir of the Storm",暴風之語
"The Perfect Form",完美姿態
"Uul-Netol's Kiss",烏爾尼多之吻
"Uul-Netol's Embrace",烏爾尼多的擁抱
"The Anticipation",懸念
"Severed in Sleep",離異夢寐
"United in Dream",合流夢寐
"Skin of the Loyal",忠誠之膚
"Skin of the Lords",君主之膚
"The Brine Crown",海王冠冕
"Presence of Chayula",夏烏拉之印
"Gruthkul's Pelt",葛魯斯寇真皮
"Arakaali's Fang",艾爾卡莉之牙
Perseverance,恆毅意志
Duskdawn,宵曉
"Kitava's Feast",奇塔弗之盛宴
"The Red Dream",赤影夢境
"The Red Nightmare",赤影夢魘
"The Green Dream",青影夢境
"The Green Nightmare",青影夢魘
"The Blue Dream",碧影夢境
"The Blue Nightmare",碧影夢魘
"Abberath's Hooves",艾貝拉斯之蹄
"Angler's Plait",漁夫之辮
Felltooth,崩齒
"Sudden Ignition",急遽點燃
"Ring of Blades",環形刃
"Winter Burial",冬葬
"Violent Dead",亡者之殘
"First Snow",初雪
"Garukhan's Flight",卡洛翰之影
Tidebreaker,破浪者
"Martyr of Innocence",烈士之淨
"Frozen Trail",跡凍
Wildfire,燐火
"Fight for Survival",存戰
"Omen on the Winds",乘風之兆
"Overwhelming Odds",絕對壓制
"The Baron",男爵
Haemophilia,逆凝之血
"Bisco's Collar",畢斯寇的項圈
"Might and Influence",強權之勢
Inevitability,必然
"Ryslatha's Coil",瑞斯拉薩之纏
"Collateral Damage",戰殤
"Ahn's Heritage",漢恩的遺產
"The Wise Oak",哲櫟
"Bisco's Leash",畢斯寇繫帶
"Spreading Rot",拓蝕
"Boundless Grasp",無邊抑制
"Hazardous Research",危機學
"Soul Tether",靈魂束縛
"Ahn's Might",漢恩的期許
"Ahn's Contempt",漢恩的蔑視
Mordhau,魔器
"Pagan Geis",異宗之鏡
"Prospero's Vault",普洛斯彼羅金庫
"Speaker's Wreath",預言家桂冠
"The Unshattered Will",不滅意志
"Choking Ash",窒息餘燼
"Straight and True",不變真理
"Inya's Epiphany",茵雅的頓悟
"Volkuur's Guidance",福庫爾的指引
"The Coming Calamity",災難臨頭
"Eber's Unification",希伯的統治
"Yriel's Fostering",伊瑞的栽培
"The Tempest's Binding",風暴的拘束
"The Enmity Divine",惡言聖語
"The Fracturing Spinner",裂斷蛛絲
"The Flow Untethered",潺流不息
"The Rippling Thoughts",漣漪冥想
Dendrobate,箭毒蛙
Allelopathy,相生相剋
"The Embalmer",福馬林
"First Piece of the Arcane",第一奧術碎片
"Maligaro's Cruelty",馬雷葛蘿的殘暴
"The Wasp Nest",蜂巢浪湧
"Debeon's Dirge",狄恩的輓歌
Taproot,砥礪深根
"The Beachhead",神諭之殿
"From Dust",塵土歸來
"Second Piece of the Arcane",第二奧術碎片
"Third Piece of the Arcane",第三奧術碎片
"First Piece of Focus",第一專注碎片
"Second Piece of Focus",第二專注碎片
"Third Piece of Focus",第三專注碎片
"Fourth Piece of Focus",第四專注碎片
"First Piece of Brutality",第一暴虐碎片
"Second Piece of Brutality",第二暴虐碎片
"Third Piece of Brutality",第三暴虐碎片
"First Piece of Time",第一時空碎片
"Second Piece of Time",第二時空碎片
"First Piece of Directions",第一象限碎片
"Second Piece of Directions",第二象限碎片
"Third Piece of Directions",第三象限碎片
"First Piece of Storms",第一風暴碎片
"Second Piece of Storms",第二風暴碎片
"Third Piece of Storms",第三風暴碎片
"Borrowed Power",力量借貸
"The Rack",架子
Bloodletter,血書
"Galla's Riposte",加拉的突刺刃
"Dialla's Malefaction",達拉的罪刑
"Malachai's Mark",瑪拉凱之面
Stormcharger,暴充
Wraithlord,憤靈郡主
Giantsbane,大屠殺
"Cane of Unravelling",初惡枝枒
"Pillars of Arun",艾倫之柱
"Vix Lunaris",波動月影
"Inpulsa's Broken Heart",印卜薩的心碎
"The Long Winter",凜冽久冬
"Invictus Solaris",堅毅日耀
"The Poet's Pen",學富之筆
"Memory Vault",回憶寶庫
"Doedre's Skin",德瑞之膚
Arborix,阿布里斯
"White Wind",白風
"Yoke of Suffering",磨難之軛
"The Hungry Loop",惡鬼轉世
"Ralakesh's Impatience",芮勒蓋許的急躁
"The Twilight Temple",暮色神廟
"Pure Talent",純才
"Leper's Alms",痲瘋的醫款
"Coralito's Signature",克拉里多的名印
"Bubonic Trail",布巴尼克的線索
Oskarm,厄斯根
"Doryani's Machinarium",多里亞尼的機械迷城
"Sands of Shakari",夏卡莉之沙
"Might of the Meek",儒子可教
"The Golden Rule",黃金守則
"Darkness Enthroned",夜惡降臨
"Soul's Wick",魂靈之芯
"Magna Eclipsis",堅毅之蝕
Gloomfang,憂愁獠根
Vulconus,祝融鍛冶
Bloodbond,血肉結合
"Beltimber Blade",刀鋒禁材
"Grelwood Shank",沃德步伐
Augyre,相星占卜
Shimmeron,低伏微光
Hopeshredder,破滅之希
Nebuloch,銀河眾星
"Blasphemer's Grasp",褻瀆者之握
"Watcher's Eye",看守之眼
"Cyclopean Coil",巨岩之環
Balefire,野火
Impresence,不在場證明
Lightpoacher,光明獵盜者
Tombfist,陵拳
"Shroud of the Lightless",晦暗的屍布
Oni-Goroshi,西拉氣流殺
"Craiceann's Chitin",奎爾珊畸面
"Craiceann's Pincers",奎爾珊堅鉗
"Craiceann's Tracks",奎爾珊之跡
