"Abberath's Fury",艾貝拉斯之怒
Discharge,解放
Discipline,紀律
"Divine Ire",聖怒
"Dominating Blow",霸氣之擊
"Doom Arrow",厄運箭矢
"Doom Blast",厄運枯萎
"Doryani's Touch",多里亞尼之觸
"Double Strike",雙重打擊
"Dread Banner",恐懼之旗
"Dual Strike",雙持打擊
Earthquake,震地
Earthshatter,碎地重擊
"Edict of Blades",刀鋒之律
"Edict of Flames",烈火之律
"Edict of Force",原力之律
"Edict of Frost",寒冰之律
"Edict of Fury",狂怒之律
"Edict of Inferno",煉獄之律
"Edict of Ire",憤怒之律
"Edict of Light",光之律
"Edict of Reflection",倒影之律
"Edict of Spite",怨恨之律
"Edict of the Grave",冰墓之律
"Edict of the Tempest",風暴之律
"Edict of Thunder",雷電之律
"Edict of War",戰爭之律
"Edict of Winter",冬之律
"Elemental Aegis",元素聖盾
"Elemental Hit",元素打擊
"Elemental Projectiles",元素投射
"Elemental Warding",元素守護
"Elemental Weakness",元素要害
"Embrace Madness",擁抱瘋魔
"Empowering Howl",增強怒嚎
"Enduring Cry",堅決戰吼
"Energy Blade",能量之刃
Enfeeble,衰弱
"Ensnaring Arrow",誘捕箭矢
Envy,忌妒
"Essence Drain",靈魂吸取
"Ethereal Knives",虛空匕首
"Explosive Arrow",爆炸箭矢
"Explosive Concoction",爆裂物
"Explosive Trap",爆裂陷阱
Exsanguinate,抽血
"Eye of Winter",凜冬之眼
"Face Last Target",面對最後目標
"Feast of Flesh",血肉盛宴
"Fiery Impact",熾熱衝擊
"FigureHead Incinerate",頭像燒毀
"Fire Aegis",火焰聖盾
"Fire Burst",火焰爆破
"Fire Elemental Cone",火元素炎錐
"Fire Nova Mine",火焰新星地雷
"Fire Projectile Retaliation",火焰投射物復仇
"Fire Trap",火焰陷阱
"Fire Weapon",烈焰武器
Fireball,火球
Firestorm,烈炎風暴
"Flame Breath",火焰之息
"Flame Dash",烈焰衝刺
"Flame Link",連結：烈焰
"Flame Surge",怒焰奔騰
"Flame Wall",烈焰之牆
Flameblast,烈焰爆破
"Flames of Judgement",審判烈焰
"Flamethrower Trap",噴火陷阱
Flammability,易燃
"Flammable Shot",燃燒射擊
"Flask Charge Nova",藥劑充能冰霜
"Flesh and Stone",血肉骸骨
"Flesh Offering",血肉奉獻
"Flicker Strike",閃現打擊
"Flicker Thrust",閃現突擊
Focus,專注
"Fog of War",戰爭迷霧
"Forbidden Rite",禁忌儀式
"Freeze Mine",冰凍地雷
"Freezing Pulse",冰霜脈衝
Frenzy,狂怒球
"Frost Blades",冰霜之刃
"Frost Bolt Channel",持續施法寒冰彈
"Frost Bomb",寒霜爆
"Frost Shield",寒霜護盾
"Frost Wall",冰牆
Frostbite,凍傷
Frostblink,霜漣之瞬
Frostbolt,寒冰彈
"Frozen Legion",戰亂．凍結
"Frozen Sweep",橫掃．凍結
"Galvanic Arrow",電流箭矢
"Galvanic Field",電光領域
"General's Cry",將軍戰吼
"Glacial Cascade",冰川之刺
"Glacial Hammer",冰霜之錘
"Glimpse of Eternity",永恆閃光
"Gluttony of Elements",元素之癒
"Goddess Beam",女神光束
"Goddess Warp",女神傳送
"Gore Shockwave",血腥衝擊波
Grace,優雅
"Ground Slam",裂地之擊
Haste,迅捷
Hatred,憎恨
"Heavy Strike",沉重之擊
"Herald of Agony",苦痛之捷
"Herald of Ash",灰燼之捷
"Herald of Blood",鮮血之捷
"Herald of Ice",冰霜之捷
"Herald of Purity",純淨之捷
"Herald of Thunder",閃電之捷
Hexblast,咒術枯萎
"Holy Flame Totem",神聖火舌圖騰
Hydrosphere,水弒界
"Ice Crash",寒冰衝擊
"Ice Elemental Spear",冰元素尖矛
"Ice Nova",冰霜新星
"Ice Shot",冰霜射擊
"Ice Spear",冰矛
"Ice Trap",冰凍陷阱
Icefire,霜火
Icestorm,冰風暴
"Icicle Burst",冰柱爆裂
"Icicle Mine",冰雹地雷
Ignite,點燃
"Illusory Warp",幻影傳送
"Immortal Call",不朽怒嚎
"Inca Boss Freezing Pulse",印加頭目急凍波
Incinerate,燒毀
"Increased Damage Taken Aura",增加受到傷害光環
"Infernal Blow",煉獄之擊
"Infernal Cry",煉獄戰吼
"Infernal Sweep",煉獄襲擊
"Intimidating Cry",威嚇戰吼
"Intuitive Link",連結：直覺
"Izaro Warp",伊澤洛傳送
Kill,殺死
"Kinetic Blast",力量爆破
"Kinetic Bolt",力量穿引
Lacerate,破空斬
"Lancing Steel",鋼之突刺
"Leap Slam",躍擊
"Lightning Aegis",閃電聖盾
"Lightning Arrow",閃電箭矢
"Lightning Bolt",雷擊
"Lightning Clone Retaliation",閃電複製體復仇
"Lightning Conduit",導雷
"Lightning Spire Trap",鋒雷陷阱
"Lightning Strike",閃電打擊
"Lightning Tendrils",電能釋放
"Lightning Trap",閃電陷阱
"Lightning Warp",閃電傳送
Malevolence,惡意
Manabond,魔能束縛
"Manifest Dancing Dervishes",幻化狂舞德爾維希
"Mirror Arrow",魅影射擊
"Molten Burst",熔岩爆破
"Molten Shell",熔岩護盾
"Molten Strike",熔岩之擊
Mortar,迫擊砲
"Orb of Storms",風暴漩渦
"Penance Brand",贖罪烙印
Perforate,裂地刺穿
"Pestilent Strike",瘟疫打擊
"Petrification Statue",石化雕像
"Petrified Blood",石化之血
"Phase Run",暗影迷蹤
"Physical Aegis",物理聖盾
"Physical Degeneration Aura",持續物理傷害光環
"Physical Projectile Retaliation",物理投射物復仇
"Piety Beam",派蒂光束
"Piety Reverse Cleave",派蒂反向劈砍
Plague,病疫
"Plague Bearer",病疫之難
"Poacher's Mark",盜獵者印記
"Poisonous Concoction",毒藥
Polymorph,變形術
Portal,時空之門
"Power Siphon",力量抽取
Precision,精準
Pride,驕傲
"Primal Aegis",始祖聖盾
"Protective Link",連結：保護
Puncture,放血
Punishment,懲戒
"Purifying Flame",淨化烈焰
"Purity of Elements",元素淨化
"Purity of Fire",火焰淨化
"Purity of Ice",冰霜淨化
"Purity of Lightning",閃電淨化
"Pyroclast Mine",炎爆新星地雷
"Queen's Demand",女王之慾
"Rage Vortex",盛怒漩渦
"Rain of Arrows",箭雨
"Rain Of Blades",刀雨
"Raise Spectre",喚醒幽魂
"Raise Spiders",異蛛復甦
"Raise Zombie",殭屍復甦
"Rallying Cry",激勵戰吼
"Range Finder",距離探測
Reap,收割
Reave,衝擊波
Reckoning,清算
Reflection,反射
"Rejuvenation Totem",回春圖騰
"Rending Steel (NOT CURRENTLY USED)",鋼之裂化
"Righteous Fire",正義之火
"Righteous Lightning",正義怒雷
Riposte,擊刃
Riptide,激流
"Rolling Magma",熔岩翻騰
"Rune Blast",符文爆破
"Scorching Ray",熾灼奔流
"Scourge Arrow",天譴之箭
"Searing Bond",灼熱連結
"Seismic Cry",裂地戰吼
"Seismic Trap",地裂陷阱
"Shade Form",暗影姿態
"Shadow Blades",幻影刀刃
"Shattering Steel",鋼之碎擊
"Shield Charge",重盾衝鋒
"Shield Crush",重盾粉碎
"Shield Shatter",盾牌碎裂
"Shock Ground",感電地面
"Shock Nova",閃電新星
Shockwave,衝擊波
"Shockwave Totem",震波圖騰
"Shrapnel Ballista",彈片砲塔
"Siege Ballista",攻城炮台
"Sigil of Power",咒符之力
"Signal Prey",獵物信號
"Siphoning Trap",虹吸陷阱
"Slow Aura",緩速光環
Smite,雷鳴重擊
"Smoke Mine",煙霧地雷
Snipe,狙擊
"Sniper's Mark",狙擊者印記
"Soul Link",連結：靈魂
Soulrend,靈體撕裂
Spark,電球
"Spectral Helix",靈體旋武
"Spectral Shield Throw",盾靈投擲
"Spectral Spinning Weapon",靈製武器
"Spectral Spirits",幽魂之靈
"Spectral Throw",靈體投擲
Spellslinger,法術回音
"Spirit Burst",靈體爆破
"Spirit Offering",靈魂奉獻
"Split Arrow",分裂箭矢
"Splitting Steel",鋼之裂化
"Stalking Pustule",潛行毒玉
"Static Strike",充能打擊
"Static Tether",靜電鎖鏈
Steelskin,鋼筋鐵骨
"Storm Brand",風暴烙印
"Storm Burst",風爆
"Storm Call",風暴呼喚
"Storm Cascade",風暴突襲
"Storm Cloud Lightning Warp",暴雨雲閃電傳送
"Storm of Judgement",審判風暴
"Storm Rain",暴風雷雨
Stormbind,風暴術符
"Stormblast Mine",風爆地雷
"Summon Arbalists",召喚弩兵
"Summon Bestial Rhoa",召喚兇猛恐喙鳥
"Summon Bestial Snake",召喚兇猛蟒蛇
"Summon Bestial Ursa",召喚兇猛之爪
"Summon Carrion Golem",召喚食腐魔像
"Summon Chaos Golem",召喚混沌魔像
"Summon Doedre's Effigy",召喚德瑞肖像
"Summon Flame Golem",召喚烈焰魔像
"Summon Greater Harbinger of Brutality",召喚高階暴虐神諭
"Summon Greater Harbinger of Directions",召喚高階象限神諭
"Summon Greater Harbinger of Focus",召喚高階專注神諭
"Summon Greater Harbinger of Storms",召喚高階風暴神諭
"Summon Greater Harbinger of the Arcane",召喚高階奧術神諭
"Summon Greater Harbinger of Time",召喚高階時空神諭
"Summon Harbinger of Brutality",召喚暴虐神諭
"Summon Harbinger of Directions",召喚象限神諭
"Summon Harbinger of Focus",召喚專注神諭
"Summon Harbinger of Storms",召喚風暴神諭
"Summon Harbinger of the Arcane",召喚奧術神諭
"Summon Harbinger of Time",召喚時空神諭
"Summon Holy Relic",召喚聖物
"Summon Ice Golem",召喚寒冰魔像
"Summon Lightning Golem",召喚閃電魔像
"Summon Phantasm",召喚幻影
"Summon Raging Spirit",召喚憤怒狂靈
"Summon Reaper",召喚奪魂鐮
"Summon Skeletons",召喚骷髏
"Summon Skeletons Channelled",引導召喚骷髏
"Summon Skitterbots",召喚探測機獸
"Summon Spectral Wolf",召喚幽狼
"Summon Stone Golem",召喚巨石魔像
"Summon Taunting Contraption",召喚嘲諷機械
Sunder,大地震擊
Sweep,橫掃
"Table Charge",圓盾衝鋒
"Talisman Degen",魔符詛咒
"Talisman Summon Lightning Spiral",魔符召喚電渦
Taunt,嘲諷
"Tawhoa's Chosen",塔赫亞的抉擇
"Tectonic Slam",破體之擊
"Tempest Shield",暴風之盾
"Temporal Chains",時空鎖鍊
"Temporal Rift",時空裂隙
"Tentacle Whip",觸手鞭擊
"Thirst for Blood",嗜血
Throw,投擲
"Throw Dynamite",投擲炸藥
"Throw Flare",投擲閃光
Tornado,龍捲風
"Tornado Shot",龍捲射擊
"Touch Of God",天譴之拳
"Toxic Rain",腐蝕毒雨
Twister,旋風
Unearth,屍術矢
Unhinge,錯亂
Unnamed2,未命名
"Unseen Strike",隱匿突擊
"Vaal Ancestral Warchief",瓦爾．先祖戰士長
"Vaal Arc",瓦爾．電弧
"Vaal Blade Flurry",瓦爾．刀鋒亂舞
"Vaal Blade Vortex",瓦爾．飛刃風暴
"Vaal Blight",瓦爾．萎滅
"Vaal Breach",瓦爾．裂痕
"Vaal Burning Arrow",瓦爾．燃燒箭矢
"Vaal Caustic Arrow",瓦爾．腐蝕箭矢
"Vaal Clarity",瓦爾．清晰
"Vaal Cleave",瓦爾．劈砍
"Vaal Cold Snap",瓦爾．霜暴
"Vaal Cyclone",瓦爾．旋風斬
"Vaal Detonate Dead",瓦爾．屍體爆破
"Vaal Discipline",瓦爾．紀律
"Vaal Double Strike",瓦爾．雙重打擊
"Vaal Earthquake",瓦爾．震地
"Vaal Fire Trap",瓦爾．火焰陷阱
"Vaal Fireball",瓦爾．火球
"Vaal Flameblast",瓦爾．烈焰爆破
"Vaal Flesh Offering",瓦爾．血肉奉獻
"Vaal Flicker Strike",瓦爾．閃現打擊
"Vaal Glacial Hammer",瓦爾．冰霜之錘
"Vaal Grace",瓦爾．優雅
"Vaal Ground Slam",瓦爾．裂地之擊
"Vaal Haste",瓦爾．迅捷
"Vaal Heavy Strike",瓦爾．沉重之擊
"Vaal Ice Nova",瓦爾．冰霜新星
"Vaal Immortal Call",瓦爾．不朽怒嚎
"Vaal Impurity of Fire",瓦爾．不淨之火
"Vaal Impurity of Ice",瓦爾．不淨之冰
"Vaal Impurity of Lightning",瓦爾．不淨之雷
"Vaal Lightning Strike",瓦爾．閃電打擊
"Vaal Lightning Trap",瓦爾．閃電陷阱
"Vaal Lightning Warp",瓦爾．閃電傳送
"Vaal Molten Shell",瓦爾．熔岩護盾
"Vaal Molten Strike",瓦爾．熔岩之擊
"Vaal Power Siphon",瓦爾．力量抽取
"Vaal Rain of Arrows",瓦爾．箭雨
"Vaal Reave",瓦爾．衝擊波
"Vaal Righteous Fire",瓦爾．正義之火
"Vaal Smite",瓦爾．雷鳴重擊
"Vaal Spark",瓦爾．電球
"Vaal Spectral Throw",瓦爾．靈體投擲
"Vaal Storm Call",瓦爾．風暴呼喚
"Vaal Summon Skeletons",瓦爾．召喚骷髏
"Vaal Sweep",瓦爾．橫掃
"Vaal Venom Gyre",瓦爾．猛毒迴旋
"Vaal Vitality",瓦爾．活力
"Vaal Volcanic Fissure",瓦爾．炎火脈動
"Vampiric Link",連結：吸血
Vengeance,復仇
"Venom Gyre",猛毒迴旋
"Vigilant Strike",戒備打擊
"Vinktar Lightning Bond",閃電鏈結
"Viper Strike",毒蛇打擊
Vitality,活力
"Void Gaze",虛空凝視
"Void Shot",虛無疾射
"Void Sphere",虛無玉
"Volatile Anomaly",極凍天體
"Volatile Dead",致命之息
"Volcanic Fissure",炎火脈動
"Voltaxic Burst",魔痕爆發
Vortex,漩渦
Vulnerability,脆弱
"Wand Teleport",傳送法杖
"War Banner",戰爭之旗
"Warlord's Mark",督軍印記
"Wave of Conviction",信念浪湧
"Whirling Blades",迴旋之刃
"Whirling Leap",迴旋躍擊
"Wild Strike",野性打擊
Wildfire,野火
"Winter Orb",凜冬之球
"Wintertide Brand",冬潮烙印
Wither,死亡凋零
"Withering Step",凋零之步
"Word of Blades",刀鋒之誓
"Word of Flames",烈火之誓
"Word of Force",原力之誓
"Word of Frost",寒冰之誓
"Word of Fury",狂怒之誓
"Word of Inferno",煉獄之誓
"Word of Ire",憤怒之誓
"Word of Light",光之誓
"Word of Reflection",倒影之誓
"Word of Spite",怨恨之誓
"Word of the Grave",冰墓之誓
"Word of the Tempest",風暴之誓
"Word of Thunder",雷電之誓
"Word of War",戰爭之誓
"Word of Winter",冬之誓
Wrath,雷霆
Zealotry,狂熱
"Bone Corpses",骸骨屍體
"Flip a coin",擲硬幣
"Gravity Sphere",重力象限
"Prismatic Burst",三相爆發
"Stance Swap",姿態轉換
"Summon Barrel",召喚木桶
"Summon Triggerbots",召喚觸發機械
"Vaal Absolution",瓦爾．赦免
"Vaal Animate Weapon",瓦爾．幻化武器
"Vaal Arctic Armour",瓦爾．極地裝甲
"Vaal Domination",瓦爾．霸氣
"Vaal Firestorm",瓦爾．烈炎風暴
"Vaal Ice Shot",瓦爾．冰霜射擊
"Vaal Lightning Arrow",瓦爾．閃電箭矢
"Vaal Reap",瓦爾．收割
"Vaal Rejuvenation Totem",瓦爾．回春圖騰
"Vaal Split Arrow",瓦爾．分裂箭矢
"Avenging Flame",復仇烈焰
"Play Dead!",裝死！
"Playtest Attack",測試攻擊
"Playtest Slam",測試重擊
"Playtest Spell",測試法術
Quickstep,迅捷步伐
"Roll Over!",翻滾！
Sit!,坐下！
"Summon Elemental Relic",召喚元素聖物
"Summon Sentinel of Radiance",召喚光輝護衛
"Summon Spirit of Ahuana",召喚阿呼阿娜之魂
"Summon Spirit of Akoya",召喚艾古亞之魂
"Summon Spirit of Ikiaho",召喚伊基亞呼之魂
"Summon Spirit of Kahuturoa",召喚卡胡圖羅亞之魂
"Summon Spirit of Kaom",召喚岡姆之魂
"Summon Spirit of Kiloava",召喚基洛阿瓦之魂
"Summon Spirit of Maata",召喚瑪塔之魂
"Summon Spirit of Rakiata",召喚萊基亞塔之魂
"Summon Spirit of Tawhanuku",召喚塔瓦努庫之魂
"Summon Spirit of Utula",召喚烏圖拉之魂
"Who's a Good Doggy?",誰是乖狗勾？
"Spray Paint Celestial",噴漆彩繪．眾星
"Spray Paint Magmatic",噴漆彩繪．熔岩
"Spray Paint Blood",噴漆彩繪．鮮血
"Ground Slam of Earthshaking",裂地之擊．地震
"Cleave of Rage",劈砍．盛怒
"Leap Slam of Groundbreaking",躍擊．地破
"Double Strike of Impaling",雙重打擊．穿刺
"Double Strike of Momentum",雙重打擊．氣勢
"Dual Strike of Ambidexterity",雙持打擊．靈活
"Frenzy of Onslaught",狂怒．猛攻
"Caustic Arrow of Poison",腐蝕箭矢．中毒
"Detonate Dead of Scavenging",屍體爆破．清洗
"Detonate Dead of Chain Reaction",屍體爆破．連鎖
"Flicker Strike of Power",閃現打擊．暴擊
"Split Arrow of Splitting",分裂箭矢．分裂
"Cold Snap of Power",霜暴．暴擊
"Ice Nova of Frostbolts",冰霜新星．寒冰彈
"Ice Nova of Deep Freeze",冰霜新星．深層冰凍
"Arc of Surging",電弧．波動
"Arc of Oscillating",電弧．震盪
"Raise Zombie of Slamming",殭屍復甦．重擊
"Raise Zombie of Falling",殭屍復甦．殞落
"Righteous Fire of Arcane Devotion",正義之火．秘能奉獻
"Discharge of Misery",解放．苦痛
"Spark of the Nova",電球．新星
"Spark of Unpredictability",電球．未知
"Ice Spear of Splitting",冰矛．分裂
"Raise Spectre of Transience",喚醒幽魂．轉瞬
"Infernal Blow of Immolation",煉獄之擊．自焚
"Glacial Hammer of Shattering",冰霜之錘．粉碎
"Viper Strike of the Mamba",毒蛇打擊．曼巴
"Summon Skeletons of Archery",召喚骷髏．箭術
"Summon Skeletons of Sorcery",召喚骷髏．巫術
"Dominating Blow of Inspiring",霸氣之擊．啟發
"Rain of Arrows of Artillery",箭雨．火炮
"Rain of Arrows of Saturation",箭雨．飽和
"Firestorm of Meteors",烈炎風暴．隕石
"Firestorm of Pelting",烈炎風暴．猛擲
"Lightning Strike of Arcing",閃電打擊．電弧
"Power Siphon of the Archmage",力量抽取．大法師
"Lightning Arrow of Electrocution",閃電箭矢．電刑
"Burning Arrow of Vigour",燃燒箭矢．活力
"Bear Trap of Skewers",捕熊陷阱．串燒
"Fire Trap of Blasting",火焰陷阱．爆發
"Ethereal Knives of Lingering Blades",虛空匕首．餘刃
"Ethereal Knives of the Massacre",虛空匕首．屠殺
"Ball Lightning of Orbiting",天雷之珠．軌跡
"Ball Lightning of Static",天雷之珠．靜電
"Cyclone of Tumult",旋風斬．騷動
"Reave of Refraction",衝擊波．折射
"Lightning Trap of Sparking",閃電陷阱．電球
"Animate Guardian of Smiting",幻化守衛．重擊
"Spectral Throw of Materialising",靈體投擲．具現化
"Animate Weapon of Self Reflection",幻化武器．反射
"Animate Weapon of Ranged Arms",幻化武器．遠程
"Flameblast of Celerity",烈焰爆破．迅速
"Flameblast of Contraction",烈焰爆破．緊縮
"Barrage of Volley Fire",彈幕．齊射
"Summon Raging Spirit of Enormity",召喚憤怒狂靈．巨型
"Flame Surge of Combusting",怒焰奔騰．燃燒
"Molten Strike of the Zenith",熔岩之擊．極盛
"Tornado Shot of Cloudburst",龍捲射擊．雲爆
"Lightning Tendrils of Eccentricity",電能釋放．異變
"Lightning Tendrils of Escalation",電能釋放．擴大
"Blink Arrow of Bombarding Clones",閃現射擊．炸彈客
"Blink Arrow of Prismatic Clones",閃現射擊．神秘客
"Mirror Arrow of Bombarding Clones",魅影射擊．炸彈客
"Mirror Arrow of Prismatic Clones",魅影射擊．神秘客
"Summon Chaos Golem of Hordes",召喚混沌魔像．部落
"Summon Chaos Golem of the Maelström",召喚混沌魔像．漩渦
"Summon Ice Golem of Hordes",召喚寒冰魔像．部落
"Summon Ice Golem of Shattering",召喚寒冰魔像．粉碎
"Summon Flame Golem of Hordes",召喚烈焰魔像．部落
"Summon Flame Golem of the Meteor",召喚烈焰魔像．隕石
"Ice Crash of Cadence",寒冰衝擊．節奏
"Flame Dash of Incinerating",烈焰衝刺．焚燒
"Flame Dash of Return",烈焰衝刺．返回
"Frost Blades of Katabasis",冰霜之刃．降臨
"Wild Strike of Extremes",野性打擊．極致
"Ice Trap of Hollowness",冰凍陷阱．空心
"Galvanic Arrow of Energy",電流箭矢．能量
"Galvanic Arrow of Surging",電流箭矢．波動
"Bladefall of Volleys",虛空刀雨．齊射
"Bladefall of Impaling",虛空刀雨．穿刺
"Frost Bomb of Instability",寒霜爆．不穩定
"Frost Bomb of Forthcoming",寒霜爆．來臨
"Summon Stone Golem of Hordes",召喚巨石魔像．部落
"Summon Stone Golem of Safeguarding",召喚巨石魔像．保安
"Earthquake of Amplification",震地．增幅
"Contagion of Subsiding",瘟疫．消退
"Contagion of Transference",瘟疫．移轉
"Essence Drain of Desperation",靈魂吸取．絕望
"Essence Drain of Wickedness",靈魂吸取．邪惡
"Siege Ballista of Splintering",攻城炮台．碎片
"Sunder of Earthbreaking",大地震擊．地破
"Vortex of Projection",漩渦．投射
"Blight of Contagion",萎滅．瘟疫
"Blight of Atrophy",萎滅．萎縮
"Blade Flurry of Incision",刀鋒亂舞．切割
"Summon Lightning Golem of Hordes",召喚閃電魔像．部落
"Lacerate of Butchering",破空斬．屠宰
"Lacerate of Haemorrhage",破空斬．出血
"Scorching Ray of Immolation",熾灼奔流．焚燒
"Blade Vortex of the Scythe",飛刃風暴．鐮刀
"Spectral Shield Throw of Shattering",盾靈投擲．粉碎
"Volatile Dead of Confinement",致命之息．禁閉
"Volatile Dead of Seething",致命之息．沸騰
"Cremation of Exhuming",熔炎送葬．深掘
"Cremation of the Volcano",熔炎送葬．火山
"Bodyswap of Sacrifice",屍術傳送．獻祭
"Tectonic Slam of Cataclysm",破體之擊．災變
"Explosive Trap of Shrapnel",爆裂陷阱．彈片
"Explosive Trap of Magnitude",爆裂陷阱．量級
"Lightning Spire Trap of Zapping",鋒雷陷阱．殘喘
"Lightning Spire Trap of Overloading",鋒雷陷阱．過載
"Seismic Trap of Swells",地裂陷阱．膨脹
"Consecrated Path of Endurance",奉獻之路．持久
"Smite of Divine Judgement",雷鳴重擊．聖判
"Scourge Arrow of Menace",天譴之箭．威脅
"Toxic Rain of Sporeburst",腐蝕毒雨．爆發
"Toxic Rain of Withering",腐蝕毒雨．凋零
"Storm Brand of Indecision",風暴烙印．躊躇
"Shattering Steel of Ammunition",鋼之碎擊．彈藥
"Armageddon Brand of Volatility",末日烙印．揮發
"Armageddon Brand of Recall",末日烙印．呼喚
"Purifying Flame of Revelations",淨化烈焰．啟示
"Soulrend of Reaping",靈體撕裂．收割
"Soulrend of the Spiral",靈體撕裂．螺旋
"Bane of Condemnation",災厄．譴責
"Divine Ire of Holy Lightning",聖怒．雷神
"Divine Ire of Disintegration",聖怒．毀滅
"Holy Flame Totem of Ire",神聖火舌圖騰．怒火
"Bladestorm of Uncertainty",旋天劍舞．未知
"Perforate of Duality",裂地刺穿．雙持
"Perforate of Bloodshed",裂地刺穿．流血
"Frostblink of Wintry Blast",霜漣之瞬．寒風
"Summon Carrion Golem of Hordes",召喚食腐魔像．部落
"Summon Carrion Golem of Scavenging",召喚食腐魔像．清洗
"Pyroclast Mine of Sabotage",炎爆新星地雷．破壞
"Icicle Mine of Fanning",冰雹地雷．扇動
"Icicle Mine of Sabotage",冰雹地雷．破壞
"Shrapnel Ballista of Steel",彈片砲塔．鋼鐵
"Stormbind of Teleportation",風暴術符．傳送
"Rune Blast of Teleportation",符文爆破．傳送
"Kinetic Bolt of Fragmentation",力量穿引．碎片
"Blade Blast of Unloading",劍刃爆破．卸載
"Blade Blast of Dagger Detonation",劍刃爆破．匕首爆炸
"Penance Brand of Dissipation",贖罪烙印．消散
"Penance Brand of Conduction",贖罪烙印．傳導
