"Player modifiers:",玩家加成:
"= {0}% (crit chance)","= {0}% (暴擊機率)"
"x {0} (chance to hit)","x {0} (擊中幾率)"
"{0}% (additional extra damage)","{0}% (額外的額外傷害)"
"x {0} (increased/reduced extra crit damage taken by enemy)","x {0} (提高/降低 敵人額外暴擊傷害)"
"= {0}% (extra crit damage)","= {0}% (額外暴擊傷害)"
"{0} to {1} x {2} (base damage from {3} multiplied by base damage multiplier)","{0} to {1}) x {2} (來自 {3} 倍基礎傷害的基礎傷害)"
"{0} to {1} (base damage from weapon)","{0} 至 {1} (武器基礎傷害)"
"{0} to {1} x {2} (added damage multiplied by damage effectiveness)","{0} 至 {1} x {2} (更多 傷害倍數 從 傷害效果)"
"+ {0} to {1} (added damage)","+ {0} 至 {1} (更多傷害)"
"x {0} (chance to deal double damage)","x {0} (造成雙倍傷害幾率)"
"x {0} (ruthless blow effect modifier)","x {0} (無情效果加成)"
"x {0} (effective DPS modifier)","x {0} (DPS 效果加成)"
"{0} x {1} - {2} (damage from non-crits)","{0} x {1} - {2} (來自非暴擊傷害)"
"+ {0} x {1} (damage from crits)","+ {0} x {1} (來自暴擊傷害)"
"{0} (average hit)","{0} (平均擊中)"
"{0} + {1} (skill hits with both weapons at once)","{0} + {1} ( 2 把武器同時使用技能擊中)"
"{0} + {1} / {2} (skill alternates weapons)","{0} + {1} / {2} (武器交替使用技能)"
"{0} (average damage)","{0} (平均傷害)"
"x {0} (hit rate)","x {0} (擊中速度)"
"x {0} (attack rate)","x {0} (攻擊速度)"
"x {0} (cast rate)","x {0} (施法速度)"
"x {0} (DPS multiplier for this skill)","x {0} (此技能 DPS 倍數)"
"{0} x {1} - {2} (chance from non-crits)","{0} x {1} - {2} (非暴擊幾率)"
"+ {0} x {1} (chance from crits)","+ {0} x {1} (暴擊幾率)"
"{0} (source damage)","{0} (源傷害)"
"{0} (source damage from non-crits)","{0} (非暴擊源傷害)"
"x {0} (portion of instances created by non-crits)","x {0} (非暴擊實例部分)"
"{0} (source damage from crits)","{0} (暴擊源傷害)"
"x {0} (portion of instances created by crits)","x {0} (暴擊實例部分)"
"x {0} (bleed deals {1}% per second)","x {0} (每秒流血 {1}%)"
"x {0} (ailment effect modifier)","x {0} (異常狀態效果加成)"
"{0} (total damage per second)","{0} (每秒總傷害)"
"{0} (ailment effect modifier)","{0} (異常狀態效果加成)"
"{0} (damage rate modifier)","{0} (傷害速度加成)"
"{0} (effective DPS modifier)","{0} (DPS 效果加成)"
"{0} (base duration)","{0} (基礎持續時間)"
"/ {0} (damage rate modifier)","/ {0} (傷害速度加成)"
"x 0.20 (poison deals 20% per second)","x 0.20 (每秒 20% 中毒傷害)"
"{0} (damage per second)","{0} (每秒傷害)"
"x {0} (poison duration)","x {0} (中毒持續時間)"
"{0} (poison duration)","{0} (中毒持續時間)"
"{0} (poison chance)","{0} (中毒幾率)"
"{0} (hit chance)","{0} (擊中幾率)"
"{0} (hits per second)","{0} (每秒擊中)"
"{0} (dps multiplier for this skill)","{0} (此技能 dps 倍數)"
"Ignite mode: {0} (can be changed in the Configuration tab)","點燃方式: {0} (可以在 配置 選項卡中更改)"
"Enemy level: {0} (can be overridden in the Configuration tab)","敵人等級: {0} (可以在 配置 選項卡中調整)"
"Enemy Physical Hit Damage: {0} (can be overridden in the Configuration tab)","敵人擊中物理傷害: {0} (可以在 配置 選項卡中調整)"
"x 0.5 (ignite deals 50% per second)","x 0.5 (每秒 50% 點燃傷害)"
"{0} (burn rate modifier)","{0} (燃燒速度加成)"
"x {0} (ignite duration)","x {0} (點燃持續時間)"
"{0} (ignite duration)","{0} (點燃持續時間)"
"{0} (ignite chance)","{0} (點燃幾率)"
"4.00s (base duration)","4.00s (基礎持續時間)"
"x {0} (increased/reduced duration)","x {0} (提高/降低 持續時間)"
"x {0} (more/less duration)","x {0} (額外提高/額外降低 持續時間)"
"/ %.2f (burn rate modifier)","/ {0} (燃燒速度加成)"
"x {0} (increased/reduced stun duration)","x {0} (提高/降低 眩暈持續時間)"
"/ {0} (increased/reduced enemy stun recovery)","/ {0} (提高/降低 敵人眩暈時間)"
"{0} (maximum life)","{0} (最大生命)"
"x {0}% (percentage of life to maximum leech rate)","x {0}% (最大生命偷取速率百分比)"
"{0} - {1} (portion of damage from non-crits)","{0} - {1} (來自非暴擊傷害百分比)"
"+ {0} x {1} (portion of damage from crits)","+ {0} x {1} (來自暴擊傷害百分比)"
"Instant Leech: {0}","瞬間偷取: {0}"
"Total leeched per instance:",每個實例總偷取:
"Rate per instance:",每個實例速率:
"{0} (size of leech destination pool)","{0} (偷取池大小)"
"x {0} (base leech rate is {1}% per second)","x {0} (每秒偷取速率基礎 {1}%)"
"x {0} leech rate modifier","x {0} 偷取速率加成"
"x {0} (instance duration)","x {0} (實例持續時間)"
"Instant Leech per hit: {0}","每次擊中瞬間偷取: {0}"
"Instant Leech per second: {0}","每秒瞬間偷取: {0}"
"Maximum leech rate against one target:",一個目標最大偷取速率:
"x {0} (average instances)","x {0} (平均實例)"
"Time to reach max: {0}","達到最大時間: {0}"
"Leech rate cap: {0}","偷取速率上限: {0}"
"Time to reach cap: {0}","達到上限時間: {0}"
"{0} base Fire Resist Max","{0} 基礎火燄抗性上限"
"{0} base Cold Resist Max","{0} 基礎冰霜抗性上限"
"{0} base Lightning Resist Max","{0} 基礎閃電抗性上限"
"{0} base Chaos Resist Max","{0} 基礎混沌抗性上限"
"{0} base Elemental Resist","{0} 基礎元素抗性"
"{0} base Fire Resist","{0} 基礎火燄抗性"
"{0} base Cold Resist","{0} 基礎冰霜抗性"
"{0} base Lightning Resist","{0} 基礎閃電抗性"
"{0} base Chaos Resist","{0} 基礎混沌抗性"
"{0} per {1} Str","每 {1} 力量 {0}"
"{0}% per {1} Str","每 {1} 力量 {0}%"
"{0} per {1} Dex","每 {1} 敏捷 {0}"
"{0} per {1} Int","每 {1} 智慧 {0}"
"{0} per {1} Mana","每 {1} 魔力 {0}"
"{0} + {1} per Level","{0} + 每級 {1}"
Name,名稱
Reservation,保留
"Mana Regeneration:",魔力回復:
"Life Regen Percent",生命回復百分比
"Mana Regen Percent",魔力回復百分比
"Armour And Evasion",護甲與閃避
"{0}% increased Armour And Evasion","護甲與閃避提高 {0}%"
"{0}% increased Evasion","閃避提高 {0}%"
Conversion,轉換
"Life to Energy Shield",生命到能量護盾
"{0}{1}% per second)","{0}{1}% 每秒)"
"Chance on Non-crit: {0}%","非暴擊幾率: {0}%"
"Chance on Crit: {0}%","暴擊幾率: {0}%"
"Combined chance:",綜合幾率:
"For freeze to apply, target must have no more than {0} life.","要凍結敵人, 目標生命不能低于 {0}"
"For shock to apply, target must have no more than {0} life.","要感電敵人, 目標生命不能低于 {0}"
"{0} Power Charges","{0} 暴擊球"
"{0} Endurance Charges","{0} 耐力球"
"{0} Frenzy Charges","{0} 狂怒球"
"Exclusive to",限定
"Impale DPS:","穿刺 DPS:"
"Elemental Ailments:",元素異常:
"Chill Dur. Mod:","冰緩持續時間 Mod:"
"Chill Effect Mod:","冰緩效果 Mod:"
"Shock Effect Mod:","感電效果 Mod:"
"Maximum Shock:",最大感電所需傷害:
"Hit taken:",承受擊中傷害:
"DoT taken:",承受持續傷害:
"Reflect taken:",承受反射傷害:
"Chance to not be Hit:",閃避擊中幾率:
"Melee Ch.:",近戰免傷幾率:
"Projectile Ch.:",投射物免傷幾率:
"Spell Ch.:",法術免傷幾率:
"Spell Projectile Ch.:",法術投射物免傷幾率:
"Chance to not take Damage when Hit:",擊中免傷幾率:
"Chance to suppress Damage when Hit:",擊中傷害抑制幾率:
"Effective ""Health"" Pool:",有效生命值:
"ES Bypass%:",能量護盾規避%:
"Total Pool:",總生命值:
"Maximum Hit Taken:",最大擊中傷承受值:
"Effective DoT Pool:",持續傷有效生命值:
"Effective Hit Pool:",擊中傷有效生命值:
Block:,格擋:
"Taken From Block:",格擋承受傷害:
"Gain on Block:",格擋時回復:
"Life on Block:",格擋時回復生命:
"Mana on Block:",格擋時回復魔力:
"ES on Block:",格擋時回復能量護盾:
"Damage Avoidance:",傷害避免:
"Avoid Fire Ch.:",火焰傷害避免幾率:
"Avoid Cold Ch.:",冰冷傷害避免幾率:
"Avoid Lightning Ch.:",閃電傷害避免幾率:
"Avoid Projectiles Ch.:",投射物傷害避免幾率:
"Other Avoidance:",其他避免:
"Chill Avoid Ch.:",避免冰緩幾率:
"Blind Duration:",致盲持續時間:
"Total Multiplier:",總加成:
"Skill DoT DPS:",技能持續傷害DPS:
"Culling Strike:",撲殺:
"MH K.B. Chance:",擊退幾率(主手):
"MH K.B. Dist.:",擊退距離(主手):
"Fork Count:",分裂數:
"Mana Reserve Mod:",魔力保留:
"Life Reserve Mod:",生命保留:
"Cannot pierce",無法穿刺
"Cannot fork",無法分裂
"Cannot chain",無法連鎖
"Aura Effect Mod:",光環效果Mod:
"Curse Effect Mod:",詛咒效果Mod:
"Other Ailment Defences:",其他元素防禦:
"Freeze Duration:",冰凍持續時間:
"Chill Duration:",冰緩持續時間:
"Shock Duration:",感電續時間:
"Chill Effect:",冰緩效果:
"Shock Effect:",感電效果:
Dodge:,躲避:
"Spell Suppression:",法術抑制:
"Suppression Ch.:",法術抑制幾率:
"Suppression Effect:",法術抑制效果:
Ward:,保護:
Impale:,穿刺:
"Max Impale Stacks:",最大穿刺疊層
"Stacks on Enemy:",對敵人疊層
"MH Impale Chance:",穿刺幾率(主手):
"MH Stored Damage:",存儲傷害(主手):
"MH DMG Mod.:",傷害MOD(主手):
"OH Impale Chance:",穿刺幾率(副手):
"OH Stored Damage:",存儲傷害(副手):
"OH DMG Mod.:",傷害MOD(副手):
"Max Bleed Stacks:",最大流血疊層:
"Eff. DoT Multiplier:",持續傷害加成:
"Skill Part:",技能部分:
"Skill Stages:",技能階段:
Degen:,每秒扣除:
Degens:,每秒扣血:
"Total Degen:",總每秒扣血:
"Total Net Regen:",淨回復:
"Net Life Regen:",生命值淨回復:
"Net Mana Regen:",魔力淨回復:
"Net Energy Shield Regen:",能量護盾淨回復:
