ㄎ,翻譯
Allocates Fortitude if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 堅忍
Allocates Fortitude if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 堅忍
(Duelist) Bane of Legends,(決鬥者) 神話災難
Allocates Bane of Legends if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 神話災難
Allocates Bane of Legends if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 神話災難
(Duelist) Outmatch and Outlast,(決鬥者) 完美勝出
Allocates Outmatch and Outlast if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 完美勝出
Allocates Outmatch and Outlast if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 完美勝出
(Duelist) Inspirational,(決鬥者) 啟發
Allocates Inspirational if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 啟發
Allocates Inspirational if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 啟發
(Duelist) Painforged,(決鬥者) 痛苦鑄造
Allocates Painforged if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 痛苦鑄造
Allocates Painforged if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 痛苦鑄造
(Duelist) Gratuitous Violence,(決鬥者) 免費暴力
Allocates Gratuitous Violence if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 免費暴力
Allocates Gratuitous Violence if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 免費暴力
(Duelist) Violent Retaliation,(決鬥者) 暴力復仇
Allocates Violent Retaliation if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 暴力復仇
Allocates Violent Retaliation if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 暴力復仇
(Duelist) Masterful Form,(決鬥者) 神采之形
Allocates Masterful Form if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 神采之形
Allocates Masterful Form if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 神采之形
(Duelist) Blood in the Eyes,(決鬥者) 血之眼
Allocates Blood in the Eyes if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 血之眼
Allocates Blood in the Eyes if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 血之眼
(Duelist) Worthy Foe,(決鬥者) 可敬的對手
Allocates Worthy Foe if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 可敬的對手
Allocates Worthy Foe if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 可敬的對手
(Duelist) Conqueror,(決鬥者) 征服者
Allocates Conqueror if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 征服者
Allocates Conqueror if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 征服者
(Duelist) Brutal Fervour,(決鬥者) 殘暴熱情
Allocates Brutal Fervour if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 殘暴熱情
Allocates Brutal Fervour if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 殘暴熱情
(Duelist) Headsman,(決鬥者) 獵頭者
Allocates Headsman if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 獵頭者
Allocates Headsman if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 獵頭者
(Duelist) Endless Hunger,(決鬥者) 無盡飢餓
Allocates Endless Hunger if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 無盡飢餓
Allocates Endless Hunger if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 無盡飢餓
(Duelist) Overwhelm,(決鬥者) 鎮壓
Allocates Overwhelm if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 鎮壓
Allocates Overwhelm if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 鎮壓
(Witch) Profane Bloom,(女巫) 穢言亡語
Allocates Profane Bloom if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 穢言亡語
Allocates Profane Bloom if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 穢言亡語
(Witch) Frigid Wake,(女巫) 寒凜喚醒
Allocates Frigid Wake if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 寒凜喚醒
Allocates Frigid Wake if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 寒凜喚醒
(Witch) Heart of Destruction,(女巫) 毀滅之心
Allocates Heart of Destruction if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 毀滅之心
Allocates Heart of Destruction if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 毀滅之心
(Witch) Unholy Authority,(女巫) 不潔權威
Allocates Unholy Authority if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不潔權威
Allocates Unholy Authority if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不潔權威
(Witch) Nine Lives,(女巫) 九命
Allocates Nine Lives if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 九命
Allocates Nine Lives if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 九命
(Witch) Mindless Aggression,(女巫) 無意識侵略
Allocates Mindless Aggression if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 無意識侵略
Allocates Mindless Aggression if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 無意識侵略
(Witch) Plaguebringer,(女巫) 瘟疫帶原者
Allocates Plaguebringer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 瘟疫帶原者
Allocates Plaguebringer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 瘟疫帶原者
(Witch) Corpse Pact,(女巫) 屍骨盟約
Allocates Corpse Pact if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 屍骨盟約
Allocates Corpse Pact if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 屍骨盟約
(Witch) Liege of the Primordial,(女巫) 先祖諸王
Allocates Liege of the Primordial if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 先祖諸王
Allocates Liege of the Primordial if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 先祖諸王
(Witch) Essence Glutton,(女巫) 吞噬精華
Allocates Essence Glutton if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 吞噬精華
Allocates Essence Glutton if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 吞噬精華
(Witch) Mistress of Sacrifice,(女巫) 奉獻女魔
Allocates Mistress of Sacrifice if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 奉獻女魔
Allocates Mistress of Sacrifice if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 奉獻女魔
(Witch) Elemancer,(女巫) 元能者
Allocates Elemancer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 元能者
Allocates Elemancer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 元能者
(Witch) Mastermind of Discord,(女巫) 混沌天才
Allocates Mastermind of Discord if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 混沌天才
Allocates Mastermind of Discord if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 混沌天才
(Witch) Shaper of Storms,(女巫) 風暴雕塑者
Allocates Shaper of Storms if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 風暴雕塑者
Allocates Shaper of Storms if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 風暴雕塑者
(Witch) Bastion of Elements,(女巫) 元素壁壘
Allocates Bastion of Elements if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 元素壁壘
Allocates Bastion of Elements if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 元素壁壘
(Witch) Shaper of Flames,(女巫) 火焰雕塑者
Allocates Shaper of Flames if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 火焰雕塑者
Allocates Shaper of Flames if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 火焰雕塑者
(Witch) Forbidden Power,(女巫) 禁忌力量
Allocates Forbidden Power if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 禁忌力量
Allocates Forbidden Power if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 禁忌力量
(Witch) Vile Bastion,(女巫) 殘劣壁壘
Allocates Vile Bastion if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 殘劣壁壘
Allocates Vile Bastion if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 殘劣壁壘
(Witch) Unnatural Strength,(女巫) 超自然之力
Allocates Unnatural Strength if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 超自然之力
Allocates Unnatural Strength if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 超自然之力
(Witch) Void Beacon,(女巫) 虛無之塔
Allocates Void Beacon if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 虛無之塔
Allocates Void Beacon if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 虛無之塔
(Witch) Bone Barrier,(女巫) 骸骨屏障
Allocates Bone Barrier if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 骸骨屏障
Allocates Bone Barrier if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 骸骨屏障
(Witch) Withering Presence,(女巫) 凋零光環
Allocates Withering Presence if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 凋零光環
Allocates Withering Presence if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 凋零光環
(Witch) Commander of Darkness,(女巫) 黑暗統御者
Allocates Commander of Darkness if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 黑暗統御者
Allocates Commander of Darkness if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 黑暗統御者
(Witch) Shaper of Winter,(女巫) 寒冬雕塑者
Allocates Shaper of Winter if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 寒冬雕塑者
Allocates Shaper of Winter if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 寒冬雕塑者
(Scion) Occultist,(貴族) 秘術家
Allocates Occultist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 秘術家
Allocates Occultist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 秘術家
(Scion) Guardian,(貴族) 守護者
Allocates Guardian if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 守護者
Allocates Guardian if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 守護者
(Scion) Raider,(貴族) 俠客
Allocates Raider if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 俠客
Allocates Raider if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 俠客
(Scion) Hierophant,(貴族) 聖宗
Allocates Hierophant if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 聖宗
Allocates Hierophant if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 聖宗
(Scion) Assassin,(貴族) 刺客
Allocates Assassin if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 刺客
Allocates Assassin if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 刺客
(Scion) Chieftain,(貴族) 酋長
Allocates Chieftain if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 酋長
Allocates Chieftain if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 酋長
(Scion) Pathfinder,(貴族) 追獵者
Allocates Pathfinder if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 追獵者
Allocates Pathfinder if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 追獵者
(Scion) Elementalist,(貴族) 元素使
Allocates Elementalist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 元素使
Allocates Elementalist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 元素使
(Scion) Inquisitor,(貴族) 判官
Allocates Inquisitor if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 判官
Allocates Inquisitor if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 判官
(Scion) Saboteur,(貴族) 破壞者
Allocates Saboteur if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 破壞者
Allocates Saboteur if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 破壞者
(Scion) Champion,(貴族) 冠軍
Allocates Champion if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 冠軍
Allocates Champion if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 冠軍
(Scion) Gladiator,(貴族) 衛士
Allocates Gladiator if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 衛士
Allocates Gladiator if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 衛士
(Scion) Deadeye,(貴族) 銳眼
Allocates Deadeye if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 銳眼
Allocates Deadeye if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 銳眼
(Scion) Necromancer,(貴族) 死靈師
Allocates Necromancer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 死靈師
Allocates Necromancer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 死靈師
(Scion) Unleashed Potential,(貴族) 釋放潛能
Allocates Unleashed if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 釋放潛能
Allocates Unleashed if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 釋放潛能
(Scion) Berserker,(貴族) 暴徒
Allocates Berserker if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 暴徒
Allocates Berserker if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 暴徒
(Scion) Slayer,(貴族) 處刑者
Allocates Slayer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 處刑者
Allocates Slayer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 處刑者
(Scion) Trickster,(貴族) 詐欺師
Allocates Trickster if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 詐欺師
Allocates Trickster if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 詐欺師
(Scion) Juggernaut,(貴族) 勇士
Allocates Juggernaut if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 勇士
Allocates Juggernaut if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 勇士
(Templar) Instruments of Virtue,(聖堂武僧) 美德儀
Allocates  if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 美德儀
Allocates  if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 美德儀
(Templar) Sanctuary of Thought,(聖堂武僧) 意識聖殿
Allocates  if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 意識聖殿
Allocates  if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 意識聖殿
(Templar) Pursuit of Faith,(聖堂武僧) 信念之訴
Allocates Pursuit of Faith if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 信念之訴
Allocates Pursuit of Faith if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 信念之訴
(Templar) Divine Guidance,(聖堂武僧) 神聖指引
Allocates Divine Guidance if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 神聖指引
Allocates Divine Guidance if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 神聖指引
(Templar) Righteous Providence,(聖堂武僧) 正義之庭
Allocates Righteous Providence if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 正義之庭
Allocates Righteous Providence if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 正義之庭
(Templar) Radiant Faith,(聖堂武僧) 信念之輝
Allocates Radiant Faith if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 信念之輝
Allocates Radiant Faith if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 信念之輝
(Templar) Instruments of Zeal,(聖堂武僧) 狂熱儀
Allocates Instruments of Zeal if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 狂熱儀
Allocates Instruments of Zeal if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 狂熱儀
(Templar) Sign of Purpose,(聖堂武僧) 標記之印
Allocates Sign of Purpose if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 標記之印
Allocates Sign of Purpose if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 標記之印
(Templar) Augury of Penitence,(聖堂武僧) 懺悔之卜
Allocates Augury of Penitence if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 懺悔之卜
Allocates Augury of Penitence if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 懺悔之卜
(Templar) Searing Purity,(聖堂武僧) 灼熱淨化
Allocates Searing Purity if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 灼熱淨化
Allocates Searing Purity if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 灼熱淨化
(Templar) Unwavering Faith,(聖堂武僧) 不動信念
Allocates Unwavering Faith if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 不動信念
Allocates Unwavering Faith if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 不動信念
(Templar) Sanctuary,(聖堂武僧) 聖所
Allocates Sanctuary if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 聖所
Allocates Sanctuary if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 聖所
(Templar) Radiant Crusade,(聖堂武僧) 光明聖戰
Allocates Radiant Crusade if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 光明聖戰
Allocates Radiant Crusade if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 光明聖戰
(Templar) Pious Path,(聖堂武僧) 廉簡之途
Allocates Pious Path if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 廉簡之途
Allocates Pious Path if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 廉簡之途
(Templar) Arcane Blessing,(聖堂武僧) 秘能庇護
Allocates Arcane Blessing if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 秘能庇護
Allocates Arcane Blessing if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 秘能庇護
(Templar) Illuminated Devotion,(聖堂武僧) 無上奉獻
Allocates Illuminated Devotion if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 無上奉獻
Allocates Illuminated Devotion if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 無上奉獻
(Templar) Ritual of Awakening,(聖堂武僧) 昇華儀式
Allocates Ritual of Awakening if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 昇華儀式
Allocates Ritual of Awakening if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 昇華儀式
(Templar) Unwavering Crusade,(聖堂武僧) 堅定聖戰
Allocates Unwavering Crusade if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 堅定聖戰
Allocates Unwavering Crusade if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 堅定聖戰
(Templar) Bastion of Hope,(聖堂武僧) 希望壁壘
Allocates Bastion of Hope if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 希望壁壘
Allocates Bastion of Hope if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 希望壁壘
(Templar) Inevitable Judgement,(聖堂武僧) 命運審判
Allocates Inevitable Judgement if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 命運審判
Allocates Inevitable Judgement if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 命運審判
(Templar) Conviction of Power,(聖堂武僧) 力量定罪
Allocates Conviction of Power if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 力量定罪
Allocates Conviction of Power if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 力量定罪
(Templar) Harmony of Purpose,(聖堂武僧) 和諧之源
Allocates Harmony of Purpose if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 和諧之源
Allocates Harmony of Purpose if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 和諧之源
(Templar) Time of Need,(聖堂武僧) 緊急時刻
Allocates Time of Need if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 緊急時刻
Allocates Time of Need if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 緊急時刻
(Ranger) Avatar of the Slaughter,(遊俠) 殺戮使徒
Allocates Avatar of the Slaughter if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 殺戮使徒
Allocates Avatar of the Slaughter if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 殺戮使徒
(Ranger) Master Alchemist,(遊俠) 煉金術大師
Allocates Master Alchemist if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 煉金術大師
Allocates Master Alchemist if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 煉金術大師
(Ranger) Nature's Adrenaline,(遊俠) 大自然的腎上腺素
Allocates Nature's Adrenaline if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 大自然的腎上腺素
Allocates Nature's Adrenaline if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 大自然的腎上腺素
(Ranger) Rapid Assault,(遊俠) 極速進攻
Allocates Rapid Assault if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 極速進攻
Allocates Rapid Assault if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 極速進攻
(Ranger) Rupturing,(遊俠) 斷裂
Allocates Rupturing if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 斷裂
Allocates Rupturing if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 斷裂
(Ranger) Fury of Nature,(遊俠) 自然之怒
Allocates Fury of Nature if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 自然之怒
Allocates Fury of Nature if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 自然之怒
(Ranger) Veteran Bowyer,(遊俠) 製箭大師
Allocates Veteran Bowyer if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 製箭大師
Allocates Veteran Bowyer if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 製箭大師
(Ranger) Wind Ward,(遊俠) 風之守衛
Allocates Wind Ward if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 風之守衛
Allocates Wind Ward if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 風之守衛
(Ranger) Avatar of the Chase,(遊俠)追獵使徒
Allocates Avatar of the Chase if you have the matching modifier on Forbidden Flesh,若禁忌血肉上有符合的詞綴，配置 追獵使徒
Allocates Avatar of the Chase if you have the matching modifier on Forbidden Flame,若禁忌烈焰上有符合的詞綴，配置 追獵使徒
(Ranger) Nature's Boon,(遊俠) 自然的恩賜
