" Abyss"," 深淵"
" Trek","  跋涉"
" Campaign","  活動"
" Quest","  尋求"
" Mission","  使命"
" Colony","  殖民"
" Outpost","  前哨"
" Mandate","  授權"
" Territory",地盤
" Lands","  土地"
" Excavation","  挖掘"
" Tale","  故事"
" Saga","  佐賀"
" Myth","  神話"
" Ballad","  民謠"
" Folktale","  民間故事"
" Rite",儀式
" Challenge",挑戰
" Provocation",挑釁
" Instigation",唆使
" Incitement",煽動
" Invocation",祈願
" Liturgy",禮拜
" Inscription",銘文
" Inferno"," 煉獄"
" Caldera"," 炎口"
" Volcano"," 火山"
" Lahar"," 火山泥流"
" Magma"," 熔岩"
" Firestorm"," 列炎峰報"
" Zenith",巔峰
" Nadir",谷底
" District",區域
" Cavern",洞穴
" Filth",污垢
" Clearing",空地
" Sands",巢穴
" Lair",空心
" Hollow",畫廊
" Gallery",巢穴
" Den",藏身處
" Hideaway",泥潭
" Mire",水池
" Pool",海灣
" Gulf",泉水
" Spring",攀爬
" Climb",範圍
" Range",領域
" Realm",草皮
" Turf",河岸
" Bank",林地
" Glade",風景
" Landscape",懸崖
" Bluff",一片
" Swathe",大塊
" Mass",碎石
" Rubble",場地
" Grounds",巨石
" Monolith",庭院
" Corridors",走廊
" Alcove",凹室
" Estate",莊園
" Crossroads",十字路口
" Morass",泥沼
" Sludge",淤泥
