add,翻譯
(Allies on your Consecrated Ground Regenerate a percentage of their Maximum Life per second),( 站在奉獻地面上的友方每秒回復他們一定百分比的最大生命 )
"(Arcane Surge grants 10% more Spell Damage and 30% increased Mana Regeneration rate, for 4 seconds)",( 秘能波動提供 10% 更多法術傷害和增加 30% 魔力回復，持續 4 秒 )
"(Arcane Surge grants 10% more Spell Damage, 10% increased Cast Speed, and 0.5% of maximum Mana Regenerated per second, for 4 seconds)",( 秘能波動提供 10% 更多法術傷害、增加 10% 施放速度、和每秒回復 0.5% 最大魔力，持續 4 秒 )
"(Armour is treated as double value, only for calculating damage mitigation)",（護甲被視為雙倍數值，只用於緩阻傷害）
(Attacks that Trigger when you are Hit are Counterattacks),(當你被擊中時觸發的攻擊被稱為反擊)
"(Attributes are Strength, Dexterity, and Intelligence)",(屬性分為力量，敏捷和智慧三種)
(Auras can only grant bonuses to things they affect),（光環只能給受影響的事物提供加成）
(base damage multiplier),(基礎傷害加成)
(base),(基礎)
"(Being Blinded causes 20% less Accuracy Rating and Evasion Rating, for 4 seconds)",( 被致盲有20%更少命中率和閃避值，持續4秒 )
"(Being Covered in Ash applies 20% less Movement Speed and 20% increased Fire Damage Taken, and lasts for 4 seconds)",(處於餘燼纏身狀態的敵人移動速度減少20%，受到的火焰傷害增加20%，持續 4 秒)
"(Bleeding deals Physical Damage over time, based on the base Physical Damage of the Skill. Damage is higher while moving)",( 流血造成持續性物理傷害，傷害取決於初始的物理傷害。移動時受到的流血傷害增加 )
(Blinded enemies have their Chance to Hit halved),( 被致盲的敵人命中率減半 )
(Blitz Charges have a base Duration of 5 seconds),（疾電球的基礎持續時間為 5 秒）。
(block effect),(格擋效果)
(Brand Critical Strikes are any Critical Strikes dealt by Brand Skills or by Skills Triggered by a Brand),（由烙印技能和烙印觸發的技能造成的暴擊都為烙印暴擊）
(Brand Damage is any Damage dealt by Brand Skills or by Skills Triggered by a Brand),（由烙印技能和烙印觸發的技能造成的傷害都為烙印傷害）
(Cannot apply to any of the active skills),(無法應用到任何主動技能)
(chance for block to fail),(格擋失敗機率)
(chance for dodge to fail),(躲避失敗機率)
"(chance for evasion to fail, only applies to the attack portion)","(閃避失敗機率,僅套用攻擊部分)"
(chance to be hit by an Average hit),(平均傷害類型的被擊中機率)
(Chance to even be hit),(可被擊中機率)
(Chill reduces Enemy Action Speed by 10% for 2 seconds),(冰緩敵人10%並持續2秒)
(Chill reduces Enemy Action Speed by 10%),(冰緩敵人10%)
"(Chill reduces Enemy Action Speed by up to 30%, depending on the amount of Cold Damage in the hit, for 2 seconds)",(冰緩依據擊中的冰冷傷害總量減少敵人行動速度，至多30%，持續2秒)
(Choose one of the three attached options),( 請在三個選項中擇一 )
"(Cold Ailments are Chilled, Frozen and Brittle)",（冰冷元素異常狀態指冰緩、冰凍、易碎）
(Cold Exposure applies -10% to Cold Resistance for 4 seconds),(【冰冷曝曬】-10% 冰冷抗性，持續 4 秒）
(Convergence grants 30% more Elemental Damage and lasts 4 seconds),（匯聚使總元素傷害更多 30%，並持續 4 秒）
(cost multiplier),(消耗加成)
(crit chance),(暴擊率)
(Crushed lowers Physical Damage Reduction by 15%),( 壓碎減少 15% 物理傷害減免 )
(Culling Strike means enemies that are on 10% or lower life after your Hit are Killed),( 對生命等於或少於 10% 最大生命的敵人可以造成撲殺，敵人將直接死亡 )
(damage effectiveness),(傷害效用)
"(Debuffs you are Unaffected by can still be placed on you, but will not actually apply their effect)",(你受到的未生效的減益效果依然會被顯示，但是他們不會產生效果)
"(Defences are Armour, Evasion Rating and Energy Shield)","(防禦指護甲, 閃避和能量護盾)"
(Disabled),^9(禁用)
(Each Conflux means all damage causes that Ailment),(每一種匯流代表所有的傷害會觸發該屬性的異常狀態)
(Each instance of Gale Force lasts 4 seconds. Maximum 10 Gale Force),（每個颶風之力都持續 4 秒。最多 10 個颶風之力）
(Effects cannot be slowed below 25% of their normal expiry rate),（效果無法低於正常消退速率的 25%）
"(Elemental Ailments are Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)",(元素異常狀態包含點燃、焦灼、冰緩、冰凍、易碎、感電和殘喘)
"(Elusive initially grants 15% chance to Dodge Spell or Attack Hits, and 30% increased Movement Speed. The buff reduces its effect over time, removing itself at 0% effect. If you already have an Elusive buff, you cannot gain Elusive)",（【靈巧】一開始有 15% 機率躲避法術或攻擊擊中，並使移動速度增加 30%。該增益隨時間流逝遞減，減少到 0% 時移除。在已經獲得【靈巧】的情況下，無法再次獲得【靈巧】）
(Enemies standing in Smoke Clouds are Blinded),( 站在迷霧中的敵人被致盲 )
(Enemies that are Covered in Ash have 20% less Movement Speed and 20% increased Fire Damage Taken),（灰燼覆蓋的敵人移動速度減少 20%，所承受的火焰傷害增加 20 %）
(Enemies that are Debilitated have 20% less Movement Speed and deal 10% less damage),（【疲憊】的敵人總移動速度額外減慢 20%，造成的總傷害更少 20 %）
(Enemies with Malediction deal 10% reduced damage and take 10% increased damage),(帶有惡語術詛咒的敵人造成的傷害減少10%，受到的傷害增加10%)
"(Enemies you Taunt can only target you, and deal 10% less damage to anyone else. Taunt lasts for 3 seconds)",（被你嘲諷敵人只能以你為目標，並對其它人造成 10% 較少傷害。嘲諷持續 3 秒）
"(Fanaticism grants Spells you Cast yourself 75% more Cast Speed, 75% reduced mana cost and 75% increased Area of Effect)",（欣喜若狂使對自我施放的法術的總施放速度額外加快 75%，魔力消耗減少 75%，效果區域擴大 75%）
(Fire Exposure applies -10% to Fire Resistance for 4 seconds),(【火焰曝曬】-10% 火焰抗性，持續 4 秒）
"(Fortify grants 20% less Damage Taken from Hits, for 4 seconds)",( 護體承受 20% 更少來自擊中的傷害 ，持續 4 秒)
(Fortify grants 20% less Damage Taken from Hits),( 護體承受 20% 更少來自擊中的傷害 )
(Fortify grants 20% reduced Damage Taken from Hits),( 護體減少 20% 被擊中的傷害 )
"(Freeze lowers Enemy Action Speed to zero, preventing them from acting. Duration is based on the Cold Damage of the Hit)",(冰凍使敵人行動速度降至 0，使他們無法行動。根據擊中的冰冷傷害決定持續時間)
"(Freeze lowers Enemy Action Speed to zero, preventing them from acting)",(冰凍可將敵人的動作速度減緩至零，使其無法行動）
(Gain Added Spell Damage equal to the Damage of your Main Hand Weapon),（獲得等於你主手武器傷害的附加法術傷害）
(guard limit),(守護上限)
(Hexes can gain Doom up to a maximum of 30. The effect of a Hex is increased by the amount of Doom it has),（魔蠱可以獲得最多 30 點滅能。增加滅能數值能增加魔蠱的效果）
(Hindered enemies have reduced movement speed),(被緩速的敵人移動速度會減少)
"(Hits have up to +15% Critical Strike Chance against Brittle Enemies, based on the Cold Damage of the Hit which inflicted Brittle, for 4 seconds)",（基於造成【易碎】的擊中冰冷傷害，使對抗【易碎】的敵人時，最多 +15% 暴擊率，持續 4 秒）
(hover over the item and Ctrl+C) to view or edit,(鼠標懸停在物品上並 Ctrl+C )
"(Ignite deals Fire Damage over time, based on the base Fire Damage of the Skill, for 4 seconds)",(點燃根據技能的基礎火焰傷害，造成持續火焰傷害，持續4秒)
(Ignoring Resistances means your Damage cannot be modified in any way by any Resistance stats),( 無視抗性表示你的傷害不被任和抗性所影響 )
(increased/reduced damage taken),(增加/減少 承受傷害)
(Increases and Reductions to Maximum Energy Shield,（對最大能量護盾的增幅與減益
(Increases and Reductions to Maximum Life also apply to Attack Damage at 30% of their value),（對最大能量護盾的增幅與減益 有 30% 也套用於法術傷害）
(Increases and Reductions to Maximum Mana also apply to Damage at 30% of their value),（對最大魔力的增幅與減益有 30% 也套用於傷害）
(Inherent effects from having Rage are:,（你將從怒火中獲得：
"(Inherent effects from having Rage are:
1% increased Attack Damage per 1 Rage
1% increased Attack Speed per 2 Rage
1% increased Movement Speed per 5 Rage)","( 固有的盛怒效果:
每 1 層盛怒增加 1% 攻擊傷害
每 2 層盛怒增加 1% 攻擊速度
每 5 層盛怒增加 1% 移動速度 )"
(Intimidated enemies take 10% increased Attack Damage),(被威嚇的敵人增加 10% 承受的攻擊傷害)
(Killing an Enemy is not Spawning a corpse),（擊敗敵人不會喚起屍體）
(Knockback pushes Enemies away when Hit),(命中時擊退敵人)
"(Leeched Energy Shield is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)",（被偷取的能量護盾會持續恢復。可以同時進行多次偷取，次數有上限）
"(Leeched Life is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(吸取的生命會隨時間逐漸回復。多個吸取效果可以同時發生, 但有一個上限)"
"(Leeched Mana is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(吸取的魔力會隨時間逐漸回復。多個吸取效果可以同時發生, 但有一個上限)"
(Lightning Ailments are Shocked and Sapped),（閃電異常狀態指感電、殘喘）
(Lightning Exposure applies -10% to Lightning Resistance for 4 seconds),(【閃電曝曬】-10% 閃電抗性，持續 4 秒）
(Maimed enemies have 30% reduced Movement Speed),( 被癱瘓的敵人減少 30% 移動速度 )
(Maximum Rage is 50),( 盛怒最大層數 50 )
(Maximum Resistances cannot be raised above 90%),（最大抗性不能超過 90%）
(modifiers to enemy damage),(敵人傷害詞綴)
(No chance to avoid damage can be higher than 75%),（躲避傷害的機率不能高於 75%）
"(Normal Monsters have 1 Power, Magic Monsters 2, Rare Monsters 10, Unique Monsters 20, and Players 5)",（普通怪物的威力為 1，魔法怪物為 2，稀有怪物為 10，傳奇怪物為 20，玩家為 5）
(Number of mitigated hits),(減輕後可被擊中數)
(of damage taken from an Average hit),(來自平均擊中的承受傷害)
"(Only Damage from Hits can be Recouped, over 4 seconds following the Hit)",(只有命中造成的傷害可以得到補償，在命中後4秒內)
"(Onslaught grants 20% increased Attack, Cast, and Movement Speed)",( 猛攻增加你 20% 攻擊速度、施放速度，和移動速度 )
(Overkill Damage is any Damage from a Hit in excess of the Enemy's remaining Life),(溢出傷害是造成的傷害超出怪物剩餘生命的部分)
(penetration),(穿透)
(Permanent Auras are Auras with no Duration),（恆定光環沒有持續時間）
(Physical Damage Reduction cannot be negative),（物理傷害減免不能為負）
"(Physical Damage Reduction is lower against Overwhelming Hits, but cannot go negative)",（物理傷害減免對抗猛攻擊中效果會減少，但不會變為負值）
(physical damage reduction),(物理傷害減少)
"(Poison deals Chaos Damage over time, based on the base Physical and Chaos Damage of the Skill. Multiple instances of Poison stack)",( 中毒造成持續性混沌傷害，傷害取決於初始的物理和混沌傷害總和。中毒效果可以疊加 )
(portion of damage from crits),(來自暴擊傷害百分比)
(portion taken from guard),(守護承受比例)
(portion taken from life and energy shield),(生命與能盾承受比例)
"(Projectile Attack Hits deal 20% less Damage to targets at the start of their movement, dealing up to 60% more Damage to targets as the projectile travels farther)",（投射物攻擊近距離目標時最多更少 20% 總傷害，但在攻擊遠距離目標時額外增加 60% 總傷害）
"(Projectile Attacks gain Damage as they travel farther, dealing up to 30% more Attack Damage with Hits to targets)","(投射物攻擊飛得越遠, 造成傷害越高, 最多可對目標額外造成30%的傷害)"
(Recently refers to the past 4 seconds),( 近期內意指 4 秒內 )
(resistance),(抗性)
(Rune Daggers are considered Daggers),（符文匕首視為匕首）
"(Ruptured targets take 25% more Damage from Bleeding, and Bleeding on them expires 25% more quickly, for 3 seconds. Up to 3 Ruptures can affect a target)",（殘破的目標從流血中受到的總傷害更多 25%，身上的流血效果總消減速度額外加快 25%，持續 3 秒。一個目標最多 3 層殘破）
"(Sapped Enemies deal up to 20% less Damage, based on the Lightning Damage of the Hit, for 4 seconds)",（基於擊中的閃電傷害，使【殘喘】的敵人造成的總傷害減少最多 20%，持續 4 秒）
"(Scorched Enemies have their Elemental Resistances lowered by up to 30%, based on the Fire Damage of the Hit, for 4 seconds)",（基於擊中的火焰傷害，使被【焦灼】的敵人元素抗性最多減少 30%，持續 4 秒）
(Shock increases Damage taken by 15%),（感電使敵人承受的傷害增加 15%）
"(Shock increases Damage taken by up to 50%, depending on the amount of Lightning Damage in the hit, for 2 seconds)",(感電根據擊中的閃電傷害總量，增加至多50%承受傷害，持續2秒)
(suppression effect),(法壓效果)
(Tailwind increases Action Speed by 10%),(風的力量使你加速10%)
(Tailwind increases Action Speed by 8%),（流順之風使行動速度加快 8%）
(Take 1% less Damage from Hits per Fortification. Maximum 20 Fortification. Fortification lasts 5 seconds),( 每 1 層護體承受 1% 更少擊重傷害。最大 20 層護體。護體持續 5 秒)
"(The effects of the ground still apply to you, allies or enemies after leaving its area)",（離開此區域，地面的效果也會附加於你、友軍或敵人）
(The Stun Threshold determines how much Damage can Stun something),(造成暈眩所需的傷害量代表暈眩門檻)
(These are consecutive),(這些都是連續的)
"(These are consecutive)
(Each Conflux means all damage causes that Ailment)","(此為連續效果)
(特定匯流作用時，你所有擊中造成的傷害皆能造對應的異常狀態。)"
(They will deal the same total damage over a shorter duration),（他們會在短時間內造成相同的傷害）
(This only affects the inherent loss of Rage when you haven't been Hit or gained Rage Recently),（只影響近期內沒有被擊中或沒有獲得戰火時，戰火的固有損耗）
(Throwing Mines takes 10% more time for each additional Mine thrown),（每投擲一個額外地雷都使投擲地雷時間延長 10%）
(total average number of hits you can take),(總平均可承受擊中數)
(total damage you can take),(可承受之總傷害)
(total incoming damage),(總傳入傷害)
(total mana cost),(總計魔力消耗)
(Unholy Might grants 30% of Physical Damage as extra Chaos Damage),(不潔之力將附加等同30%物理傷害的混沌傷害)
(Unnerved enemies take 10% increased Spell Damage),（恐懼的敵人承受的法術傷害增加 10%）
(Unsupported),(未支持)
(Unused),^9(未使用)
"(Up to 10 Vines can grasp you, inflicting 8% less Movement Speed per Vine. Broken by moving)",（最多有 10 根蔓藤可以抓住你，每根蔓藤都使你移動速度減少 8%。移動可以掙脫）
(Virulence is granted by the Herald of Agony Skill),(毒力可以通過苦痛之捷技能獲得)
(Warstaves are considered Staves),（戰杖視為長杖）
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits or 8 seconds)",( 當被穿刺的敵人被擊中，穿刺會反射 10% 穿刺之擊所造成的物理傷害至敵人。穿刺持續 5 次擊中 )
"(When an Impaled enemy is hit, the Impale reflects 10% of the physical damage of the Impaling hit to that enemy. Impale lasts for 5 hits)",(當一個被穿刺的敵人被擊中，該次擊中物理傷害的 10% 會因穿刺而施加給該敵人。穿刺效果可以維持 5 次擊中)
"(While you have Phasing, your movement is not blocked by Enemies)","( 當你進入迷蹤狀態時, 你將不會被敵人所阻擋 )"
"(Withered applies 6% increased Chaos Damage Taken, and can be inflicted up to 15 times)",(凋零增加 6% 承受混沌傷害，至多可以堆疊 15 次)
(You are in Blood Stance by default),（你預設為血姿態）
(You are on Low Life if you have 35% of your Maximum Life or less),(生命低於35%時進入瀕血狀態)
"(You are Unencumbered while you have no Gloves, no Main Hand Item, and no Off Hand Item Equipped)",（未裝備手部裝備、主手物品、副手物品時，視為【兩手空空】狀態）
(You can only take one of the three Duelist Ascendancy passives),( 你只能在決鬥者的三個昇華職業中選擇一個 )
(You can only take one of the three Marauder Ascendancy passives),( 你只能在野蠻人的三個昇華職業中選擇一個 )
(You can only take one of the three Ranger Ascendancy passives),( 你只能在遊俠的三個昇華職業中選擇一個 )
(You can only take one of the three Shadow Ascendancy passives),( 你只能在暗影刺客的三個昇華職業中選擇一個 )
(You can only take one of the three Templar Ascendancy passives),( 你只能在聖堂武僧的三個昇華職業中選擇一個 )
(You can only take one of the three Witch Ascendancy passives),( 你只能在女巫的三個昇華職業中選擇一個 )
(You lose 1 Rage every 0.5 seconds if you have not been Hit or gained Rage Recently),( 若你近期沒有被擊中或獲得盛怒，每 0.5 秒失去 1 層盛怒 )
# of Blitz Charges (if not maximum):,# 閃電球數量 (如果不是最大值):
# of Challenger Charges (if not maximum):,# 挑戰球數量 (如果不是最大值):
# of Corpses Consumed Recently:,# 近期消耗屍體數量:
# of Corrosion Stacks:,# 腐蝕層數:
# of Crab Barriers (if not maximum):,# 層【蟹將重盾】 (如果不是最大值)
# of Endurance Charges (if not maximum):,# 耐力球數量 (如果不是最大值):
# of Enemies affected:,# 影響的敵人:
# of Enemies Killed by Minions Recently,# 召喚物近期擊殺數量
# of Enemies Killed by Totems Recently,# 圖騰近期擊殺敵人數量
# of Enemies Killed Recently,# 近期擊殺敵人數量
# of Ensnare Stacks:,# 誘捕層數:
# of Fortification Stacks (if not maximum):,# 護體層數 (如果不是最大值):
# of Freeze / Shock / Ignite on enemy:,# 敵人身上的冰凍/感電/點燃數量:
# of Frenzy Charges (if not maximum):,# 狂怒球數量 (如果不是最大值):
# of Gale Force:,# 【颶風之力】 :
# of Impales on enemy (if not maximum):,# 敵人身上的穿刺數量 (如果不是最大值):
# of Inspiration Charges (if not maximum):,# 啟發球數量 (如果不是最大值):
# of Intensity:,# 【強化】:
# of Mines Detonated Recently:,# 近期引爆地雷數量:
# of Nearby Allies:,# 附近的友軍數量:
# of Nearby Corpses:,# 附近的屍體數量:
# of nearby Enemies:,# 附近的敵人數量:
# of Overlapping Pods:,# 黴孢重疊數量
# of Poison on enemy:,# 敵人的中毒層數:
# of Poison on Enemy:,# 敵人中毒層數:
# of Poison on You:,# 你被中毒層數:
# of Poisons applied Recently:,# 近期中毒層數:
# of Power Charges (if not maximum):,# 暴擊球數量 (如果不是最大值):
# of Rampage Kills:,# 擊殺數【暴怒】 :
# of Sextants affecting the area,# 個六分儀影響該地區
# of Shocked Enemies Killed Recently:,# 近期擊殺感電的敵人數量:
# of Siphoning Charges (if not maximum):,# 虹吸球數量 (如果不是最大值):
# of Skills Used Recently:,# 近期使用技能數量:
# of Spider's Web Stacks:,# 層蜘蛛網
# of Spiders:,# 蜘蛛:
# of Summoned Totems (if not maximum):,# 召喚圖騰數量 (如果不是最大值):
# of times Skill has Chained:,# 技能已連鎖次數:
# of times Skill has Pierced:,# 技能已穿透次數:
# of Traps Triggered Recently:,# 近期觸發陷阱數量:
# of Virulence Stacks:,# 【毒性】層數:
# of Withered Stacks:,# 【死亡凋零】層數:
%Inc Armour from Tree,護甲加成(天賦)
%Inc Armour from Tree:,增加護甲(天賦):
%Inc ES from Tree,ES 加成(天賦)
%Inc ES from Tree:,增加能盾(天賦):
%Inc Evasion from Tree,閃避加成(天賦)
%Inc Evasion from Tree:,增加閃避(天賦):
%Inc Life from Tree,生命加成(天賦)
%Inc Life from Tree:,增加生命(天賦):
%Inc Mana from Tree,魔力加成(天賦)
%Inc Mana from Tree:,增加魔力(天賦):
^x7F7F7FArmour:,^x7F7F7F護甲:
^x7F7F7FAttacks per Second:,^x7F7F7F每秒攻擊次數:
^x7F7F7FCast Time:,^x7F7F7F施放時間:
^x7F7F7FChance to Block:,^x7F7F7F格擋機率:
^x7F7F7FChaos Damage:,^x7F7F7F混沌傷害:
^x7F7F7FCooldown Time:,^x7F7F7F冷卻時間:
^x7F7F7FCritical Strike Chance:,^x7F7F7F攻擊暴擊率:
^x7F7F7FEffectiveness of Added Damage:,^x7F7F7F傷害效用:
^x7F7F7FElemental Damage:,^x7F7F7F元素傷害:
^x7F7F7FElemental DPS:,^x7F7F7F元素秒傷:
^x7F7F7FEnergy Shield:,^x7F7F7F能量護盾:
^x7F7F7FEvasion Rating:,^x7F7F7F閃避值:
^x7F7F7FLevel:,^x7F7F7F等級:
^x7F7F7FLimited to:,^x7F7F7F僅限:
^x7F7F7FMana Cost:,^x7F7F7F魔力消耗:
^x7F7F7FMana Multiplier:,^x7F7F7F魔力消耗倍率:
^x7F7F7FMana Reserved:,^x7F7F7F魔力保留:
^x7F7F7FPhysical Damage:,^x7F7F7F物理傷害:
^x7F7F7FQuality:,^x7F7F7F品質:
^x7F7F7FRadius: ^7Large,^x7F7F7F範圍: ^7大
^x7F7F7FRadius: ^7Medium,^x7F7F7F範圍: ^7中
^x7F7F7FRadius: ^7Small,^x7F7F7F範圍: ^7小
^x7F7F7FSockets:,^x7F7F7F插槽:
^x7F7F7FTotal DPS:,^x7F7F7F總計秒傷:
^x7F7F7FWeapon Range:,^x7F7F7F武器範圍:
+0.2 per 1 Armour,+0.2 每 1 護甲值
"+0.5% to Critical Strike Chance per Poison affecting Enemy, up to +2.0%",每層對敵人造成的中毒，+0.5% 暴擊率，至多 +2.0%，
+0.75% to Critical Strike Chance,+0.75% 暴擊率
+1 per 10 Omni,+1 每 10 全知
+1 to Maximum Endurance Charges,+1 最大耐力球數量
+1 to maximum Energy Shield per 6 Evasion Rating on Body Armour,胸甲的每 6 點閃避率 +1 最大能量護盾
+1 to maximum Fortification,+1 最大護體
+1 to Maximum Frenzy Charges,+1 最大狂怒球數量
+1 to Maximum Frenzy Charges and Maximum Power Charges,+1 最大狂怒球和最大暴擊球數量
+1 to maximum number of Golems,最多可同時擁有額外 1 個魔像
+1 to Maximum number of Raised Zombies,+1 最大殭屍數量
+1 to maximum number of Raised Zombies,+1 最大殭屍數量
+1 to Maximum number of Skeletons,+1 最大骷髏數量
+1 to maximum number of Skeletons,+1 最大骷髏數量
+1 to Maximum number of Spectres,+1 最大幽魂數量
+1 to maximum number of Spectres,+1 最大幽魂數量
+1 to maximum number of Summoned Golems,+1 魔像最大上限
+1 to maximum number of Summoned Totems,+1 召喚圖騰的最大數量
+1 to Maximum Power Charges,+1 最大暴擊球數量
+1 to Maximum Power Charges and Maximum Endurance Charges,+1 最大暴擊球和耐力球數量
+1 to Melee range with Axes,+1 斧類近戰範圍
+1 to Melee range with Claws,+1 爪類近戰範圍
+1 to Melee range with Daggers,+1 匕首近戰範圍
+1 to Melee range with Swords,+1 劍類類近戰範圍
+1 to Melee Strike Range,+1 近戰打擊距離
+1 to Melee Strike Range with Axes,使用斧時，+1 近戰打擊距離
+1 to Melee Strike Range with Claws,使用爪時，+1 近戰打擊距離
+1 to Melee Strike Range with Daggers,使用匕首時，+1 近戰打擊距離
+1 to Melee Strike Range with Swords,使用劍時，+1 近戰打擊距離
+1 to Minimum Endurance Charges,+1 最小耐力球
+1 to Minimum Frenzy Charges,+1 最小狂怒球
+1 to Minimum Power Charges,+1 最小暴擊球
+1.5% Critical Strike Chance while at maximum Power Charges,當獲得最大暴擊球時 +1.5% 暴擊率
+1% Chance to Block Attack Damage for each time you've Blocked in the past 10 seconds,過去 10 秒你每次格擋 +1% 攻擊傷害格擋率
+1% Chance to Block Attack Damage while Dual Wielding,雙持時攻擊傷害格擋機率 +1%
+1% Chance to Block Attack Damage while Dual Wielding or holding a Shield,雙持或持盾牌時攻擊傷害格擋機率 +1%
+1% Chance to Block Attack Damage while holding a Shield,持盾牌時攻擊傷害格擋機率 +1%
+1% to all maximum Elemental Resistances,+1% 全部最大元素抗性
+1% to Critical Strike Multiplier per 10 Maximum Energy Shield on Shield,盾牌上每 10 最大能量護盾 +1% 暴擊加成
+1% to maximum Chaos Resistance,+1% 最大混沌抗性
+1% to maximum Cold Resistance,+1% 最大冰冷抗性
+1% to maximum Fire Resistance,+1% 最大火焰抗性
+1% to maximum Lightning Resistance,+1% 最大閃電抗性
+10 Life gained for each Enemy hit by your Attacks,你的攻擊擊中每個敵人會回復 +10 生命
+10 Life gained on Kill,+10 擊殺回復生命
+10 Mana gained on Kill,+10 擊殺回復魔力
+10 to Armour,+10 護甲
+10 to Armour and Evasion Rating per 1% Chance to Block Attack Damage,每 1% 攻擊傷害格擋率 +10 護甲和閃避值
+10 to Dexterity,+10 敏捷
+10 to Dexterity and Intelligence,增加 +10 敏捷與智慧
+10 to Intelligence,+10 智慧
+10 to Maximum Challenger Charges,+10 挑戰球最大上限
+10 to maximum Energy Shield,+10 最大能量護盾
+10 to maximum Life,+10 最大生命
+10 to maximum Mana,+10 最大魔力
+10 to Maximum Rage,+10 最大盛怒上限
+10 to Strength,+10 力量
+10 to Strength and Dexterity,+10 力量和敏捷
+10 to Strength and Intelligence,增加 +10 力量與智慧
+10% Chance to Block Attack Damage,+10% 攻擊傷害格擋率
+10% Chance to Block Attack Damage while Dual Wielding,雙持時 +10% 攻擊傷害格擋率
+10% chance to Block Spell Damage while holding a Shield,持盾時 +10% 法術傷害格擋率
+10% chance to Suppress Spell Damage,+10% 壓抑法術傷害率
+10% chance to Suppress Spell Damage if you've Hit an Enemy Recently,若你近期有擊中敵人，+10% 壓抑法術傷害率
+10% chance to Suppress Spell Damage while on Full Energy Shield,滿能量護盾時，+10% 壓抑法術傷害率
+10% chance to Suppress Spell Damage while on Full Life,滿血時，+10% 壓抑法術傷害率
+10% to all Elemental Resistances,+10% 全部元素抗性
+10% to Attack Critical Strike Multiplier while Dual Wielding,雙持時 +10% 攻擊暴擊加成
+10% to Chaos Damage over Time Multiplier,+10% 混沌持續傷害加成
+10% to Chaos Resistance,+10% 混沌抗性
+10% to Cold Damage over Time Multiplier,+10% 冰冷持續傷害加成
+10% to Critical Strike Multiplier,+10% 基礎暴擊加成
+10% to Critical Strike Multiplier for Spells,+10% 基礎法術暴擊加成
"+10% to Critical Strike Multiplier per Nearby Enemy, up to +100%",附近每個敵人 +10% 暴擊加成，至多 +100%
+10% to Critical Strike Multiplier per Power Charge,每個暴擊球 +10% 暴擊加成
+10% to Critical Strike Multiplier with Claws,持爪時 +10% 暴擊加成
